date,open,high,low,close,volume,average,barCount
2024-11-20,64.29,64.29,64.29,64.29,0.0,64.29,0
2024-11-21,64.16,64.16,64.16,64.16,0.0,64.16,0
2024-11-22,64.37,64.37,64.37,64.37,0.0,64.37,0
2024-11-25,63.44,63.44,63.44,63.44,0.0,63.44,0
2024-11-26,63.77,63.77,63.77,63.77,0.0,63.77,0
2024-11-27,63.49,63.49,63.49,63.49,0.0,63.49,0
2024-11-28,63.49,63.49,63.49,63.49,0.0,63.49,0
2024-11-29,62.9,62.9,62.9,62.9,0.0,62.9,0
2024-12-02,62.95,62.95,62.95,62.95,0.0,62.95,0
2024-12-03,63.46,63.46,63.46,63.46,0.0,63.46,0
2024-12-04,62.48,62.48,62.48,62.48,0.0,62.48,0
2024-12-05,62.45,62.45,62.45,62.45,0.0,62.45,0
2024-12-06,62.43,62.43,62.43,62.43,0.0,62.43,0
2024-12-09,63.17,63.17,63.17,63.17,0.0,63.17,0
2024-12-10,63.06,63.06,63.06,63.06,0.0,63.06,0
2024-12-11,63.14,63.14,63.14,63.14,0.0,63.14,0
2024-12-12,63.16,63.16,63.16,63.16,0.0,63.16,0
2024-12-13,63.45,63.45,63.45,63.45,0.0,63.45,0
2024-12-16,63.4,63.4,63.4,63.4,0.0,63.4,0
2024-12-17,63.17,63.17,63.17,63.17,0.0,63.17,0
2024-12-18,63.04,63.04,63.04,63.04,0.0,63.04,0
2024-12-19,62.85,62.85,62.85,62.85,0.0,62.85,0
2024-12-20,62.97,62.97,62.97,62.97,0.0,62.97,0
2024-12-23,62.9,62.9,62.9,62.9,0.0,62.9,0
2024-12-24,63.25,63.25,63.25,63.25,0.0,63.25,0
2024-12-26,62.98,62.98,62.98,62.98,0.0,62.98,0
2024-12-27,63.06,63.06,63.06,63.06,0.0,63.06,0
2024-12-30,63.43,63.43,63.43,63.43,0.0,63.43,0
2024-12-31,63.62,63.62,63.62,63.62,0.0,63.62,0
2025-01-02,63.96,63.96,63.96,63.96,0.0,63.96,0
2025-01-03,64.0,64.0,64.0,64.0,0.0,64.0,0
2025-01-06,64.38,64.38,64.38,64.38,0.0,64.38,0
2025-01-07,64.36,64.36,64.36,64.36,0.0,64.36,0
2025-01-08,64.05,64.05,64.05,64.05,0.0,64.05,0
2025-01-09,63.92,63.92,63.92,63.92,0.0,63.92,0
2025-01-10,63.88,63.88,63.88,63.88,0.0,63.88,0
2025-01-13,63.99,63.99,63.99,63.99,0.0,63.99,0
2025-01-14,64.57,64.57,64.57,64.57,0.0,64.57,0
2025-01-15,64.99,64.99,64.99,64.99,0.0,64.99,0
2025-01-16,64.7,64.7,64.7,64.7,0.0,64.7,0
2025-01-17,64.61,64.61,64.61,64.61,0.0,64.61,0
2025-01-20,64.61,64.61,64.61,64.61,0.0,64.61,0
2025-01-21,64.67,64.67,64.67,64.67,0.0,64.67,0
2025-01-22,64.65,64.65,64.65,64.65,0.0,64.65,0
2025-01-23,64.61,64.61,64.61,64.61,0.0,64.61,0
2025-01-24,64.27,64.27,64.27,64.27,0.0,64.27,0
