date,open,high,low,close,volume,average,barCount
2023-11-20,65.76,65.76,65.76,65.76,0.0,65.76,0
2023-11-21,65.54,65.54,65.54,65.54,0.0,65.54,0
2023-11-22,65.08,65.08,65.08,65.08,0.0,65.08,0
2023-11-23,65.08,65.08,65.08,65.08,0.0,65.08,0
2023-11-24,64.47,64.47,64.47,64.47,0.0,64.47,0
2023-11-27,64.17,64.17,64.17,64.17,0.0,64.17,0
2023-11-28,64.64,64.64,64.64,64.64,0.0,64.64,0
2023-11-29,65.26,65.26,65.26,65.26,0.0,65.26,0
2023-11-30,64.46,64.46,64.46,64.46,0.0,64.46,0
2023-12-01,63.86,63.86,63.86,63.86,0.0,63.86,0
2023-12-04,64.18,64.18,64.18,64.18,0.0,64.18,0
2023-12-05,63.91,63.91,63.91,63.91,0.0,63.91,0
2023-12-06,63.4,63.4,63.4,63.4,0.0,63.4,0
2023-12-07,63.47,63.47,63.47,63.47,0.0,63.47,0
2023-12-08,64.16,64.16,64.16,64.16,0.0,64.16,0
2023-12-11,64.46,64.46,64.46,64.46,0.0,64.46,0
2023-12-12,63.49,63.49,63.49,63.49,0.0,63.49,0
2023-12-13,64.09,64.09,64.09,64.09,0.0,64.09,0
2023-12-14,65.04,65.04,65.04,65.04,0.0,65.04,0
2023-12-15,64.95,64.95,64.95,64.95,0.0,64.95,0
2023-12-18,65.06,65.06,65.06,65.06,0.0,65.06,0
2023-12-19,65.38,65.38,65.38,65.38,0.0,65.38,0
2023-12-20,65.2,65.2,65.2,65.2,0.0,65.2,0
2023-12-21,64.56,64.56,64.56,64.56,0.0,64.56,0
2023-12-22,63.86,63.86,63.86,63.86,0.0,63.86,0
2023-12-26,64.11,64.11,64.11,64.11,0.0,64.11,0
2023-12-27,64.0,64.0,64.0,64.0,0.0,64.0,0
2023-12-28,63.11,63.11,63.11,63.11,0.0,63.11,0
2023-12-29,62.88,62.88,62.88,62.88,0.0,62.88,0
