date,open,high,low,close,volume,average,barCount
2023-11-20,65.42,65.42,65.42,65.42,0.0,65.42,0
2023-11-21,65.19,65.19,65.19,65.19,0.0,65.19,0
2023-11-22,64.76,64.76,64.76,64.76,0.0,64.76,0
2023-11-23,64.76,64.76,64.76,64.76,0.0,64.76,0
2023-11-24,64.18,64.18,64.18,64.18,0.0,64.18,0
2023-11-27,63.89,63.89,63.89,63.89,0.0,63.89,0
2023-11-28,64.34,64.34,64.34,64.34,0.0,64.34,0
2023-11-29,64.94,64.94,64.94,64.94,0.0,64.94,0
2023-11-30,64.19,64.19,64.19,64.19,0.0,64.19,0
2023-12-01,63.61,63.61,63.61,63.61,0.0,63.61,0
2023-12-04,63.94,63.94,63.94,63.94,0.0,63.94,0
2023-12-05,63.69,63.69,63.69,63.69,0.0,63.69,0
2023-12-06,63.4,63.4,63.2,63.26,6.0,63.258,6
2023-12-07,63.34,63.34,63.34,63.34,0.0,63.34,0
2023-12-08,64.02,64.02,64.02,64.02,0.0,64.02,0
2023-12-11,64.29,64.29,64.29,64.29,0.0,64.29,0
2023-12-12,63.36,63.36,63.36,63.36,0.0,63.36,0
2023-12-13,63.94,63.94,63.94,63.94,0.0,63.94,0
2023-12-14,64.86,64.86,64.86,64.86,0.0,64.86,0
2023-12-15,64.77,64.77,64.77,64.77,0.0,64.77,0
2023-12-18,65.25,65.8,64.85,64.85,5.0,65.52,5
2023-12-19,65.14,65.14,65.14,65.14,0.0,65.14,0
2023-12-20,64.96,64.96,64.96,64.96,0.0,64.96,0
2023-12-21,64.33,64.33,64.33,64.33,0.0,64.33,0
2023-12-22,63.64,63.64,63.64,63.64,0.0,63.64,0
2023-12-26,63.85,63.85,63.85,63.85,0.0,63.85,0
2023-12-27,63.76,63.76,63.76,63.76,0.0,63.76,0
2023-12-28,62.91,62.91,62.91,62.91,0.0,62.91,0
2023-12-29,62.68,62.68,62.68,62.68,0.0,62.68,0
2024-01-02,62.69,62.69,62.69,62.69,0.0,62.69,0
2024-01-03,63.52,63.52,63.52,63.52,0.0,63.52,0
2024-01-04,63.24,63.24,63.24,63.24,0.0,63.24,0
2024-01-05,63.54,63.54,63.54,63.54,0.0,63.54,0
2024-01-08,62.87,62.87,62.87,62.87,0.0,62.87,0
2024-01-09,63.02,63.02,63.02,63.02,0.0,63.02,0
2024-01-10,62.99,62.99,62.99,62.99,0.0,62.99,0
2024-01-11,63.32,63.32,63.32,63.32,0.0,63.32,0
2024-01-12,64.07,64.07,64.07,64.07,0.0,64.07,0
2024-01-15,64.07,64.07,64.07,64.07,0.0,64.07,0
2024-01-16,63.67,63.67,63.67,63.67,0.0,63.67,0
2024-01-17,63.57,63.57,63.57,63.57,0.0,63.57,0
2024-01-18,63.96,63.96,63.96,63.96,0.0,63.96,0
2024-01-19,63.47,63.47,63.47,63.47,0.0,63.47,0
2024-01-22,64.34,64.34,64.34,64.34,0.0,64.34,0
2024-01-23,64.3,64.3,64.3,64.3,0.0,64.3,0
2024-01-24,64.57,64.57,64.57,64.57,0.0,64.57,0
2024-01-25,65.07,65.07,65.07,65.07,0.0,65.07,0
2024-01-26,65.57,65.57,65.57,65.57,0.0,65.57,0
2024-01-29,65.02,65.02,65.02,65.02,0.0,65.02,0
2024-01-30,65.63,65.63,65.63,65.63,0.0,65.63,0
2024-01-31,64.99,64.99,64.99,64.99,0.0,64.99,0
2024-02-01,63.89,63.89,63.89,63.89,0.0,63.89,0
2024-02-02,63.34,63.34,63.34,63.34,0.0,63.34,0
2024-02-05,63.78,63.78,63.78,63.78,0.0,63.78,0
2024-02-06,63.63,63.63,63.63,63.63,0.0,63.63,0
2024-02-07,63.91,63.91,63.91,63.91,0.0,63.91,0
2024-02-08,64.59,64.59,64.59,64.59,0.0,64.59,0
2024-02-09,64.99,64.99,64.99,64.99,0.0,64.99,0
2024-02-12,65.24,65.24,65.24,65.24,0.0,65.24,0
2024-02-13,65.57,65.57,65.57,65.57,0.0,65.57,0
2024-02-14,65.05,65.05,65.05,65.05,0.0,65.05,0
2024-02-15,65.22,65.22,65.22,65.22,0.0,65.22,0
2024-02-16,65.38,65.38,65.38,65.38,0.0,65.38,0
2024-02-19,65.38,65.38,65.38,65.38,0.0,65.38,0
2024-02-20,64.54,64.54,64.54,64.54,0.0,64.54,0
2024-02-21,64.65,64.65,64.65,64.65,0.0,64.65,0
2024-02-22,64.88,64.88,64.88,64.88,0.0,64.88,0
2024-02-23,64.6,64.6,64.6,64.6,0.0,64.6,0
2024-02-26,64.7,64.7,64.7,64.7,0.0,64.7,0
2024-02-27,64.91,64.91,64.91,64.91,0.0,64.91,0
2024-02-28,64.84,64.84,64.84,64.84,0.0,64.84,0
2024-02-29,64.69,64.69,64.69,64.69,0.0,64.69,0
2024-03-01,64.63,64.63,64.63,64.63,0.0,64.63,0
2024-03-04,65.4,65.4,65.4,65.4,0.0,65.4,0
2024-03-05,64.79,64.79,64.79,64.79,0.0,64.79,0
2024-03-06,64.71,64.71,64.71,64.71,0.0,64.71,0
2024-03-07,64.94,64.94,64.94,64.94,0.0,64.94,0
2024-03-08,64.61,64.61,64.61,64.61,0.0,64.61,0
2024-03-11,65.11,65.11,65.11,65.11,0.0,65.11,0
2024-03-12,65.03,65.03,65.03,65.03,0.0,65.03,0
2024-03-13,65.56,65.56,65.56,65.56,0.0,65.56,0
2024-03-14,65.75,65.75,65.75,65.75,0.0,65.75,0
2024-03-15,66.05,66.05,66.05,66.05,0.0,66.05,0
2024-03-18,66.13,66.13,66.13,66.13,0.0,66.13,0
2024-03-19,66.28,66.28,66.28,66.28,0.0,66.28,0
2024-03-20,65.95,65.95,65.95,65.95,0.0,65.95,0
2024-03-21,65.91,65.91,65.91,65.91,0.0,65.91,0
2024-03-22,65.66,65.66,65.66,65.66,0.0,65.66,0
2024-03-25,66.09,66.09,66.09,66.09,0.0,66.09,0
2024-03-26,66.1,66.1,66.1,66.1,0.0,66.1,0
2024-03-27,66.09,66.09,66.09,66.09,0.0,66.09,0
2024-03-28,66.39,66.39,66.39,66.39,0.0,66.39,0
2024-04-01,66.36,66.36,66.36,66.36,0.0,66.36,0
2024-04-02,66.38,66.38,66.38,66.38,0.0,66.38,0
2024-04-03,66.69,66.69,66.69,66.69,0.0,66.69,0
2024-04-04,66.78,66.78,66.78,66.78,0.0,66.78,0
2024-04-05,66.62,66.62,66.62,66.62,0.0,66.62,0
2024-04-08,66.58,66.58,66.58,66.58,0.0,66.58,0
2024-04-09,66.22,66.22,66.22,66.22,0.0,66.22,0
2024-04-10,66.46,66.46,66.46,66.46,0.0,66.46,0
2024-04-11,66.61,66.61,66.61,66.61,0.0,66.61,0
2024-04-12,67.0,67.0,67.0,67.0,0.0,67.0,0
2024-04-15,67.3,67.3,67.3,67.3,0.0,67.3,0
