date,open,high,low,close,volume,average,barCount
2024-12-20,6239.5,6239.75,6239.5,6239.75,2.0,6239.625,2
2024-12-23,6269.0,6269.0,6269.0,6269.0,0.0,6269.0,0
2024-12-24,6331.0,6331.0,6331.0,6331.0,0.0,6331.0,0
2024-12-26,6328.0,6328.0,6328.0,6328.0,0.0,6328.0,0
2024-12-27,6253.25,6253.25,6253.25,6253.25,0.0,6253.25,0
2024-12-30,6200.0,6200.0,6179.75,6179.75,1.0,6200.0,1
2024-12-31,6154.5,6154.5,6154.5,6154.5,0.0,6154.5,0
2025-01-02,6133.0,6133.0,6133.0,6133.0,0.0,6133.0,0
2025-01-03,6215.0,6215.0,6211.5,6211.5,1.0,6215.0,1
2025-01-06,6243.0,6243.0,6243.0,6243.0,0.0,6243.0,0
2025-01-07,6172.5,6172.5,6172.5,6172.5,0.0,6172.5,0
2025-01-08,6179.0,6179.0,6176.5,6176.5,1.0,6179.0,1
2025-01-09,6176.5,6176.5,6176.5,6176.5,0.0,6176.5,0
2025-01-10,6088.25,6088.25,6088.25,6088.25,0.0,6088.25,0
2025-01-13,6096.75,6096.75,6096.75,6096.75,0.0,6096.75,0
2025-01-14,6092.0,6104.0,6083.0,6104.0,2.0,6087.5,2
2025-01-15,6216.75,6216.75,6212.0,6212.0,2.0,6216.75,2
2025-01-16,6202.25,6203.75,6198.5,6198.5,4.0,6203.25,3
2025-01-17,6241.0,6270.5,6241.0,6257.5,6.0,6256.125,5
2025-01-20,6271.75,6271.75,6257.5,6257.5,2.0,6271.25,2
2025-01-21,6308.75,6308.75,6308.75,6308.75,0.0,6308.75,0
2025-01-22,6352.25,6352.25,6352.25,6352.25,0.0,6352.25,0
2025-01-23,6384.0,6384.0,6384.0,6384.0,0.0,6384.0,0
2025-01-24,6365.0,6365.0,6365.0,6365.0,0.0,6365.0,0
2025-01-27,6272.75,6272.75,6272.75,6272.75,0.0,6272.75,0
2025-01-28,6322.0,6322.0,6322.0,6322.0,0.0,6322.0,0
2025-01-29,6293.25,6293.25,6293.25,6293.25,0.0,6293.25,0
2025-01-30,6320.75,6320.75,6320.75,6320.75,0.0,6320.75,0
2025-01-31,6292.0,6292.0,6292.0,6292.0,0.0,6292.0,0
2025-02-03,6182.25,6246.0,6182.25,6246.0,1.0,6182.25,1
2025-02-04,6241.5,6282.0,6238.25,6282.0,6.0,6260.0,4
2025-02-05,6306.25,6306.25,6306.25,6306.25,0.0,6306.25,0
2025-02-06,6332.0,6332.0,6332.0,6332.0,0.0,6332.0,0
2025-02-07,6275.5,6275.5,6275.5,6275.5,0.0,6275.5,0
2025-02-10,6314.75,6314.75,6314.75,6314.75,0.0,6314.75,0
2025-02-11,6312.5,6318.0,6312.5,6318.0,1.0,6312.5,1
2025-02-12,6305.25,6305.25,6305.25,6305.25,0.0,6305.25,0
2025-02-13,6370.25,6370.25,6365.75,6365.75,1.0,6370.25,1
2025-02-14,6356.0,6358.75,6356.0,6358.75,1.0,6356.0,1
2025-02-17,6358.75,6358.75,6358.75,6358.75,1.0,6358.75,1
2025-02-18,6373.25,6373.25,6373.25,6373.25,0.0,6373.25,0
2025-02-19,6395.25,6395.25,6395.25,6395.25,0.0,6395.25,0
2025-02-20,6366.25,6366.25,6366.25,6366.25,0.0,6366.25,0
2025-02-21,6253.25,6253.25,6253.25,6253.25,0.0,6253.25,0
2025-02-24,6220.5,6220.5,6220.5,6220.5,0.0,6220.5,0
2025-02-25,6186.75,6186.75,6186.75,6186.75,0.0,6186.75,0
2025-02-26,6235.5,6250.0,6182.5,6182.5,3.0,6241.25,3
2025-02-27,6087.25,6087.25,6087.25,6087.25,0.0,6087.25,0
2025-02-28,6088.5,6172.75,6088.5,6172.75,1.0,6088.5,1
2025-03-03,6050.0,6065.5,6050.0,6065.5,1.0,6050.0,1
2025-03-04,5988.75,5988.75,5988.75,5988.75,0.0,5988.75,0
2025-03-05,6051.0,6051.0,6051.0,6051.0,0.0,6051.0,0
2025-03-06,5929.5,5939.75,5929.5,5939.75,1.0,5929.5,1
2025-03-07,5900.0,5966.0,5900.0,5966.0,1.0,5900.0,1
2025-03-10,5870.0,5870.0,5801.25,5801.25,5.0,5827.4,3
2025-03-11,5763.5,5763.5,5763.5,5763.5,0.0,5763.5,0
2025-03-12,5794.25,5794.25,5794.25,5794.25,0.0,5794.25,0
2025-03-13,5726.0,5726.0,5700.0,5712.0,4.0,5706.5,3
2025-03-14,5829.0,5829.0,5829.0,5829.0,0.0,5829.0,0
2025-03-17,5875.5,5875.5,5875.5,5875.5,0.0,5875.5,0
2025-03-18,5800.5,5809.75,5800.5,5809.75,3.0,5800.5,3
2025-03-19,5840.25,5874.25,5840.25,5874.25,2.0,5855.125,2
2025-03-20,5850.5,5855.5,5850.0,5855.5,2.0,5850.25,2
2025-03-21,5850.0,5860.5,5850.0,5860.5,1.0,5850.0,1
2025-03-24,5962.75,5962.75,5962.75,5962.75,0.0,5962.75,0
2025-03-25,5973.75,5973.75,5973.75,5973.75,0.0,5973.75,0
2025-03-26,5899.75,5899.75,5899.75,5899.75,0.0,5899.75,0
2025-03-27,5887.0,5887.0,5879.5,5879.5,1.0,5887.0,1
2025-03-28,5852.0,5852.0,5753.75,5753.75,1.0,5852.0,1
2025-03-31,5753.75,5788.5,5753.75,5788.5,1.0,5753.75,1
2025-04-01,5808.0,5808.0,5808.0,5808.0,0.0,5808.0,0
2025-04-02,5850.0,5850.0,5850.0,5850.0,0.0,5850.0,0
2025-04-03,5656.0,5656.0,5554.0,5554.0,1.0,5656.0,1
2025-04-04,5381.0,5390.0,5200.0,5224.0,6.0,5310.925,6
2025-04-07,5125.0,5211.5,4990.0,5211.5,6.0,5015.675,6
2025-04-08,5134.5,5134.5,5134.5,5134.5,0.0,5134.5,0
2025-04-09,5134.0,5613.25,5134.0,5613.25,1.0,5134.0,1
2025-04-10,5636.25,5636.25,5424.0,5424.0,1.0,5636.25,1
2025-04-11,5515.5,5515.5,5515.5,5515.5,0.0,5515.5,0
2025-04-14,5618.25,5618.25,5566.5,5566.5,1.0,5618.25,1
2025-04-15,5592.5,5592.5,5552.0,5554.25,2.0,5572.25,2
2025-04-16,5435.0,5435.0,5402.0,5429.25,2.0,5418.5,2
2025-04-17,5441.25,5441.25,5439.0,5439.0,1.0,5441.25,1
2025-04-21,5400.0,5400.0,5256.0,5306.5,5.0,5308.7,5
2025-04-22,5420.0,5450.0,5410.0,5439.75,3.0,5426.675,3
2025-04-23,5529.25,5529.25,5529.25,5529.25,0.0,5529.25,0
2025-04-24,5550.0,5643.0,5500.0,5643.0,4.0,5532.25,4
2025-04-25,5683.25,5683.25,5683.25,5683.25,0.0,5683.25,0
2025-04-28,5686.25,5686.25,5686.25,5686.25,0.0,5686.25,0
2025-04-29,5657.5,5717.5,5657.5,5717.5,3.0,5694.175,3
2025-04-30,5715.0,5719.25,5715.0,5719.25,1.0,5715.0,1
2025-05-01,5800.0,5800.0,5754.0,5754.0,1.0,5800.0,1
2025-05-02,5820.0,5848.0,5820.0,5848.0,1.0,5820.0,1
2025-05-05,5811.0,5811.0,5811.0,5811.0,0.0,5811.0,0
2025-05-06,5762.25,5762.25,5762.25,5762.25,0.0,5762.25,0
2025-05-07,5766.25,5789.25,5766.25,5789.25,1.0,5766.25,1
2025-05-08,5820.0,5823.0,5820.0,5823.0,1.0,5820.0,1
2025-05-09,5818.75,5818.75,5818.75,5818.75,0.0,5818.75,0
2025-05-12,5914.75,6017.0,5914.75,6017.0,6.0,5983.3,5
2025-05-13,6050.0,6057.25,6050.0,6057.25,2.0,6050.0,1
2025-05-14,6050.0,6070.0,6040.0,6062.5,6.0,6058.325,5
2025-05-15,6090.5,6090.5,6090.5,6090.5,0.0,6090.5,0
2025-05-16,6100.25,6135.75,6100.25,6135.0,2.0,6118.0,2
2025-05-19,6100.0,6142.5,6100.0,6142.5,1.0,6100.0,1
2025-05-20,6120.25,6120.25,6120.25,6120.25,0.0,6120.25,0
2025-05-21,6025.0,6025.0,6020.5,6020.5,1.0,6025.0,1
2025-05-22,6050.0,6050.0,6015.5,6015.5,2.0,6045.0,2
2025-05-23,5973.5,5973.5,5973.5,5973.5,0.0,5973.5,0
2025-05-27,6094.75,6095.25,6090.75,6090.75,5.0,6094.95,3
2025-05-28,6060.5,6060.5,6060.5,6060.5,0.0,6060.5,0
2025-05-29,6125.0,6155.0,6081.0,6081.0,10.0,6134.75,10
2025-05-30,6073.25,6073.25,6073.25,6073.25,0.0,6073.25,0
2025-06-02,6102.5,6102.5,6102.5,6102.5,0.0,6102.5,0
2025-06-03,6081.0,6137.75,6081.0,6137.75,1.0,6081.0,1
2025-06-04,6149.5,6154.0,6137.75,6137.75,2.0,6151.75,2
2025-06-05,6144.0,6144.0,6099.0,6102.5,2.0,6121.5,2
2025-06-06,6165.75,6165.75,6165.75,6165.75,0.0,6165.75,0
2025-06-09,6181.75,6181.75,6154.75,6169.25,7.0,6167.075,5
2025-06-10,6177.0,6205.5,6177.0,6205.5,1.0,6177.0,1
2025-06-11,6184.75,6184.75,6184.75,6184.75,0.0,6184.75,0
2025-06-12,6204.75,6204.75,6204.75,6204.75,0.0,6204.75,0
2025-06-13,6132.5,6132.5,6132.5,6132.5,0.0,6132.5,0
2025-06-16,6190.0,6192.75,6182.0,6192.75,2.0,6186.0,2
2025-06-17,6172.0,6172.0,6144.5,6144.5,1.0,6172.0,1
2025-06-18,6136.5,6136.5,6136.5,6136.5,0.0,6136.5,0
2025-06-20,6100.0,6165.0,6100.0,6117.0,5.0,6129.2,4
2025-06-23,6154.5,6177.0,6120.0,6177.0,5.0,6145.0,5
2025-06-24,6194.5,6252.0,6194.5,6249.75,16.0,6240.575,14
2025-06-25,6245.25,6262.5,6238.75,6248.25,13.0,6247.9,10
2025-06-26,6254.0,6302.25,6254.0,6294.5,4.0,6280.575,4
2025-06-27,6313.0,6335.0,6285.25,6325.5,23.0,6317.825,19
2025-06-30,6352.25,6365.25,6329.5,6355.5,14.0,6348.0,11
2025-07-01,6342.5,6365.5,6339.5,6352.0,17.0,6349.85,13
2025-07-02,6348.75,6380.5,6339.75,6379.0,9.0,6353.325,6
2025-07-03,6380.25,6436.75,6380.25,6433.75,13.0,6405.3,13
2025-07-07,6420.0,6420.0,6359.5,6382.0,17.0,6387.6,15
2025-07-08,6384.0,6390.25,6381.75,6381.75,2.0,6387.125,2
2025-07-09,6365.25,6419.75,6365.25,6415.0,15.0,6401.625,13
2025-07-10,6434.25,6438.25,6432.5,6432.5,4.0,6436.0,4
2025-07-11,6402.75,6416.5,6400.0,6408.25,12.0,6412.175,12
2025-07-14,6400.0,6421.25,6400.0,6421.25,3.0,6409.075,3
2025-07-15,6420.0,6439.25,6387.0,6394.5,22.0,6424.95,20
2025-07-16,6389.0,6413.25,6357.0,6413.25,17.0,6384.725,17
2025-07-17,6407.5,6457.5,6398.5,6450.5,31.0,6444.3,13
2025-07-18,6459.75,6468.75,6444.0,6446.0,17.0,6455.075,13
2025-07-21,6451.25,6484.5,6451.25,6456.75,45.0,6473.45,14
2025-07-22,6455.0,6465.0,6437.25,6460.75,23.0,6451.975,14
2025-07-23,6474.75,6516.0,6466.75,6505.5,66.0,6484.975,38
2025-07-24,6505.0,6525.0,6505.0,6515.75,11.0,6517.25,11
2025-07-25,6534.75,6543.25,6523.75,6540.0,23.0,6539.325,14
