date,open,high,low,close,volume,average,barCount
2026-03-23,6849.25,6849.25,6849.25,6849.25,0.0,6849.25,0
2026-03-24,6822.5,6822.5,6822.5,6822.5,0.0,6822.5,0
2026-03-25,6856.25,6856.25,6856.25,6856.25,0.0,6856.25,0
2026-03-26,6743.25,6743.25,6743.25,6743.25,0.0,6743.25,0
2026-03-27,6600.0,6618.75,6600.0,6618.75,1.0,6600.0,1
2026-03-30,6587.5,6587.5,6587.5,6587.5,0.0,6587.5,0
2026-03-31,6777.25,6777.25,6777.25,6777.25,0.0,6777.25,0
2026-04-01,6800.0,6827.5,6800.0,6827.5,1.0,6800.0,1
2026-04-02,6830.75,6830.75,6830.75,6830.75,0.0,6830.75,0
2026-04-03,6830.75,6830.75,6830.75,6830.75,0.0,6830.75,0
2026-04-06,6866.25,6866.25,6866.25,6866.25,0.0,6866.25,0
2026-04-07,6865.25,6865.25,6865.25,6865.25,0.0,6865.25,0
2026-04-08,7043.5,7043.5,7043.5,7043.5,0.0,7043.5,0
2026-04-09,7084.5,7084.5,7084.5,7084.5,0.0,7084.5,0
2026-04-10,7078.75,7078.75,7078.75,7078.75,0.0,7078.75,0
2026-04-13,7146.75,7146.75,7146.75,7146.75,0.0,7146.75,0
2026-04-14,7233.25,7233.25,7233.25,7233.25,0.0,7233.25,0
2026-04-15,7292.0,7292.0,7292.0,7292.0,0.0,7292.0,0
2026-04-16,7304.25,7304.25,7304.25,7304.25,0.0,7304.25,0
2026-04-17,7388.5,7388.5,7388.5,7388.5,0.0,7388.5,0
2026-04-20,7376.0,7376.0,7376.0,7376.0,0.0,7376.0,0
2026-04-21,7341.25,7341.25,7329.75,7329.75,1.0,7341.25,1
2026-04-22,7405.5,7405.5,7405.5,7405.5,0.0,7405.5,0
2026-04-23,7374.75,7374.75,7374.75,7374.75,0.0,7374.75,0
2026-04-24,7425.25,7425.25,7425.25,7425.25,0.0,7425.25,0
2026-04-27,7438.5,7438.5,7438.5,7438.5,0.0,7438.5,0
2026-04-28,7401.0,7401.0,7401.0,7401.0,0.0,7401.0,0
2026-04-29,7402.75,7402.75,7402.75,7402.75,0.0,7402.75,0
2026-04-30,7482.25,7482.25,7482.25,7482.25,0.0,7482.25,0
2026-05-01,7495.5,7495.5,7495.5,7495.5,0.0,7495.5,0
2026-05-04,7470.0,7470.0,7470.0,7470.0,0.0,7470.0,0
2026-05-05,7527.25,7527.25,7527.25,7527.25,0.0,7527.25,0
2026-05-06,7631.25,7631.25,7631.25,7631.25,0.0,7631.25,0
2026-05-07,7604.75,7604.75,7604.75,7604.75,0.0,7604.75,0
2026-05-08,7663.5,7663.5,7663.5,7663.5,0.0,7663.5,0
2026-05-11,7684.75,7684.75,7684.75,7684.75,0.0,7684.75,0
2026-05-12,7678.5,7678.5,7678.5,7678.5,0.0,7678.5,0
2026-05-13,7721.0,7721.0,7721.0,7721.0,0.0,7721.0,0
2026-05-14,7784.0,7784.0,7784.0,7784.0,0.0,7784.0,0
2026-05-15,7688.25,7688.25,7688.25,7688.25,0.0,7688.25,0
2026-05-18,7682.25,7682.25,7682.25,7682.25,0.0,7682.25,0
2026-05-19,7634.5,7634.5,7634.5,7634.5,0.0,7634.5,0
2026-05-20,7665.0,7709.0,7665.0,7709.0,1.0,7665.0,1
2026-05-21,7724.25,7724.25,7724.25,7724.25,0.0,7724.25,0
2026-05-22,7757.5,7757.5,7757.5,7757.5,0.0,7757.5,0
2026-05-26,7802.0,7802.0,7802.0,7802.0,0.0,7802.0,0
2026-05-27,7804.75,7804.75,7804.75,7804.75,0.0,7804.75,0
2026-05-28,7850.0,7850.0,7850.0,7850.0,0.0,7850.0,0
2026-05-29,7862.25,7862.25,7862.25,7862.25,0.0,7862.25,0
2026-06-01,7870.0,7883.0,7870.0,7883.0,1.0,7870.0,1
2026-06-02,7894.75,7894.75,7894.75,7894.75,0.0,7894.75,0
2026-06-03,7843.5,7843.5,7843.5,7843.5,0.0,7843.5,0
2026-06-04,7873.75,7873.75,7873.75,7873.75,0.0,7873.75,0
2026-06-05,7700.0,7700.0,7669.0,7669.0,1.0,7700.0,1
2026-06-08,7688.25,7688.25,7688.25,7688.25,0.0,7688.25,0
2026-06-09,7662.25,7662.25,7662.25,7662.25,0.0,7662.25,0
2026-06-10,7541.25,7541.25,7541.25,7541.25,0.0,7541.25,0
2026-06-11,7662.75,7662.75,7662.75,7662.75,0.0,7662.75,0
2026-06-12,7702.75,7702.75,7702.75,7702.75,0.0,7702.75,0
2026-06-15,7835.75,7835.75,7835.75,7835.75,0.0,7835.75,0
2026-06-16,7795.0,7795.0,7795.0,7795.0,0.0,7795.0,0
2026-06-17,7706.5,7710.75,7706.5,7710.75,1.0,7706.5,1
2026-06-18,7793.25,7793.25,7793.25,7793.25,0.0,7793.25,0
2026-06-22,7764.5,7764.5,7764.5,7764.5,0.0,7764.5,0
2026-06-23,7656.0,7656.0,7656.0,7656.0,0.0,7656.0,0
2026-06-24,7646.75,7646.75,7646.75,7646.75,0.0,7646.75,0
2026-06-25,7640.25,7640.25,7640.25,7640.25,0.0,7640.25,0
2026-06-26,7613.0,7613.0,7613.0,7613.0,0.0,7613.0,0
2026-06-29,7710.0,7710.0,7710.0,7710.0,0.0,7710.0,0
2026-06-30,7763.25,7763.25,7763.25,7763.25,0.0,7763.25,0
2026-07-01,7761.25,7761.25,7761.25,7761.25,0.0,7761.25,0
2026-07-02,7801.0,7801.0,7739.0,7741.25,17.0,7746.125,17
2026-07-06,7804.25,7807.75,7804.25,7807.75,1.0,7804.25,1
2026-07-07,7767.75,7767.75,7767.75,7767.75,0.0,7767.75,0
2026-07-08,7699.0,7745.0,7699.0,7745.0,1.0,7699.0,1
2026-07-09,7807.0,7807.0,7807.0,7807.0,0.0,7807.0,0
2026-07-10,7841.0,7841.0,7841.0,7841.0,0.0,7841.0,0
2026-07-13,7787.0,7787.0,7787.0,7787.0,0.0,7787.0,0
2026-07-14,7808.25,7808.25,7808.25,7808.25,0.0,7808.25,0
2026-07-15,7831.5,7831.5,7831.5,7831.5,0.0,7831.5,0
2026-07-16,7793.0,7793.0,7793.0,7793.0,0.0,7793.0,0
2026-07-17,7713.25,7713.25,7713.25,7713.25,0.0,7713.25,0
2026-07-20,7701.5,7701.5,7701.5,7701.5,0.0,7701.5,0
2026-07-21,7766.25,7766.25,7766.25,7766.25,0.0,7766.25,0
2026-07-22,7761.75,7761.75,7761.75,7761.75,0.0,7761.75,0
2026-07-23,7664.0,7664.0,7664.0,7664.0,0.0,7664.0,0
2026-07-24,7665.25,7665.25,7665.25,7665.25,0.0,7665.25,0
2026-07-27,7665.5,7665.5,7665.5,7665.5,0.0,7665.5,0
2026-07-28,7682.75,7682.75,7682.75,7682.75,0.0,7682.75,0
2026-07-29,7560.0,7561.25,7560.0,7561.25,1.0,7560.0,1
2026-07-30,7686.5,7686.5,7686.5,7686.5,0.0,7686.5,0
2026-07-31,7736.5,7736.5,7736.5,7736.5,0.0,7736.5,0
2026-08-03,7821.0,7849.25,7821.0,7849.25,2.0,7821.0,1
2026-08-04,7988.5,7988.5,7988.5,7988.5,0.0,7988.5,0
2026-08-05,7972.5,7972.5,7972.5,7972.5,0.0,7972.5,0
2026-08-06,7957.25,7957.25,7957.25,7957.25,0.0,7957.25,0
2026-08-07,7975.0,8001.25,7975.0,8001.25,1.0,7975.0,1
2026-08-10,8000.25,8000.25,8000.25,8000.25,0.0,8000.25,0
2026-08-11,7980.0,7980.0,7967.5,7967.5,1.0,7980.0,1
2026-08-12,7990.25,7990.25,7990.25,7990.25,0.0,7990.25,0
2026-08-13,8039.25,8039.25,8039.25,8039.25,0.0,8039.25,0
2026-08-14,8070.0,8075.0,8022.25,8022.25,6.0,8067.5,4
