date,open,high,low,close,volume,average,barCount
2025-06-30,3568.0,3568.0,3568.0,3568.0,0.0,3568.0,0
2025-07-01,3611.0,3611.0,3611.0,3611.0,0.0,3611.0,0
2025-07-02,3622.2,3622.2,3622.2,3622.2,0.0,3622.2,0
2025-07-03,3606.5,3606.5,3606.5,3606.5,0.0,3606.5,0
2025-07-07,3605.9,3605.9,3605.9,3605.9,0.0,3605.9,0
2025-07-08,3581.9,3581.9,3581.9,3581.9,0.0,3581.9,0
2025-07-09,3584.3,3584.3,3584.3,3584.3,0.0,3584.3,0
2025-07-10,3590.2,3590.2,3590.2,3590.2,0.0,3590.2,0
2025-07-11,3626.8,3626.8,3626.8,3626.8,0.0,3626.8,0
2025-07-14,3624.2,3624.2,3624.2,3624.2,0.0,3624.2,0
2025-07-15,3601.6,3601.6,3601.6,3601.6,0.0,3601.6,0
2025-07-16,3622.7,3622.7,3622.7,3622.7,0.0,3622.7,0
2025-07-17,3609.8,3609.8,3609.8,3609.8,0.0,3609.8,0
2025-07-18,3622.8,3622.8,3622.8,3622.8,0.0,3622.8,0
2025-07-21,3674.1,3674.1,3674.1,3674.1,0.0,3674.1,0
2025-07-22,3714.7,3714.7,3714.7,3714.7,0.0,3714.7,0
2025-07-23,3664.9,3664.9,3664.9,3664.9,0.0,3664.9,0
2025-07-24,3641.6,3641.6,3641.6,3641.6,0.0,3641.6,0
2025-07-25,3599.6,3599.6,3599.6,3599.6,0.0,3599.6,0
2025-07-28,3575.1,3575.1,3575.1,3575.1,0.0,3575.1,0
2025-07-29,3588.9,3588.9,3588.9,3588.9,0.0,3588.9,0
2025-07-30,3560.1,3560.1,3560.1,3560.1,0.0,3560.1,0
2025-07-31,3556.6,3556.6,3556.6,3556.6,0.0,3556.6,0
2025-08-01,3602.9,3602.9,3602.9,3602.9,0.0,3602.9,0
2025-08-04,3628.7,3628.7,3628.7,3628.7,0.0,3628.7,0
2025-08-05,3637.7,3637.7,3637.7,3637.7,0.0,3637.7,0
2025-08-06,3635.1,3635.1,3635.1,3635.1,0.0,3635.1,0
2025-08-07,3649.6,3649.6,3649.6,3649.6,0.0,3649.6,0
2025-08-08,3682.5,3682.5,3682.5,3682.5,0.0,3682.5,0
2025-08-11,3612.9,3612.9,3612.9,3612.9,0.0,3612.9,0
2025-08-12,3605.3,3605.3,3605.3,3605.3,0.0,3605.3,0
2025-08-13,3614.6,3614.6,3614.6,3614.6,0.0,3614.6,0
2025-08-14,3588.1,3588.1,3588.1,3588.1,0.0,3588.1,0
2025-08-15,3585.0,3585.0,3585.0,3585.0,0.0,3585.0,0
2025-08-18,3580.2,3580.2,3580.2,3580.2,0.0,3580.2,0
2025-08-19,3560.5,3560.5,3560.5,3560.5,0.0,3560.5,0
2025-08-20,3591.7,3591.7,3591.7,3591.7,0.0,3591.7,0
2025-08-21,3585.2,3585.2,3585.2,3585.2,0.0,3585.2,0
2025-08-22,3621.9,3621.9,3621.9,3621.9,0.0,3621.9,0
2025-08-25,3621.2,3621.2,3621.2,3621.2,0.0,3621.2,0
2025-08-26,3638.5,3638.5,3638.5,3638.5,0.0,3638.5,0
2025-08-27,3658.2,3658.2,3658.2,3658.2,0.0,3658.2,0
2025-08-28,3682.3,3682.3,3682.3,3682.3,0.0,3682.3,0
2025-08-29,3725.9,3725.9,3725.9,3725.9,0.0,3725.9,0
2025-09-02,3803.4,3803.4,3803.4,3803.4,0.0,3803.4,0
2025-09-03,3847.5,3847.5,3847.5,3847.5,0.0,3847.5,0
2025-09-04,3818.8,3818.8,3818.8,3818.8,0.0,3818.8,0
2025-09-05,3864.8,3864.8,3864.8,3864.8,0.0,3864.8,0
2025-09-08,3886.3,3886.3,3886.3,3886.3,0.0,3886.3,0
2025-09-09,3885.9,3891.1,3885.9,3891.1,2.0,3886.6,2
2025-09-10,3891.0,3891.0,3891.0,3891.0,0.0,3891.0,0
2025-09-11,3882.1,3882.1,3882.1,3882.1,0.0,3882.1,0
2025-09-12,3894.7,3894.7,3894.7,3894.7,0.0,3894.7,0
2025-09-15,3927.9,3927.9,3927.9,3927.9,0.0,3927.9,0
2025-09-16,3935.0,3935.0,3935.0,3935.0,0.0,3935.0,0
2025-09-17,3935.0,3935.0,3928.5,3928.5,1.0,3935.0,1
2025-09-18,3886.1,3886.1,3886.1,3886.1,0.0,3886.1,0
2025-09-19,3915.9,3915.9,3915.9,3915.9,0.0,3915.9,0
2025-09-22,3986.5,3986.5,3986.5,3986.5,0.0,3986.5,0
2025-09-23,4028.2,4028.2,4028.2,4028.2,0.0,4028.2,0
2025-09-24,3982.0,3982.0,3982.0,3982.0,0.0,3982.0,0
2025-09-25,3990.4,3990.4,3990.4,3990.4,0.0,3990.4,0
2025-09-26,4000.0,4029.0,4000.0,4029.0,1.0,4000.0,1
2025-09-29,4080.5,4080.5,4080.5,4080.5,0.0,4080.5,0
2025-09-30,4069.7,4098.4,4069.7,4098.4,1.0,4069.7,1
2025-10-01,4129.7,4129.7,4129.7,4129.7,0.0,4129.7,0
2025-10-02,4080.0,4120.0,4080.0,4100.2,4.0,4095.0,4
2025-10-03,4141.5,4141.5,4141.5,4141.5,0.0,4141.5,0
2025-10-06,4214.8,4214.8,4214.8,4214.8,0.0,4214.8,0
2025-10-07,4249.2,4249.2,4249.2,4249.2,0.0,4249.2,0
2025-10-08,4323.8,4323.8,4323.8,4323.8,0.0,4323.8,0
2025-10-09,4322.4,4322.4,4222.8,4222.8,1.0,4322.4,1
2025-10-10,4249.4,4249.4,4249.4,4249.4,0.0,4249.4,0
2025-10-13,4335.0,4386.1,4335.0,4386.1,1.0,4335.0,1
2025-10-14,4416.7,4416.7,4416.7,4416.7,0.0,4416.7,0
2025-10-15,4457.1,4457.1,4457.1,4457.1,0.0,4457.1,0
2025-10-16,4588.8,4588.8,4564.1,4564.1,2.0,4588.8,1
2025-10-17,4468.1,4468.1,4466.9,4466.9,1.0,4468.1,1
2025-10-20,4620.7,4620.7,4620.7,4620.7,0.0,4620.7,0
2025-10-21,4468.1,4468.1,4359.8,4359.8,1.0,4468.1,1
2025-10-22,4317.5,4317.5,4317.5,4317.5,0.0,4317.5,0
2025-10-23,4401.4,4401.4,4401.4,4401.4,0.0,4401.4,0
2025-10-24,4393.4,4393.4,4393.4,4393.4,0.0,4393.4,0
2025-10-27,4270.4,4270.4,4270.4,4270.4,0.0,4270.4,0
2025-10-28,4202.9,4231.7,4165.5,4231.7,8.0,4204.19,8
2025-10-29,4285.7,4285.7,4255.4,4255.4,2.0,4285.7,1
2025-10-30,4276.7,4276.7,4276.7,4276.7,0.0,4276.7,0
2025-10-31,4256.6,4256.6,4256.6,4256.6,0.0,4256.6,0
2025-11-03,4277.3,4277.3,4277.3,4277.3,0.0,4277.3,0
2025-11-04,4221.0,4221.0,4221.0,4221.0,0.0,4221.0,0
2025-11-05,4258.4,4258.4,4256.2,4256.2,1.0,4258.4,1
2025-11-06,4252.7,4252.7,4252.7,4252.7,0.0,4252.7,0
2025-11-07,4269.1,4269.1,4269.1,4269.1,0.0,4269.1,0
2025-11-10,4384.2,4384.2,4384.2,4384.2,0.0,4384.2,0
2025-11-11,4377.2,4377.2,4377.2,4377.2,0.0,4377.2,0
2025-11-12,4473.5,4473.5,4473.5,4473.5,0.0,4473.5,0
2025-11-13,4462.2,4462.2,4435.0,4455.3,2.0,4448.6,2
2025-11-14,4351.4,4351.4,4351.4,4351.4,0.0,4351.4,0
2025-11-17,4333.4,4333.4,4333.4,4333.4,0.0,4333.4,0
2025-11-18,4272.0,4322.0,4272.0,4322.0,1.0,4272.0,1
2025-11-19,4346.0,4366.6,4339.8,4339.8,3.0,4356.4,3
2025-11-20,4314.8,4314.8,4314.8,4314.8,0.0,4314.8,0
2025-11-21,4326.5,4326.5,4326.5,4326.5,0.0,4326.5,0
2025-11-24,4341.9,4341.9,4341.9,4341.9,0.0,4341.9,0
2025-11-25,4396.6,4396.6,4391.6,4391.6,1.0,4396.6,1
2025-11-26,4417.0,4417.0,4417.0,4417.0,0.0,4417.0,0
2025-11-28,4471.5,4471.5,4471.5,4471.5,0.0,4471.5,0
2025-12-01,4496.2,4496.2,4496.2,4496.2,0.0,4496.2,0
2025-12-02,4441.4,4441.4,4441.4,4441.4,0.0,4441.4,0
2025-12-03,4453.6,4453.6,4453.6,4453.6,0.0,4453.6,0
2025-12-04,4440.6,4461.8,4440.6,4461.8,2.0,4445.6,2
2025-12-05,4461.7,4461.7,4461.7,4461.7,0.0,4461.7,0
2025-12-08,4436.9,4436.9,4436.9,4436.9,0.0,4436.9,0
2025-12-09,4457.2,4457.2,4457.2,4457.2,0.0,4457.2,0
2025-12-10,4440.6,4450.6,4440.6,4447.4,2.0,4445.6,2
2025-12-11,4537.4,4537.4,4537.4,4537.4,0.0,4537.4,0
2025-12-12,4604.8,4605.2,4554.9,4554.9,7.0,4584.64,7
2025-12-15,4563.2,4563.2,4563.2,4563.2,0.0,4563.2,0
2025-12-16,4545.1,4583.5,4540.6,4560.0,8.0,4548.39,8
2025-12-17,4580.0,4609.8,4580.0,4602.7,5.0,4596.76,4
2025-12-18,4585.2,4593.0,4585.2,4593.0,1.0,4585.2,1
2025-12-19,4618.4,4618.4,4618.4,4618.4,0.0,4618.4,0
2025-12-22,4675.6,4713.8,4675.6,4703.8,19.0,4695.83,17
2025-12-23,4732.9,4760.6,4732.9,4741.5,8.0,4746.09,8
2025-12-24,4771.0,4779.8,4724.9,4738.5,10.0,4749.16,10
2025-12-26,4799.2,4829.4,4790.3,4795.1,8.0,4806.56,8
2025-12-29,4771.5,4771.5,4581.8,4581.8,5.0,4711.68,5
2025-12-30,4626.2,4626.2,4626.2,4626.2,0.0,4626.2,0
2025-12-31,4578.5,4582.6,4575.4,4582.6,3.0,4577.37,3
2026-01-02,4569.6,4569.6,4569.6,4569.6,0.0,4569.6,0
2026-01-05,4604.1,4694.2,4604.1,4694.2,3.0,4654.7,2
2026-01-06,4742.9,4742.9,4742.9,4742.9,0.0,4742.9,0
2026-01-07,4705.9,4705.9,4705.9,4705.9,0.0,4705.9,0
2026-01-08,4683.9,4713.1,4679.8,4705.5,4.0,4690.88,4
2026-01-09,4734.1,4748.0,4718.9,4748.0,3.0,4729.53,3
