date,open,high,low,close,volume,average,barCount
2025-12-31,4665.7,4665.7,4665.7,4665.7,0.0,4665.7,0
2026-01-02,4652.7,4652.7,4652.7,4652.7,0.0,4652.7,0
2026-01-05,4789.6,4789.6,4777.3,4777.3,3.0,4786.87,3
2026-01-06,4826.2,4826.2,4826.2,4826.2,0.0,4826.2,0
2026-01-07,4783.0,4789.5,4783.0,4789.5,1.0,4783.0,1
2026-01-08,4790.7,4790.7,4790.7,4790.7,0.0,4790.7,0
2026-01-09,4833.2,4833.2,4833.2,4833.2,0.0,4833.2,0
2026-01-12,4945.1,4950.8,4945.1,4950.8,1.0,4945.1,1
2026-01-13,4932.0,4932.0,4932.0,4932.0,0.0,4932.0,0
2026-01-14,4950.2,4967.1,4950.0,4967.1,11.0,4957.11,11
2026-01-15,4940.0,4961.0,4932.0,4956.5,4.0,4942.5,4
2026-01-16,4932.0,4932.0,4900.0,4928.6,5.0,4918.84,5
2026-01-20,5004.0,5102.6,5004.0,5102.6,3.0,5055.27,3
2026-01-21,5211.0,5211.0,5126.0,5177.6,9.0,5178.99,9
2026-01-22,5130.0,5257.8,5130.0,5257.8,2.0,5185.2,2
2026-01-23,5282.0,5348.8,5282.0,5335.2,4.0,5314.8,4
2026-01-26,5387.6,5458.9,5387.6,5454.4,48.0,5449.36,15
2026-01-27,5482.4,5543.2,5452.2,5452.2,4.0,5512.78,4
2026-01-28,5537.3,5761.4,5537.3,5689.2,47.0,5730.48,15
2026-01-29,5918.3,5923.5,5488.0,5701.7,7.0,5763.3,7
2026-01-30,5575.0,5575.0,5052.8,5059.9,46.0,5350.66,44
2026-02-02,5082.5,5221.1,4798.0,4951.1,27.0,4987.17,26
2026-02-03,5200.0,5276.4,5200.0,5245.9,7.0,5251.66,7
2026-02-04,5400.0,5400.0,5263.8,5263.8,5.0,5352.8,5
2026-02-05,5250.3,5250.3,5137.0,5195.7,16.0,5198.42,12
2026-02-06,5000.0,5300.0,5000.0,5299.7,13.0,5204.58,11
2026-02-09,5349.8,5421.2,5330.4,5403.2,11.0,5367.62,11
2026-02-10,5405.0,5405.0,5353.0,5354.4,5.0,5381.12,4
2026-02-11,5425.4,5425.4,5425.4,5425.4,0.0,5425.4,0
2026-02-12,5405.0,5405.0,5269.2,5269.2,10.0,5358.72,10
2026-02-13,5361.2,5376.8,5354.4,5360.9,12.0,5366.29,12
2026-02-17,5353.3,5353.3,5200.5,5214.6,8.0,5268.95,8
2026-02-18,5326.1,5326.1,5326.1,5326.1,0.0,5326.1,0
2026-02-19,5304.6,5360.9,5304.6,5315.9,6.0,5329.38,4
2026-02-20,5405.9,5405.9,5405.9,5405.9,0.0,5405.9,0
2026-02-23,5500.0,5555.5,5489.0,5555.5,15.0,5526.52,14
2026-02-24,5550.0,5550.0,5467.7,5508.3,22.0,5514.15,18
2026-02-25,5534.8,5561.3,5534.8,5561.3,11.0,5541.97,8
2026-02-26,5551.0,5551.0,5500.0,5528.2,10.0,5526.07,6
2026-02-27,5535.0,5632.6,5535.0,5584.5,11.0,5592.42,8
2026-03-02,5715.9,5733.5,5638.4,5659.2,16.0,5709.89,16
2026-03-03,5726.0,5730.9,5379.6,5457.7,21.0,5615.77,18
2026-03-04,5510.0,5539.0,5471.2,5471.2,8.0,5514.6,8
2026-03-05,5458.4,5458.4,5420.1,5420.1,2.0,5458.4,1
2026-03-06,5472.0,5500.1,5472.0,5500.1,1.0,5472.0,1
2026-03-09,5502.3,5502.3,5400.0,5446.1,7.0,5447.29,6
2026-03-10,5517.0,5586.6,5504.0,5586.6,8.0,5529.0,6
2026-03-11,5540.0,5565.0,5528.9,5528.9,3.0,5553.5,3
2026-03-12,5510.0,5510.0,5475.3,5475.3,8.0,5504.0,6
2026-03-13,5418.0,5418.0,5380.0,5410.9,5.0,5403.14,4
2026-03-16,5370.4,5370.4,5335.0,5349.2,3.0,5358.47,3
2026-03-17,5354.9,5354.9,5354.9,5354.9,0.0,5354.9,0
2026-03-18,5320.0,5320.0,5202.1,5237.8,3.0,5241.4,3
2026-03-19,5055.0,5055.0,4884.3,4940.2,12.0,4925.55,9
2026-03-20,5000.0,5001.1,4827.5,4912.5,13.0,4892.15,12
2026-03-23,4700.0,4795.7,4420.8,4725.1,37.0,4609.72,32
2026-03-24,4675.0,4797.0,4662.0,4718.4,8.0,4721.03,6
