date,open,high,low,close,volume,average,barCount
2024-12-31,4.3055,4.3055,4.3055,4.3055,0.0,4.3055,0
2025-01-02,4.308,4.308,4.308,4.308,0.0,4.308,0
2025-01-03,4.348,4.348,4.348,4.348,0.0,4.348,0
2025-01-06,4.424,4.424,4.424,4.424,0.0,4.424,0
2025-01-07,4.467,4.467,4.467,4.467,0.0,4.467,0
2025-01-08,4.512,4.512,4.512,4.512,0.0,4.512,0
2025-01-09,4.5485,4.5485,4.5485,4.5485,0.0,4.5485,0
2025-01-10,4.5285,4.5285,4.5285,4.5285,0.0,4.5285,0
2025-01-13,4.575,4.575,4.575,4.575,0.0,4.575,0
2025-01-14,4.6,4.6,4.6,4.6,0.0,4.6,0
2025-01-15,4.6365,4.6365,4.6365,4.6365,0.0,4.6365,0
2025-01-16,4.6925,4.6925,4.6925,4.6925,0.0,4.6925,0
2025-01-17,4.6255,4.6255,4.6255,4.6255,0.0,4.6255,0
2025-01-20,4.6255,4.6255,4.6255,4.6255,0.0,4.6255,0
2025-01-21,4.614,4.614,4.614,4.614,0.0,4.614,0
2025-01-22,4.586,4.586,4.586,4.586,0.0,4.586,0
2025-01-23,4.608,4.608,4.608,4.608,0.0,4.608,0
2025-01-24,4.6195,4.6195,4.6195,4.6195,0.0,4.6195,0
2025-01-27,4.5445,4.5445,4.5445,4.5445,0.0,4.5445,0
2025-01-28,4.548,4.548,4.548,4.548,0.0,4.548,0
2025-01-29,4.5805,4.5805,4.5805,4.5805,0.0,4.5805,0
2025-01-30,4.625,4.625,4.625,4.625,0.0,4.625,0
2025-01-31,4.5955,4.5955,4.5955,4.5955,0.0,4.5955,0
2025-02-03,4.6145,4.6145,4.6145,4.6145,0.0,4.6145,0
2025-02-04,4.66,4.66,4.66,4.66,0.0,4.66,0
2025-02-05,4.7425,4.7425,4.7425,4.7425,0.0,4.7425,0
2025-02-06,4.7705,4.7705,4.7705,4.7705,0.0,4.7705,0
2025-02-07,4.896,4.896,4.896,4.896,0.0,4.896,0
2025-02-10,5.0,5.0,5.0,5.0,0.0,5.0,0
2025-02-11,4.8995,4.8995,4.8995,4.8995,0.0,4.8995,0
2025-02-12,5.0095,5.0095,5.0095,5.0095,0.0,5.0095,0
2025-02-13,5.0855,5.0855,5.0855,5.0855,0.0,5.0855,0
2025-02-14,4.9755,4.9755,4.9755,4.9755,0.0,4.9755,0
2025-02-17,4.9755,4.9755,4.9755,4.9755,0.0,4.9755,0
2025-02-18,4.9235,4.9235,4.9235,4.9235,0.0,4.9235,0
2025-02-19,4.8925,4.8925,4.8925,4.8925,0.0,4.8925,0
2025-02-20,4.9405,4.9405,4.9405,4.9405,0.0,4.9405,0
2025-02-21,4.8985,4.8985,4.8985,4.8985,0.0,4.8985,0
