date,open,high,low,close,volume,average,barCount
2023-02-28,4.12,4.12,4.12,4.12,0.0,4.12,0
2023-03-01,4.177,4.177,4.177,4.177,0.0,4.177,0
2023-03-02,4.11,4.11,4.11,4.11,0.0,4.11,0
2023-03-03,4.103,4.103,4.103,4.103,0.0,4.103,0
2023-03-06,4.1285,4.1285,4.1285,4.1285,0.0,4.1285,0
2023-03-07,4.02,4.02,4.02,4.02,0.0,4.02,0
2023-03-08,4.0675,4.0675,4.0675,4.0675,0.0,4.0675,0
2023-03-09,4.075,4.075,4.075,4.075,0.0,4.075,0
2023-03-10,4.078,4.078,4.078,4.078,0.0,4.078,0
2023-03-13,4.101,4.101,4.101,4.101,0.0,4.101,0
2023-03-14,4.057,4.057,4.057,4.057,0.0,4.057,0
2023-03-15,3.91,3.91,3.91,3.91,0.0,3.91,0
2023-03-16,3.9235,3.9235,3.9235,3.9235,0.0,3.9235,0
2023-03-17,3.9445,3.9445,3.9445,3.9445,0.0,3.9445,0
2023-03-20,4.001,4.001,4.001,4.001,0.0,4.001,0
2023-03-21,4.036,4.036,4.036,4.036,0.0,4.036,0
2023-03-22,4.0695,4.0695,4.0695,4.0695,0.0,4.0695,0
2023-03-23,4.133,4.133,4.133,4.133,0.0,4.133,0
2023-03-24,4.1095,4.1095,4.1095,4.1095,0.0,4.1095,0
2023-03-27,4.122,4.122,4.122,4.122,0.0,4.122,0
2023-03-28,4.125,4.125,4.125,4.125,0.0,4.125,0
2023-03-29,4.115,4.115,4.115,4.115,0.0,4.115,0
2023-03-30,4.125,4.125,4.125,4.125,0.0,4.125,0
2023-03-31,4.1265,4.1265,4.1265,4.1265,0.0,4.1265,0
2023-04-03,4.0845,4.0845,4.0845,4.0845,0.0,4.0845,0
2023-04-04,4.0115,4.0115,4.0115,4.0115,0.0,4.0115,0
2023-04-05,4.0145,4.0145,4.0145,4.0145,0.0,4.0145,0
2023-04-06,4.044,4.044,4.044,4.044,0.0,4.044,0
2023-04-10,4.017,4.017,4.017,4.017,0.0,4.017,0
2023-04-11,4.0535,4.0535,4.0535,4.0535,0.0,4.0535,0
2023-04-12,4.097,4.097,4.097,4.097,0.0,4.097,0
2023-04-13,4.1305,4.1305,4.1305,4.1305,0.0,4.1305,0
2023-04-14,4.1205,4.1205,4.1205,4.1205,0.0,4.1205,0
2023-04-17,4.093,4.093,4.093,4.093,0.0,4.093,0
2023-04-18,4.1215,4.1215,4.1215,4.1215,0.0,4.1215,0
2023-04-19,4.1075,4.1075,4.1075,4.1075,0.0,4.1075,0
2023-04-20,4.0645,4.0645,4.0645,4.0645,0.0,4.0645,0
2023-04-21,4.028,4.028,4.028,4.028,0.0,4.028,0
2023-04-24,4.0115,4.0115,4.0115,4.0115,0.0,4.0115,0
2023-04-25,3.911,3.911,3.911,3.911,0.0,3.911,0
2023-04-26,3.9045,3.9045,3.9045,3.9045,0.0,3.9045,0
2023-04-27,3.924,3.924,3.924,3.924,0.0,3.924,0
2023-04-28,3.9405,3.9405,3.9405,3.9405,0.0,3.9405,0
2023-05-01,3.9865,3.9865,3.9865,3.9865,0.0,3.9865,0
2023-05-02,3.921,3.921,3.921,3.921,0.0,3.921,0
2023-05-03,3.906,3.906,3.906,3.906,0.0,3.906,0
2023-05-04,3.9325,3.9325,3.9325,3.9325,0.0,3.9325,0
2023-05-05,3.951,3.951,3.951,3.951,0.0,3.951,0
2023-05-08,4.0025,4.0025,4.0025,4.0025,0.0,4.0025,0
2023-05-09,3.9795,3.9795,3.9795,3.9795,0.0,3.9795,0
2023-05-10,3.9295,3.9295,3.9295,3.9295,0.0,3.9295,0
2023-05-11,3.7955,3.7955,3.7955,3.7955,0.0,3.7955,0
2023-05-12,3.8105,3.8105,3.8105,3.8105,0.0,3.8105,0
2023-05-15,3.836,3.836,3.836,3.836,0.0,3.836,0
2023-05-16,3.7615,3.7615,3.7615,3.7615,0.0,3.7615,0
2023-05-17,3.847,3.847,3.847,3.847,0.0,3.847,0
2023-05-18,3.7975,3.7975,3.7975,3.7975,0.0,3.7975,0
2023-05-19,3.834,3.834,3.834,3.834,0.0,3.834,0
2023-05-22,3.799,3.799,3.799,3.799,0.0,3.799,0
