date,open,high,low,close,volume,average,barCount
2026-06-30,6.768,6.768,6.768,6.768,0.0,6.768,0
2026-07-01,6.6995,6.6995,6.6995,6.6995,0.0,6.6995,0
2026-07-02,6.693,6.693,6.693,6.693,0.0,6.693,0
2026-07-06,6.774,6.774,6.774,6.774,0.0,6.774,0
2026-07-07,6.772,6.772,6.772,6.772,0.0,6.772,0
2026-07-08,6.659,6.659,6.659,6.659,0.0,6.659,0
2026-07-09,6.815,6.815,6.815,6.815,0.0,6.815,0
2026-07-10,6.841,6.841,6.841,6.841,0.0,6.841,0
2026-07-13,6.838,6.838,6.838,6.838,0.0,6.838,0
2026-07-14,6.931,6.931,6.931,6.931,0.0,6.931,0
2026-07-15,6.892,6.892,6.892,6.892,0.0,6.892,0
2026-07-16,6.891,6.891,6.891,6.891,0.0,6.891,0
2026-07-17,6.8145,6.8145,6.8145,6.8145,0.0,6.8145,0
2026-07-20,6.8915,6.8915,6.8915,6.8915,0.0,6.8915,0
2026-07-21,7.1195,7.1195,7.1195,7.1195,0.0,7.1195,0
2026-07-22,7.062,7.062,7.062,7.062,0.0,7.062,0
2026-07-23,6.909,6.909,6.909,6.909,0.0,6.909,0
2026-07-24,6.9245,6.9245,6.9245,6.9245,0.0,6.9245,0
2026-07-27,6.9475,6.9475,6.9475,6.9475,0.0,6.9475,0
2026-07-28,6.9325,6.9325,6.9325,6.9325,0.0,6.9325,0
2026-07-29,6.8905,6.8905,6.8905,6.8905,0.0,6.8905,0
2026-07-30,7.055,7.055,7.055,7.055,0.0,7.055,0
2026-07-31,7.046,7.046,7.046,7.046,0.0,7.046,0
2026-08-03,7.1185,7.1185,7.1185,7.1185,0.0,7.1185,0
2026-08-04,7.2195,7.2195,7.2195,7.2195,0.0,7.2195,0
2026-08-05,7.3045,7.3045,7.3045,7.3045,0.0,7.3045,0
2026-08-06,7.278,7.278,7.278,7.278,0.0,7.278,0
2026-08-07,7.1535,7.1535,7.1535,7.1535,0.0,7.1535,0
2026-08-10,7.1865,7.1865,7.1865,7.1865,0.0,7.1865,0
2026-08-11,7.21,7.21,7.21,7.21,0.0,7.21,0
2026-08-12,7.1915,7.1915,7.1915,7.1915,0.0,7.1915,0
2026-08-13,7.1895,7.1895,7.1895,7.1895,0.0,7.1895,0
2026-08-14,7.1985,7.1985,7.1985,7.1985,0.0,7.1985,0
