date,open,high,low,close,volume,average,barCount
2022-12-05,3.899,3.899,3.899,3.899,0.0,3.899,0
2022-12-06,3.924,3.924,3.924,3.924,0.0,3.924,0
2022-12-07,3.866,3.866,3.866,3.866,0.0,3.866,0
2022-12-08,3.876,3.876,3.876,3.876,0.0,3.876,0
2022-12-09,3.8895,3.8895,3.8895,3.8895,0.0,3.8895,0
2022-12-12,3.8235,3.8235,3.8235,3.8235,0.0,3.8235,0
2022-12-13,3.853,3.853,3.853,3.853,0.0,3.853,0
2022-12-14,3.889,3.889,3.889,3.889,0.0,3.889,0
2022-12-15,3.788,3.788,3.788,3.788,0.0,3.788,0
2022-12-16,3.787,3.787,3.787,3.787,0.0,3.787,0
2022-12-19,3.8025,3.8025,3.8025,3.8025,0.0,3.8025,0
2022-12-20,3.815,3.815,3.815,3.815,0.0,3.815,0
2022-12-21,3.818,3.818,3.818,3.818,0.0,3.818,0
2022-12-22,3.7725,3.7725,3.7725,3.7725,0.0,3.7725,0
2022-12-23,3.822,3.822,3.822,3.822,0.0,3.822,0
2022-12-27,3.8655,3.8655,3.8655,3.8655,0.0,3.8655,0
2022-12-28,3.8695,3.8695,3.8695,3.8695,0.0,3.8695,0
2022-12-29,3.8425,3.8425,3.8425,3.8425,0.0,3.8425,0
2022-12-30,3.8215,3.8215,3.8215,3.8215,0.0,3.8215,0
2023-01-03,3.7945,3.7945,3.7945,3.7945,0.0,3.7945,0
2023-01-04,3.772,3.772,3.772,3.772,0.0,3.772,0
2023-01-05,3.8405,3.8405,3.8405,3.8405,0.0,3.8405,0
2023-01-06,3.9205,3.9205,3.9205,3.9205,0.0,3.9205,0
2023-01-09,4.039,4.039,4.039,4.039,0.0,4.039,0
2023-01-10,4.088,4.088,4.088,4.088,0.0,4.088,0
2023-01-11,4.173,4.173,4.173,4.173,0.0,4.173,0
2023-01-12,4.2095,4.2095,4.2095,4.2095,0.0,4.2095,0
