date,open,high,low,close,volume,average,barCount
2023-06-30,3.8265,3.8265,3.8265,3.8265,0.0,3.8265,0
2023-07-03,3.858,3.858,3.858,3.858,0.0,3.858,0
2023-07-04,3.858,3.858,3.858,3.858,0.0,3.858,0
2023-07-05,3.843,3.843,3.843,3.843,0.0,3.843,0
2023-07-06,3.8325,3.8325,3.8325,3.8325,0.0,3.8325,0
2023-07-07,3.874,3.874,3.874,3.874,0.0,3.874,0
2023-07-10,3.8815,3.8815,3.8815,3.8815,0.0,3.8815,0
2023-07-11,3.8695,3.8695,3.8695,3.8695,0.0,3.8695,0
2023-07-12,3.945,3.945,3.945,3.945,0.0,3.945,0
2023-07-13,4.02,4.02,4.02,4.02,0.0,4.02,0
2023-07-14,4.017,4.017,4.017,4.017,0.0,4.017,0
2023-07-17,3.934,3.934,3.934,3.934,0.0,3.934,0
2023-07-18,3.923,3.923,3.923,3.923,0.0,3.923,0
2023-07-19,3.9025,3.9025,3.9025,3.9025,0.0,3.9025,0
2023-07-20,3.9305,3.9305,3.9305,3.9305,0.0,3.9305,0
2023-07-21,3.924,3.924,3.924,3.924,0.0,3.924,0
2023-07-24,3.9595,3.9595,3.9595,3.9595,0.0,3.9595,0
2023-07-25,4.012,4.012,4.012,4.012,0.0,4.012,0
2023-07-26,3.998,3.998,3.998,3.998,0.0,3.998,0
2023-07-27,3.9805,3.9805,3.9805,3.9805,0.0,3.9805,0
2023-07-28,4.0265,4.0265,4.0265,4.0265,0.0,4.0265,0
2023-07-31,4.095,4.095,4.095,4.095,0.0,4.095,0
2023-08-01,4.0115,4.0115,4.0115,4.0115,0.0,4.0115,0
2023-08-02,3.9585,3.9585,3.9585,3.9585,0.0,3.9585,0
2023-08-03,4.021,4.021,4.021,4.021,0.0,4.021,0
2023-08-04,3.992,3.992,3.992,3.992,0.0,3.992,0
2023-08-07,3.9695,3.9695,3.9695,3.9695,0.0,3.9695,0
2023-08-08,3.902,3.902,3.902,3.902,0.0,3.902,0
2023-08-09,3.9095,3.9095,3.9095,3.9095,0.0,3.9095,0
2023-08-10,3.901,3.901,3.901,3.901,0.0,3.901,0
2023-08-11,3.87,3.87,3.87,3.87,0.0,3.87,0
2023-08-14,3.8635,3.8635,3.8635,3.8635,0.0,3.8635,0
2023-08-15,3.8355,3.8355,3.8355,3.8355,0.0,3.8355,0
2023-08-16,3.8215,3.8215,3.8215,3.8215,0.0,3.8215,0
2023-08-17,3.849,3.849,3.849,3.849,0.0,3.849,0
2023-08-18,3.8485,3.8485,3.8485,3.8485,0.0,3.8485,0
2023-08-21,3.8655,3.8655,3.8655,3.8655,0.0,3.8655,0
2023-08-22,3.899,3.899,3.899,3.899,0.0,3.899,0
2023-08-23,3.943,3.943,3.943,3.943,0.0,3.943,0
2023-08-24,3.908,3.908,3.908,3.908,0.0,3.908,0
2023-08-25,3.8975,3.8975,3.8975,3.8975,0.0,3.8975,0
2023-08-28,3.909,3.909,3.909,3.909,0.0,3.909,0
2023-08-29,3.9575,3.9575,3.9575,3.9575,0.0,3.9575,0
2023-08-30,3.9625,3.9625,3.9625,3.9625,0.0,3.9625,0
2023-08-31,3.9435,3.9435,3.9435,3.9435,0.0,3.9435,0
