date,open,high,low,close,volume,average,barCount
2024-10-31,4.475,4.475,4.475,4.475,0.0,4.475,0
2024-11-01,4.509,4.509,4.509,4.509,0.0,4.509,0
2024-11-04,4.56,4.56,4.56,4.56,0.0,4.56,0
2024-11-05,4.598,4.598,4.598,4.598,0.0,4.598,0
2024-11-06,4.389,4.389,4.389,4.389,0.0,4.389,0
2024-11-07,4.5625,4.5625,4.5625,4.5625,0.0,4.5625,0
2024-11-08,4.45,4.45,4.45,4.45,0.0,4.45,0
2024-11-11,4.378,4.378,4.378,4.378,0.0,4.378,0
2024-11-12,4.2935,4.2935,4.2935,4.2935,0.0,4.2935,0
2024-11-13,4.237,4.237,4.237,4.237,0.0,4.237,0
2024-11-14,4.2365,4.2365,4.2365,4.2365,0.0,4.2365,0
2024-11-15,4.2045,4.2045,4.2045,4.2045,0.0,4.2045,0
2024-11-18,4.259,4.259,4.259,4.259,0.0,4.259,0
2024-11-19,4.2735,4.2735,4.2735,4.2735,0.0,4.2735,0
2024-11-20,4.278,4.278,4.278,4.278,0.0,4.278,0
2024-11-21,4.2565,4.2565,4.2565,4.2565,0.0,4.2565,0
2024-11-22,4.225,4.225,4.225,4.225,0.0,4.225,0
2024-11-25,4.2525,4.2525,4.2525,4.2525,0.0,4.2525,0
2024-11-26,4.2145,4.2145,4.2145,4.2145,0.0,4.2145,0
2024-11-27,4.2305,4.2305,4.2305,4.2305,0.0,4.2305,0
2024-11-28,4.2305,4.2305,4.2305,4.2305,0.0,4.2305,0
2024-11-29,4.233,4.233,4.233,4.233,0.0,4.233,0
2024-12-02,4.227,4.227,4.227,4.227,0.0,4.227,0
2024-12-03,4.2925,4.2925,4.2925,4.2925,0.0,4.2925,0
2024-12-04,4.296,4.296,4.296,4.296,0.0,4.296,0
2024-12-05,4.2865,4.2865,4.2865,4.2865,0.0,4.2865,0
2024-12-06,4.2865,4.2865,4.2865,4.2865,0.0,4.2865,0
2024-12-09,4.3635,4.3635,4.3635,4.3635,0.0,4.3635,0
2024-12-10,4.3575,4.3575,4.3575,4.3575,0.0,4.3575,0
2024-12-11,4.3425,4.3425,4.3425,4.3425,0.0,4.3425,0
2024-12-12,4.3245,4.3245,4.3245,4.3245,0.0,4.3245,0
2024-12-13,4.279,4.279,4.279,4.279,0.0,4.279,0
2024-12-16,4.275,4.275,4.275,4.275,0.0,4.275,0
2024-12-17,4.246,4.246,4.246,4.246,0.0,4.246,0
2024-12-18,4.2605,4.2605,4.2605,4.2605,0.0,4.2605,0
2024-12-19,4.185,4.185,4.185,4.185,0.0,4.185,0
2024-12-20,4.2045,4.2045,4.2045,4.2045,0.0,4.2045,0
2024-12-23,4.194,4.194,4.194,4.194,0.0,4.194,0
2024-12-24,4.2175,4.2175,4.2175,4.2175,0.0,4.2175,0
2024-12-26,4.2375,4.2375,4.2375,4.2375,0.0,4.2375,0
2024-12-27,4.234,4.234,4.234,4.234,0.0,4.234,0
2024-12-30,4.207,4.207,4.207,4.207,0.0,4.207,0
2024-12-31,4.144,4.144,4.144,4.144,0.0,4.144,0
2025-01-02,4.141,4.141,4.141,4.141,0.0,4.141,0
2025-01-03,4.1815,4.1815,4.1815,4.1815,0.0,4.1815,0
2025-01-06,4.2585,4.2585,4.2585,4.2585,0.0,4.2585,0
2025-01-07,4.2975,4.2975,4.2975,4.2975,0.0,4.2975,0
2025-01-08,4.35,4.35,4.35,4.35,0.0,4.35,0
2025-01-09,4.393,4.393,4.393,4.393,0.0,4.393,0
2025-01-10,4.3855,4.3855,4.3855,4.3855,0.0,4.3855,0
2025-01-13,4.4205,4.4205,4.4205,4.4205,0.0,4.4205,0
2025-01-14,4.4445,4.4445,4.4445,4.4445,0.0,4.4445,0
2025-01-15,4.481,4.481,4.481,4.481,0.0,4.481,0
2025-01-16,4.536,4.536,4.536,4.536,0.0,4.536,0
2025-01-17,4.47,4.47,4.47,4.47,0.0,4.47,0
2025-01-20,4.47,4.47,4.47,4.47,0.0,4.47,0
2025-01-21,4.4545,4.4545,4.4545,4.4545,0.0,4.4545,0
2025-01-22,4.424,4.424,4.424,4.424,0.0,4.424,0
2025-01-23,4.446,4.446,4.446,4.446,0.0,4.446,0
2025-01-24,4.454,4.454,4.454,4.454,0.0,4.454,0
2025-01-27,4.373,4.373,4.373,4.373,0.0,4.373,0
2025-01-28,4.3795,4.3795,4.3795,4.3795,0.0,4.3795,0
2025-01-29,4.4115,4.4115,4.4115,4.4115,0.0,4.4115,0
2025-01-30,4.45,4.45,4.45,4.45,0.0,4.45,0
2025-01-31,4.418,4.418,4.418,4.418,0.0,4.418,0
2025-02-03,4.4375,4.4375,4.4375,4.4375,0.0,4.4375,0
2025-02-04,4.4815,4.4815,4.4815,4.4815,0.0,4.4815,0
2025-02-05,4.5685,4.5685,4.5685,4.5685,0.0,4.5685,0
2025-02-06,4.5935,4.5935,4.5935,4.5935,0.0,4.5935,0
2025-02-07,4.721,4.721,4.721,4.721,0.0,4.721,0
2025-02-10,4.831,4.831,4.831,4.831,0.0,4.831,0
2025-02-11,4.727,4.727,4.727,4.727,0.0,4.727,0
2025-02-12,4.839,4.839,4.839,4.839,0.0,4.839,0
2025-02-13,4.921,4.921,4.921,4.921,0.0,4.921,0
2025-02-14,4.811,4.811,4.811,4.811,0.0,4.811,0
2025-02-17,4.811,4.811,4.811,4.811,0.0,4.811,0
2025-02-18,4.754,4.754,4.754,4.754,0.0,4.754,0
2025-02-19,4.7245,4.7245,4.7245,4.7245,0.0,4.7245,0
2025-02-20,4.774,4.774,4.774,4.774,0.0,4.774,0
2025-02-21,4.73,4.73,4.73,4.73,0.0,4.73,0
2025-02-24,4.6775,4.6775,4.6775,4.6775,0.0,4.6775,0
2025-02-25,4.643,4.643,4.643,4.643,0.0,4.643,0
2025-02-26,4.7025,4.7025,4.7025,4.7025,0.0,4.7025,0
2025-02-27,4.7305,4.7305,4.7305,4.7305,0.0,4.7305,0
2025-02-28,4.6655,4.6655,4.6655,4.6655,0.0,4.6655,0
2025-03-03,4.731,4.731,4.731,4.731,0.0,4.731,0
2025-03-04,4.6825,4.6825,4.6825,4.6825,0.0,4.6825,0
2025-03-05,4.915,4.915,4.915,4.915,0.0,4.915,0
2025-03-06,4.924,4.924,4.924,4.924,0.0,4.924,0
2025-03-07,4.895,4.895,4.838,4.838,1.0,4.895,1
2025-03-10,4.796,4.796,4.796,4.796,0.0,4.796,0
2025-03-11,4.894,4.894,4.894,4.894,0.0,4.894,0
2025-03-12,4.9325,4.978,4.9325,4.978,1.0,4.9325,1
2025-03-13,4.951,5.0535,4.951,5.0535,1.0,4.951,1
2025-03-14,5.05,5.05,5.027,5.027,1.0,5.05,1
2025-03-17,5.093,5.093,5.093,5.093,0.0,5.093,0
2025-03-18,5.1515,5.1515,5.1515,5.1515,0.0,5.1515,0
2025-03-19,5.231,5.231,5.231,5.231,0.0,5.231,0
2025-03-20,5.243,5.243,5.243,5.243,0.0,5.243,0
2025-03-21,5.2435,5.2435,5.2435,5.2435,0.0,5.2435,0
2025-03-24,5.2215,5.2215,5.2215,5.2215,0.0,5.2215,0
2025-03-25,5.338,5.338,5.338,5.338,0.0,5.338,0
2025-03-26,5.321,5.3425,5.321,5.3425,1.0,5.321,1
2025-03-27,5.219,5.219,5.219,5.219,0.0,5.219,0
2025-03-28,5.2335,5.2335,5.2335,5.2335,0.0,5.2335,0
2025-03-31,5.146,5.146,5.146,5.146,0.0,5.146,0
2025-04-01,5.153,5.153,5.153,5.153,0.0,5.153,0
2025-04-02,5.1565,5.1565,5.1565,5.1565,0.0,5.1565,0
2025-04-03,4.9475,4.9475,4.9475,4.9475,0.0,4.9475,0
2025-04-04,4.79,4.79,4.521,4.521,2.0,4.765,2
2025-04-07,4.318,4.318,4.318,4.318,0.0,4.318,0
2025-04-08,4.2785,4.2785,4.2785,4.2785,0.0,4.2785,0
2025-04-09,4.3275,4.3275,4.3275,4.3275,0.0,4.3275,0
2025-04-10,4.4695,4.4695,4.4695,4.4695,0.0,4.4695,0
2025-04-11,4.6565,4.6565,4.6565,4.6565,0.0,4.6565,0
2025-04-14,4.767,4.767,4.767,4.767,0.0,4.767,0
