date,open,high,low,close,volume,average,barCount
2022-12-05,3.869,3.869,3.869,3.869,0.0,3.869,0
2022-12-06,3.894,3.894,3.894,3.894,0.0,3.894,0
2022-12-07,3.836,3.836,3.836,3.836,0.0,3.836,0
2022-12-08,3.846,3.846,3.846,3.846,0.0,3.846,0
2022-12-09,3.8595,3.8595,3.8595,3.8595,0.0,3.8595,0
2022-12-12,3.7935,3.7935,3.7935,3.7935,0.0,3.7935,0
2022-12-13,3.823,3.823,3.823,3.823,0.0,3.823,0
2022-12-14,3.859,3.859,3.859,3.859,0.0,3.859,0
2022-12-15,3.758,3.758,3.758,3.758,0.0,3.758,0
2022-12-16,3.757,3.757,3.757,3.757,0.0,3.757,0
2022-12-19,3.7725,3.7725,3.7725,3.7725,0.0,3.7725,0
2022-12-20,3.785,3.785,3.785,3.785,0.0,3.785,0
2022-12-21,3.788,3.788,3.788,3.788,0.0,3.788,0
2022-12-22,3.7425,3.7425,3.7425,3.7425,0.0,3.7425,0
2022-12-23,3.792,3.792,3.792,3.792,0.0,3.792,0
2022-12-27,3.8355,3.8355,3.8355,3.8355,0.0,3.8355,0
2022-12-28,3.8395,3.8395,3.8395,3.8395,0.0,3.8395,0
2022-12-29,3.8125,3.8125,3.8125,3.8125,0.0,3.8125,0
2022-12-30,3.7915,3.7915,3.7915,3.7915,0.0,3.7915,0
2023-01-03,3.7645,3.7645,3.7645,3.7645,0.0,3.7645,0
2023-01-04,3.742,3.742,3.742,3.742,0.0,3.742,0
2023-01-05,3.8105,3.8105,3.8105,3.8105,0.0,3.8105,0
2023-01-06,3.8905,3.8905,3.8905,3.8905,0.0,3.8905,0
2023-01-09,4.009,4.009,4.009,4.009,0.0,4.009,0
2023-01-10,4.058,4.058,4.058,4.058,0.0,4.058,0
2023-01-11,4.143,4.143,4.143,4.143,0.0,4.143,0
2023-01-12,4.1795,4.1795,4.1795,4.1795,0.0,4.1795,0
2023-01-13,4.199,4.199,4.199,4.199,0.0,4.199,0
2023-01-16,4.199,4.199,4.199,4.199,0.0,4.199,0
2023-01-17,4.2035,4.2035,4.2035,4.2035,0.0,4.2035,0
2023-01-18,4.211,4.211,4.211,4.211,0.0,4.211,0
2023-01-19,4.2065,4.2065,4.2065,4.2065,0.0,4.2065,0
2023-01-20,4.225,4.225,4.225,4.225,0.0,4.225,0
2023-01-23,4.2475,4.2475,4.2475,4.2475,0.0,4.2475,0
2023-01-24,4.2365,4.2365,4.2365,4.2365,0.0,4.2365,0
2023-01-25,4.2375,4.2375,4.2375,4.2375,0.0,4.2375,0
2023-01-26,4.2495,4.2495,4.2495,4.2495,0.0,4.2495,0
2023-01-27,4.207,4.207,4.207,4.207,0.0,4.207,0
2023-01-30,4.193,4.193,4.193,4.193,0.0,4.193,0
2023-01-31,4.213,4.213,4.213,4.213,0.0,4.213,0
2023-02-01,4.109,4.109,4.109,4.109,0.0,4.109,0
2023-02-02,4.0995,4.0995,4.0995,4.0995,0.0,4.0995,0
2023-02-03,4.069,4.069,4.069,4.069,0.0,4.069,0
2023-02-10,4.0075,4.0075,4.0075,4.0075,0.0,4.0075,0
2023-02-13,4.052,4.052,4.052,4.052,0.0,4.052,0
2023-02-14,4.0675,4.0675,4.0675,4.0675,0.0,4.0675,0
