date,open,high,low,close,volume,average,barCount
2024-12-23,44352.0,44352.0,44352.0,44352.0,0.0,44352.0,0
2024-12-24,44715.0,44715.0,44715.0,44715.0,0.0,44715.0,0
2024-12-26,44777.0,44777.0,44777.0,44777.0,0.0,44777.0,0
2024-12-27,44428.0,44428.0,44428.0,44428.0,0.0,44428.0,0
2024-12-30,43982.0,43982.0,43982.0,43982.0,0.0,43982.0,0
2024-12-31,43959.0,43959.0,43959.0,43959.0,0.0,43959.0,0
2025-01-02,43757.0,43757.0,43757.0,43757.0,0.0,43757.0,0
2025-01-03,44134.0,44134.0,44134.0,44134.0,0.0,44134.0,0
2025-01-06,44060.0,44060.0,44060.0,44060.0,0.0,44060.0,0
2025-01-07,44000.0,44000.0,43893.0,43893.0,1.0,44000.0,1
2025-01-08,44003.0,44003.0,44003.0,44003.0,0.0,44003.0,0
2025-01-09,44003.0,44003.0,44003.0,44003.0,0.0,44003.0,0
2025-01-10,43266.0,43266.0,43266.0,43266.0,0.0,43266.0,0
2025-01-13,43635.0,43635.0,43635.0,43635.0,0.0,43635.0,0
2025-01-14,43866.0,43866.0,43866.0,43866.0,0.0,43866.0,0
2025-01-15,44583.0,44583.0,44583.0,44583.0,0.0,44583.0,0
2025-01-16,44444.0,44503.0,44444.0,44503.0,1.0,44444.0,1
2025-01-17,44555.0,44853.0,44555.0,44853.0,2.0,44610.5,2
2025-01-20,44888.0,44888.0,44853.0,44853.0,1.0,44888.0,1
2025-01-21,45383.0,45383.0,45383.0,45383.0,0.0,45383.0,0
2025-01-22,45383.0,45523.0,45354.0,45523.0,8.0,45368.5,8
2025-01-23,45922.0,45922.0,45922.0,45922.0,0.0,45922.0,0
2025-01-24,45783.0,45783.0,45783.0,45783.0,0.0,45783.0,0
2025-01-27,46072.0,46072.0,46072.0,46072.0,0.0,46072.0,0
2025-01-28,46064.0,46209.0,46064.0,46209.0,1.0,46064.0,1
2025-01-29,46055.0,46055.0,46055.0,46055.0,0.0,46055.0,0
2025-01-30,45873.0,46231.0,45873.0,46231.0,1.0,45873.0,1
2025-01-31,45881.0,45881.0,45881.0,45881.0,0.0,45881.0,0
2025-02-03,45747.0,45747.0,45747.0,45747.0,0.0,45747.0,0
2025-02-04,45883.0,45883.0,45883.0,45883.0,0.0,45883.0,0
2025-02-05,46191.0,46191.0,46191.0,46191.0,0.0,46191.0,0
2025-02-06,46048.0,46048.0,46048.0,46048.0,0.0,46048.0,0
2025-02-07,45601.0,45601.0,45601.0,45601.0,0.0,45601.0,0
2025-02-10,45759.0,45759.0,45759.0,45759.0,0.0,45759.0,0
2025-02-11,45896.0,45896.0,45896.0,45896.0,0.0,45896.0,0
2025-02-12,45640.0,45640.0,45640.0,45640.0,0.0,45640.0,0
2025-02-13,46002.0,46002.0,46002.0,46002.0,0.0,46002.0,0
2025-02-14,45821.0,45821.0,45821.0,45821.0,0.0,45821.0,0
2025-02-17,45821.0,45821.0,45821.0,45821.0,0.0,45821.0,0
2025-02-18,45600.0,45805.0,45600.0,45805.0,1.0,45600.0,1
2025-02-19,45885.0,45885.0,45885.0,45885.0,0.0,45885.0,0
2025-02-20,45406.0,45406.0,45406.0,45406.0,0.0,45406.0,0
2025-02-21,44615.0,44615.0,44615.0,44615.0,0.0,44615.0,0
2025-02-24,44663.0,44663.0,44663.0,44663.0,0.0,44663.0,0
2025-02-25,44818.0,44818.0,44818.0,44818.0,0.0,44818.0,0
2025-02-26,44621.0,44621.0,44621.0,44621.0,0.0,44621.0,0
2025-02-27,44420.0,44420.0,44420.0,44420.0,0.0,44420.0,0
2025-02-28,45041.0,45041.0,45041.0,45041.0,0.0,45041.0,0
2025-03-03,44329.0,44329.0,44329.0,44329.0,0.0,44329.0,0
2025-03-04,43668.0,43668.0,43668.0,43668.0,0.0,43668.0,0
2025-03-05,44193.0,44193.0,44193.0,44193.0,0.0,44193.0,0
2025-03-06,43709.0,43709.0,43709.0,43709.0,0.0,43709.0,0
2025-03-07,43961.0,43961.0,43961.0,43961.0,0.0,43961.0,0
2025-03-10,42947.0,42947.0,42947.0,42947.0,0.0,42947.0,0
2025-03-11,42445.0,42445.0,42445.0,42445.0,0.0,42445.0,0
2025-03-12,42370.0,42370.0,42370.0,42370.0,0.0,42370.0,0
2025-03-13,41834.0,41834.0,41834.0,41834.0,0.0,41834.0,0
2025-03-14,42452.0,42452.0,42452.0,42452.0,0.0,42452.0,0
2025-03-17,42837.0,42837.0,42837.0,42837.0,0.0,42837.0,0
2025-03-18,42539.0,42539.0,42539.0,42539.0,0.0,42539.0,0
2025-03-19,42675.0,43000.0,42675.0,42952.0,8.0,42773.4,8
2025-03-20,42923.0,42923.0,42923.0,42923.0,0.0,42923.0,0
2025-03-21,42916.0,42916.0,42916.0,42916.0,0.0,42916.0,0
2025-03-24,43499.0,43499.0,43499.0,43499.0,0.0,43499.0,0
2025-03-25,43560.0,43560.0,43439.0,43514.0,2.0,43499.5,2
2025-03-26,43423.0,43423.0,43362.0,43362.0,1.0,43423.0,1
2025-03-27,43275.0,43275.0,43140.0,43226.0,4.0,43222.0,4
2025-03-28,42468.0,42468.0,42468.0,42468.0,0.0,42468.0,0
2025-03-31,42650.0,42875.0,42650.0,42875.0,1.0,42650.0,1
2025-04-01,42422.0,42856.0,42417.0,42856.0,2.0,42419.5,2
2025-04-02,42700.0,43220.0,42476.0,43106.0,7.0,42811.0,7
2025-04-03,42135.0,42311.0,41195.0,41382.0,44.0,41576.9,32
2025-04-04,41175.0,41194.0,38897.0,39029.0,101.0,39768.0,77
2025-04-07,37250.0,39000.0,37250.0,38654.0,54.0,38201.7,42
2025-04-08,39000.0,39898.0,37803.0,38361.0,42.0,38792.2,32
2025-04-09,37961.0,41378.0,37659.0,41378.0,46.0,39067.5,35
2025-04-10,41579.0,41625.0,39650.0,40336.0,32.0,40665.8,21
2025-04-11,40121.0,40938.0,40050.0,40938.0,11.0,40249.8,10
2025-04-14,41076.0,41434.0,41000.0,41285.0,7.0,41288.0,5
2025-04-15,41401.0,41470.0,41134.0,41134.0,2.0,41435.5,2
2025-04-16,40815.0,41025.0,40295.0,40412.0,9.0,40647.0,8
2025-04-17,40678.0,40678.0,39761.0,39871.0,8.0,39916.9,8
2025-04-21,39563.0,39563.0,38477.0,38813.0,35.0,38948.7,29
2025-04-22,39540.0,39871.0,39530.0,39871.0,11.0,39647.8,6
2025-04-23,39900.0,40733.0,39900.0,40314.0,10.0,40404.4,8
2025-04-24,40849.0,40849.0,40801.0,40801.0,2.0,40849.0,1
2025-04-25,40797.0,40797.0,40792.0,40797.0,2.0,40794.5,2
2025-04-28,40907.0,40907.0,40907.0,40907.0,0.0,40907.0,0
2025-04-29,41201.0,41201.0,41201.0,41201.0,0.0,41201.0,0
2025-04-30,41146.0,41309.0,40739.0,41309.0,2.0,40942.5,2
2025-05-01,41500.0,41613.0,41394.0,41394.0,3.0,41572.3,3
2025-05-02,41810.0,42037.0,41810.0,41992.0,11.0,42004.1,8
2025-05-05,41639.0,41971.0,41639.0,41886.0,9.0,41787.9,3
2025-05-06,41674.0,41674.0,41483.0,41483.0,10.0,41539.0,3
2025-05-07,41695.0,41865.0,41695.0,41779.0,3.0,41786.7,3
2025-05-08,41729.0,42413.0,41729.0,42040.0,7.0,42154.6,5
2025-05-09,42022.0,42022.0,41895.0,41895.0,1.0,42022.0,1
2025-05-12,42300.0,43109.0,42300.0,43109.0,7.0,42785.1,7
2025-05-13,42792.0,42975.0,42792.0,42854.0,6.0,42908.0,5
2025-05-14,42864.0,42909.0,42747.0,42747.0,6.0,42879.0,4
2025-05-15,42651.0,43072.0,42651.0,43015.0,7.0,42897.4,6
2025-05-16,42975.0,43369.0,42931.0,43366.0,13.0,43181.1,11
2025-05-19,43200.0,43572.0,43020.0,43552.0,22.0,43339.4,19
2025-05-20,43508.0,43508.0,43305.0,43441.0,9.0,43458.0,6
2025-05-21,43293.0,43293.0,42489.0,42616.0,9.0,42881.8,9
2025-05-22,42545.0,42594.0,42400.0,42594.0,2.0,42472.5,2
2025-05-23,42599.0,42599.0,42000.0,42343.0,9.0,42366.9,6
2025-05-27,42750.0,43079.0,42680.0,43079.0,9.0,42750.8,9
2025-05-28,43081.0,43129.0,42839.0,42839.0,6.0,42951.2,5
2025-05-29,42839.0,43401.0,42700.0,42936.0,9.0,43104.8,8
2025-05-30,42807.0,43014.0,42700.0,42963.0,14.0,42868.4,13
2025-06-02,42700.0,43042.0,42700.0,43042.0,4.0,42796.3,3
2025-06-03,43110.0,43265.0,43110.0,43265.0,1.0,43110.0,1
2025-06-04,43265.0,43295.0,43165.0,43165.0,8.0,43261.9,7
2025-06-05,43104.0,43330.0,42986.0,43026.0,25.0,43156.6,20
2025-06-06,43125.0,43565.0,43125.0,43466.0,34.0,43363.3,27
2025-06-09,43420.0,43518.0,43215.0,43453.0,33.0,43353.8,18
2025-06-10,43570.0,43606.0,43269.0,43567.0,25.0,43490.7,17
2025-06-11,43440.0,43749.0,43380.0,43562.0,22.0,43570.8,18
2025-06-12,43475.0,43641.0,43210.0,43641.0,25.0,43396.3,18
2025-06-13,43077.0,43249.0,42740.0,42832.0,62.0,43026.0,49
2025-06-16,42850.0,43340.0,42850.0,43164.0,43.0,43131.8,34
2025-06-17,43080.0,43143.0,42780.0,42856.0,44.0,43017.8,36
2025-06-18,42791.0,43134.0,42715.0,42812.0,52.0,42922.2,43
2025-06-20,42739.0,43024.0,42402.0,42805.0,170.0,42767.3,143
2025-06-23,42737.0,43219.0,42535.0,43188.0,173.0,42898.7,142
2025-06-24,43179.0,43801.0,43179.0,43726.0,385.0,43500.0,207
2025-06-25,43693.0,43766.0,43477.0,43611.0,115.0,43616.5,94
2025-06-26,43614.0,44056.0,43587.0,44027.0,246.0,43872.9,148
2025-06-27,44080.0,44580.0,44059.0,44435.0,267.0,44318.2,181
2025-06-30,44626.0,44738.0,44523.0,44703.0,107.0,44629.1,94
2025-07-01,44730.0,45210.0,44593.0,45123.0,345.0,45011.9,214
2025-07-02,45130.0,45266.0,44974.0,45091.0,172.0,45096.1,121
2025-07-03,45111.0,45499.0,45100.0,45426.0,165.0,45342.1,116
2025-07-07,45358.0,45428.0,44789.0,45003.0,285.0,45116.5,206
2025-07-08,44832.0,45015.0,44800.0,44841.0,183.0,44939.4,129
2025-07-09,44846.0,45140.0,44768.0,45047.0,175.0,44949.4,145
2025-07-10,45055.0,45369.0,44886.0,45237.0,199.0,45158.5,160
2025-07-11,45240.0,45240.0,44841.0,44927.0,170.0,44952.0,120
2025-07-14,44777.0,45028.0,44650.0,45020.0,193.0,44837.1,151
2025-07-15,44965.0,45144.0,44514.0,44578.0,256.0,44789.3,190
2025-07-16,44537.0,44798.0,44305.0,44790.0,316.0,44622.1,219
2025-07-17,44732.0,45100.0,44690.0,45051.0,252.0,44910.4,172
2025-07-18,45068.0,45171.0,44755.0,44867.0,330.0,44923.2,189
2025-07-21,44845.0,45136.0,44845.0,44881.0,204.0,45007.3,156
2025-07-22,44921.0,45074.0,44767.0,45045.0,269.0,44893.7,195
2025-07-23,45076.0,45552.0,45076.0,45552.0,363.0,45302.5,241
2025-07-24,45420.0,45467.0,45201.0,45238.0,245.0,45350.8,177
2025-07-25,45295.0,45450.0,45173.0,45420.0,146.0,45309.3,101
2025-07-28,45594.0,45650.0,45274.0,45350.0,200.0,45481.7,159
2025-07-29,45358.0,45444.0,45073.0,45147.0,306.0,45225.6,187
2025-07-30,45129.0,45226.0,44765.0,44968.0,287.0,45050.3,198
2025-07-31,45000.0,45169.0,44552.0,44638.0,509.0,44924.6,284
2025-08-01,44616.0,44631.0,43787.0,44018.0,662.0,44114.0,456
2025-08-04,44000.0,44699.0,44000.0,44616.0,340.0,44380.3,256
2025-08-05,44676.0,44730.0,44358.0,44554.0,287.0,44589.9,186
2025-08-06,44556.0,44798.0,44446.0,44633.0,279.0,44634.3,205
2025-08-07,44655.0,44913.0,44222.0,44400.0,455.0,44567.4,304
2025-08-08,44428.0,44700.0,44428.0,44596.0,207.0,44558.1,161
2025-08-11,44661.0,44725.0,44348.0,44403.0,257.0,44556.5,178
2025-08-12,44391.0,44912.0,44365.0,44877.0,406.0,44703.2,284
2025-08-13,44870.0,45383.0,44825.0,45348.0,483.0,45172.5,308
2025-08-14,45321.0,45460.0,45098.0,45321.0,317.0,45245.4,245
2025-08-15,45463.0,45685.0,45316.0,45365.0,416.0,45490.4,307
2025-08-18,45392.0,45430.0,45230.0,45310.0,187.0,45335.6,159
2025-08-19,45328.0,45608.0,45190.0,45325.0,443.0,45390.0,307
2025-08-20,45335.0,45440.0,45151.0,45318.0,609.0,45277.1,368
2025-08-21,45327.0,45334.0,44977.0,45178.0,527.0,45169.5,364
2025-08-22,45227.0,46169.0,45115.0,46047.0,1305.0,45812.2,723
2025-08-25,46048.0,46069.0,45676.0,45687.0,602.0,45865.4,384
2025-08-26,45740.0,45871.0,45520.0,45825.0,427.0,45678.6,296
2025-08-27,45864.0,46023.0,45783.0,45980.0,518.0,45904.6,331
2025-08-28,45992.0,46132.0,45838.0,46043.0,546.0,45971.2,381
2025-08-29,45978.0,46021.0,45765.0,45936.0,590.0,45897.8,419
2025-09-02,45971.0,46080.0,45340.0,45683.0,1590.0,45666.8,983
2025-09-03,45661.0,45710.0,45380.0,45639.0,1069.0,45561.0,713
2025-09-04,45600.0,46051.0,45557.0,46024.0,1453.0,45838.0,1003
2025-09-05,46002.0,46157.0,45586.0,45786.0,2566.0,45857.2,1916
2025-09-08,45823.0,45919.0,45655.0,45904.0,1804.0,45794.8,1325
2025-09-09,45933.0,46137.0,45799.0,46089.0,2665.0,45973.0,1969
2025-09-10,46025.0,46288.0,45746.0,45871.0,3566.0,45929.3,2483
2025-09-11,45877.0,46505.0,45850.0,46471.0,4299.0,46273.3,2974
2025-09-12,46488.0,46490.0,46165.0,46189.0,5634.0,46307.5,4004
2025-09-15,46175.0,46349.0,46134.0,46262.0,50258.0,46239.9,30400
2025-09-16,46220.0,46331.0,46019.0,46119.0,61507.0,46153.3,34983
2025-09-17,46163.0,46636.0,46037.0,46365.0,121951.0,46338.8,77592
2025-09-18,46391.0,46721.0,46298.0,46516.0,101630.0,46504.6,60579
2025-09-19,46557.0,46739.0,46397.0,46651.0,80484.0,46567.3,46780
2025-09-22,46607.0,46785.0,46362.0,46724.0,75535.0,46600.9,42698
2025-09-23,46706.0,47056.0,46546.0,46637.0,100363.0,46784.1,56046
2025-09-24,46635.0,46788.0,46414.0,46441.0,79700.0,46596.3,45911
2025-09-25,46489.0,46538.0,46098.0,46268.0,110765.0,46322.3,64597
2025-09-26,46276.0,46666.0,46233.0,46556.0,99693.0,46476.5,58084
2025-09-29,46558.0,46786.0,46442.0,46612.0,80860.0,46565.0,45194
2025-09-30,46587.0,46718.0,46386.0,46689.0,97588.0,46548.6,55837
2025-10-01,46597.0,46816.0,46336.0,46725.0,95063.0,46634.9,55042
2025-10-02,46702.0,46867.0,46542.0,46806.0,88238.0,46719.8,51060
2025-10-03,46796.0,47324.0,46759.0,47031.0,106478.0,47088.2,60109
2025-10-06,47034.0,47162.0,46694.0,46958.0,101289.0,46959.6,56444
2025-10-07,46965.0,47135.0,46701.0,46852.0,107668.0,46891.5,61278
2025-10-08,46877.0,47081.0,46752.0,46867.0,91581.0,46913.7,50698
2025-10-09,46879.0,46937.0,46507.0,46593.0,97045.0,46720.9,55618
2025-10-10,46623.0,46883.0,45369.0,45706.0,229550.0,46239.8,138541
2025-10-13,45774.0,46386.0,45757.0,46298.0,138148.0,46173.0,85039
2025-10-14,46291.0,46743.0,45662.0,46500.0,192925.0,46226.3,117945
2025-10-15,46486.0,46916.0,46236.0,46492.0,155807.0,46614.1,94585
2025-10-16,46515.0,46704.0,45983.0,46160.0,214447.0,46355.8,132743
2025-10-17,46144.0,46519.0,45609.0,46381.0,192792.0,46167.8,121810
2025-10-20,46459.0,46961.0,46316.0,46913.0,88719.0,46686.7,53471
2025-10-21,46939.0,47336.0,46812.0,47135.0,97199.0,47084.3,58364
2025-10-22,47116.0,47203.0,46645.0,46782.0,152968.0,46913.6,96367
2025-10-23,46725.0,46992.0,46598.0,46922.0,98890.0,46813.2,60117
2025-10-24,46898.0,47508.0,46876.0,47396.0,85356.0,47289.4,51523
2025-10-27,47670.0,47773.0,47547.0,47712.0,74674.0,47639.6,42810
2025-10-28,47748.0,48118.0,47684.0,47895.0,92730.0,47939.7,54060
2025-10-29,47910.0,48213.0,47612.0,47797.0,125550.0,47938.9,77872
2025-10-30,47691.0,48180.0,47548.0,47677.0,153576.0,47860.3,91149
2025-10-31,47792.0,47861.0,47488.0,47722.0,108411.0,47691.9,67287
2025-11-03,47744.0,47869.0,47264.0,47473.0,89201.0,47554.6,54705
2025-11-04,47465.0,47473.0,46976.0,47214.0,117848.0,47219.8,75023
2025-11-05,47298.0,47582.0,47071.0,47436.0,101836.0,47309.9,64880
2025-11-06,47466.0,47496.0,46894.0,47028.0,125775.0,47158.8,79099
2025-11-07,47089.0,47174.0,46582.0,47085.0,144742.0,46876.7,90448
2025-11-10,47206.0,47511.0,47030.0,47462.0,99053.0,47265.0,58414
2025-11-11,47460.0,48082.0,47412.0,48030.0,96864.0,47717.0,57976
2025-11-12,48032.0,48528.0,48017.0,48368.0,105261.0,48350.0,62358
2025-11-13,48380.0,48503.0,47500.0,47547.0,157680.0,47988.5,98776
2025-11-14,47623.0,47645.0,46930.0,47229.0,178500.0,47237.8,110375
2025-11-17,47266.0,47367.0,46503.0,46665.0,143869.0,47006.1,86775
2025-11-18,46709.0,46757.0,45988.0,46184.0,209720.0,46270.8,132706
2025-11-19,46158.0,46376.0,45972.0,46208.0,150990.0,46158.8,97640
2025-11-20,46227.0,46937.0,45788.0,45825.0,246554.0,46283.5,156999
2025-11-21,45835.0,46655.0,45773.0,46321.0,218203.0,46166.7,141743
2025-11-24,46477.0,46655.0,46164.0,46514.0,119703.0,46461.8,75656
2025-11-25,46531.0,47250.0,46401.0,47179.0,132473.0,46790.6,80218
2025-11-26,47190.0,47631.0,47172.0,47490.0,112435.0,47442.7,66146
2025-11-28,47508.0,47796.0,47441.0,47743.0,38260.0,47625.0,23583
2025-12-01,47739.0,47781.0,47319.0,47352.0,104028.0,47515.1,64726
2025-12-02,47344.0,47669.0,47267.0,47544.0,113418.0,47482.7,68911
2025-12-03,47556.0,48082.0,47426.0,47954.0,117959.0,47727.2,72061
2025-12-04,47999.0,48132.0,47758.0,47916.0,102120.0,47936.8,62241
2025-12-05,47894.0,48184.0,47818.0,48001.0,92346.0,48015.7,57008
2025-12-08,48006.0,48063.0,47662.0,47793.0,71670.0,47850.7,44948
2025-12-09,47790.0,48004.0,47573.0,47613.0,90557.0,47811.7,53328
2025-12-10,47580.0,48246.0,47504.0,48107.0,141144.0,47852.0,83677
2025-12-11,48151.0,48825.0,47861.0,48746.0,135131.0,48445.0,79086
2025-12-12,48780.0,48914.0,48355.0,48474.0,132397.0,48647.5,80760
2025-12-15,48520.0,48747.0,48305.0,48461.0,36953.0,48494.4,24807
2025-12-16,48460.0,48547.0,47966.0,48131.0,25102.0,48246.4,17832
2025-12-17,48070.0,48403.0,47876.0,47908.0,16688.0,48110.1,11886
2025-12-18,47938.0,48390.0,47818.0,47988.0,14120.0,48107.9,10345
2025-12-19,47918.0,48090.0,47802.0,48090.0,858.0,47940.6,504
