date,open,high,low,close,volume,average,barCount
2025-02-25,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-02-26,478.0,478.0,478.0,478.0,0.0,478.0,0
2025-02-27,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-02-28,467.0,467.0,467.0,467.0,0.0,467.0,0
2025-03-03,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-03-04,459.5,459.5,459.5,459.5,0.0,459.5,0
2025-03-05,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-03-06,456.0,463.0,456.0,463.0,5.0,456.0,1
2025-03-07,466.0,466.0,466.0,466.0,0.0,466.0,0
2025-03-10,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-03-11,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-03-12,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-03-13,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-03-14,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-03-17,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-03-18,467.0,467.0,467.0,467.0,0.0,467.0,0
2025-03-19,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-03-20,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-03-21,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-03-24,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-03-25,462.0,462.0,462.0,462.0,0.0,462.0,0
2025-03-26,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-03-27,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-03-28,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-03-31,455.0,455.0,455.0,455.0,0.0,455.0,0
2025-04-01,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-04-02,462.5,462.5,462.5,462.5,0.0,462.5,0
2025-04-03,461.5,461.5,461.5,461.5,0.0,461.5,0
2025-04-04,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-04-07,459.5,459.5,459.5,459.5,0.0,459.5,0
2025-04-08,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-04-09,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-04-10,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-04-11,475.5,475.5,475.5,475.5,0.0,475.5,0
