date,open,high,low,close,volume,average,barCount
2025-11-24,480.0,480.0,480.0,480.0,0.0,480.0,0
2025-11-25,482.0,482.0,482.0,482.0,0.0,482.0,0
2025-11-26,485.5,485.5,485.5,485.5,0.0,485.5,0
2025-11-28,488.0,488.0,488.0,488.0,0.0,488.0,0
2025-12-01,487.5,487.5,487.5,487.5,0.0,487.5,0
2025-12-02,489.0,489.0,489.0,489.0,0.0,489.0,0
2025-12-03,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-12-04,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-12-05,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-12-08,483.5,483.5,483.5,483.5,0.0,483.5,0
2025-12-09,485.0,485.0,485.0,485.0,0.0,485.0,0
2025-12-10,483.5,483.5,483.5,483.5,0.0,483.5,0
2025-12-11,485.0,485.0,485.0,485.0,0.0,485.0,0
2025-12-12,482.0,482.0,482.0,482.0,0.0,482.0,0
2025-12-15,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-12-16,479.5,479.5,479.5,479.5,0.0,479.5,0
2025-12-17,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-12-18,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-12-19,482.0,482.0,482.0,482.0,0.0,482.0,0
2025-12-22,484.5,484.5,484.5,484.5,0.0,484.5,0
2025-12-23,485.0,485.0,485.0,485.0,0.0,485.0,0
2025-12-24,487.5,487.5,487.5,487.5,0.0,487.5,0
2025-12-26,488.0,488.0,488.0,488.0,0.0,488.0,0
2025-12-29,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-12-30,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-12-31,480.5,480.5,480.5,480.5,0.0,480.5,0
2026-01-02,478.5,478.5,478.5,478.5,0.0,478.5,0
2026-01-05,483.5,483.5,483.5,483.5,0.0,483.5,0
2026-01-06,482.0,482.0,482.0,482.0,0.0,482.0,0
2026-01-07,483.5,483.5,483.5,483.5,0.0,483.5,0
2026-01-08,484.5,484.5,484.5,484.5,0.0,484.5,0
2026-01-09,484.0,484.0,484.0,484.0,0.0,484.0,0
2026-01-12,472.5,472.5,472.5,472.5,0.0,472.5,0
2026-01-13,466.5,466.5,466.5,466.5,0.0,466.5,0
2026-01-14,468.0,468.0,468.0,468.0,0.0,468.0,0
2026-01-15,467.5,467.5,467.5,467.5,0.0,467.5,0
2026-01-16,469.0,469.0,469.0,469.0,0.0,469.0,0
2026-01-20,470.0,470.0,470.0,470.0,0.0,470.0,0
2026-01-21,469.5,469.5,469.5,469.5,0.0,469.5,0
2026-01-22,471.5,471.5,471.5,471.5,0.0,471.5,0
2026-01-23,474.0,474.0,474.0,474.0,0.0,474.0,0
2026-01-26,473.5,473.5,473.5,473.5,0.0,473.5,0
2026-01-27,472.5,472.5,472.5,472.5,0.0,472.5,0
2026-01-28,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-01-29,477.0,477.0,477.0,477.0,0.0,477.0,0
2026-01-30,474.5,474.5,474.5,474.5,0.0,474.5,0
2026-02-02,473.5,473.5,473.5,473.5,0.0,473.5,0
2026-02-03,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-02-04,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-02-05,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-02-06,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-02-09,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-02-10,477.0,477.0,477.0,477.0,0.0,477.0,0
2026-02-11,478.5,478.5,478.5,478.5,0.0,478.5,0
2026-02-12,482.0,482.0,482.0,482.0,0.0,482.0,0
2026-02-13,482.0,482.0,482.0,482.0,0.0,482.0,0
2026-02-17,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-02-18,479.5,479.5,479.5,479.5,0.0,479.5,0
2026-02-19,480.5,480.5,480.5,480.5,0.0,480.5,0
2026-02-20,482.5,482.5,482.5,482.5,0.0,482.5,0
2026-02-23,482.0,482.0,482.0,482.0,0.0,482.0,0
2026-02-24,483.0,483.0,483.0,483.0,0.0,483.0,0
2026-02-25,485.5,485.5,485.5,485.5,0.0,485.5,0
2026-02-26,485.5,485.5,485.5,485.5,0.0,485.5,0
2026-02-27,487.0,487.0,487.0,487.0,0.0,487.0,0
2026-03-02,489.0,489.0,489.0,489.0,0.0,489.0,0
2026-03-03,489.5,489.5,489.5,489.5,0.0,489.5,0
2026-03-04,489.0,489.0,489.0,489.0,0.0,489.0,0
2026-03-05,494.5,494.5,494.5,494.5,0.0,494.5,0
2026-03-06,498.5,498.5,498.5,498.5,0.0,498.5,0
2026-03-09,497.5,497.5,497.5,497.5,0.0,497.5,0
2026-03-10,496.0,496.0,496.0,496.0,0.0,496.0,0
2026-03-11,503.5,503.5,503.5,503.5,0.0,503.5,0
2026-03-12,504.5,504.5,504.5,504.5,0.0,504.5,0
2026-03-13,505.0,505.0,505.0,505.0,0.0,505.0,0
