date,open,high,low,close,volume,average,barCount
2025-02-25,490.0,490.0,490.0,490.0,0.0,490.0,0
2025-02-26,487.0,487.0,487.0,487.0,0.0,487.0,0
2025-02-27,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-02-28,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-03-03,474.5,474.5,474.5,474.5,0.0,474.5,0
2025-03-04,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-03-05,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-03-06,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-03-07,476.5,476.5,476.5,476.5,0.0,476.5,0
2025-03-10,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-03-11,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-03-12,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-03-13,475.5,475.5,475.5,475.5,0.0,475.5,0
2025-03-14,475.0,475.0,475.0,475.0,0.0,475.0,0
2025-03-17,477.5,477.5,477.5,477.5,0.0,477.5,0
2025-03-18,478.0,478.0,478.0,478.0,0.0,478.0,0
2025-03-19,476.0,476.0,476.0,476.0,0.0,476.0,0
2025-03-20,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-03-21,475.0,475.0,475.0,475.0,0.0,475.0,0
2025-03-24,475.5,475.5,475.5,475.5,0.0,475.5,0
2025-03-25,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-03-26,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-03-27,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-03-28,467.5,467.5,467.5,467.5,0.0,467.5,0
2025-03-31,467.0,467.0,467.0,467.0,0.0,467.0,0
2025-04-01,474.5,474.5,474.5,474.5,0.0,474.5,0
2025-04-02,475.0,475.0,475.0,475.0,0.0,475.0,0
2025-04-03,474.0,474.0,474.0,474.0,0.0,474.0,0
2025-04-04,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-04-07,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-04-08,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-04-09,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-04-10,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-04-11,486.0,486.0,486.0,486.0,0.0,486.0,0
2025-04-14,484.5,484.5,484.5,484.5,0.0,484.5,0
2025-04-15,487.5,487.5,487.5,487.5,0.0,487.5,0
2025-04-16,489.5,489.5,489.5,489.5,0.0,489.5,0
2025-04-17,488.5,488.5,488.5,488.5,0.0,488.5,0
2025-04-21,488.0,488.0,488.0,488.0,0.0,488.0,0
2025-04-22,483.5,483.5,483.5,483.5,0.0,483.5,0
2025-04-23,481.5,481.5,481.5,481.5,0.0,481.5,0
2025-04-24,485.5,485.5,485.5,485.5,0.0,485.5,0
2025-04-25,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-04-28,479.5,479.5,479.5,479.5,0.0,479.5,0
2025-04-29,475.0,475.0,475.0,475.0,0.0,475.0,0
2025-04-30,476.0,476.0,476.0,476.0,0.0,476.0,0
2025-05-01,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-05-02,479.5,479.5,479.5,479.5,0.0,479.5,0
2025-05-05,472.5,472.5,472.5,472.5,0.0,472.5,0
2025-05-06,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-05-07,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-05-08,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-05-09,471.0,471.0,471.0,471.0,0.0,471.0,0
2025-05-12,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-05-13,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-05-14,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-05-15,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-05-16,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-05-19,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-05-20,475.5,475.5,475.5,475.5,0.0,475.5,0
2025-05-21,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-05-22,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-05-23,479.0,479.0,479.0,479.0,0.0,479.0,0
2025-05-27,475.5,475.5,475.5,475.5,0.0,475.5,0
2025-05-28,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-05-29,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-05-30,468.5,468.5,468.5,468.5,0.0,468.5,0
2025-06-02,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-06-03,468.5,468.5,468.5,468.5,0.0,468.5,0
2025-06-04,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-06-05,478.0,478.0,478.0,478.0,0.0,478.0,0
2025-06-06,479.0,479.0,479.0,479.0,0.0,479.0,0
2025-06-09,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-06-10,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-06-11,471.0,471.0,471.0,471.0,0.0,471.0,0
2025-06-12,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-06-13,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-06-16,467.0,467.0,467.0,467.0,0.0,467.0,0
2025-06-17,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-06-18,475.0,475.0,475.0,475.0,0.0,475.0,0
2025-06-20,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-06-23,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-06-24,461.5,461.5,461.5,461.5,0.0,461.5,0
2025-06-25,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-06-26,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-06-27,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-06-30,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-07-01,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-07-02,467.0,467.0,467.0,467.0,0.0,467.0,0
2025-07-03,470.5,470.5,470.5,470.5,0.0,470.5,0
2025-07-07,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-07-08,450.5,450.5,450.5,450.5,0.0,450.5,0
2025-07-09,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-07-10,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-07-11,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-07-14,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-07-15,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-07-16,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-07-17,458.0,458.0,454.0,455.5,2.0,456.0,2
2025-07-18,461.5,461.5,461.5,461.5,0.0,461.5,0
2025-07-21,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-07-22,453.5,453.5,453.5,453.5,0.0,453.5,0
2025-07-23,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-07-24,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-07-25,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-07-28,448.0,448.0,448.0,448.0,0.0,448.0,0
2025-07-29,445.5,445.5,445.5,445.5,0.0,445.5,0
2025-07-30,446.5,446.5,446.5,446.5,0.0,446.5,0
2025-07-31,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-08-01,445.0,445.0,445.0,445.0,0.0,445.0,0
2025-08-04,446.5,446.5,442.0,442.5,2.0,444.25,2
2025-08-05,438.0,438.0,438.0,438.0,0.0,438.0,0
2025-08-06,437.0,437.0,437.0,437.0,0.0,437.0,0
2025-08-07,442.0,442.0,442.0,442.0,0.0,442.0,0
2025-08-08,439.5,439.5,439.5,439.5,0.0,439.5,0
2025-08-11,442.0,442.0,442.0,442.0,0.0,442.0,0
2025-08-12,431.5,431.5,431.5,431.5,0.0,431.5,0
2025-08-13,433.5,433.5,433.5,433.5,0.0,433.5,0
2025-08-14,432.0,432.0,432.0,432.0,0.0,432.0,0
2025-08-15,439.5,439.5,439.5,439.5,0.0,439.5,0
2025-08-18,441.5,441.5,441.5,441.5,0.0,441.5,0
2025-08-19,438.5,438.5,438.5,438.5,0.0,438.5,0
2025-08-20,439.5,439.5,439.5,439.5,0.0,439.5,0
2025-08-21,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-08-22,446.0,446.0,446.0,446.0,0.0,446.0,0
2025-08-25,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-08-26,447.0,447.0,444.0,444.0,1.0,447.0,1
2025-08-27,441.0,441.0,441.0,441.0,0.0,441.0,0
2025-08-28,438.0,445.0,438.0,445.0,2.0,441.0,2
2025-08-29,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-09-02,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-09-03,452.5,452.5,452.5,452.5,0.0,452.5,0
2025-09-04,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-09-05,453.5,453.5,453.5,453.5,0.0,453.5,0
2025-09-08,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-09-09,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-09-10,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-09-11,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-09-12,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-09-15,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-09-16,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-09-17,460.0,460.0,460.0,460.0,0.0,460.0,0
2025-09-18,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-09-19,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-09-22,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-09-23,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-09-24,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-09-25,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-09-26,457.5,457.5,454.5,454.5,1.0,457.5,1
2025-09-29,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-09-30,449.0,449.0,449.0,449.0,0.0,449.0,0
2025-10-01,450.0,450.0,450.0,450.0,0.0,450.0,0
2025-10-02,455.0,455.0,455.0,455.0,0.0,455.0,0
2025-10-03,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-10-06,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-10-07,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-10-08,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-10-09,448.5,448.5,448.5,448.5,0.0,448.5,0
2025-10-10,444.0,444.0,444.0,444.0,0.0,444.0,0
2025-10-13,443.0,443.0,443.0,443.0,0.0,443.0,0
2025-10-14,444.5,444.5,444.5,444.5,0.0,444.5,0
2025-10-15,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-10-16,449.5,449.5,449.5,449.5,0.0,449.5,0
2025-10-17,451.0,451.0,451.0,451.0,0.0,451.0,0
2025-10-20,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-10-21,448.0,448.0,448.0,448.0,0.0,448.0,0
2025-10-22,450.0,450.0,450.0,450.0,0.0,450.0,0
2025-10-23,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-10-24,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-10-27,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-10-28,461.5,461.5,461.5,461.5,0.0,461.5,0
2025-10-29,460.0,461.0,460.0,461.0,1.0,460.0,1
2025-10-30,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-10-31,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-11-03,462.5,462.5,462.5,462.5,0.0,462.5,0
2025-11-04,461.0,461.0,460.5,460.5,1.0,461.0,1
2025-11-05,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-11-06,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-11-07,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-11-10,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-11-11,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-11-12,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-11-13,468.5,468.5,468.5,468.5,0.0,468.5,0
2025-11-14,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-11-17,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-11-18,461.5,461.5,461.5,461.5,1.0,461.5,1
2025-11-19,459.5,459.5,454.0,455.0,3.0,455.85,2
2025-11-20,455.5,455.5,451.0,451.0,1.0,455.5,1
2025-11-21,450.0,451.5,449.0,451.0,139.0,450.25,59
2025-11-24,450.5,451.5,449.0,450.5,71.0,450.3,26
2025-11-25,451.0,453.5,451.0,452.5,82.0,452.25,26
2025-11-26,454.0,459.0,454.0,458.0,54.0,457.2,25
2025-11-28,458.0,461.0,457.0,461.0,49.0,458.85,22
2025-12-01,460.0,461.5,458.5,459.0,254.0,460.15,108
2025-12-02,460.0,464.5,457.0,462.5,125.0,460.3,43
2025-12-03,459.5,459.5,456.0,456.0,146.0,457.5,57
2025-12-04,456.0,459.5,454.5,459.0,209.0,457.25,78
2025-12-05,458.5,460.0,457.0,457.5,289.0,458.35,102
2025-12-08,457.0,459.0,455.5,457.0,282.0,457.55,107
2025-12-09,458.5,461.0,457.0,461.0,200.0,459.1,67
2025-12-10,460.5,461.5,457.0,457.5,302.0,458.7,103
2025-12-11,457.5,460.0,457.5,459.5,114.0,458.95,35
2025-12-12,460.0,460.0,454.5,455.0,286.0,457.45,98
2025-12-15,452.5,454.0,450.5,454.0,256.0,452.4,94
2025-12-16,453.5,453.5,450.0,451.0,149.0,450.95,52
2025-12-17,452.5,454.5,451.5,453.5,151.0,452.95,60
2025-12-18,455.0,458.5,455.0,458.0,66.0,457.3,26
2025-12-19,457.5,458.5,457.0,457.5,40.0,457.9,14
2025-12-22,460.5,460.5,459.5,460.0,39.0,459.8,12
2025-12-23,460.5,461.0,460.0,461.0,24.0,460.7,9
2025-12-24,462.0,464.5,462.0,464.5,32.0,463.45,11
2025-12-26,465.5,466.0,463.5,464.5,126.0,464.7,50
2025-12-29,464.0,464.0,457.0,457.0,172.0,459.0,67
2025-12-30,456.0,456.0,454.5,454.5,131.0,455.0,53
2025-12-31,455.5,456.0,454.5,454.5,98.0,455.4,43
2026-01-02,452.5,452.5,451.0,452.0,25.0,451.9,10
2026-01-05,452.0,458.5,452.0,458.5,162.0,454.15,63
2026-01-06,458.0,460.5,457.0,457.0,297.0,458.5,107
2026-01-07,457.0,460.0,457.0,460.0,36.0,458.85,15
2026-01-08,459.5,461.0,459.5,460.5,24.0,460.5,12
2026-01-09,459.5,461.5,459.0,460.5,173.0,460.35,55
2026-01-12,462.5,463.0,436.5,438.0,240.0,445.8,106
2026-01-13,436.5,437.5,434.5,434.5,297.0,436.4,103
2026-01-14,437.5,437.5,435.0,436.0,23.0,436.1,10
2026-01-15,437.0,437.5,434.0,434.0,42.0,436.4,18
2026-01-16,436.0,439.5,436.0,438.0,60.0,437.6,20
2026-01-20,443.0,443.0,437.0,438.0,117.0,437.9,44
2026-01-21,440.0,440.0,436.0,436.0,90.0,437.8,30
2026-01-22,437.5,438.5,436.5,438.5,73.0,437.45,20
2026-01-23,437.5,444.5,437.5,444.0,65.0,441.75,19
2026-01-26,443.0,443.0,442.0,442.0,228.0,442.6,76
2026-01-27,442.5,443.5,440.5,440.5,70.0,442.35,22
2026-01-28,443.0,446.0,443.0,444.0,50.0,444.55,17
2026-01-29,446.0,447.5,444.0,446.0,128.0,445.8,36
2026-01-30,443.0,443.0,440.5,442.0,106.0,441.95,50
2026-02-02,439.5,440.5,438.5,439.5,223.0,439.4,81
2026-02-03,440.5,442.5,440.5,442.0,149.0,441.7,38
2026-02-04,441.0,445.5,440.0,443.5,711.0,442.35,277
2026-02-05,442.5,449.5,442.5,449.0,89.0,446.35,33
2026-02-06,448.5,450.0,444.5,445.0,400.0,447.25,141
2026-02-09,444.0,444.0,442.0,444.0,249.0,443.1,90
2026-02-10,443.0,445.0,443.0,444.5,101.0,444.4,34
2026-02-11,444.5,445.5,442.0,444.0,207.0,443.3,72
2026-02-12,444.5,450.0,444.5,450.0,112.0,447.7,42
2026-02-13,449.0,450.0,447.5,450.0,240.0,448.8,82
2026-02-17,447.0,447.0,444.0,444.0,121.0,445.3,46
