date,open,high,low,close,volume,average,barCount
2025-02-25,467.5,467.5,467.5,467.5,0.0,467.5,0
2025-02-26,465.0,465.0,465.0,465.0,0.0,465.0,0
2025-02-27,461.0,461.0,461.0,461.0,0.0,461.0,0
2025-02-28,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-03-03,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-03-04,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-03-05,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-03-06,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-03-07,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-03-10,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-03-11,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-03-12,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-03-13,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-03-14,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-03-17,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-03-18,460.0,460.0,460.0,460.0,0.0,460.0,0
2025-03-19,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-03-20,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-03-21,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-03-24,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-03-25,455.0,455.0,455.0,455.0,0.0,455.0,0
2025-03-26,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-03-27,450.5,450.5,450.5,450.5,0.0,450.5,0
2025-03-28,448.0,448.0,448.0,448.0,0.0,448.0,0
2025-03-31,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-04-01,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-04-02,455.0,455.0,455.0,455.0,0.0,455.0,0
2025-04-03,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-04-04,452.0,452.0,452.0,452.0,0.0,452.0,0
2025-04-07,450.5,450.5,450.5,450.5,0.0,450.5,0
2025-04-08,449.0,449.0,449.0,449.0,0.0,449.0,0
2025-04-09,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-04-10,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-04-11,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-04-14,468.5,468.5,468.5,468.5,0.0,468.5,0
2025-04-15,470.5,470.5,470.5,470.5,0.0,470.5,0
2025-04-16,472.0,472.0,472.0,472.0,0.0,472.0,0
2025-04-17,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-04-21,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-04-22,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-04-23,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-04-24,467.5,467.5,467.5,467.5,0.0,467.5,0
2025-04-25,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-04-28,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-04-29,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-04-30,459.5,459.5,459.5,459.5,0.0,459.5,0
2025-05-01,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-05-02,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-05-05,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-05-06,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-05-07,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-05-08,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-05-09,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-05-12,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-05-13,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-05-14,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-05-15,454.0,454.0,454.0,454.0,0.0,454.0,0
2025-05-16,450.5,450.5,450.5,450.5,0.0,450.5,0
2025-05-19,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-05-20,460.5,460.5,460.5,460.5,0.0,460.5,0
2025-05-21,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-05-22,465.0,465.0,465.0,465.0,0.0,465.0,0
2025-05-23,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-05-27,460.0,460.0,460.0,460.0,0.0,460.0,0
2025-05-28,458.5,458.5,458.5,458.5,0.0,458.5,0
2025-05-29,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-05-30,456.0,456.0,456.0,456.0,0.0,456.0,0
2025-06-02,456.5,456.5,456.5,456.5,0.0,456.5,0
2025-06-03,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-06-04,465.0,465.0,465.0,465.0,0.0,465.0,0
2025-06-05,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-06-06,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-06-09,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-06-10,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-06-11,463.0,463.0,463.0,463.0,0.0,463.0,0
2025-06-12,463.5,463.5,463.5,463.5,0.0,463.5,0
2025-06-13,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-06-16,459.5,459.5,459.5,459.5,0.0,459.5,0
2025-06-17,462.5,462.5,462.5,462.5,0.0,462.5,0
2025-06-18,465.0,465.0,465.0,465.0,0.0,465.0,0
2025-06-20,462.5,462.5,462.5,462.5,0.0,462.5,0
2025-06-23,455.5,455.5,455.5,455.5,0.0,455.5,0
2025-06-24,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-06-25,448.5,448.5,448.5,448.5,0.0,448.5,0
2025-06-26,446.5,446.5,446.5,446.5,0.0,446.5,0
2025-06-27,450.0,450.0,450.0,450.0,0.0,450.0,0
2025-06-30,451.0,451.0,451.0,451.0,0.0,451.0,0
2025-07-01,451.0,451.0,451.0,451.0,0.0,451.0,0
2025-07-02,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-07-03,459.5,459.5,459.5,459.5,0.0,459.5,0
2025-07-07,450.0,450.0,450.0,450.0,0.0,450.0,0
2025-07-08,445.0,445.0,445.0,445.0,0.0,445.0,0
2025-07-09,445.5,445.5,445.5,445.5,0.0,445.5,0
2025-07-10,445.5,445.5,445.5,445.5,0.0,445.5,0
2025-07-11,443.0,443.0,443.0,443.0,0.0,443.0,0
2025-07-14,446.0,446.0,446.0,446.0,0.0,446.0,0
2025-07-15,447.0,447.0,447.0,447.0,0.0,447.0,0
2025-07-16,448.5,448.5,448.5,448.5,0.0,448.5,0
2025-07-17,448.5,448.5,448.5,448.5,0.0,448.5,0
2025-07-18,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-07-21,450.5,450.5,450.5,450.5,0.0,450.5,0
2025-07-22,449.0,449.0,449.0,449.0,0.0,449.0,0
2025-07-23,448.0,448.0,448.0,448.0,0.0,448.0,0
2025-07-24,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-07-25,450.0,450.0,450.0,450.0,0.0,450.0,0
2025-07-28,446.0,446.0,446.0,446.0,0.0,446.0,0
2025-07-29,444.0,444.0,444.0,444.0,0.0,444.0,0
2025-07-30,444.5,444.5,444.5,444.5,0.0,444.5,0
2025-07-31,444.0,444.0,444.0,444.0,0.0,444.0,0
2025-08-01,444.0,444.0,444.0,444.0,0.0,444.0,0
2025-08-04,441.0,441.0,441.0,441.0,0.0,441.0,0
2025-08-05,437.5,437.5,437.5,437.5,0.0,437.5,0
2025-08-06,436.0,436.0,436.0,436.0,0.0,436.0,0
2025-08-07,439.5,439.5,439.5,439.5,0.0,439.5,0
2025-08-08,438.5,438.5,438.5,438.5,0.0,438.5,0
2025-08-11,441.5,441.5,441.5,441.5,0.0,441.5,0
2025-08-12,433.5,433.5,433.5,433.5,0.0,433.5,0
2025-08-13,435.5,435.5,435.5,435.5,0.0,435.5,0
2025-08-14,435.0,435.0,435.0,435.0,0.0,435.0,0
2025-08-15,440.5,440.5,440.5,440.5,0.0,440.5,0
2025-08-18,442.0,442.0,442.0,442.0,0.0,442.0,0
2025-08-19,440.0,440.0,440.0,440.0,0.0,440.0,0
2025-08-20,441.0,441.0,441.0,441.0,0.0,441.0,0
2025-08-21,446.0,446.0,446.0,446.0,0.0,446.0,0
2025-08-22,445.0,445.0,445.0,445.0,0.0,445.0,0
2025-08-25,446.5,446.5,446.5,446.5,0.0,446.5,0
2025-08-26,444.0,444.0,444.0,444.0,0.0,444.0,0
2025-08-27,441.5,441.5,441.5,441.5,0.0,441.5,0
2025-08-28,444.5,444.5,444.5,444.5,0.0,444.5,0
2025-08-29,451.5,451.5,451.5,451.5,0.0,451.5,0
2025-09-02,454.5,454.5,454.5,454.5,0.0,454.5,0
2025-09-03,450.0,450.0,450.0,450.0,0.0,450.0,0
