date,open,high,low,close,volume,average,barCount
2025-10-27,1104.0,1104.0,1104.0,1104.0,0.0,1104.0,0
2025-10-28,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-10-29,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2025-10-30,1105.0,1105.0,1105.0,1105.0,0.0,1105.0,0
2025-10-31,1114.5,1114.5,1114.5,1114.5,0.0,1114.5,0
2025-11-03,1122.5,1122.5,1122.5,1122.5,0.0,1122.5,0
2025-11-04,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-11-05,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-06,1106.0,1106.0,1106.0,1106.0,0.0,1106.0,0
2025-11-07,1110.0,1110.0,1110.0,1110.0,0.0,1110.0,0
2025-11-10,1119.5,1119.5,1119.5,1119.5,0.0,1119.5,0
2025-11-11,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-12,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-13,1129.5,1129.5,1129.5,1129.5,0.0,1129.5,0
2025-11-14,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-17,1137.0,1137.0,1137.0,1137.0,0.0,1137.0,0
2025-11-18,1135.0,1135.0,1135.0,1135.0,0.0,1135.0,0
2025-11-19,1128.0,1128.0,1128.0,1128.0,0.0,1128.0,0
2025-11-20,1123.0,1123.0,1123.0,1123.0,0.0,1123.0,0
2025-11-21,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-24,1125.5,1125.5,1125.5,1125.5,0.0,1125.5,0
2025-11-25,1128.5,1128.5,1128.5,1128.5,0.0,1128.5,0
2025-11-26,1131.0,1131.0,1131.0,1131.0,0.0,1131.0,0
2025-11-28,1136.5,1136.5,1136.5,1136.5,0.0,1136.5,0
2025-12-01,1133.0,1133.0,1133.0,1133.0,0.0,1133.0,0
2025-12-02,1131.0,1131.0,1131.0,1131.0,0.0,1131.0,0
2025-12-03,1122.5,1122.5,1122.5,1122.5,0.0,1122.5,0
2025-12-04,1123.0,1123.0,1123.0,1123.0,0.0,1123.0,0
2025-12-05,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-12-08,1110.5,1110.5,1110.5,1110.5,0.0,1110.5,0
2025-12-09,1103.5,1103.5,1103.5,1103.5,0.0,1103.5,0
2025-12-10,1104.5,1104.5,1104.5,1104.5,0.0,1104.5,0
2025-12-11,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2025-12-12,1098.0,1098.0,1098.0,1098.0,0.0,1098.0,0
2025-12-15,1098.5,1098.5,1098.5,1098.5,0.0,1098.5,0
2025-12-16,1090.5,1090.5,1090.5,1090.5,0.0,1090.5,0
2025-12-17,1085.0,1085.0,1085.0,1085.0,0.0,1085.0,0
2025-12-18,1081.0,1081.0,1081.0,1081.0,0.0,1081.0,0
2025-12-19,1077.5,1077.5,1077.5,1077.5,0.0,1077.5,0
2025-12-22,1082.0,1082.0,1082.0,1082.0,0.0,1082.0,0
2025-12-23,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2025-12-24,1094.0,1094.0,1094.0,1094.0,0.0,1094.0,0
2025-12-26,1092.0,1092.0,1092.0,1092.0,0.0,1092.0,0
2025-12-29,1085.5,1085.5,1085.5,1085.5,0.0,1085.5,0
2025-12-30,1084.0,1084.0,1084.0,1084.0,0.0,1084.0,0
2025-12-31,1075.0,1075.0,1075.0,1075.0,0.0,1075.0,0
2026-01-02,1074.0,1074.0,1074.0,1074.0,0.0,1074.0,0
2026-01-05,1086.0,1086.0,1086.0,1086.0,0.0,1086.0,0
2026-01-06,1078.5,1078.5,1078.5,1078.5,0.0,1078.5,0
2026-01-07,1085.5,1085.5,1085.5,1085.5,0.0,1085.5,0
2026-01-08,1083.5,1083.5,1083.5,1083.5,0.0,1083.5,0
