date,open,high,low,close,volume,average,barCount
2025-10-27,1104.5,1104.5,1104.5,1104.5,0.0,1104.5,0
2025-10-28,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-10-29,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2025-10-30,1104.5,1104.5,1104.5,1104.5,0.0,1104.5,0
2025-10-31,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-11-03,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-04,1111.5,1111.5,1111.5,1111.5,0.0,1111.5,0
2025-11-05,1119.0,1119.0,1119.0,1119.0,0.0,1119.0,0
2025-11-06,1105.0,1105.0,1105.0,1105.0,0.0,1105.0,0
2025-11-07,1109.0,1109.0,1109.0,1109.0,0.0,1109.0,0
2025-11-10,1118.5,1118.5,1118.5,1118.5,0.0,1118.5,0
2025-11-11,1119.0,1119.0,1119.0,1119.0,0.0,1119.0,0
2025-11-12,1122.5,1122.5,1122.5,1122.5,0.0,1122.5,0
2025-11-13,1127.0,1127.0,1127.0,1127.0,0.0,1127.0,0
2025-11-14,1122.0,1122.0,1122.0,1122.0,0.0,1122.0,0
2025-11-17,1135.0,1135.0,1135.0,1135.0,0.0,1135.0,0
2025-11-18,1132.0,1132.0,1132.0,1132.0,0.0,1132.0,0
2025-11-19,1125.5,1125.5,1125.5,1125.5,0.0,1125.5,0
2025-11-20,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-21,1119.5,1119.5,1119.5,1119.5,0.0,1119.5,0
2025-11-24,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-25,1126.5,1126.5,1126.5,1126.5,0.0,1126.5,0
2025-11-26,1128.0,1128.0,1128.0,1128.0,0.0,1128.0,0
2025-11-28,1132.0,1132.0,1132.0,1132.0,0.0,1132.0,0
2025-12-01,1129.5,1129.5,1129.5,1129.5,0.0,1129.5,0
2025-12-02,1128.0,1128.0,1128.0,1128.0,0.0,1128.0,0
2025-12-03,1120.0,1120.0,1120.0,1120.0,0.0,1120.0,0
2025-12-04,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-12-05,1110.0,1110.0,1110.0,1110.0,0.0,1110.0,0
2025-12-08,1109.0,1109.0,1109.0,1109.0,0.0,1109.0,0
2025-12-09,1102.5,1102.5,1102.5,1102.5,0.0,1102.5,0
