date,open,high,low,close,volume,average,barCount
2025-10-27,1109.0,1109.0,1109.0,1109.0,0.0,1109.0,0
2025-10-28,1117.0,1117.0,1117.0,1117.0,0.0,1117.0,0
2025-10-29,1111.5,1111.5,1111.5,1111.5,0.0,1111.5,0
2025-10-30,1108.5,1108.5,1108.5,1108.5,0.0,1108.5,0
2025-10-31,1115.0,1115.0,1115.0,1115.0,0.0,1115.0,0
2025-11-03,1123.0,1123.0,1123.0,1123.0,0.0,1123.0,0
2025-11-04,1115.0,1115.0,1115.0,1115.0,0.0,1115.0,0
2025-11-05,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-06,1108.5,1108.5,1108.5,1108.5,0.0,1108.5,0
2025-11-07,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-11-10,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-11,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-12,1125.0,1125.0,1125.0,1125.0,0.0,1125.0,0
2025-11-13,1129.5,1129.5,1129.5,1129.5,0.0,1129.5,0
2025-11-14,1125.0,1125.0,1125.0,1125.0,0.0,1125.0,0
2025-11-17,1137.0,1137.0,1137.0,1137.0,0.0,1137.0,0
2025-11-18,1134.0,1134.0,1134.0,1134.0,0.0,1134.0,0
2025-11-19,1127.5,1127.5,1127.5,1127.5,0.0,1127.5,0
2025-11-20,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-21,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2025-11-24,1126.5,1126.5,1126.5,1126.5,0.0,1126.5,0
2025-11-25,1128.5,1128.5,1128.5,1128.5,0.0,1128.5,0
2025-11-26,1129.5,1129.5,1129.5,1129.5,0.0,1129.5,0
2025-11-28,1134.0,1134.0,1134.0,1134.0,0.0,1134.0,0
2025-12-01,1131.5,1131.5,1131.5,1131.5,0.0,1131.5,0
2025-12-02,1130.0,1130.0,1130.0,1130.0,0.0,1130.0,0
2025-12-03,1122.0,1122.0,1122.0,1122.0,0.0,1122.0,0
2025-12-04,1122.5,1122.5,1122.5,1122.5,0.0,1122.5,0
2025-12-05,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-12-08,1111.5,1111.5,1111.5,1111.5,0.0,1111.5,0
2025-12-09,1105.5,1105.5,1105.5,1105.5,0.0,1105.5,0
2025-12-10,1107.0,1107.0,1107.0,1107.0,0.0,1107.0,0
2025-12-11,1110.0,1110.0,1110.0,1110.0,0.0,1110.0,0
2025-12-12,1102.0,1102.0,1102.0,1102.0,0.0,1102.0,0
2025-12-15,1102.5,1102.5,1102.5,1102.5,0.0,1102.5,0
2025-12-16,1096.0,1096.0,1096.0,1096.0,0.0,1096.0,0
2025-12-17,1090.0,1090.0,1090.0,1090.0,0.0,1090.0,0
2025-12-18,1085.5,1085.5,1085.5,1085.5,0.0,1085.5,0
2025-12-19,1082.0,1082.0,1082.0,1082.0,0.0,1082.0,0
2025-12-22,1086.0,1086.0,1086.0,1086.0,0.0,1086.0,0
2025-12-23,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2025-12-24,1097.5,1097.5,1097.5,1097.5,0.0,1097.5,0
2025-12-26,1095.5,1095.5,1095.5,1095.5,0.0,1095.5,0
2025-12-29,1089.5,1089.5,1089.5,1089.5,0.0,1089.5,0
2025-12-30,1089.0,1089.0,1089.0,1089.0,0.0,1089.0,0
2025-12-31,1079.5,1079.5,1079.5,1079.5,0.0,1079.5,0
2026-01-02,1078.5,1078.5,1078.5,1078.5,0.0,1078.5,0
2026-01-05,1090.0,1090.0,1090.0,1090.0,0.0,1090.0,0
2026-01-06,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2026-01-07,1090.0,1090.0,1090.0,1090.0,0.0,1090.0,0
2026-01-08,1088.5,1088.5,1088.5,1088.5,0.0,1088.5,0
2026-01-09,1087.5,1087.5,1087.5,1087.5,0.0,1087.5,0
2026-01-12,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2026-01-13,1079.5,1079.5,1079.5,1079.5,0.0,1079.5,0
2026-01-14,1078.0,1078.0,1078.0,1078.0,0.0,1078.0,0
2026-01-15,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2026-01-16,1087.5,1087.5,1087.5,1087.5,0.0,1087.5,0
2026-01-20,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2026-01-21,1092.0,1092.0,1092.0,1092.0,0.0,1092.0,0
2026-01-22,1095.5,1095.5,1095.5,1095.5,0.0,1095.5,0
2026-01-23,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,0
2026-01-26,1098.0,1098.0,1098.0,1098.0,0.0,1098.0,0
2026-01-27,1101.0,1101.0,1101.0,1101.0,0.0,1101.0,0
2026-01-28,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2026-01-29,1108.5,1108.5,1108.5,1108.5,0.0,1108.5,0
2026-01-30,1099.5,1099.5,1099.5,1099.5,0.0,1099.5,0
2026-02-02,1095.5,1095.5,1095.5,1095.5,0.0,1095.5,0
2026-02-03,1098.5,1098.5,1098.5,1098.5,0.0,1098.5,0
2026-02-04,1104.5,1104.5,1104.5,1104.5,0.0,1104.5,0
2026-02-05,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2026-02-06,1107.0,1107.0,1107.0,1107.0,0.0,1107.0,0
2026-02-09,1110.0,1110.0,1110.0,1110.0,0.0,1110.0,0
2026-02-10,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2026-02-11,1125.0,1125.0,1125.0,1125.0,0.0,1125.0,0
2026-02-12,1128.0,1128.0,1128.0,1128.0,0.0,1128.0,0
2026-02-13,1126.0,1126.0,1126.0,1126.0,0.0,1126.0,0
2026-02-17,1131.0,1131.0,1131.0,1131.0,0.0,1131.0,0
2026-02-18,1130.5,1130.5,1130.5,1130.5,0.0,1130.5,0
2026-02-19,1132.5,1132.5,1132.5,1132.5,0.0,1132.5,0
2026-02-20,1132.0,1132.0,1132.0,1132.0,0.0,1132.0,0
2026-02-23,1131.5,1131.5,1131.5,1131.5,0.0,1131.5,0
2026-02-24,1135.5,1135.5,1135.5,1135.5,0.0,1135.5,0
2026-02-25,1141.0,1141.0,1141.0,1141.0,0.0,1141.0,0
2026-02-26,1140.0,1140.0,1140.0,1140.0,0.0,1140.0,0
2026-02-27,1140.5,1140.5,1140.5,1140.5,0.0,1140.5,0
2026-03-02,1142.0,1142.0,1142.0,1142.0,0.0,1142.0,0
2026-03-03,1142.0,1142.0,1142.0,1142.0,0.0,1142.0,0
2026-03-04,1141.5,1141.5,1141.5,1141.5,0.0,1141.5,0
2026-03-05,1146.5,1146.5,1146.5,1146.5,0.0,1146.5,0
2026-03-06,1152.5,1152.5,1152.5,1152.5,0.0,1152.5,0
2026-03-09,1156.0,1156.0,1156.0,1156.0,0.0,1156.0,0
2026-03-10,1160.5,1160.5,1160.5,1160.5,0.0,1160.5,0
