date,open,high,low,close,volume,average,barCount
2025-10-27,1111.0,1111.0,1111.0,1111.0,0.0,1111.0,0
2025-10-28,1118.0,1118.0,1118.0,1118.0,0.0,1118.0,0
2025-10-29,1112.5,1112.5,1112.5,1112.5,0.0,1112.5,0
2025-10-30,1109.5,1109.5,1109.5,1109.5,0.0,1109.5,0
2025-10-31,1114.5,1114.5,1114.5,1114.5,0.0,1114.5,0
2025-11-03,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-04,1114.0,1114.0,1114.0,1114.0,0.0,1114.0,0
2025-11-05,1119.5,1119.5,1119.5,1119.5,0.0,1119.5,0
2025-11-06,1107.0,1107.0,1107.0,1107.0,0.0,1107.0,0
2025-11-07,1110.5,1110.5,1110.5,1110.5,0.0,1110.5,0
2025-11-10,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-11,1120.5,1120.5,1120.5,1120.5,0.0,1120.5,0
2025-11-12,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-13,1126.5,1126.5,1126.5,1126.5,0.0,1126.5,0
2025-11-14,1123.0,1123.0,1123.0,1123.0,0.0,1123.0,0
2025-11-17,1133.0,1133.0,1133.0,1133.0,0.0,1133.0,0
2025-11-18,1131.0,1131.0,1131.0,1131.0,0.0,1131.0,0
2025-11-19,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-11-20,1121.0,1121.0,1121.0,1121.0,0.0,1121.0,0
2025-11-21,1119.0,1119.0,1119.0,1119.0,0.0,1119.0,0
2025-11-24,1123.0,1123.0,1123.0,1123.0,0.0,1123.0,0
2025-11-25,1126.0,1126.0,1126.0,1126.0,0.0,1126.0,0
2025-11-26,1126.0,1126.0,1126.0,1126.0,0.0,1126.0,0
2025-11-28,1128.0,1128.0,1128.0,1128.0,0.0,1128.0,0
2025-12-01,1126.5,1126.5,1126.5,1126.5,0.0,1126.5,0
2025-12-02,1124.0,1124.0,1124.0,1124.0,0.0,1124.0,0
2025-12-03,1118.0,1118.0,1118.0,1118.0,0.0,1118.0,0
2025-12-04,1118.5,1118.5,1118.5,1118.5,0.0,1118.5,0
2025-12-05,1109.0,1109.0,1109.0,1109.0,0.0,1109.0,0
2025-12-08,1109.5,1109.5,1109.5,1109.5,0.0,1109.5,0
2025-12-09,1103.5,1103.5,1103.5,1103.5,0.0,1103.5,0
2025-12-10,1106.0,1106.0,1106.0,1106.0,0.0,1106.0,0
2025-12-11,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2025-12-12,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,0
2025-12-15,1100.5,1100.5,1100.5,1100.5,0.0,1100.5,0
2025-12-16,1095.0,1095.0,1095.0,1095.0,0.0,1095.0,0
2025-12-17,1089.0,1089.0,1089.0,1089.0,0.0,1089.0,0
2025-12-18,1084.5,1084.5,1084.5,1084.5,0.0,1084.5,0
2025-12-19,1081.0,1081.0,1081.0,1081.0,0.0,1081.0,0
2025-12-22,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2025-12-23,1084.0,1084.0,1084.0,1084.0,0.0,1084.0,0
2025-12-24,1094.0,1094.0,1094.0,1094.0,0.0,1094.0,0
2025-12-26,1091.0,1091.0,1091.0,1091.0,0.0,1091.0,0
2025-12-29,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2025-12-30,1085.5,1085.5,1085.5,1085.5,0.0,1085.5,0
2025-12-31,1076.5,1076.5,1076.5,1076.5,0.0,1076.5,0
2026-01-02,1076.0,1076.0,1076.0,1076.0,0.0,1076.0,0
2026-01-05,1088.0,1088.0,1088.0,1088.0,0.0,1088.0,0
2026-01-06,1081.5,1081.5,1081.5,1081.5,0.0,1081.5,0
2026-01-07,1087.5,1087.5,1087.5,1087.5,0.0,1087.5,0
2026-01-08,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2026-01-09,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2026-01-12,1086.5,1086.5,1086.5,1086.5,0.0,1086.5,0
2026-01-13,1081.0,1081.0,1081.0,1081.0,0.0,1081.0,0
2026-01-14,1079.0,1079.0,1079.0,1079.0,0.0,1079.0,0
2026-01-15,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2026-01-16,1087.5,1087.5,1087.5,1087.5,0.0,1087.5,0
2026-01-20,1083.0,1083.0,1083.0,1083.0,0.0,1083.0,0
2026-01-21,1092.0,1092.0,1092.0,1092.0,0.0,1092.0,0
2026-01-22,1096.0,1096.0,1096.0,1096.0,0.0,1096.0,0
2026-01-23,1100.0,1100.0,1100.0,1100.0,0.0,1100.0,0
2026-01-26,1098.0,1098.0,1098.0,1098.0,0.0,1098.0,0
2026-01-27,1101.0,1101.0,1101.0,1101.0,0.0,1101.0,0
2026-01-28,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2026-01-29,1108.5,1108.5,1108.5,1108.5,0.0,1108.5,0
2026-01-30,1100.5,1100.5,1100.5,1100.5,0.0,1100.5,0
2026-02-02,1096.5,1096.5,1096.5,1096.5,0.0,1096.5,0
2026-02-03,1099.0,1099.0,1099.0,1099.0,0.0,1099.0,0
2026-02-04,1104.0,1104.0,1104.0,1104.0,0.0,1104.0,0
2026-02-05,1111.5,1111.5,1111.5,1111.5,0.0,1111.5,0
2026-02-06,1104.5,1104.5,1104.5,1104.5,0.0,1104.5,0
2026-02-09,1108.0,1108.0,1108.0,1108.0,0.0,1108.0,0
2026-02-10,1119.0,1119.0,1119.0,1119.0,0.0,1119.0,0
2026-02-11,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2026-02-12,1123.5,1123.5,1123.5,1123.5,0.0,1123.5,0
2026-02-13,1121.5,1121.5,1121.5,1121.5,0.0,1121.5,0
2026-02-17,1126.0,1126.0,1126.0,1126.0,0.0,1126.0,0
2026-02-18,1125.5,1125.5,1125.5,1125.5,0.0,1125.5,0
2026-02-19,1128.5,1128.5,1128.5,1128.5,0.0,1128.5,0
2026-02-20,1128.5,1128.5,1128.5,1128.5,0.0,1128.5,0
2026-02-23,1128.5,1128.5,1128.5,1128.5,0.0,1128.5,0
2026-02-24,1132.0,1132.0,1132.0,1132.0,0.0,1132.0,0
2026-02-25,1136.5,1136.5,1136.5,1136.5,0.0,1136.5,0
2026-02-26,1135.0,1135.0,1135.0,1135.0,0.0,1135.0,0
2026-02-27,1134.5,1134.5,1134.5,1134.5,0.0,1134.5,0
2026-03-02,1137.5,1137.5,1137.5,1137.5,0.0,1137.5,0
2026-03-03,1136.5,1136.5,1136.5,1136.5,0.0,1136.5,0
2026-03-04,1136.0,1136.0,1136.0,1136.0,0.0,1136.0,0
2026-03-05,1139.5,1139.5,1139.5,1139.5,0.0,1139.5,0
2026-03-06,1144.5,1144.5,1144.5,1144.5,0.0,1144.5,0
2026-03-09,1148.0,1148.0,1148.0,1148.0,0.0,1148.0,0
2026-03-10,1152.0,1152.0,1152.0,1152.0,0.0,1152.0,0
2026-03-11,1160.0,1160.0,1160.0,1160.0,0.0,1160.0,0
2026-03-12,1164.0,1164.0,1164.0,1164.0,0.0,1164.0,0
2026-03-13,1157.5,1157.5,1157.5,1157.5,0.0,1157.5,0
2026-03-16,1129.5,1129.5,1129.5,1129.5,0.0,1129.5,0
2026-03-17,1139.5,1139.5,1139.5,1139.5,0.0,1139.5,0
2026-03-18,1147.0,1147.0,1147.0,1147.0,0.0,1147.0,0
2026-03-19,1147.5,1147.5,1147.5,1147.5,0.0,1147.5,0
2026-03-20,1141.0,1141.0,1141.0,1141.0,0.0,1141.0,0
2026-03-23,1145.5,1145.5,1145.5,1145.5,0.0,1145.5,0
2026-03-24,1141.0,1141.0,1141.0,1141.0,0.0,1141.0,0
2026-03-25,1149.0,1149.0,1149.0,1149.0,0.0,1149.0,0
2026-03-26,1153.5,1153.5,1153.5,1153.5,0.0,1153.5,0
2026-03-27,1148.5,1148.5,1148.5,1148.5,0.0,1148.5,0
2026-03-30,1147.5,1147.5,1147.5,1147.5,0.0,1147.5,0
2026-03-31,1155.5,1155.5,1155.5,1155.5,0.0,1155.5,0
2026-04-01,1155.5,1155.5,1155.5,1155.5,0.0,1155.5,0
2026-04-02,1154.5,1154.5,1154.5,1154.5,0.0,1154.5,0
2026-04-06,1158.0,1158.0,1158.0,1158.0,0.0,1158.0,0
2026-04-07,1152.5,1152.5,1152.5,1152.5,0.0,1152.5,0
2026-04-08,1154.5,1154.5,1154.5,1154.5,0.0,1154.5,0
2026-04-09,1157.5,1157.5,1157.5,1157.5,0.0,1157.5,0
2026-04-10,1163.0,1163.0,1163.0,1163.0,0.0,1163.0,0
2026-04-13,1156.5,1156.5,1156.5,1156.5,0.0,1156.5,0
2026-04-14,1152.0,1152.0,1152.0,1152.0,0.0,1152.0,0
