date,open,high,low,close,volume,average,barCount
2025-11-24,593.5,593.5,593.5,593.5,0.0,593.5,0
2025-11-25,596.5,596.5,596.5,596.5,0.0,596.5,0
2025-11-26,599.0,599.0,599.0,599.0,0.0,599.0,0
2025-11-28,597.5,597.5,597.5,597.5,0.0,597.5,0
2025-12-01,594.5,594.5,594.5,594.5,0.0,594.5,0
2025-12-02,597.5,597.5,597.5,597.5,0.0,597.5,0
2025-12-03,594.0,594.0,594.0,594.0,0.0,594.0,0
2025-12-04,596.0,596.0,596.0,596.0,0.0,596.0,0
2025-12-05,591.5,591.5,591.5,591.5,0.0,591.5,0
2025-12-08,591.5,591.5,591.5,591.5,0.0,591.5,0
2025-12-09,591.0,591.0,591.0,591.0,0.0,591.0,0
2025-12-10,588.0,588.0,588.0,588.0,0.0,588.0,0
2025-12-11,590.5,590.5,590.5,590.5,0.0,590.5,0
2025-12-12,587.5,587.5,587.5,587.5,0.0,587.5,0
2025-12-15,582.0,582.0,582.0,582.0,0.0,582.0,0
2025-12-16,575.0,575.0,575.0,575.0,0.0,575.0,0
2025-12-17,576.0,576.0,576.0,576.0,0.0,576.0,0
2025-12-18,578.5,578.5,578.5,578.5,0.0,578.5,0
2025-12-19,579.0,579.0,579.0,579.0,0.0,579.0,0
2025-12-22,584.5,584.5,584.5,584.5,0.0,584.5,0
2025-12-23,585.5,585.5,585.5,585.5,0.0,585.5,0
2025-12-24,591.5,591.5,591.5,591.5,0.0,591.5,0
2025-12-26,590.0,590.0,590.0,590.0,0.0,590.0,0
2025-12-29,586.0,586.0,586.0,586.0,0.0,586.0,0
2025-12-30,583.5,583.5,583.5,583.5,0.0,583.5,0
2025-12-31,581.0,581.0,581.0,581.0,0.0,581.0,0
2026-01-02,581.0,581.0,581.0,581.0,0.0,581.0,0
2026-01-05,584.5,584.5,584.5,584.5,0.0,584.5,0
2026-01-06,582.0,582.0,582.0,582.0,0.0,582.0,0
2026-01-07,587.5,587.5,587.5,587.5,0.0,587.5,0
2026-01-08,589.5,589.5,589.5,589.5,0.0,589.5,0
2026-01-09,588.5,588.5,588.5,588.5,0.0,588.5,0
2026-01-12,585.0,585.0,585.0,585.0,0.0,585.0,0
2026-01-13,584.0,584.0,584.0,584.0,0.0,584.0,0
2026-01-14,585.5,585.5,585.5,585.5,0.0,585.5,0
2026-01-15,583.0,583.0,583.0,583.0,0.0,583.0,0
2026-01-16,589.5,589.5,589.5,589.5,0.0,589.5,0
2026-01-20,585.0,585.0,585.0,585.0,0.0,585.0,0
2026-01-21,582.5,582.5,582.5,582.5,0.0,582.5,0
2026-01-22,590.0,590.0,590.0,590.0,0.0,590.0,0
2026-01-23,600.5,600.5,600.5,600.5,0.0,600.5,0
2026-01-26,596.0,596.0,596.0,596.0,0.0,596.0,0
2026-01-27,593.5,593.5,593.5,593.5,0.0,593.5,0
2026-01-28,603.0,603.0,603.0,603.0,0.0,603.0,0
2026-01-29,608.0,608.0,608.0,608.0,0.0,608.0,0
2026-01-30,601.0,601.0,601.0,601.0,0.0,601.0,0
2026-02-02,594.5,594.5,594.5,594.5,0.0,594.5,0
2026-02-03,596.0,596.0,596.0,596.0,0.0,596.0,0
2026-02-04,595.0,595.0,595.0,595.0,0.0,595.0,0
2026-02-05,601.5,601.5,601.5,601.5,0.0,601.5,0
2026-02-06,596.0,596.0,596.0,596.0,0.0,596.0,0
2026-02-09,596.0,596.0,596.0,596.0,0.0,596.0,0
2026-02-10,596.0,596.0,596.0,596.0,0.0,596.0,0
2026-02-11,600.0,600.0,600.0,600.0,0.0,600.0,0
2026-02-12,611.0,611.0,611.0,611.0,0.0,611.0,0
2026-02-13,601.0,601.0,601.0,601.0,0.0,601.0,0
2026-02-17,597.5,597.5,597.5,597.5,0.0,597.5,0
2026-02-18,604.5,604.5,604.5,604.5,0.0,604.5,0
2026-02-19,617.5,617.5,617.5,617.5,0.0,617.5,0
2026-02-20,629.5,629.5,629.5,629.5,0.0,629.5,0
2026-02-23,625.5,625.5,625.5,625.5,0.0,625.5,0
2026-02-24,626.5,626.5,626.5,626.5,0.0,626.5,0
2026-02-25,621.0,621.0,621.0,621.0,0.0,621.0,0
2026-02-26,625.5,625.5,625.5,625.5,0.0,625.5,0
2026-02-27,640.5,640.5,640.5,640.5,0.0,640.5,0
2026-03-02,630.0,630.0,630.0,630.0,0.0,630.0,0
