date,open,high,low,close,volume,average,barCount
2025-11-24,598.0,598.0,598.0,598.0,0.0,598.0,0
2025-11-25,601.0,601.0,601.0,601.0,0.0,601.0,0
2025-11-26,603.5,603.5,603.5,603.5,0.0,603.5,0
2025-11-28,601.5,601.5,601.5,601.5,0.0,601.5,0
2025-12-01,598.5,598.5,598.5,598.5,0.0,598.5,0
2025-12-02,601.0,601.0,601.0,601.0,0.0,601.0,0
2025-12-03,598.0,598.0,598.0,598.0,0.0,598.0,0
2025-12-04,600.5,600.5,600.5,600.5,0.0,600.5,0
2025-12-05,596.0,596.0,596.0,596.0,0.0,596.0,0
2025-12-08,596.0,596.0,596.0,596.0,0.0,596.0,0
2025-12-09,596.0,596.0,596.0,596.0,0.0,596.0,0
2025-12-10,593.0,593.0,593.0,593.0,0.0,593.0,0
2025-12-11,595.0,595.0,595.0,595.0,0.0,595.0,0
2025-12-12,593.0,593.0,593.0,593.0,0.0,593.0,0
2025-12-15,590.0,590.0,590.0,590.0,0.0,590.0,0
2025-12-16,584.0,584.0,584.0,584.0,0.0,584.0,0
2025-12-17,585.0,585.0,585.0,585.0,0.0,585.0,0
2025-12-18,587.0,587.0,587.0,587.0,0.0,587.0,0
2025-12-19,587.5,587.5,587.5,587.5,0.0,587.5,0
2025-12-22,592.5,592.5,592.5,592.5,0.0,592.5,0
2025-12-23,594.0,594.0,594.0,594.0,0.0,594.0,0
2025-12-24,600.0,600.0,600.0,600.0,0.0,600.0,0
2025-12-26,599.0,599.0,599.0,599.0,0.0,599.0,0
2025-12-29,595.0,595.0,595.0,595.0,0.0,595.0,0
2025-12-30,592.5,592.5,592.5,592.5,0.0,592.5,0
2025-12-31,589.5,589.5,589.5,589.5,0.0,589.5,0
2026-01-02,589.5,589.5,589.5,589.5,0.0,589.5,0
2026-01-05,593.0,593.0,593.0,593.0,0.0,593.0,0
2026-01-06,590.5,590.5,590.5,590.5,0.0,590.5,0
2026-01-07,596.5,596.5,596.5,596.5,0.0,596.5,0
2026-01-08,598.0,598.0,598.0,598.0,0.0,598.0,0
2026-01-09,597.0,597.0,597.0,597.0,0.0,597.0,0
2026-01-12,593.0,593.0,593.0,593.0,0.0,593.0,0
2026-01-13,593.0,593.0,593.0,593.0,0.0,593.0,0
2026-01-14,594.0,594.0,594.0,594.0,0.0,594.0,0
2026-01-15,591.5,591.5,591.5,591.5,0.0,591.5,0
2026-01-16,598.0,598.0,598.0,598.0,0.0,598.0,0
2026-01-20,593.5,593.5,593.5,593.5,0.0,593.5,0
2026-01-21,591.5,591.5,591.5,591.5,0.0,591.5,0
2026-01-22,598.5,598.5,598.5,598.5,0.0,598.5,0
2026-01-23,608.5,608.5,608.5,608.5,0.0,608.5,0
2026-01-26,604.5,604.5,604.5,604.5,0.0,604.5,0
2026-01-27,602.0,602.0,602.0,602.0,0.0,602.0,0
2026-01-28,611.0,611.0,611.0,611.0,0.0,611.0,0
2026-01-29,616.0,616.0,616.0,616.0,0.0,616.0,0
2026-01-30,609.0,609.0,609.0,609.0,0.0,609.0,0
2026-02-02,602.5,602.5,602.5,602.5,0.0,602.5,0
2026-02-03,604.5,604.5,604.5,604.5,0.0,604.5,0
2026-02-04,604.0,604.0,604.0,604.0,0.0,604.0,0
2026-02-05,610.0,610.0,610.0,610.0,0.0,610.0,0
2026-02-06,604.0,604.0,604.0,604.0,0.0,604.0,0
2026-02-09,604.5,604.5,604.5,604.5,0.0,604.5,0
2026-02-10,604.0,604.0,604.0,604.0,0.0,604.0,0
2026-02-11,607.0,607.0,607.0,607.0,0.0,607.0,0
2026-02-12,618.5,618.5,618.5,618.5,0.0,618.5,0
2026-02-13,609.0,609.0,609.0,609.0,0.0,609.0,0
2026-02-17,605.5,605.5,605.5,605.5,0.0,605.5,0
2026-02-18,611.5,611.5,611.5,611.5,0.0,611.5,0
2026-02-19,624.0,624.0,624.0,624.0,0.0,624.0,0
2026-02-20,636.0,636.0,636.0,636.0,0.0,636.0,0
2026-02-23,632.0,632.0,632.0,632.0,0.0,632.0,0
2026-02-24,633.5,633.5,633.5,633.5,0.0,633.5,0
2026-02-25,628.0,628.0,628.0,628.0,0.0,628.0,0
2026-02-26,632.5,632.5,632.5,632.5,0.0,632.5,0
2026-02-27,647.0,647.0,647.0,647.0,0.0,647.0,0
2026-03-02,637.0,637.0,637.0,637.0,0.0,637.0,0
2026-03-03,637.5,637.5,637.5,637.5,0.0,637.5,0
2026-03-04,630.0,630.0,630.0,630.0,0.0,630.0,0
2026-03-05,643.5,643.5,643.5,643.5,0.0,643.5,0
2026-03-06,668.0,668.0,668.0,668.0,0.0,668.0,0
2026-03-09,658.0,658.0,658.0,658.0,0.0,658.0,0
2026-03-10,654.0,654.0,654.0,654.0,0.0,654.0,0
2026-03-11,656.5,656.5,656.5,656.5,0.0,656.5,0
2026-03-12,658.5,658.5,658.5,658.5,0.0,658.5,0
2026-03-13,672.0,672.0,672.0,672.0,0.0,672.0,0
2026-03-16,657.0,657.0,657.0,657.0,0.0,657.0,0
2026-03-17,650.0,650.0,650.0,650.0,0.0,650.0,0
2026-03-18,663.5,663.5,663.5,663.5,0.0,663.5,0
2026-03-19,669.0,669.0,669.0,669.0,0.0,669.0,0
2026-03-20,656.5,656.5,656.5,656.5,0.0,656.5,0
2026-03-23,651.5,651.5,651.5,651.5,0.0,651.5,0
2026-03-24,653.5,653.5,653.5,653.5,0.0,653.5,0
2026-03-25,660.0,660.0,660.0,660.0,0.0,660.0,0
2026-03-26,665.0,665.0,665.0,665.0,0.0,665.0,0
2026-03-27,665.0,665.0,665.0,665.0,0.0,665.0,0
2026-03-30,666.5,666.5,666.5,666.5,0.0,666.5,0
2026-03-31,671.0,671.0,671.0,671.0,0.0,671.0,0
2026-04-01,658.0,658.0,658.0,658.0,0.0,658.0,0
2026-04-02,658.5,658.5,658.5,658.5,0.0,658.5,0
2026-04-06,658.5,658.5,658.5,658.5,0.0,658.5,0
2026-04-07,660.5,660.5,660.5,660.5,0.0,660.5,0
2026-04-08,646.0,646.0,646.0,646.0,0.0,646.0,0
2026-04-09,639.0,639.0,639.0,639.0,0.0,639.0,0
2026-04-10,634.5,634.5,634.5,634.5,0.0,634.5,0
2026-04-13,642.5,642.5,642.5,642.5,0.0,642.5,0
2026-04-14,652.0,652.0,652.0,652.0,0.0,652.0,0
2026-04-15,654.5,654.5,654.5,654.5,0.0,654.5,0
2026-04-16,657.0,657.0,657.0,657.0,0.0,657.0,0
2026-04-17,653.0,653.0,653.0,653.0,0.0,653.0,0
2026-04-20,660.0,660.0,660.0,660.0,0.0,660.0,0
2026-04-21,668.0,668.0,668.0,668.0,0.0,668.0,0
2026-04-22,662.5,662.5,662.5,662.5,0.0,662.5,0
2026-04-23,674.0,674.0,674.0,674.0,0.0,674.0,0
2026-04-24,673.5,673.5,673.5,673.5,0.0,673.5,0
2026-04-27,685.0,685.0,685.0,685.0,0.0,685.0,0
2026-04-28,708.0,708.0,708.0,708.0,0.0,708.0,0
2026-04-29,715.0,715.0,707.0,707.0,2.0,715.0,1
2026-04-30,697.5,697.5,697.5,697.5,0.0,697.5,0
2026-05-01,694.0,698.0,694.0,698.0,2.0,694.0,2
2026-05-04,703.0,703.0,703.0,703.0,0.0,703.0,0
2026-05-05,693.0,693.0,693.0,693.0,0.0,693.0,0
2026-05-06,682.0,682.0,682.0,682.0,0.0,682.0,0
2026-05-07,674.0,675.5,674.0,675.5,5.0,674.0,1
2026-05-08,681.5,681.5,681.5,681.5,0.0,681.5,0
2026-05-11,684.5,696.5,684.5,696.5,1.0,684.5,1
2026-05-12,729.5,729.5,729.5,729.5,0.0,729.5,0
2026-05-13,728.0,728.0,728.0,728.0,0.0,728.0,0
2026-05-14,712.5,712.5,712.5,712.5,0.0,712.5,0
2026-05-15,711.0,711.0,693.0,693.0,5.0,700.8,3
2026-05-18,717.5,717.5,717.5,717.5,0.0,717.5,0
2026-05-19,719.5,719.5,719.5,719.5,0.0,719.5,0
