date,open,high,low,close,volume,average,barCount
2025-02-25,656.0,656.0,656.0,656.0,0.0,656.0,0
2025-02-26,646.5,646.5,646.5,646.5,0.0,646.5,0
2025-02-27,634.0,634.0,634.0,634.0,0.0,634.0,0
2025-02-28,626.0,626.0,626.0,626.0,0.0,626.0,0
2025-03-03,621.5,621.5,621.5,621.5,0.0,621.5,0
2025-03-04,618.5,618.5,618.5,618.5,0.0,618.5,0
2025-03-05,623.0,623.0,623.0,623.0,0.0,623.0,0
2025-03-06,627.0,627.0,627.0,627.0,0.0,627.0,0
2025-03-07,626.5,626.5,626.5,626.5,0.0,626.5,0
2025-03-10,637.0,637.0,637.0,637.0,0.0,637.0,0
2025-03-11,636.0,636.0,636.0,636.0,0.0,636.0,0
2025-03-12,635.5,635.5,635.5,635.5,0.0,635.5,0
2025-03-13,641.5,641.5,641.5,641.5,0.0,641.5,0
2025-03-14,640.0,640.0,640.0,640.0,0.0,640.0,0
2025-03-17,648.0,648.0,648.0,648.0,0.0,648.0,0
2025-03-18,646.0,646.0,646.0,646.0,0.0,646.0,0
2025-03-19,645.5,645.5,645.5,645.5,0.0,645.5,0
2025-03-20,638.5,638.5,638.5,638.5,0.0,638.5,0
2025-03-21,638.5,638.5,638.5,638.5,0.0,638.5,0
2025-03-24,633.5,633.5,633.5,633.5,0.0,633.5,0
2025-03-25,628.5,628.5,628.5,628.5,0.0,628.5,0
2025-03-26,623.0,623.0,623.0,623.0,0.0,623.0,0
2025-03-27,623.0,623.0,623.0,623.0,0.0,623.0,0
2025-03-28,618.5,618.5,618.5,618.5,0.0,618.5,0
2025-03-31,621.0,621.0,621.0,621.0,0.0,621.0,0
2025-04-01,625.5,625.5,625.5,625.5,0.0,625.5,0
2025-04-02,623.5,623.5,623.5,623.5,0.0,623.5,0
2025-04-03,623.5,623.5,623.5,623.5,0.0,623.5,0
2025-04-04,617.0,617.0,617.0,617.0,0.0,617.0,0
2025-04-07,618.5,618.5,618.5,618.5,0.0,618.5,0
2025-04-08,621.5,621.5,621.5,621.5,0.0,621.5,0
2025-04-09,622.5,622.5,622.5,622.5,0.0,622.5,0
2025-04-10,623.0,623.0,623.0,623.0,0.0,623.0,0
2025-04-11,635.0,635.0,635.0,635.0,0.0,635.0,0
2025-04-14,631.0,631.0,631.0,631.0,0.0,631.0,0
2025-04-15,625.0,625.0,625.0,625.0,0.0,625.0,0
2025-04-16,626.0,626.0,626.0,626.0,0.0,626.0,0
2025-04-17,629.0,629.0,629.0,629.0,0.0,629.0,0
2025-04-21,623.5,623.5,623.5,623.5,0.0,623.5,0
2025-04-22,619.5,619.5,619.5,619.5,0.0,619.5,0
2025-04-23,615.0,615.0,615.0,615.0,0.0,615.0,0
2025-04-24,617.0,617.0,617.0,617.0,0.0,617.0,0
2025-04-25,618.0,618.0,618.0,618.0,0.0,618.0,0
2025-04-28,609.0,609.0,609.0,609.0,0.0,609.0,0
2025-04-29,602.5,602.5,602.5,602.5,0.0,602.5,0
2025-04-30,606.0,606.0,606.0,606.0,0.0,606.0,0
2025-05-01,604.5,604.5,604.5,604.5,0.0,604.5,0
2025-05-02,612.5,612.5,612.5,612.5,0.0,612.5,0
