date,open,high,low,close,volume,average,barCount
2025-02-25,662.5,662.5,662.5,662.5,0.0,662.5,0
2025-02-26,652.5,652.5,652.5,652.5,0.0,652.5,0
2025-02-27,640.0,640.0,640.0,640.0,0.0,640.0,0
2025-02-28,632.0,632.0,632.0,632.0,0.0,632.0,0
2025-03-03,627.5,627.5,627.5,627.5,0.0,627.5,0
2025-03-04,626.0,626.0,626.0,626.0,0.0,626.0,0
2025-03-05,630.5,630.5,630.5,630.5,0.0,630.5,0
2025-03-06,633.5,633.5,633.5,633.5,0.0,633.5,0
2025-03-07,633.5,633.5,633.5,633.5,0.0,633.5,0
2025-03-10,643.5,643.5,643.5,643.5,0.0,643.5,0
2025-03-11,643.0,643.0,643.0,643.0,0.0,643.0,0
2025-03-12,642.5,642.5,642.5,642.5,0.0,642.5,0
2025-03-13,648.0,648.0,648.0,648.0,0.0,648.0,0
2025-03-14,647.5,647.5,647.5,647.5,0.0,647.5,0
2025-03-17,654.0,654.0,654.0,654.0,0.0,654.0,0
2025-03-18,652.5,652.5,652.5,652.5,0.0,652.5,0
2025-03-19,652.5,652.5,652.5,652.5,0.0,652.5,0
2025-03-20,646.0,646.0,646.0,646.0,0.0,646.0,0
2025-03-21,645.5,645.5,645.5,645.5,0.0,645.5,0
2025-03-24,642.0,642.0,642.0,642.0,0.0,642.0,0
2025-03-25,637.5,637.5,637.5,637.5,0.0,637.5,0
2025-03-26,633.0,633.0,633.0,633.0,0.0,633.0,0
2025-03-27,632.5,632.5,632.5,632.5,0.0,632.5,0
2025-03-28,628.0,628.0,628.0,628.0,0.0,628.0,0
2025-03-31,630.0,630.0,630.0,630.0,0.0,630.0,0
2025-04-01,634.5,634.5,634.5,634.5,0.0,634.5,0
2025-04-02,632.0,632.0,632.0,632.0,0.0,632.0,0
2025-04-03,632.5,632.5,632.5,632.5,0.0,632.5,0
2025-04-04,627.0,627.0,627.0,627.0,0.0,627.0,0
2025-04-07,627.0,627.0,627.0,627.0,0.0,627.0,0
2025-04-08,629.5,629.5,629.5,629.5,0.0,629.5,0
2025-04-09,630.5,630.5,630.5,630.5,0.0,630.5,0
2025-04-10,631.5,631.5,631.5,631.5,0.0,631.5,0
2025-04-11,643.0,643.0,643.0,643.0,0.0,643.0,0
2025-04-14,640.0,640.0,640.0,640.0,0.0,640.0,0
2025-04-15,634.5,634.5,634.5,634.5,0.0,634.5,0
2025-04-16,635.0,635.0,635.0,635.0,0.0,635.0,0
