date,open,high,low,close,volume,average,barCount
2025-02-25,673.0,673.0,673.0,673.0,0.0,673.0,0
2025-02-26,662.5,662.5,662.5,662.5,0.0,662.5,0
2025-02-27,650.5,650.5,650.5,650.5,0.0,650.5,0
2025-02-28,642.5,642.5,642.5,642.5,0.0,642.5,0
2025-03-03,638.0,638.0,638.0,638.0,0.0,638.0,0
2025-03-04,637.5,637.5,637.5,637.5,0.0,637.5,0
2025-03-05,641.5,641.5,641.5,641.5,0.0,641.5,0
2025-03-06,644.0,644.0,644.0,644.0,0.0,644.0,0
2025-03-07,644.5,644.5,644.5,644.5,0.0,644.5,0
2025-03-10,654.0,654.0,654.0,654.0,0.0,654.0,0
2025-03-11,654.0,654.0,654.0,654.0,0.0,654.0,0
2025-03-12,653.0,653.0,653.0,653.0,0.0,653.0,0
2025-03-13,659.0,659.0,659.0,659.0,0.0,659.0,0
2025-03-14,658.5,658.5,658.5,658.5,0.0,658.5,0
2025-03-17,664.5,664.5,664.5,664.5,0.0,664.5,0
2025-03-18,663.5,663.5,663.5,663.5,0.0,663.5,0
2025-03-19,663.5,663.5,663.5,663.5,0.0,663.5,0
2025-03-20,656.5,656.5,656.5,656.5,0.0,656.5,0
2025-03-21,656.0,656.0,656.0,656.0,0.0,656.0,0
2025-03-24,654.5,654.5,654.5,654.5,0.0,654.5,0
2025-03-25,650.5,650.5,650.5,650.5,0.0,650.5,0
2025-03-26,647.0,647.0,647.0,647.0,0.0,647.0,0
2025-03-27,646.0,646.0,646.0,646.0,0.0,646.0,0
2025-03-28,642.5,642.5,642.5,642.5,0.0,642.5,0
2025-03-31,642.5,642.5,642.5,642.5,0.0,642.5,0
2025-04-01,647.0,647.0,647.0,647.0,0.0,647.0,0
2025-04-02,644.5,644.5,644.5,644.5,0.0,644.5,0
2025-04-03,645.5,645.5,645.5,645.5,0.0,645.5,0
2025-04-04,640.5,640.5,640.5,640.5,0.0,640.5,0
2025-04-07,639.5,639.5,639.5,639.5,0.0,639.5,0
2025-04-08,642.0,642.0,642.0,642.0,0.0,642.0,0
2025-04-09,643.0,643.0,643.0,643.0,0.0,643.0,0
2025-04-10,644.0,644.0,644.0,644.0,0.0,644.0,0
2025-04-11,655.0,655.0,655.0,655.0,0.0,655.0,0
2025-04-14,654.0,654.0,654.0,654.0,0.0,654.0,0
2025-04-15,648.0,648.0,648.0,648.0,0.0,648.0,0
2025-04-16,648.0,648.0,648.0,648.0,0.0,648.0,0
2025-04-17,650.5,650.5,650.5,650.5,0.0,650.5,0
2025-04-21,646.0,646.0,646.0,646.0,0.0,646.0,0
2025-04-22,642.5,642.5,642.5,642.5,0.0,642.5,0
2025-04-23,641.5,641.5,641.5,641.5,0.0,641.5,0
2025-04-24,643.0,643.0,643.0,643.0,0.0,643.0,0
2025-04-25,644.0,644.0,644.0,644.0,0.0,644.0,0
2025-04-28,638.0,638.0,638.0,638.0,0.0,638.0,0
2025-04-29,631.5,631.5,631.5,631.5,0.0,631.5,0
2025-04-30,634.5,634.5,634.5,634.5,0.0,634.5,0
2025-05-01,631.5,631.5,631.5,631.5,0.0,631.5,0
2025-05-02,638.5,638.5,638.5,638.5,0.0,638.5,0
2025-05-05,631.5,631.5,631.5,631.5,0.0,631.5,0
2025-05-06,635.5,635.5,635.5,635.5,0.0,635.5,0
2025-05-07,635.5,635.5,635.5,635.5,0.0,635.5,0
2025-05-08,630.5,630.5,630.5,630.5,0.0,630.5,0
2025-05-09,624.0,624.0,624.0,624.0,0.0,624.0,0
2025-05-12,619.0,619.0,619.0,619.0,0.0,619.0,0
2025-05-13,620.0,620.0,620.0,620.0,0.0,620.0,0
2025-05-14,626.5,626.5,626.5,626.5,0.0,626.5,0
2025-05-15,633.5,633.5,633.5,633.5,0.0,633.5,0
2025-05-16,628.5,628.5,628.5,628.5,0.0,628.5,0
2025-05-19,631.5,631.5,631.5,631.5,0.0,631.5,0
2025-05-20,644.0,644.0,644.0,644.0,0.0,644.0,0
2025-05-21,650.0,650.0,650.0,650.0,0.0,650.0,0
2025-05-22,648.5,648.5,648.5,648.5,0.0,648.5,0
2025-05-23,648.0,648.0,648.0,648.0,0.0,648.0,0
2025-05-27,637.5,637.5,637.5,637.5,0.0,637.5,0
2025-05-28,639.0,639.0,639.0,639.0,0.0,639.0,0
2025-05-29,642.0,642.0,642.0,642.0,0.0,642.0,0
2025-05-30,639.5,639.5,639.5,639.5,0.0,639.5,0
2025-06-02,642.0,642.0,642.0,642.0,0.0,642.0,0
