date,open,high,low,close,volume,average,barCount
2017-03-14,3.411,3.411,3.411,3.411,0.0,3.411,0
2017-03-15,3.431,3.431,3.431,3.431,0.0,3.431,0
2017-03-16,3.45,3.45,3.45,3.45,0.0,3.45,0
2017-03-17,3.455,3.455,3.455,3.455,0.0,3.455,0
2017-03-20,3.458,3.458,3.458,3.458,0.0,3.458,0
2017-03-21,3.471,3.471,3.471,3.471,0.0,3.471,0
2017-03-22,3.473,3.473,3.473,3.473,0.0,3.473,0
2017-03-23,3.468,3.468,3.468,3.468,0.0,3.468,0
2017-03-24,3.436,3.436,3.436,3.436,0.0,3.436,0
2017-03-27,3.426,3.426,3.426,3.426,0.0,3.426,0
2017-03-28,3.417,3.417,3.417,3.417,0.0,3.417,0
2017-03-29,3.425,3.425,3.425,3.425,0.0,3.425,0
2017-03-30,3.428,3.428,3.428,3.428,0.0,3.428,0
2017-03-31,3.434,3.434,3.434,3.434,0.0,3.434,0
2017-04-03,3.441,3.441,3.441,3.441,0.0,3.441,0
2017-04-04,3.454,3.454,3.454,3.454,0.0,3.454,0
2017-04-05,3.473,3.473,3.473,3.473,0.0,3.473,0
2017-04-06,3.457,3.457,3.457,3.457,0.0,3.457,0
2017-04-07,3.471,3.471,3.471,3.471,0.0,3.471,0
2017-04-10,3.48,3.48,3.48,3.48,0.0,3.48,0
2017-04-11,3.511,3.511,3.511,3.511,0.0,3.511,0
2017-04-12,3.512,3.512,3.512,3.512,0.0,3.512,0
2017-04-13,3.527,3.527,3.527,3.527,0.0,3.527,0
2017-04-17,3.514,3.514,3.514,3.514,0.0,3.514,0
2017-04-18,3.544,3.544,3.544,3.544,0.0,3.544,0
2017-04-19,3.555,3.555,3.555,3.555,0.0,3.555,0
2017-04-20,3.589,3.589,3.589,3.589,0.0,3.589,0
2017-04-21,3.59,3.59,3.59,3.59,0.0,3.59,0
2017-04-24,3.549,3.549,3.549,3.549,0.0,3.549,0
2017-04-25,3.549,3.549,3.549,3.549,0.0,3.549,0
2017-04-26,3.54,3.54,3.54,3.54,0.0,3.54,0
2017-04-27,3.531,3.531,3.531,3.531,0.0,3.531,0
2017-04-28,3.547,3.547,3.547,3.547,0.0,3.547,0
2017-05-01,3.522,3.522,3.522,3.522,0.0,3.522,0
2017-05-02,3.523,3.523,3.523,3.523,0.0,3.523,0
2017-05-03,3.542,3.542,3.542,3.542,0.0,3.542,0
2017-05-04,3.585,3.585,3.585,3.585,0.0,3.585,0
2017-05-05,3.585,3.585,3.585,3.585,0.0,3.585,0
2017-05-08,3.576,3.576,3.576,3.576,0.0,3.576,0
2017-05-09,3.579,3.579,3.579,3.579,0.0,3.579,0
2017-05-10,3.58,3.58,3.58,3.58,0.0,3.58,0
2017-05-11,3.614,3.614,3.614,3.614,0.0,3.614,0
2017-05-12,3.618,3.618,3.618,3.618,0.0,3.618,0
2017-05-15,3.613,3.613,3.613,3.613,0.0,3.613,0
2017-05-16,3.63,3.63,3.63,3.63,0.0,3.63,0
2017-05-17,3.626,3.626,3.626,3.626,0.0,3.626,0
2017-05-18,3.613,3.613,3.613,3.613,0.0,3.613,0
2017-05-19,3.603,3.603,3.603,3.603,0.0,3.603,0
2017-05-22,3.605,3.605,3.605,3.605,0.0,3.605,0
2017-05-23,3.674,3.674,3.674,3.674,0.0,3.674,0
2017-05-24,3.676,3.676,3.676,3.676,0.0,3.676,0
2017-05-25,3.659,3.659,3.659,3.659,0.0,3.659,0
2017-05-26,3.644,3.644,3.644,3.644,0.0,3.644,0
2017-05-30,3.612,3.612,3.612,3.612,0.0,3.612,0
2017-05-31,3.608,3.608,3.608,3.608,0.0,3.608,0
2017-06-01,3.61,3.61,3.61,3.61,0.0,3.61,0
2017-06-02,3.6,3.6,3.6,3.6,0.0,3.6,0
2017-06-05,3.57,3.57,3.57,3.57,0.0,3.57,0
2017-06-06,3.512,3.512,3.512,3.512,0.0,3.512,0
2017-06-07,3.523,3.523,3.523,3.523,0.0,3.523,0
2017-06-08,3.541,3.541,3.541,3.541,0.0,3.541,0
2017-06-09,3.538,3.538,3.538,3.538,0.0,3.538,0
2017-06-12,3.54,3.54,3.54,3.54,0.0,3.54,0
2017-06-13,3.54,3.54,3.54,3.54,0.0,3.54,0
2017-06-14,3.529,3.529,3.529,3.529,0.0,3.529,0
2017-06-15,3.557,3.557,3.557,3.557,0.0,3.557,0
2017-06-16,3.546,3.546,3.546,3.546,0.0,3.546,0
2017-06-19,3.569,3.569,3.569,3.569,0.0,3.569,0
2017-06-20,3.607,3.607,3.607,3.607,0.0,3.607,0
2017-06-21,3.623,3.623,3.623,3.623,0.0,3.623,0
2017-06-22,3.617,3.617,3.617,3.617,0.0,3.617,0
2017-06-23,3.607,3.607,3.607,3.607,0.0,3.607,0
2017-06-26,3.582,3.582,3.582,3.582,0.0,3.582,0
2017-06-27,3.582,3.582,3.582,3.582,0.0,3.582,0
2017-06-28,3.572,3.572,3.572,3.572,0.0,3.572,0
2017-06-29,3.572,3.572,3.572,3.572,0.0,3.572,0
2017-06-30,3.585,3.585,3.585,3.585,0.0,3.585,0
2017-07-03,3.586,3.586,3.586,3.586,0.0,3.586,0
2017-07-05,3.563,3.563,3.563,3.563,0.0,3.563,0
2017-07-06,3.513,3.513,3.513,3.513,0.0,3.513,0
2017-07-07,3.508,3.508,3.508,3.508,0.0,3.508,0
2017-07-10,3.495,3.495,3.495,3.495,0.0,3.495,0
2017-07-11,3.492,3.492,3.492,3.492,0.0,3.492,0
2017-07-12,3.478,3.478,3.478,3.478,0.0,3.478,0
2017-07-13,3.491,3.491,3.491,3.491,0.0,3.491,0
2017-07-14,3.494,3.494,3.494,3.494,0.0,3.494,0
2017-07-17,3.487,3.487,3.487,3.487,0.0,3.487,0
2017-07-18,3.491,3.491,3.491,3.491,0.0,3.491,0
2017-07-19,3.476,3.476,3.476,3.476,0.0,3.476,0
2017-07-20,3.457,3.457,3.457,3.457,0.0,3.457,0
2017-07-21,3.455,3.455,3.455,3.455,0.0,3.455,0
2017-07-24,3.429,3.429,3.429,3.429,0.0,3.429,0
2017-07-25,3.405,3.405,3.405,3.405,0.0,3.405,0
2017-07-26,3.395,3.395,3.395,3.395,0.0,3.395,0
2017-07-27,3.396,3.396,3.396,3.396,0.0,3.396,0
2017-07-28,3.411,3.411,3.411,3.411,0.0,3.411,0
2017-07-31,3.392,3.392,3.392,3.392,0.0,3.392,0
2017-08-01,3.414,3.414,3.414,3.414,0.0,3.414,0
2017-08-02,3.423,3.423,3.423,3.423,0.0,3.423,0
2017-08-03,3.446,3.446,3.446,3.446,0.0,3.446,0
2017-08-04,3.456,3.456,3.456,3.456,0.0,3.456,0
2017-08-07,3.455,3.455,3.455,3.455,0.0,3.455,0
2017-08-08,3.438,3.438,3.438,3.438,0.0,3.438,0
2017-08-09,3.432,3.432,3.432,3.432,0.0,3.432,0
2017-08-10,3.429,3.429,3.429,3.429,0.0,3.429,0
2017-08-11,3.433,3.433,3.433,3.433,0.0,3.433,0
2017-08-14,3.429,3.429,3.429,3.429,0.0,3.429,0
2017-08-15,3.427,3.427,3.427,3.427,0.0,3.427,0
2017-08-16,3.417,3.417,3.417,3.417,0.0,3.417,0
2017-08-17,3.416,3.416,3.416,3.416,0.0,3.416,0
2017-08-18,3.416,3.416,3.416,3.416,0.0,3.416,0
2017-08-21,3.406,3.406,3.406,3.406,0.0,3.406,0
2017-08-22,3.398,3.398,3.398,3.398,0.0,3.398,0
2017-08-23,3.396,3.396,3.396,3.396,0.0,3.396,0
2017-08-24,3.349,3.349,3.349,3.349,0.0,3.349,0
2017-08-25,3.336,3.336,3.336,3.336,0.0,3.336,0
2017-08-28,3.349,3.349,3.349,3.349,0.0,3.349,0
2017-08-29,3.351,3.351,3.351,3.351,0.0,3.351,0
2017-08-30,3.356,3.356,3.356,3.356,0.0,3.356,0
2017-08-31,3.364,3.364,3.364,3.364,0.0,3.364,0
2017-09-01,3.365,3.365,3.365,3.365,0.0,3.365,0
2017-09-05,3.361,3.361,3.361,3.361,0.0,3.361,0
2017-09-06,3.322,3.322,3.322,3.322,0.0,3.322,0
2017-09-07,3.356,3.356,3.356,3.356,0.0,3.356,0
2017-09-08,3.36,3.36,3.36,3.36,0.0,3.36,0
2017-09-11,3.371,3.371,3.371,3.371,0.0,3.371,0
2017-09-12,3.353,3.353,3.353,3.353,0.0,3.353,0
2017-09-13,3.339,3.339,3.339,3.339,0.0,3.339,0
2017-09-14,3.334,3.334,3.334,3.334,0.0,3.334,0
2017-09-15,3.339,3.339,3.339,3.339,0.0,3.339,0
2017-09-18,3.349,3.349,3.349,3.349,0.0,3.349,0
2017-09-19,3.337,3.337,3.337,3.337,0.0,3.337,0
2017-09-20,3.327,3.327,3.327,3.327,0.0,3.327,0
2017-09-21,3.318,3.318,3.318,3.318,0.0,3.318,0
2017-09-22,3.332,3.332,3.332,3.332,0.0,3.332,0
