date,open,high,low,close,volume,average,barCount
2023-11-29,4.441,4.441,4.441,4.441,0.0,4.441,0
2023-11-30,4.46,4.46,4.46,4.46,0.0,4.46,0
2023-12-01,4.476,4.476,4.476,4.476,0.0,4.476,0
2023-12-04,4.442,4.442,4.442,4.442,0.0,4.442,0
2023-12-05,4.407,4.407,4.407,4.407,0.0,4.407,0
2023-12-06,4.217,4.217,4.217,4.217,0.0,4.217,0
2023-12-07,4.257,4.257,4.257,4.257,0.0,4.257,0
2023-12-08,4.283,4.283,4.283,4.283,0.0,4.283,0
2023-12-11,4.315,4.315,4.315,4.315,0.0,4.315,0
2023-12-12,4.364,4.364,4.364,4.364,0.0,4.364,0
2023-12-13,4.443,4.443,4.443,4.443,0.0,4.443,0
2023-12-14,4.453,4.453,4.453,4.453,0.0,4.453,0
2023-12-15,4.532,4.532,4.532,4.532,0.0,4.532,0
2023-12-18,4.529,4.529,4.529,4.529,0.0,4.529,0
2023-12-19,4.412,4.412,4.412,4.412,0.0,4.412,0
2023-12-20,4.483,4.483,4.483,4.483,0.0,4.483,0
2023-12-21,4.387,4.387,4.387,4.387,0.0,4.387,0
2023-12-22,4.525,4.525,4.525,4.525,0.0,4.525,0
2023-12-26,4.44,4.44,4.44,4.44,0.0,4.44,0
2023-12-27,4.459,4.459,4.459,4.459,0.0,4.459,0
2023-12-28,4.354,4.354,4.354,4.354,0.0,4.354,0
2023-12-29,4.264,4.264,4.264,4.264,0.0,4.264,0
2024-01-02,4.289,4.289,4.289,4.289,0.0,4.289,0
2024-01-03,4.44,4.44,4.44,4.44,0.0,4.44,0
2024-01-04,4.471,4.471,4.471,4.471,0.0,4.471,0
2024-01-05,4.473,4.473,4.473,4.473,0.0,4.473,0
2024-01-08,4.483,4.483,4.483,4.483,0.0,4.483,0
2024-01-09,4.56,4.56,4.56,4.56,0.0,4.56,0
2024-01-10,4.534,4.534,4.534,4.534,0.0,4.534,0
2024-01-11,4.227,4.227,4.227,4.227,0.0,4.227,0
2024-01-12,4.223,4.223,4.223,4.223,0.0,4.223,0
2024-01-15,4.223,4.223,4.223,4.223,0.0,4.223,0
2024-01-16,4.205,4.205,4.205,4.205,0.0,4.205,0
2024-01-17,4.253,4.253,4.253,4.253,0.0,4.253,0
2024-01-18,4.205,4.205,4.205,4.205,0.0,4.205,0
2024-01-19,4.192,4.192,4.192,4.192,0.0,4.192,0
2024-01-22,4.176,4.176,4.176,4.176,0.0,4.176,0
2024-01-23,4.289,4.289,4.289,4.289,0.0,4.289,0
2024-01-24,4.042,4.042,4.042,4.042,0.0,4.042,0
2024-01-25,3.942,3.942,3.942,3.942,0.0,3.942,0
2024-01-26,3.917,3.917,3.917,3.917,0.0,3.917,0
2024-01-29,3.824,3.824,3.824,3.824,0.0,3.824,0
2024-01-30,3.958,3.958,3.958,3.958,0.0,3.958,0
2024-01-31,3.879,3.879,3.879,3.879,0.0,3.879,0
2024-02-01,4.004,4.004,4.004,4.004,0.0,4.004,0
2024-02-02,4.077,4.077,4.077,4.077,0.0,4.077,0
2024-02-05,4.018,4.018,4.018,4.018,0.0,4.018,0
2024-02-06,4.057,4.057,4.057,4.057,0.0,4.057,0
2024-02-07,4.01,4.01,4.01,4.01,0.0,4.01,0
2024-02-08,3.95,3.95,3.95,3.95,0.0,3.95,0
2024-02-09,3.949,3.949,3.949,3.949,0.0,3.949,0
2024-02-12,3.946,3.946,3.946,3.946,0.0,3.946,0
2024-02-13,3.987,3.987,3.987,3.987,0.0,3.987,0
2024-02-14,3.959,3.959,3.959,3.959,0.0,3.959,0
2024-02-15,3.891,3.891,3.891,3.891,0.0,3.891,0
2024-02-16,3.871,3.871,3.871,3.871,0.0,3.871,0
2024-02-19,3.871,3.871,3.871,3.871,0.0,3.871,0
2024-02-20,3.883,3.883,3.883,3.883,0.0,3.883,0
2024-02-21,3.891,3.891,3.891,3.891,0.0,3.891,0
2024-02-22,3.985,3.985,3.985,3.985,0.0,3.985,0
2024-02-23,3.938,3.938,3.938,3.938,0.0,3.938,0
2024-02-26,3.942,3.942,3.942,3.942,0.0,3.942,0
2024-02-27,3.946,3.946,3.946,3.946,0.0,3.946,0
2024-02-28,3.966,3.966,3.966,3.966,0.0,3.966,0
2024-02-29,3.924,3.924,3.924,3.924,0.0,3.924,0
2024-03-01,3.896,3.896,3.896,3.896,0.0,3.896,0
2024-03-04,3.878,3.878,3.878,3.878,0.0,3.878,0
2024-03-05,3.91,3.91,3.91,3.91,0.0,3.91,0
2024-03-06,3.932,3.932,3.932,3.932,0.0,3.932,0
2024-03-07,3.936,3.936,3.936,3.936,0.0,3.936,0
2024-03-08,3.978,3.978,3.978,3.978,0.0,3.978,0
2024-03-11,3.994,3.994,3.994,3.994,0.0,3.994,0
2024-03-12,4.033,4.033,4.033,4.033,0.0,4.033,0
2024-03-13,4.03,4.03,4.03,4.03,0.0,4.03,0
2024-03-14,4.035,4.035,4.035,4.035,0.0,4.035,0
2024-03-15,4.026,4.026,4.026,4.026,0.0,4.026,0
2024-03-18,4.308,4.308,4.308,4.308,0.0,4.308,0
2024-03-19,4.277,4.277,4.277,4.277,0.0,4.277,0
2024-03-20,4.319,4.319,4.319,4.319,0.0,4.319,0
2024-03-21,4.285,4.285,4.285,4.285,0.0,4.285,0
2024-03-22,4.327,4.327,4.327,4.327,0.0,4.327,0
2024-03-25,4.259,4.259,4.259,4.259,0.0,4.259,0
2024-03-26,4.261,4.261,4.261,4.261,0.0,4.261,0
2024-03-27,4.246,4.246,4.246,4.246,0.0,4.246,0
2024-03-28,4.285,4.285,4.285,4.285,0.0,4.285,0
2024-04-01,4.324,4.324,4.324,4.324,0.0,4.324,0
2024-04-02,4.408,4.408,4.408,4.408,0.0,4.408,0
2024-04-03,4.586,4.586,4.586,4.586,0.0,4.586,0
2024-04-04,4.584,4.584,4.584,4.584,0.0,4.584,0
2024-04-05,4.591,4.591,4.591,4.591,0.0,4.591,0
2024-04-08,4.585,4.585,4.585,4.585,0.0,4.585,0
2024-04-09,4.539,4.539,4.539,4.539,0.0,4.539,0
2024-04-10,4.55,4.55,4.55,4.55,0.0,4.55,0
2024-04-11,4.618,4.618,4.618,4.618,0.0,4.618,0
2024-04-12,4.623,4.623,4.623,4.623,0.0,4.623,0
2024-04-15,4.645,4.645,4.645,4.645,0.0,4.645,0
2024-04-16,4.7,4.7,4.7,4.7,0.0,4.7,0
2024-04-17,4.687,4.687,4.687,4.687,0.0,4.687,0
2024-04-18,4.674,4.674,4.674,4.674,0.0,4.674,0
2024-04-19,4.689,4.689,4.689,4.689,0.0,4.689,0
2024-04-22,4.687,4.687,4.687,4.687,0.0,4.687,0
2024-04-23,4.661,4.661,4.661,4.661,0.0,4.661,0
2024-04-24,4.639,4.639,4.639,4.639,0.0,4.639,0
2024-04-25,4.663,4.663,4.663,4.663,0.0,4.663,0
2024-04-26,4.644,4.644,4.644,4.644,0.0,4.644,0
2024-04-29,4.613,4.613,4.613,4.613,0.0,4.613,0
2024-04-30,4.733,4.733,4.733,4.733,0.0,4.733,0
2024-05-01,4.731,4.731,4.731,4.731,0.0,4.731,0
2024-05-02,4.737,4.737,4.737,4.737,0.0,4.737,0
2024-05-03,4.724,4.724,4.724,4.724,0.0,4.724,0
2024-05-06,4.716,4.716,4.716,4.716,0.0,4.716,0
2024-05-07,4.659,4.659,4.659,4.659,0.0,4.659,0
2024-05-08,4.585,4.585,4.585,4.585,0.0,4.585,0
2024-05-09,4.362,4.362,4.362,4.362,0.0,4.362,0
2024-05-10,4.394,4.394,4.394,4.394,0.0,4.394,0
2024-05-13,4.409,4.409,4.409,4.409,0.0,4.409,0
2024-05-14,4.432,4.432,4.432,4.432,0.0,4.432,0
2024-05-15,4.465,4.465,4.465,4.465,0.0,4.465,0
2024-05-16,4.495,4.495,4.495,4.495,0.0,4.495,0
2024-05-17,4.566,4.566,4.566,4.566,0.0,4.566,0
2024-05-20,4.635,4.635,4.635,4.635,0.0,4.635,0
2024-05-21,4.662,4.662,4.662,4.662,0.0,4.662,0
