date,open,high,low,close,volume,average,barCount
2020-11-27,2.91,2.91,2.91,2.91,0.0,2.91,0
2020-11-30,2.896,2.896,2.896,2.896,0.0,2.896,0
2020-12-01,2.958,2.958,2.958,2.958,0.0,2.958,0
2020-12-02,3.003,3.003,3.003,3.003,0.0,3.003,0
2020-12-03,2.975,2.975,2.975,2.975,0.0,2.975,0
2020-12-04,3.015,3.015,3.015,3.015,0.0,3.015,0
2020-12-07,2.986,2.986,2.986,2.986,0.0,2.986,0
2020-12-08,2.974,2.974,2.974,2.974,0.0,2.974,0
2020-12-09,2.984,2.984,2.984,2.984,0.0,2.984,0
2020-12-10,2.989,2.989,2.989,2.989,0.0,2.989,0
2020-12-11,3.008,3.008,3.008,3.008,0.0,3.008,0
2020-12-14,3.002,3.002,3.002,3.002,0.0,3.002,0
2020-12-15,2.987,2.987,2.987,2.987,0.0,2.987,0
2020-12-16,2.999,2.999,2.999,2.999,0.0,2.999,0
2020-12-17,2.987,2.987,2.987,2.987,0.0,2.987,0
2020-12-18,3.001,3.001,3.001,3.001,0.0,3.001,0
2020-12-21,2.972,2.972,2.972,2.972,0.0,2.972,0
2020-12-22,3.017,3.017,3.017,3.017,0.0,3.017,0
2020-12-23,3.012,3.012,3.012,3.012,0.0,3.012,0
2020-12-24,3.024,3.024,3.024,3.024,0.0,3.024,0
2020-12-28,2.943,2.943,2.943,2.943,0.0,2.943,0
2020-12-29,3.012,3.012,3.012,3.012,0.0,3.012,0
2020-12-30,2.983,2.983,2.983,2.983,0.0,2.983,0
2020-12-31,2.99,2.99,2.99,2.99,0.0,2.99,0
2021-01-04,2.998,2.998,2.998,2.998,0.0,2.998,0
2021-01-05,3.013,3.013,3.013,3.013,0.0,3.013,0
2021-01-06,3.046,3.046,3.046,3.046,0.0,3.046,0
2021-01-07,3.014,3.014,3.014,3.014,0.0,3.014,0
2021-01-08,2.998,2.998,2.998,2.998,0.0,2.998,0
2021-01-11,3.001,3.001,3.001,3.001,0.0,3.001,0
2021-01-12,3.008,3.008,3.008,3.008,0.0,3.008,0
2021-01-13,3.039,3.039,3.039,3.039,0.0,3.039,0
2021-01-14,2.987,2.987,2.987,2.987,0.0,2.987,0
