date,open,high,low,close,volume,average,barCount
2017-03-14,3.003,3.003,3.003,3.003,0.0,3.003,0
2017-03-15,3.023,3.023,3.023,3.023,0.0,3.023,0
2017-03-16,3.041,3.041,3.041,3.041,0.0,3.041,0
2017-03-17,3.046,3.046,3.046,3.046,0.0,3.046,0
2017-03-20,3.048,3.048,3.048,3.048,0.0,3.048,0
2017-03-21,3.058,3.058,3.058,3.058,0.0,3.058,0
2017-03-22,3.06,3.06,3.06,3.06,0.0,3.06,0
2017-03-23,3.055,3.055,3.055,3.055,0.0,3.055,0
2017-03-24,3.019,3.019,3.019,3.019,0.0,3.019,0
2017-03-27,3.009,3.009,3.009,3.009,0.0,3.009,0
2017-03-28,3.0,3.0,3.0,3.0,0.0,3.0,0
2017-03-29,3.008,3.008,3.008,3.008,0.0,3.008,0
2017-03-30,3.011,3.011,3.011,3.011,0.0,3.011,0
2017-03-31,3.028,3.028,3.028,3.028,0.0,3.028,0
2017-04-03,3.035,3.035,3.035,3.035,0.0,3.035,0
2017-04-04,3.048,3.048,3.048,3.048,0.0,3.048,0
2017-04-05,3.065,3.065,3.065,3.065,0.0,3.065,0
2017-04-06,3.045,3.045,3.045,3.045,0.0,3.045,0
2017-04-07,3.059,3.059,3.059,3.059,0.0,3.059,0
2017-04-10,3.068,3.068,3.068,3.068,0.0,3.068,0
2017-04-11,3.099,3.099,3.099,3.099,0.0,3.099,0
2017-04-12,3.1,3.1,3.1,3.1,0.0,3.1,0
2017-04-13,3.114,3.114,3.114,3.114,0.0,3.114,0
2017-04-17,3.099,3.099,3.099,3.099,0.0,3.099,0
2017-04-18,3.129,3.129,3.129,3.129,0.0,3.129,0
2017-04-19,3.14,3.14,3.14,3.14,0.0,3.14,0
2017-04-20,3.174,3.174,3.174,3.174,0.0,3.174,0
2017-04-21,3.175,3.175,3.175,3.175,0.0,3.175,0
2017-04-24,3.134,3.134,3.134,3.134,0.0,3.134,0
2017-04-25,3.134,3.134,3.134,3.134,0.0,3.134,0
2017-04-26,3.125,3.125,3.125,3.125,0.0,3.125,0
2017-04-27,3.116,3.116,3.116,3.116,0.0,3.116,0
2017-04-28,3.142,3.142,3.142,3.142,0.0,3.142,0
2017-05-01,3.117,3.117,3.117,3.117,0.0,3.117,0
2017-05-02,3.118,3.118,3.118,3.118,0.0,3.118,0
2017-05-03,3.137,3.137,3.137,3.137,0.0,3.137,0
2017-05-04,3.18,3.18,3.18,3.18,0.0,3.18,0
2017-05-05,3.18,3.18,3.18,3.18,0.0,3.18,0
2017-05-08,3.171,3.171,3.171,3.171,0.0,3.171,0
2017-05-09,3.174,3.174,3.174,3.174,0.0,3.174,0
2017-05-10,3.175,3.175,3.175,3.175,0.0,3.175,0
2017-05-11,3.209,3.209,3.209,3.209,0.0,3.209,0
2017-05-12,3.213,3.213,3.213,3.213,0.0,3.213,0
2017-05-15,3.218,3.218,3.218,3.218,0.0,3.218,0
2017-05-16,3.235,3.235,3.235,3.235,0.0,3.235,0
2017-05-17,3.231,3.231,3.231,3.231,0.0,3.231,0
2017-05-18,3.218,3.218,3.218,3.218,0.0,3.218,0
2017-05-19,3.208,3.208,3.208,3.208,0.0,3.208,0
2017-05-22,3.21,3.21,3.21,3.21,0.0,3.21,0
2017-05-23,3.277,3.277,3.277,3.277,0.0,3.277,0
2017-05-24,3.279,3.279,3.279,3.279,0.0,3.279,0
2017-05-25,3.269,3.269,3.269,3.269,0.0,3.269,0
2017-05-26,3.254,3.254,3.254,3.254,0.0,3.254,0
2017-05-30,3.221,3.221,3.221,3.221,0.0,3.221,0
2017-05-31,3.217,3.217,3.217,3.217,0.0,3.217,0
2017-06-01,3.219,3.219,3.219,3.219,0.0,3.219,0
2017-06-02,3.209,3.209,3.209,3.209,0.0,3.209,0
2017-06-05,3.179,3.179,3.179,3.179,0.0,3.179,0
2017-06-06,3.121,3.121,3.121,3.121,0.0,3.121,0
