date,open,high,low,close,volume,average,barCount
2023-11-29,3.959,3.959,3.959,3.959,0.0,3.959,0
2023-11-30,3.978,3.978,3.978,3.978,0.0,3.978,0
2023-12-01,3.994,3.994,3.994,3.994,0.0,3.994,0
2023-12-04,3.96,3.96,3.96,3.96,0.0,3.96,0
2023-12-05,3.925,3.925,3.925,3.925,0.0,3.925,0
2023-12-06,3.735,3.735,3.735,3.735,0.0,3.735,0
2023-12-07,3.775,3.775,3.775,3.775,0.0,3.775,0
2023-12-08,3.801,3.801,3.801,3.801,0.0,3.801,0
2023-12-11,3.833,3.833,3.833,3.833,0.0,3.833,0
2023-12-12,3.882,3.882,3.882,3.882,0.0,3.882,0
2023-12-13,3.961,3.961,3.961,3.961,0.0,3.961,0
2023-12-14,3.971,3.971,3.971,3.971,0.0,3.971,0
2023-12-15,4.05,4.05,4.05,4.05,0.0,4.05,0
2023-12-18,4.047,4.047,4.047,4.047,0.0,4.047,0
2023-12-19,3.93,3.93,3.93,3.93,0.0,3.93,0
2023-12-20,4.001,4.001,4.001,4.001,0.0,4.001,0
2023-12-21,3.905,3.905,3.905,3.905,0.0,3.905,0
2023-12-22,4.043,4.043,4.043,4.043,0.0,4.043,0
2023-12-26,3.958,3.958,3.958,3.958,0.0,3.958,0
2023-12-27,3.977,3.977,3.977,3.977,0.0,3.977,0
2023-12-28,3.872,3.872,3.872,3.872,0.0,3.872,0
2023-12-29,3.782,3.782,3.782,3.782,0.0,3.782,0
2024-01-02,3.807,3.807,3.807,3.807,0.0,3.807,0
2024-01-03,3.958,3.958,3.958,3.958,0.0,3.958,0
2024-01-04,3.989,3.989,3.989,3.989,0.0,3.989,0
2024-01-05,3.991,3.991,3.991,3.991,0.0,3.991,0
2024-01-08,4.001,4.001,4.001,4.001,0.0,4.001,0
2024-01-09,4.078,4.078,4.078,4.078,0.0,4.078,0
2024-01-10,4.052,4.052,4.052,4.052,0.0,4.052,0
2024-01-11,3.745,3.745,3.745,3.745,0.0,3.745,0
2024-01-12,3.741,3.741,3.741,3.741,0.0,3.741,0
2024-01-15,3.741,3.741,3.741,3.741,0.0,3.741,0
2024-01-16,3.723,3.723,3.723,3.723,0.0,3.723,0
2024-01-17,3.771,3.771,3.771,3.771,0.0,3.771,0
2024-01-18,3.723,3.723,3.723,3.723,0.0,3.723,0
2024-01-19,3.71,3.71,3.71,3.71,0.0,3.71,0
2024-01-22,3.694,3.694,3.694,3.694,0.0,3.694,0
2024-01-23,3.807,3.807,3.807,3.807,0.0,3.807,0
2024-01-24,3.56,3.56,3.56,3.56,0.0,3.56,0
2024-01-25,3.46,3.46,3.46,3.46,0.0,3.46,0
2024-01-26,3.435,3.435,3.435,3.435,0.0,3.435,0
2024-01-29,3.342,3.342,3.342,3.342,0.0,3.342,0
2024-01-30,3.476,3.476,3.476,3.476,0.0,3.476,0
2024-01-31,3.397,3.397,3.397,3.397,0.0,3.397,0
2024-02-01,3.522,3.522,3.522,3.522,0.0,3.522,0
2024-02-02,3.595,3.595,3.595,3.595,0.0,3.595,0
2024-02-05,3.536,3.536,3.536,3.536,0.0,3.536,0
2024-02-06,3.575,3.575,3.575,3.575,0.0,3.575,0
2024-02-07,3.528,3.528,3.528,3.528,0.0,3.528,0
2024-02-08,3.468,3.468,3.468,3.468,0.0,3.468,0
2024-02-09,3.467,3.467,3.467,3.467,0.0,3.467,0
2024-02-12,3.464,3.464,3.464,3.464,0.0,3.464,0
2024-02-13,3.505,3.505,3.505,3.505,0.0,3.505,0
2024-02-14,3.477,3.477,3.477,3.477,0.0,3.477,0
2024-02-15,3.409,3.409,3.409,3.409,0.0,3.409,0
2024-02-16,3.389,3.389,3.389,3.389,0.0,3.389,0
2024-02-19,3.389,3.389,3.389,3.389,0.0,3.389,0
2024-02-20,3.401,3.401,3.401,3.401,0.0,3.401,0
2024-02-21,3.409,3.409,3.409,3.409,0.0,3.409,0
2024-02-22,3.503,3.503,3.503,3.503,0.0,3.503,0
2024-02-23,3.456,3.456,3.456,3.456,0.0,3.456,0
2024-02-26,3.46,3.46,3.46,3.46,0.0,3.46,0
2024-02-27,3.464,3.464,3.464,3.464,0.0,3.464,0
2024-02-28,3.484,3.484,3.484,3.484,0.0,3.484,0
2024-02-29,3.442,3.442,3.442,3.442,0.0,3.442,0
2024-03-01,3.414,3.414,3.414,3.414,0.0,3.414,0
2024-03-04,3.396,3.396,3.396,3.396,0.0,3.396,0
2024-03-05,3.428,3.428,3.428,3.428,0.0,3.428,0
2024-03-06,3.45,3.45,3.45,3.45,0.0,3.45,0
2024-03-07,3.454,3.454,3.454,3.454,0.0,3.454,0
2024-03-08,3.496,3.496,3.496,3.496,0.0,3.496,0
2024-03-11,3.512,3.512,3.512,3.512,0.0,3.512,0
2024-03-12,3.551,3.551,3.551,3.551,0.0,3.551,0
2024-03-13,3.548,3.548,3.548,3.548,0.0,3.548,0
2024-03-14,3.553,3.553,3.553,3.553,0.0,3.553,0
2024-03-15,3.544,3.544,3.544,3.544,0.0,3.544,0
2024-03-18,3.826,3.826,3.826,3.826,0.0,3.826,0
2024-03-19,3.795,3.795,3.795,3.795,0.0,3.795,0
2024-03-20,3.837,3.837,3.837,3.837,0.0,3.837,0
2024-03-21,3.803,3.803,3.803,3.803,0.0,3.803,0
2024-03-22,3.845,3.845,3.845,3.845,0.0,3.845,0
2024-03-25,3.777,3.777,3.777,3.777,0.0,3.777,0
2024-03-26,3.779,3.779,3.779,3.779,0.0,3.779,0
2024-03-27,3.764,3.764,3.764,3.764,0.0,3.764,0
2024-03-28,3.803,3.803,3.803,3.803,0.0,3.803,0
2024-04-01,3.842,3.842,3.842,3.842,0.0,3.842,0
2024-04-02,3.926,3.926,3.926,3.926,0.0,3.926,0
2024-04-03,4.104,4.104,4.104,4.104,0.0,4.104,0
2024-04-04,4.102,4.102,4.102,4.102,0.0,4.102,0
2024-04-05,4.109,4.109,4.109,4.109,0.0,4.109,0
2024-04-08,4.103,4.103,4.103,4.103,0.0,4.103,0
2024-04-09,4.057,4.057,4.057,4.057,0.0,4.057,0
2024-04-10,4.068,4.068,4.068,4.068,0.0,4.068,0
2024-04-11,4.136,4.136,4.136,4.136,0.0,4.136,0
2024-04-12,4.141,4.141,4.141,4.141,0.0,4.141,0
2024-04-15,4.163,4.163,4.163,4.163,0.0,4.163,0
2024-04-16,4.218,4.218,4.218,4.218,0.0,4.218,0
2024-04-17,4.205,4.205,4.205,4.205,0.0,4.205,0
2024-04-18,4.192,4.192,4.192,4.192,0.0,4.192,0
2024-04-19,4.207,4.207,4.207,4.207,0.0,4.207,0
2024-04-22,4.205,4.205,4.205,4.205,0.0,4.205,0
2024-04-23,4.179,4.179,4.179,4.179,0.0,4.179,0
2024-04-24,4.157,4.157,4.157,4.157,0.0,4.157,0
2024-04-25,4.181,4.181,4.181,4.181,0.0,4.181,0
2024-04-26,4.162,4.162,4.162,4.162,0.0,4.162,0
2024-04-29,4.131,4.131,4.131,4.131,0.0,4.131,0
2024-04-30,4.251,4.251,4.251,4.251,0.0,4.251,0
2024-05-01,4.249,4.249,4.249,4.249,0.0,4.249,0
2024-05-02,4.255,4.255,4.255,4.255,0.0,4.255,0
2024-05-03,4.242,4.242,4.242,4.242,0.0,4.242,0
2024-05-06,4.234,4.234,4.234,4.234,0.0,4.234,0
2024-05-07,4.177,4.177,4.177,4.177,0.0,4.177,0
2024-05-08,4.103,4.103,4.103,4.103,0.0,4.103,0
2024-05-09,3.88,3.88,3.88,3.88,0.0,3.88,0
2024-05-10,3.912,3.912,3.912,3.912,0.0,3.912,0
2024-05-13,3.927,3.927,3.927,3.927,0.0,3.927,0
2024-05-14,3.95,3.95,3.95,3.95,0.0,3.95,0
2024-05-15,3.983,3.983,3.983,3.983,0.0,3.983,0
2024-05-16,4.013,4.013,4.013,4.013,0.0,4.013,0
2024-05-17,4.084,4.084,4.084,4.084,0.0,4.084,0
2024-05-20,4.153,4.153,4.153,4.153,0.0,4.153,0
2024-05-21,4.18,4.18,4.18,4.18,0.0,4.18,0
2024-05-22,4.17,4.17,4.17,4.17,0.0,4.17,0
2024-05-23,4.158,4.158,4.158,4.158,0.0,4.158,0
