date,open,high,low,close,volume,average,barCount
2022-11-29,5.344,5.344,5.344,5.344,0.0,5.344,0
2022-11-30,5.331,5.331,5.331,5.331,0.0,5.331,0
2022-12-01,5.311,5.311,5.311,5.311,0.0,5.311,0
2022-12-02,5.307,5.307,5.307,5.307,0.0,5.307,0
2022-12-05,5.532,5.532,5.532,5.532,0.0,5.532,0
2022-12-06,5.545,5.545,5.545,5.545,0.0,5.545,0
2022-12-07,5.55,5.55,5.55,5.55,0.0,5.55,0
2022-12-08,5.61,5.61,5.61,5.61,0.0,5.61,0
2022-12-09,5.614,5.614,5.614,5.614,0.0,5.614,0
2022-12-12,5.698,5.698,5.698,5.698,0.0,5.698,0
2022-12-13,5.686,5.686,5.686,5.686,0.0,5.686,0
2022-12-14,5.604,5.604,5.604,5.604,0.0,5.604,0
2022-12-15,5.645,5.645,5.645,5.645,0.0,5.645,0
2022-12-16,5.698,5.698,5.698,5.698,0.0,5.698,0
2022-12-19,5.674,5.674,5.674,5.674,0.0,5.674,0
2022-12-20,5.669,5.669,5.669,5.669,0.0,5.669,0
2022-12-21,5.581,5.581,5.581,5.581,0.0,5.581,0
2022-12-22,5.498,5.498,5.498,5.498,0.0,5.498,0
2022-12-23,5.511,5.511,5.511,5.511,0.0,5.511,0
2022-12-27,5.597,5.597,5.597,5.597,0.0,5.597,0
2022-12-28,5.519,5.519,5.519,5.519,0.0,5.519,0
2022-12-29,5.51,5.51,5.51,5.51,0.0,5.51,0
2022-12-30,5.519,5.519,5.519,5.519,0.0,5.519,0
2023-01-03,5.465,5.465,5.465,5.465,0.0,5.465,0
2023-01-04,5.468,5.468,5.468,5.468,0.0,5.468,0
2023-01-05,5.38,5.38,5.38,5.38,0.0,5.38,0
2023-01-06,5.324,5.324,5.324,5.324,0.0,5.324,0
2023-01-09,5.332,5.332,5.332,5.332,0.0,5.332,0
2023-01-10,5.356,5.356,5.356,5.356,0.0,5.356,0
2023-01-11,5.322,5.322,5.322,5.322,0.0,5.322,0
2023-01-12,5.321,5.321,5.321,5.321,0.0,5.321,0
2023-01-13,5.33,5.33,5.33,5.33,0.0,5.33,0
2023-01-16,5.33,5.33,5.33,5.33,0.0,5.33,0
2023-01-17,5.346,5.346,5.346,5.346,0.0,5.346,0
2023-01-18,5.391,5.391,5.391,5.391,0.0,5.391,0
2023-01-19,5.431,5.431,5.431,5.431,0.0,5.431,0
2023-01-20,5.395,5.395,5.395,5.395,0.0,5.395,0
2023-01-23,5.242,5.242,5.242,5.242,0.0,5.242,0
2023-01-24,5.211,5.211,5.211,5.211,0.0,5.211,0
2023-01-25,5.368,5.368,5.368,5.368,0.0,5.368,0
2023-01-26,5.375,5.375,5.375,5.375,0.0,5.375,0
2023-01-27,5.366,5.366,5.366,5.366,0.0,5.366,0
2023-01-30,5.287,5.287,5.287,5.287,0.0,5.287,0
2023-01-31,5.437,5.437,5.437,5.437,0.0,5.437,0
2023-02-01,5.108,5.108,5.108,5.108,0.0,5.108,0
2023-02-02,4.873,4.873,4.873,4.873,0.0,4.873,0
2023-02-03,4.889,4.889,4.889,4.889,0.0,4.889,0
2023-02-10,4.414,4.414,4.414,4.414,0.0,4.414,0
2023-02-13,4.282,4.282,4.282,4.282,0.0,4.282,0
2023-02-14,4.364,4.364,4.364,4.364,0.0,4.364,0
2023-02-15,4.469,4.469,4.469,4.469,0.0,4.469,0
2023-02-16,4.489,4.489,4.489,4.489,0.0,4.489,0
2023-02-17,4.495,4.495,4.495,4.495,0.0,4.495,0
2023-02-20,4.495,4.495,4.495,4.495,0.0,4.495,0
2023-02-21,4.445,4.445,4.445,4.445,0.0,4.445,0
2023-02-22,4.456,4.456,4.456,4.456,0.0,4.456,0
2023-02-23,4.49,4.49,4.49,4.49,0.0,4.49,0
2023-02-24,4.549,4.549,4.549,4.549,0.0,4.549,0
2023-02-27,4.901,4.901,4.901,4.901,0.0,4.901,0
2023-02-28,4.99,4.99,4.99,4.99,0.0,4.99,0
2023-03-01,5.071,5.071,5.071,5.071,0.0,5.071,0
2023-03-02,5.079,5.079,5.079,5.079,0.0,5.079,0
2023-03-03,5.119,5.119,5.119,5.119,0.0,5.119,0
2023-03-06,5.153,5.153,5.153,5.153,0.0,5.153,0
2023-03-07,5.154,5.154,5.154,5.154,0.0,5.154,0
2023-03-08,5.145,5.145,5.145,5.145,0.0,5.145,0
2023-03-09,4.528,4.528,4.528,4.528,0.0,4.528,0
2023-03-10,4.629,4.629,4.629,4.629,0.0,4.629,0
2023-03-13,4.64,4.64,4.64,4.64,0.0,4.64,0
2023-03-14,4.721,4.721,4.721,4.721,0.0,4.721,0
2023-03-15,4.773,4.773,4.773,4.773,0.0,4.773,0
2023-03-16,4.815,4.815,4.815,4.815,0.0,4.815,0
2023-03-17,4.808,4.808,4.808,4.808,0.0,4.808,0
