date,open,high,low,close,volume,average,barCount
2017-03-14,2.989,2.989,2.989,2.989,0.0,2.989,0
2017-03-15,3.009,3.009,3.009,3.009,0.0,3.009,0
2017-03-16,3.028,3.028,3.028,3.028,0.0,3.028,0
2017-03-17,3.033,3.033,3.033,3.033,0.0,3.033,0
2017-03-20,3.036,3.036,3.036,3.036,0.0,3.036,0
2017-03-21,3.046,3.046,3.046,3.046,0.0,3.046,0
2017-03-22,3.048,3.048,3.048,3.048,0.0,3.048,0
2017-03-23,3.043,3.043,3.043,3.043,0.0,3.043,0
2017-03-24,3.009,3.009,3.009,3.009,0.0,3.009,0
2017-03-27,2.999,2.999,2.999,2.999,0.0,2.999,0
2017-03-28,2.99,2.99,2.99,2.99,0.0,2.99,0
2017-03-29,2.998,2.998,2.998,2.998,0.0,2.998,0
2017-03-30,3.001,3.001,3.001,3.001,0.0,3.001,0
2017-03-31,3.011,3.011,3.011,3.011,0.0,3.011,0
2017-04-03,3.018,3.018,3.018,3.018,0.0,3.018,0
2017-04-04,3.031,3.031,3.031,3.031,0.0,3.031,0
2017-04-05,3.05,3.05,3.05,3.05,0.0,3.05,0
2017-04-06,3.032,3.032,3.032,3.032,0.0,3.032,0
2017-04-07,3.046,3.046,3.046,3.046,0.0,3.046,0
2017-04-10,3.055,3.055,3.055,3.055,0.0,3.055,0
2017-04-11,3.086,3.086,3.086,3.086,0.0,3.086,0
2017-04-12,3.087,3.087,3.087,3.087,0.0,3.087,0
2017-04-13,3.102,3.102,3.102,3.102,0.0,3.102,0
2017-04-17,3.089,3.089,3.089,3.089,0.0,3.089,0
2017-04-18,3.119,3.119,3.119,3.119,0.0,3.119,0
2017-04-19,3.13,3.13,3.13,3.13,0.0,3.13,0
2017-04-20,3.164,3.164,3.164,3.164,0.0,3.164,0
2017-04-21,3.165,3.165,3.165,3.165,0.0,3.165,0
2017-04-24,3.124,3.124,3.124,3.124,0.0,3.124,0
2017-04-25,3.124,3.124,3.124,3.124,0.0,3.124,0
