date,open,high,low,close,volume,average,barCount
2017-03-14,2.953,2.953,2.953,2.953,0.0,2.953,0
2017-03-15,2.973,2.973,2.973,2.973,0.0,2.973,0
2017-03-16,2.994,2.994,2.994,2.994,0.0,2.994,0
2017-03-17,2.999,2.999,2.999,2.999,0.0,2.999,0
2017-03-20,3.002,3.002,3.002,3.002,0.0,3.002,0
2017-03-21,3.015,3.015,3.015,3.015,0.0,3.015,0
2017-03-22,3.017,3.017,3.017,3.017,0.0,3.017,0
2017-03-23,3.012,3.012,3.012,3.012,0.0,3.012,0
2017-03-24,2.98,2.98,2.98,2.98,0.0,2.98,0
2017-03-27,2.97,2.97,2.97,2.97,0.0,2.97,0
2017-03-28,2.961,2.961,2.961,2.961,0.0,2.961,0
2017-03-29,2.969,2.969,2.969,2.969,0.0,2.969,0
2017-03-30,2.972,2.972,2.972,2.972,0.0,2.972,0
2017-03-31,2.973,2.973,2.973,2.973,0.0,2.973,0
2017-04-03,2.98,2.98,2.98,2.98,0.0,2.98,0
2017-04-04,2.993,2.993,2.993,2.993,0.0,2.993,0
2017-04-05,3.012,3.012,3.012,3.012,0.0,3.012,0
2017-04-06,2.997,2.997,2.997,2.997,0.0,2.997,0
2017-04-07,3.011,3.011,3.011,3.011,0.0,3.011,0
2017-04-10,3.02,3.02,3.02,3.02,0.0,3.02,0
2017-04-11,3.051,3.051,3.051,3.051,0.0,3.051,0
2017-04-12,3.052,3.052,3.052,3.052,0.0,3.052,0
2017-04-13,3.07,3.07,3.07,3.07,0.0,3.07,0
2017-04-17,3.059,3.059,3.059,3.059,0.0,3.059,0
2017-04-18,3.089,3.089,3.089,3.089,0.0,3.089,0
2017-04-19,3.1,3.1,3.1,3.1,0.0,3.1,0
2017-04-20,3.134,3.134,3.134,3.134,0.0,3.134,0
2017-04-21,3.135,3.135,3.135,3.135,0.0,3.135,0
2017-04-24,3.094,3.094,3.094,3.094,0.0,3.094,0
2017-04-25,3.094,3.094,3.094,3.094,0.0,3.094,0
2017-04-26,3.085,3.085,3.085,3.085,0.0,3.085,0
2017-04-27,3.076,3.076,3.076,3.076,0.0,3.076,0
2017-04-28,3.092,3.092,3.092,3.092,0.0,3.092,0
2017-05-01,3.067,3.067,3.067,3.067,0.0,3.067,0
2017-05-02,3.068,3.068,3.068,3.068,0.0,3.068,0
2017-05-03,3.087,3.087,3.087,3.087,0.0,3.087,0
2017-05-04,3.13,3.13,3.13,3.13,0.0,3.13,0
2017-05-05,3.13,3.13,3.13,3.13,0.0,3.13,0
2017-05-08,3.121,3.121,3.121,3.121,0.0,3.121,0
2017-05-09,3.124,3.124,3.124,3.124,0.0,3.124,0
2017-05-10,3.125,3.125,3.125,3.125,0.0,3.125,0
2017-05-11,3.159,3.159,3.159,3.159,0.0,3.159,0
2017-05-12,3.163,3.163,3.163,3.163,0.0,3.163,0
2017-05-15,3.158,3.158,3.158,3.158,0.0,3.158,0
2017-05-16,3.175,3.175,3.175,3.175,0.0,3.175,0
2017-05-17,3.171,3.171,3.171,3.171,0.0,3.171,0
2017-05-18,3.158,3.158,3.158,3.158,0.0,3.158,0
2017-05-19,3.148,3.148,3.148,3.148,0.0,3.148,0
2017-05-22,3.15,3.15,3.15,3.15,0.0,3.15,0
2017-05-23,3.219,3.219,3.219,3.219,0.0,3.219,0
2017-05-24,3.221,3.221,3.221,3.221,0.0,3.221,0
2017-05-25,3.204,3.204,3.204,3.204,0.0,3.204,0
2017-05-26,3.189,3.189,3.189,3.189,0.0,3.189,0
2017-05-30,3.162,3.162,3.162,3.162,0.0,3.162,0
2017-05-31,3.158,3.158,3.158,3.158,0.0,3.158,0
2017-06-01,3.16,3.16,3.16,3.16,0.0,3.16,0
2017-06-02,3.15,3.15,3.15,3.15,0.0,3.15,0
2017-06-05,3.12,3.12,3.12,3.12,0.0,3.12,0
2017-06-06,3.062,3.062,3.062,3.062,0.0,3.062,0
2017-06-07,3.073,3.073,3.073,3.073,0.0,3.073,0
2017-06-08,3.091,3.091,3.091,3.091,0.0,3.091,0
2017-06-09,3.088,3.088,3.088,3.088,0.0,3.088,0
2017-06-12,3.09,3.09,3.09,3.09,0.0,3.09,0
2017-06-13,3.09,3.09,3.09,3.09,0.0,3.09,0
2017-06-14,3.079,3.079,3.079,3.079,0.0,3.079,0
2017-06-15,3.107,3.107,3.107,3.107,0.0,3.107,0
2017-06-16,3.096,3.096,3.096,3.096,0.0,3.096,0
2017-06-19,3.119,3.119,3.119,3.119,0.0,3.119,0
2017-06-20,3.157,3.157,3.157,3.157,0.0,3.157,0
2017-06-21,3.173,3.173,3.173,3.173,0.0,3.173,0
2017-06-22,3.167,3.167,3.167,3.167,0.0,3.167,0
2017-06-23,3.164,3.164,3.164,3.164,0.0,3.164,0
2017-06-26,3.139,3.139,3.139,3.139,0.0,3.139,0
2017-06-27,3.139,3.139,3.139,3.139,0.0,3.139,0
2017-06-28,3.129,3.129,3.129,3.129,0.0,3.129,0
2017-06-29,3.129,3.129,3.129,3.129,0.0,3.129,0
2017-06-30,3.142,3.142,3.142,3.142,0.0,3.142,0
2017-07-03,3.143,3.143,3.143,3.143,0.0,3.143,0
2017-07-05,3.12,3.12,3.12,3.12,0.0,3.12,0
2017-07-06,3.079,3.079,3.079,3.079,0.0,3.079,0
2017-07-07,3.074,3.074,3.074,3.074,0.0,3.074,0
2017-07-10,3.061,3.061,3.061,3.061,0.0,3.061,0
2017-07-11,3.058,3.058,3.058,3.058,0.0,3.058,0
2017-07-12,3.044,3.044,3.044,3.044,0.0,3.044,0
2017-07-13,3.057,3.057,3.057,3.057,0.0,3.057,0
2017-07-14,3.06,3.06,3.06,3.06,0.0,3.06,0
2017-07-17,3.053,3.053,3.053,3.053,0.0,3.053,0
2017-07-18,3.058,3.058,3.058,3.058,0.0,3.058,0
2017-07-19,3.043,3.043,3.043,3.043,0.0,3.043,0
2017-07-20,3.024,3.024,3.024,3.024,0.0,3.024,0
2017-07-21,3.022,3.022,3.022,3.022,0.0,3.022,0
2017-07-24,2.994,2.994,2.994,2.994,0.0,2.994,0
2017-07-25,2.97,2.97,2.97,2.97,0.0,2.97,0
2017-07-26,2.96,2.96,2.96,2.96,0.0,2.96,0
2017-07-27,2.961,2.961,2.961,2.961,0.0,2.961,0
2017-07-28,2.976,2.976,2.976,2.976,0.0,2.976,0
2017-07-31,2.957,2.957,2.957,2.957,0.0,2.957,0
2017-08-01,2.979,2.979,2.979,2.979,0.0,2.979,0
2017-08-02,2.988,2.988,2.988,2.988,0.0,2.988,0
2017-08-03,3.011,3.011,3.011,3.011,0.0,3.011,0
2017-08-04,3.021,3.021,3.021,3.021,0.0,3.021,0
2017-08-07,3.02,3.02,3.02,3.02,0.0,3.02,0
2017-08-08,3.003,3.003,3.003,3.003,0.0,3.003,0
2017-08-09,2.997,2.997,2.997,2.997,0.0,2.997,0
2017-08-10,2.994,2.994,2.994,2.994,0.0,2.994,0
2017-08-11,2.998,2.998,2.998,2.998,0.0,2.998,0
2017-08-14,2.994,2.994,2.994,2.994,0.0,2.994,0
2017-08-15,2.992,2.992,2.992,2.992,0.0,2.992,0
2017-08-16,2.982,2.982,2.982,2.982,0.0,2.982,0
2017-08-17,2.981,2.981,2.981,2.981,0.0,2.981,0
2017-08-18,2.981,2.981,2.981,2.981,0.0,2.981,0
2017-08-21,2.971,2.971,2.971,2.971,0.0,2.971,0
2017-08-22,2.963,2.963,2.963,2.963,0.0,2.963,0
2017-08-23,2.961,2.961,2.961,2.961,0.0,2.961,0
2017-08-24,2.914,2.914,2.914,2.914,0.0,2.914,0
2017-08-25,2.901,2.901,2.901,2.901,0.0,2.901,0
2017-08-28,2.914,2.914,2.914,2.914,0.0,2.914,0
2017-08-29,2.916,2.916,2.916,2.916,0.0,2.916,0
2017-08-30,2.921,2.921,2.921,2.921,0.0,2.921,0
2017-08-31,2.929,2.929,2.929,2.929,0.0,2.929,0
