date,open,high,low,close,volume,average,barCount
2023-11-29,4.089,4.089,4.089,4.089,0.0,4.089,0
2023-11-30,4.108,4.108,4.108,4.108,0.0,4.108,0
2023-12-01,4.124,4.124,4.124,4.124,0.0,4.124,0
2023-12-04,4.09,4.09,4.09,4.09,0.0,4.09,0
2023-12-05,4.055,4.055,4.055,4.055,0.0,4.055,0
2023-12-06,3.865,3.865,3.865,3.865,0.0,3.865,0
2023-12-07,3.905,3.905,3.905,3.905,0.0,3.905,0
2023-12-08,3.931,3.931,3.931,3.931,0.0,3.931,0
2023-12-11,3.963,3.963,3.963,3.963,0.0,3.963,0
2023-12-12,4.012,4.012,4.012,4.012,0.0,4.012,0
2023-12-13,4.091,4.091,4.091,4.091,0.0,4.091,0
2023-12-14,4.101,4.101,4.101,4.101,0.0,4.101,0
2023-12-15,4.18,4.18,4.18,4.18,0.0,4.18,0
2023-12-18,4.177,4.177,4.177,4.177,0.0,4.177,0
2023-12-19,4.06,4.06,4.06,4.06,0.0,4.06,0
2023-12-20,4.131,4.131,4.131,4.131,0.0,4.131,0
2023-12-21,4.035,4.035,4.035,4.035,0.0,4.035,0
2023-12-22,4.173,4.173,4.173,4.173,0.0,4.173,0
2023-12-26,4.088,4.088,4.088,4.088,0.0,4.088,0
2023-12-27,4.107,4.107,4.107,4.107,0.0,4.107,0
2023-12-28,4.002,4.002,4.002,4.002,0.0,4.002,0
2023-12-29,3.912,3.912,3.912,3.912,0.0,3.912,0
2024-01-02,3.937,3.937,3.937,3.937,0.0,3.937,0
2024-01-03,4.088,4.088,4.088,4.088,0.0,4.088,0
2024-01-04,4.119,4.119,4.119,4.119,0.0,4.119,0
2024-01-05,4.121,4.121,4.121,4.121,0.0,4.121,0
2024-01-08,4.131,4.131,4.131,4.131,0.0,4.131,0
2024-01-09,4.208,4.208,4.208,4.208,0.0,4.208,0
2024-01-10,4.182,4.182,4.182,4.182,0.0,4.182,0
2024-01-11,3.875,3.875,3.875,3.875,0.0,3.875,0
2024-01-12,3.871,3.871,3.871,3.871,0.0,3.871,0
2024-01-15,3.871,3.871,3.871,3.871,0.0,3.871,0
2024-01-16,3.853,3.853,3.853,3.853,0.0,3.853,0
2024-01-17,3.901,3.901,3.901,3.901,0.0,3.901,0
2024-01-18,3.853,3.853,3.853,3.853,0.0,3.853,0
2024-01-19,3.84,3.84,3.84,3.84,0.0,3.84,0
2024-01-22,3.824,3.824,3.824,3.824,0.0,3.824,0
2024-01-23,3.937,3.937,3.937,3.937,0.0,3.937,0
2024-01-24,3.69,3.69,3.69,3.69,0.0,3.69,0
2024-01-25,3.59,3.59,3.59,3.59,0.0,3.59,0
2024-01-26,3.565,3.565,3.565,3.565,0.0,3.565,0
2024-01-29,3.472,3.472,3.472,3.472,0.0,3.472,0
2024-01-30,3.606,3.606,3.606,3.606,0.0,3.606,0
