date,open,high,low,close,volume,average,barCount
2021-11-29,3.622,3.622,3.622,3.622,0.0,3.622,0
2021-11-30,3.595,3.595,3.595,3.595,0.0,3.595,0
2021-12-01,3.603,3.603,3.603,3.603,0.0,3.603,0
2021-12-02,3.607,3.607,3.607,3.607,0.0,3.607,0
2021-12-03,3.617,3.617,3.617,3.617,0.0,3.617,0
2021-12-06,3.589,3.589,3.589,3.589,0.0,3.589,0
2021-12-07,3.593,3.593,3.593,3.593,0.0,3.593,0
2021-12-08,3.487,3.487,3.487,3.487,0.0,3.487,0
2021-12-09,3.329,3.329,3.329,3.329,0.0,3.329,0
2021-12-10,3.33,3.33,3.33,3.33,0.0,3.33,0
2021-12-13,3.234,3.234,3.234,3.234,0.0,3.234,0
2021-12-14,3.353,3.353,3.353,3.353,0.0,3.353,0
2021-12-15,3.739,3.739,3.739,3.739,0.0,3.739,0
2021-12-16,3.704,3.704,3.704,3.704,0.0,3.704,0
2021-12-17,3.717,3.717,3.717,3.717,0.0,3.717,0
2021-12-20,3.732,3.732,3.732,3.732,0.0,3.732,0
2021-12-21,3.716,3.716,3.716,3.716,0.0,3.716,0
2021-12-22,3.717,3.717,3.717,3.717,0.0,3.717,0
2021-12-23,3.68,3.68,3.68,3.68,0.0,3.68,0
2021-12-27,3.666,3.666,3.666,3.666,0.0,3.666,0
2021-12-28,3.689,3.689,3.689,3.689,0.0,3.689,0
2021-12-29,3.711,3.711,3.711,3.711,0.0,3.711,0
2021-12-30,3.747,3.747,3.747,3.747,0.0,3.747,0
2021-12-31,3.852,3.852,3.852,3.852,0.0,3.852,0
2022-01-03,3.819,3.819,3.819,3.819,0.0,3.819,0
2022-01-04,3.818,3.818,3.818,3.818,0.0,3.818,0
2022-01-05,3.793,3.793,3.793,3.793,0.0,3.793,0
2022-01-06,3.807,3.807,3.807,3.807,0.0,3.807,0
2022-01-07,3.84,3.84,3.84,3.84,0.0,3.84,0
2022-01-10,3.845,3.845,3.845,3.845,0.0,3.845,0
2022-01-11,3.834,3.834,3.834,3.834,0.0,3.834,0
2022-01-12,3.809,3.809,3.809,3.809,0.0,3.809,0
2022-01-13,3.812,3.812,3.812,3.812,0.0,3.812,0
2022-01-14,3.788,3.788,3.788,3.788,0.0,3.788,0
2022-01-18,3.807,3.807,3.807,3.807,0.0,3.807,0
2022-01-19,3.854,3.854,3.854,3.854,0.0,3.854,0
2022-01-20,3.857,3.857,3.857,3.857,0.0,3.857,0
2022-01-21,3.845,3.845,3.845,3.845,0.0,3.845,0
2022-01-24,3.834,3.834,3.834,3.834,0.0,3.834,0
2022-01-25,3.854,3.854,3.854,3.854,0.0,3.854,0
2022-01-26,3.855,3.855,3.855,3.855,0.0,3.855,0
2022-01-27,3.84,3.84,3.84,3.84,0.0,3.84,0
2022-01-28,3.833,3.833,3.833,3.833,0.0,3.833,0
2022-01-31,3.798,3.798,3.798,3.798,0.0,3.798,0
2022-02-01,3.783,3.783,3.783,3.783,0.0,3.783,0
2022-02-02,3.802,3.802,3.802,3.802,0.0,3.802,0
2022-02-03,3.793,3.793,3.793,3.793,0.0,3.793,0
2022-02-04,3.823,3.823,3.823,3.823,0.0,3.823,0
2022-02-07,3.839,3.839,3.839,3.839,0.0,3.839,0
2022-02-08,3.831,3.831,3.831,3.831,0.0,3.831,0
2022-02-09,3.826,3.826,3.826,3.826,0.0,3.826,0
2022-02-10,3.833,3.833,3.833,3.833,0.0,3.833,0
2022-02-11,3.873,3.873,3.873,3.873,0.0,3.873,0
2022-02-14,3.914,3.914,3.914,3.914,0.0,3.914,0
2022-02-15,3.902,3.902,3.902,3.902,0.0,3.902,0
2022-02-16,3.931,3.931,3.931,3.931,0.0,3.931,0
2022-02-17,3.924,3.924,3.924,3.924,0.0,3.924,0
2022-02-18,3.924,3.924,3.924,3.924,0.0,3.924,0
2022-02-22,3.969,3.969,3.969,3.969,0.0,3.969,0
2022-02-23,4.055,4.055,4.055,4.055,0.0,4.055,0
2022-02-24,4.098,4.098,4.098,4.098,0.0,4.098,0
2022-02-25,4.015,4.015,4.015,4.015,0.0,4.015,0
2022-02-28,4.092,4.092,4.092,4.092,0.0,4.092,0
2022-03-01,4.163,4.163,4.163,4.163,0.0,4.163,0
2022-03-02,4.23,4.23,4.23,4.23,0.0,4.23,0
2022-03-03,4.173,4.173,4.173,4.173,0.0,4.173,0
2022-03-04,4.226,4.226,4.226,4.226,0.0,4.226,0
2022-03-07,4.454,4.454,4.454,4.454,0.0,4.454,0
2022-03-08,4.531,4.531,4.531,4.531,0.0,4.531,0
2022-03-09,4.51,4.51,4.51,4.51,0.0,4.51,0
2022-03-10,4.426,4.426,4.426,4.426,0.0,4.426,0
2022-03-11,4.407,4.407,4.407,4.407,0.0,4.407,0
2022-03-14,4.45,4.45,4.45,4.45,0.0,4.45,0
2022-03-15,4.432,4.432,4.432,4.432,0.0,4.432,0
2022-03-16,4.443,4.443,4.443,4.443,0.0,4.443,0
2022-03-17,4.46,4.46,4.46,4.46,0.0,4.46,0
2022-03-18,4.412,4.412,4.412,4.412,0.0,4.412,0
2022-03-21,4.398,4.398,4.398,4.398,0.0,4.398,0
2022-03-22,4.409,4.409,4.409,4.409,0.0,4.409,0
2022-03-23,4.42,4.42,4.42,4.42,0.0,4.42,0
2022-03-24,4.446,4.446,4.446,4.446,0.0,4.446,0
2022-03-25,4.492,4.492,4.492,4.492,0.0,4.492,0
2022-03-28,4.584,4.584,4.584,4.584,0.0,4.584,0
2022-03-29,4.598,4.598,4.598,4.598,0.0,4.598,0
2022-03-30,4.711,4.711,4.711,4.711,0.0,4.711,0
2022-03-31,4.804,4.804,4.804,4.804,0.0,4.804,0
2022-04-01,4.861,4.861,4.861,4.861,0.0,4.861,0
2022-04-04,4.928,4.928,4.928,4.928,0.0,4.928,0
2022-04-05,4.946,4.946,4.946,4.946,0.0,4.946,0
2022-04-06,4.973,4.973,4.973,4.973,0.0,4.973,0
2022-04-07,5.0,5.0,5.0,5.0,0.0,5.0,0
2022-04-08,4.973,4.973,4.973,4.973,0.0,4.973,0
2022-04-11,5.022,5.022,5.022,5.022,0.0,5.022,0
2022-04-12,5.044,5.044,5.044,5.044,0.0,5.044,0
2022-04-13,5.082,5.082,5.082,5.082,0.0,5.082,0
2022-04-14,5.084,5.084,5.084,5.084,0.0,5.084,0
2022-04-18,5.099,5.099,5.099,5.099,0.0,5.099,0
2022-04-19,5.077,5.077,5.077,5.077,0.0,5.077,0
2022-04-20,5.068,5.068,5.068,5.068,0.0,5.068,0
2022-04-21,4.991,4.991,4.991,4.991,0.0,4.991,0
2022-04-22,4.818,4.818,4.818,4.818,0.0,4.818,0
2022-04-25,4.833,4.833,4.833,4.833,0.0,4.833,0
2022-04-26,4.898,4.898,4.898,4.898,0.0,4.898,0
2022-04-27,4.957,4.957,4.957,4.957,0.0,4.957,0
2022-04-28,4.948,4.948,4.948,4.948,0.0,4.948,0
2022-04-29,4.941,4.941,4.941,4.941,0.0,4.941,0
2022-05-02,4.78,4.78,4.78,4.78,0.0,4.78,0
2022-05-03,4.808,4.808,4.808,4.808,0.0,4.808,0
2022-05-04,4.858,4.858,4.858,4.858,0.0,4.858,0
2022-05-05,4.891,4.891,4.891,4.891,0.0,4.891,0
2022-05-06,4.857,4.857,4.857,4.857,0.0,4.857,0
2022-05-09,4.78,4.78,4.78,4.78,0.0,4.78,0
2022-05-10,4.818,4.818,4.818,4.818,0.0,4.818,0
