date,open,high,low,close,volume,average,barCount
2024-11-27,3.057,3.057,3.057,3.057,0.0,3.057,0
2024-11-28,3.057,3.057,3.057,3.057,0.0,3.057,0
2024-11-29,3.081,3.081,3.081,3.081,0.0,3.081,0
2024-12-02,3.003,3.003,3.003,3.003,0.0,3.003,0
2024-12-03,2.944,2.944,2.944,2.944,0.0,2.944,0
2024-12-04,3.02,3.02,3.02,3.02,0.0,3.02,0
2024-12-05,3.071,3.071,3.071,3.071,0.0,3.071,0
2024-12-06,3.05,3.05,3.05,3.05,0.0,3.05,0
2024-12-09,3.034,3.034,3.034,3.034,0.0,3.034,0
2024-12-10,3.041,3.041,3.041,3.041,0.0,3.041,0
2024-12-11,3.051,3.051,3.051,3.051,0.0,3.051,0
2024-12-12,3.115,3.115,3.115,3.115,0.0,3.115,0
2024-12-13,3.139,3.139,3.139,3.139,0.0,3.139,0
2024-12-16,3.142,3.142,3.142,3.142,0.0,3.142,0
2024-12-17,3.194,3.194,3.194,3.194,0.0,3.194,0
2024-12-18,3.144,3.144,3.144,3.144,0.0,3.144,0
2024-12-19,3.158,3.158,3.158,3.158,0.0,3.158,0
2024-12-20,3.082,3.082,3.082,3.082,0.0,3.082,0
2024-12-23,3.042,3.042,3.042,3.042,0.0,3.042,0
2024-12-24,3.132,3.132,3.132,3.132,0.0,3.132,0
2024-12-26,3.133,3.133,3.133,3.133,0.0,3.133,0
2024-12-27,3.116,3.116,3.116,3.116,0.0,3.116,0
2024-12-30,3.087,3.087,3.087,3.087,0.0,3.087,0
2024-12-31,3.156,3.156,3.156,3.156,0.0,3.156,0
2025-01-02,3.107,3.107,3.107,3.107,0.0,3.107,0
2025-01-03,3.055,3.055,3.055,3.055,0.0,3.055,0
2025-01-06,2.991,2.991,2.991,2.991,0.0,2.991,0
2025-01-07,3.054,3.054,3.054,3.054,0.0,3.054,0
2025-01-08,3.119,3.119,3.119,3.119,0.0,3.119,0
2025-01-09,3.148,3.148,3.148,3.148,0.0,3.148,0
2025-01-10,3.18,3.18,3.18,3.18,0.0,3.18,0
2025-01-13,3.169,3.169,3.169,3.169,0.0,3.169,0
2025-01-14,3.123,3.123,3.123,3.123,0.0,3.123,0
2025-01-15,3.156,3.156,3.156,3.156,0.0,3.156,0
2025-01-16,3.192,3.192,3.192,3.192,0.0,3.192,0
2025-01-17,3.164,3.164,3.164,3.164,0.0,3.164,0
2025-01-20,3.164,3.164,3.164,3.164,0.0,3.164,0
2025-01-21,3.135,3.135,3.135,3.135,0.0,3.135,0
2025-01-22,3.192,3.192,3.192,3.192,0.0,3.192,0
2025-01-23,3.283,3.283,3.283,3.283,0.0,3.283,0
2025-01-24,3.293,3.293,3.293,3.293,0.0,3.293,0
2025-01-27,3.255,3.255,3.255,3.255,0.0,3.255,0
2025-01-28,3.232,3.232,3.232,3.232,0.0,3.232,0
2025-01-29,3.27,3.27,3.27,3.27,0.0,3.27,0
2025-01-30,3.212,3.212,3.212,3.212,0.0,3.212,0
2025-01-31,3.28,3.28,3.28,3.28,0.0,3.28,0
2025-02-03,3.287,3.287,3.287,3.287,0.0,3.287,0
2025-02-04,3.231,3.231,3.231,3.231,0.0,3.231,0
2025-02-05,3.205,3.205,3.205,3.205,0.0,3.205,0
2025-02-06,3.19,3.19,3.19,3.19,0.0,3.19,0
2025-02-07,3.194,3.194,3.194,3.194,0.0,3.194,0
2025-02-10,3.208,3.208,3.208,3.208,0.0,3.208,0
2025-02-11,3.218,3.218,3.218,3.218,0.0,3.218,0
2025-02-12,3.242,3.242,3.242,3.242,0.0,3.242,0
2025-02-13,3.231,3.231,3.231,3.231,0.0,3.231,0
2025-02-14,3.224,3.224,3.224,3.224,0.0,3.224,0
2025-02-17,3.224,3.224,3.224,3.224,0.0,3.224,0
2025-02-18,3.199,3.199,3.199,3.199,0.0,3.199,0
2025-02-19,3.207,3.207,3.207,3.207,0.0,3.207,0
2025-02-20,3.176,3.176,3.176,3.176,0.0,3.176,0
2025-02-21,3.165,3.165,3.165,3.165,0.0,3.165,0
2025-02-24,3.159,3.159,3.159,3.159,0.0,3.159,0
2025-02-25,3.152,3.152,3.152,3.152,0.0,3.152,0
2025-02-26,3.148,3.148,3.148,3.148,0.0,3.148,0
2025-02-27,3.24,3.24,3.24,3.24,0.0,3.24,0
2025-02-28,3.277,3.277,3.277,3.277,0.0,3.277,0
2025-03-03,3.282,3.282,3.282,3.282,0.0,3.282,0
2025-03-04,3.302,3.302,3.302,3.302,0.0,3.302,0
2025-03-05,3.246,3.246,3.246,3.246,0.0,3.246,0
2025-03-06,3.279,3.279,3.279,3.279,0.0,3.279,0
2025-03-07,3.304,3.304,3.304,3.304,0.0,3.304,0
2025-03-10,3.286,3.286,3.286,3.286,0.0,3.286,0
2025-03-11,3.335,3.335,3.335,3.335,0.0,3.335,0
2025-03-12,3.329,3.329,3.329,3.329,0.0,3.329,0
2025-03-13,3.355,3.355,3.355,3.355,0.0,3.355,0
2025-03-14,3.344,3.344,3.344,3.344,0.0,3.344,0
2025-03-17,3.345,3.345,3.345,3.345,0.0,3.345,0
2025-03-18,3.351,3.351,3.351,3.351,0.0,3.351,0
2025-03-19,3.352,3.352,3.352,3.352,0.0,3.352,0
2025-03-20,3.36,3.36,3.36,3.36,0.0,3.36,0
2025-03-21,3.362,3.362,3.362,3.362,0.0,3.362,0
2025-03-24,3.373,3.373,3.373,3.373,0.0,3.373,0
2025-03-25,3.125,3.125,3.125,3.125,0.0,3.125,0
2025-03-26,3.139,3.139,3.139,3.139,0.0,3.139,0
2025-03-27,3.16,3.16,3.16,3.16,0.0,3.16,0
2025-03-28,3.148,3.148,3.148,3.148,0.0,3.148,0
2025-03-31,3.399,3.399,3.399,3.399,0.0,3.399,0
2025-04-01,3.39,3.39,3.39,3.39,0.0,3.39,0
2025-04-02,3.403,3.403,3.403,3.403,0.0,3.403,0
2025-04-03,3.394,3.394,3.394,3.394,0.0,3.394,0
2025-04-04,3.362,3.362,3.362,3.362,0.0,3.362,0
2025-04-07,3.434,3.434,3.434,3.434,0.0,3.434,0
2025-04-08,3.41,3.41,3.41,3.41,0.0,3.41,0
2025-04-09,3.475,3.475,3.475,3.475,0.0,3.475,0
2025-04-10,3.486,3.486,3.486,3.486,0.0,3.486,0
2025-04-11,3.528,3.528,3.528,3.528,0.0,3.528,0
2025-04-14,3.575,3.575,3.575,3.575,0.0,3.575,0
2025-04-15,3.568,3.568,3.568,3.568,0.0,3.568,0
2025-04-16,3.566,3.566,3.566,3.566,0.0,3.566,0
2025-04-17,3.559,3.559,3.559,3.559,0.0,3.559,0
2025-04-21,3.515,3.515,3.515,3.515,0.0,3.515,0
2025-04-22,3.534,3.534,3.534,3.534,0.0,3.534,0
2025-04-23,3.56,3.56,3.56,3.56,0.0,3.56,0
2025-04-24,3.538,3.538,3.538,3.538,0.0,3.538,0
2025-04-25,3.563,3.563,3.563,3.563,0.0,3.563,0
2025-04-28,3.556,3.556,3.556,3.556,0.0,3.556,0
2025-04-29,3.57,3.57,3.57,3.57,0.0,3.57,0
2025-04-30,3.569,3.569,3.569,3.569,0.0,3.569,0
2025-05-01,3.5,3.5,3.5,3.5,0.0,3.5,0
2025-05-02,3.49,3.49,3.49,3.49,0.0,3.49,0
2025-05-05,3.491,3.491,3.491,3.491,0.0,3.491,0
2025-05-06,3.53,3.53,3.53,3.53,0.0,3.53,0
2025-05-07,3.547,3.547,3.547,3.547,0.0,3.547,0
2025-05-08,3.555,3.555,3.555,3.555,0.0,3.555,0
2025-05-09,3.529,3.529,3.529,3.529,0.0,3.529,0
2025-05-12,3.547,3.547,3.547,3.547,0.0,3.547,0
2025-05-13,3.571,3.571,3.571,3.571,0.0,3.571,0
2025-05-14,3.58,3.58,3.58,3.58,0.0,3.58,0
2025-05-15,3.605,3.605,3.605,3.605,0.0,3.605,0
2025-05-16,3.596,3.596,3.596,3.596,0.0,3.596,0
2025-05-19,3.569,3.569,3.569,3.569,0.0,3.569,0
2025-05-20,3.548,3.548,3.548,3.548,0.0,3.548,0
2025-05-21,3.585,3.585,3.585,3.585,0.0,3.585,0
2025-05-22,3.578,3.578,3.578,3.578,0.0,3.578,0
2025-05-23,3.591,3.591,3.591,3.591,0.0,3.591,0
2025-05-27,3.545,3.545,3.545,3.545,0.0,3.545,0
2025-05-28,3.532,3.532,3.532,3.532,0.0,3.532,0
2025-05-29,3.532,3.532,3.532,3.532,0.0,3.532,0
2025-05-30,3.535,3.535,3.535,3.535,0.0,3.535,0
2025-06-02,3.529,3.529,3.529,3.529,0.0,3.529,0
2025-06-03,3.528,3.528,3.528,3.528,0.0,3.528,0
2025-06-04,3.516,3.516,3.516,3.516,0.0,3.516,0
2025-06-05,3.52,3.52,3.52,3.52,0.0,3.52,0
2025-06-06,3.535,3.535,3.535,3.535,0.0,3.535,0
2025-06-09,3.484,3.484,3.484,3.484,0.0,3.484,0
2025-06-10,3.46,3.46,3.46,3.46,0.0,3.46,0
2025-06-11,3.484,3.484,3.484,3.484,0.0,3.484,0
2025-06-12,3.459,3.459,3.459,3.459,0.0,3.459,0
2025-06-13,3.524,3.524,3.524,3.524,0.0,3.524,0
2025-06-16,3.614,3.614,3.614,3.614,0.0,3.614,0
2025-06-17,3.693,3.693,3.693,3.693,0.0,3.693,0
2025-06-18,3.668,3.668,3.668,3.668,0.0,3.668,0
2025-06-20,3.654,3.654,3.654,3.654,0.0,3.654,0
2025-06-23,3.652,3.652,3.652,3.652,0.0,3.652,0
2025-06-24,3.608,3.608,3.608,3.608,0.0,3.608,0
2025-06-25,3.597,3.597,3.597,3.597,0.0,3.597,0
2025-06-26,3.602,3.602,3.602,3.602,0.0,3.602,0
2025-06-27,3.678,3.678,3.678,3.678,0.0,3.678,0
2025-06-30,3.679,3.679,3.679,3.679,0.0,3.679,0
2025-07-01,3.684,3.684,3.684,3.684,0.0,3.684,0
2025-07-02,3.702,3.702,3.702,3.702,0.0,3.702,0
2025-07-03,3.694,3.694,3.694,3.694,0.0,3.694,0
2025-07-07,3.711,3.711,3.711,3.711,0.0,3.711,0
2025-07-08,3.637,3.637,3.637,3.637,0.0,3.637,0
2025-07-09,3.572,3.572,3.572,3.572,0.0,3.572,0
2025-07-10,3.583,3.583,3.583,3.583,0.0,3.583,0
2025-07-11,3.677,3.677,3.677,3.677,0.0,3.677,0
2025-07-14,3.67,3.67,3.67,3.67,0.0,3.67,0
2025-07-15,3.689,3.689,3.689,3.689,0.0,3.689,0
2025-07-16,3.737,3.737,3.737,3.737,0.0,3.737,0
2025-07-17,3.726,3.726,3.726,3.726,0.0,3.726,0
2025-07-18,3.702,3.702,3.702,3.702,0.0,3.702,0
2025-07-21,3.614,3.614,3.614,3.614,0.0,3.614,0
2025-07-22,3.744,3.744,3.744,3.744,0.0,3.744,0
2025-07-23,3.724,3.724,3.724,3.724,0.0,3.724,0
2025-07-24,3.736,3.736,3.736,3.736,0.0,3.736,0
2025-07-25,3.641,3.641,3.641,3.641,0.0,3.641,0
2025-07-28,3.622,3.622,3.622,3.622,0.0,3.622,0
2025-07-29,3.593,3.593,3.593,3.593,0.0,3.593,0
2025-07-30,3.558,3.558,3.558,3.558,0.0,3.558,0
2025-07-31,3.475,3.475,3.475,3.475,0.0,3.475,0
2025-08-01,3.47,3.47,3.47,3.47,0.0,3.47,0
2025-08-04,3.431,3.431,3.431,3.431,0.0,3.431,0
2025-08-05,3.429,3.429,3.429,3.429,0.0,3.429,0
2025-08-06,3.388,3.388,3.388,3.388,0.0,3.388,0
2025-08-07,3.452,3.452,3.452,3.452,0.0,3.452,0
2025-08-08,3.452,3.452,3.452,3.452,0.0,3.452,0
2025-08-11,3.375,3.375,3.375,3.375,0.0,3.375,0
2025-08-12,3.425,3.425,3.425,3.425,0.0,3.425,0
2025-08-13,3.384,3.384,3.384,3.384,0.0,3.384,0
2025-08-14,3.332,3.332,3.332,3.332,0.0,3.332,0
2025-08-15,3.389,3.389,3.389,3.389,0.0,3.389,0
2025-08-18,3.455,3.455,3.455,3.455,0.0,3.455,0
2025-08-19,3.466,3.466,3.466,3.466,0.0,3.466,0
2025-08-20,3.477,3.477,3.477,3.477,0.0,3.477,0
2025-08-21,3.475,3.475,3.475,3.475,0.0,3.475,0
2025-08-22,3.469,3.469,3.469,3.469,0.0,3.469,0
2025-08-25,3.454,3.454,3.454,3.454,0.0,3.454,0
2025-08-26,3.405,3.405,3.405,3.405,0.0,3.405,0
2025-08-27,3.385,3.385,3.385,3.385,0.0,3.385,0
2025-08-28,3.374,3.374,3.374,3.374,0.0,3.374,0
2025-08-29,3.398,3.398,3.398,3.398,0.0,3.398,0
2025-09-02,3.418,3.418,3.418,3.418,0.0,3.418,0
2025-09-03,3.466,3.466,3.466,3.466,0.0,3.466,0
2025-09-04,3.403,3.403,3.403,3.403,0.0,3.403,0
2025-09-05,3.442,3.442,3.442,3.442,0.0,3.442,0
2025-09-08,3.345,3.345,3.345,3.345,0.0,3.345,0
2025-09-09,3.375,3.375,3.375,3.375,0.0,3.375,0
2025-09-10,3.405,3.405,3.405,3.405,0.0,3.405,0
2025-09-11,3.336,3.336,3.336,3.336,0.0,3.336,0
2025-09-12,3.465,3.465,3.465,3.465,0.0,3.465,0
2025-09-15,3.434,3.434,3.434,3.434,0.0,3.434,0
2025-09-16,3.496,3.496,3.496,3.496,0.0,3.496,0
2025-09-17,3.49,3.49,3.49,3.49,0.0,3.49,0
2025-09-18,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-09-19,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-09-22,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-09-23,3.453,3.453,3.453,3.453,0.0,3.453,0
2025-09-24,3.437,3.437,3.437,3.437,0.0,3.437,0
2025-09-25,3.457,3.457,3.457,3.457,0.0,3.457,0
2025-09-26,3.433,3.433,3.433,3.433,0.0,3.433,0
2025-09-29,3.394,3.394,3.394,3.394,0.0,3.394,0
2025-09-30,3.45,3.45,3.45,3.45,0.0,3.45,0
2025-10-01,3.445,3.445,3.445,3.445,0.0,3.445,0
2025-10-02,3.421,3.421,3.421,3.421,0.0,3.421,0
2025-10-03,3.436,3.436,3.436,3.436,0.0,3.436,0
2025-10-06,3.456,3.456,3.456,3.456,0.0,3.456,0
2025-10-07,3.473,3.473,3.473,3.473,0.0,3.473,0
2025-10-08,3.521,3.521,3.521,3.521,0.0,3.521,0
2025-10-09,3.478,3.478,3.478,3.478,0.0,3.478,0
2025-10-10,3.484,3.484,3.484,3.484,0.0,3.484,0
2025-10-13,3.505,3.505,3.505,3.505,0.0,3.505,0
2025-10-14,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-10-15,3.486,3.486,3.486,3.486,0.0,3.486,0
2025-10-16,3.427,3.427,3.427,3.427,0.0,3.427,0
2025-10-17,3.425,3.425,3.425,3.425,0.0,3.425,0
2025-10-20,3.475,3.475,3.475,3.475,0.0,3.475,0
2025-10-21,3.471,3.471,3.471,3.471,0.0,3.471,0
2025-10-22,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-10-23,3.46,3.46,3.46,3.46,0.0,3.46,0
2025-10-24,3.491,3.491,3.491,3.491,0.0,3.491,0
2025-10-27,3.461,3.461,3.461,3.461,0.0,3.461,0
2025-10-28,3.476,3.476,3.476,3.476,0.0,3.476,0
2025-10-29,3.487,3.487,3.487,3.487,0.0,3.487,0
2025-10-30,3.502,3.502,3.502,3.502,0.0,3.502,0
2025-10-31,3.54,3.54,3.54,3.54,0.0,3.54,0
2025-11-03,3.522,3.522,3.522,3.522,0.0,3.522,0
2025-11-04,3.573,3.573,3.573,3.573,0.0,3.573,0
2025-11-05,3.526,3.526,3.526,3.526,0.0,3.526,0
2025-11-06,3.569,3.569,3.569,3.569,0.0,3.569,0
2025-11-07,3.541,3.541,3.541,3.541,0.0,3.541,0
2025-11-10,3.53,3.53,3.53,3.53,0.0,3.53,0
2025-11-11,3.553,3.553,3.553,3.553,0.0,3.553,0
2025-11-12,3.576,3.576,3.576,3.576,0.0,3.576,0
2025-11-13,3.564,3.564,3.564,3.564,0.0,3.564,0
2025-11-14,3.524,3.524,3.524,3.524,0.0,3.524,0
2025-11-17,3.547,3.547,3.547,3.547,0.0,3.547,0
2025-11-18,3.547,3.547,3.547,3.547,0.0,3.547,0
2025-11-19,3.553,3.553,3.553,3.553,0.0,3.553,0
2025-11-20,3.581,3.581,3.581,3.581,0.0,3.581,0
2025-11-21,3.553,3.553,3.553,3.553,0.0,3.553,0
2025-11-24,3.522,3.522,3.522,3.522,0.0,3.522,0
2025-11-25,3.493,3.493,3.493,3.493,0.0,3.493,0
2025-11-26,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-11-28,3.409,3.409,3.409,3.409,0.0,3.409,0
2025-12-01,3.446,3.446,3.446,3.446,0.0,3.446,0
2025-12-02,3.47,3.47,3.47,3.47,0.0,3.47,0
2025-12-03,3.497,3.497,3.497,3.497,0.0,3.497,0
2025-12-04,3.474,3.474,3.474,3.474,0.0,3.474,0
2025-12-05,3.496,3.496,3.496,3.496,0.0,3.496,0
2025-12-08,3.497,3.497,3.497,3.497,0.0,3.497,0
2025-12-09,3.509,3.509,3.509,3.509,0.0,3.509,0
2025-12-10,3.494,3.494,3.494,3.494,0.0,3.494,0
2025-12-11,3.48,3.48,3.48,3.48,0.0,3.48,0
2025-12-12,3.482,3.482,3.482,3.482,0.0,3.482,0
2025-12-15,3.495,3.495,3.495,3.495,0.0,3.495,0
2025-12-16,3.489,3.489,3.489,3.489,0.0,3.489,0
2025-12-17,3.483,3.483,3.483,3.483,0.0,3.483,0
2025-12-18,3.445,3.445,3.445,3.445,0.0,3.445,0
2025-12-19,3.436,3.436,3.436,3.436,0.0,3.436,0
2025-12-22,3.421,3.421,3.421,3.421,0.0,3.421,0
2025-12-23,3.445,3.445,3.445,3.445,0.0,3.445,0
2025-12-24,3.411,3.411,3.411,3.411,0.0,3.411,0
2025-12-26,3.414,3.414,3.414,3.414,0.0,3.414,0
2025-12-29,3.458,3.458,3.458,3.458,0.0,3.458,0
2025-12-30,3.451,3.451,3.451,3.451,0.0,3.451,0
2025-12-31,3.436,3.436,3.436,3.436,0.0,3.436,0
2026-01-02,3.446,3.446,3.446,3.446,0.0,3.446,0
2026-01-05,3.454,3.454,3.454,3.454,0.0,3.454,0
2026-01-06,3.471,3.471,3.471,3.471,0.0,3.471,0
