date,open,high,low,close,volume,average,barCount
2017-11-29,3.721,3.721,3.721,3.721,0.0,3.721,0
2017-11-30,3.723,3.723,3.723,3.723,0.0,3.723,0
2017-12-01,3.672,3.672,3.672,3.672,0.0,3.672,0
2017-12-04,3.67,3.67,3.67,3.67,0.0,3.67,0
2017-12-05,3.665,3.665,3.665,3.665,0.0,3.665,0
2017-12-06,3.647,3.647,3.647,3.647,0.0,3.647,0
2017-12-07,3.653,3.653,3.653,3.653,0.0,3.653,0
2017-12-08,3.648,3.648,3.648,3.648,0.0,3.648,0
2017-12-11,3.641,3.641,3.641,3.641,0.0,3.641,0
2017-12-12,3.654,3.654,3.654,3.654,0.0,3.654,0
2017-12-13,3.67,3.67,3.67,3.67,0.0,3.67,0
2017-12-14,3.681,3.681,3.681,3.681,0.0,3.681,0
2017-12-15,3.689,3.689,3.689,3.689,0.0,3.689,0
2017-12-18,3.709,3.709,3.709,3.709,0.0,3.709,0
2017-12-19,3.711,3.711,3.711,3.711,0.0,3.711,0
2017-12-20,3.697,3.697,3.697,3.697,0.0,3.697,0
2017-12-21,3.714,3.714,3.714,3.714,0.0,3.714,0
2017-12-22,3.737,3.737,3.737,3.737,0.0,3.737,0
2017-12-26,3.738,3.738,3.738,3.738,0.0,3.738,0
2017-12-27,3.711,3.711,3.711,3.711,0.0,3.711,0
2017-12-28,3.612,3.612,3.612,3.612,0.0,3.612,0
2017-12-29,3.57,3.57,3.57,3.57,0.0,3.57,0
2018-01-02,3.563,3.563,3.563,3.563,0.0,3.563,0
2018-01-03,3.564,3.564,3.564,3.564,0.0,3.564,0
2018-01-04,3.596,3.596,3.596,3.596,0.0,3.596,0
2018-01-05,3.59,3.59,3.59,3.59,0.0,3.59,0
2018-01-08,3.585,3.585,3.585,3.585,0.0,3.585,0
2018-01-09,3.57,3.57,3.57,3.57,0.0,3.57,0
2018-01-10,3.563,3.563,3.563,3.563,0.0,3.563,0
2018-01-11,3.58,3.58,3.58,3.58,0.0,3.58,0
2018-01-12,3.567,3.567,3.567,3.567,0.0,3.567,0
2018-01-16,3.53,3.53,3.53,3.53,0.0,3.53,0
2018-01-17,3.524,3.524,3.524,3.524,0.0,3.524,0
2018-01-18,3.522,3.522,3.522,3.522,0.0,3.522,0
2018-01-19,3.532,3.532,3.532,3.532,0.0,3.532,0
2018-01-22,3.551,3.551,3.551,3.551,0.0,3.551,0
2018-01-23,3.563,3.563,3.563,3.563,0.0,3.563,0
2018-01-24,3.577,3.577,3.577,3.577,0.0,3.577,0
2018-01-25,3.601,3.601,3.601,3.601,0.0,3.601,0
2018-01-26,3.567,3.567,3.567,3.567,0.0,3.567,0
2018-01-29,3.569,3.569,3.569,3.569,0.0,3.569,0
2018-01-30,3.586,3.586,3.586,3.586,0.0,3.586,0
2018-01-31,3.545,3.545,3.545,3.545,0.0,3.545,0
2018-02-01,3.541,3.541,3.541,3.541,0.0,3.541,0
2018-02-02,3.566,3.566,3.566,3.566,0.0,3.566,0
2018-02-05,3.588,3.588,3.588,3.588,0.0,3.588,0
2018-02-06,3.572,3.572,3.572,3.572,0.0,3.572,0
2018-02-07,3.55,3.55,3.55,3.55,0.0,3.55,0
2018-02-08,3.563,3.563,3.563,3.563,0.0,3.563,0
2018-02-09,3.532,3.532,3.532,3.532,0.0,3.532,0
2018-02-12,3.522,3.522,3.522,3.522,0.0,3.522,0
2018-02-13,3.505,3.505,3.505,3.505,0.0,3.505,0
2018-02-14,3.51,3.51,3.51,3.51,0.0,3.51,0
2018-02-15,3.513,3.513,3.513,3.513,0.0,3.513,0
2018-02-16,3.526,3.526,3.526,3.526,0.0,3.526,0
2018-02-20,3.529,3.529,3.529,3.529,0.0,3.529,0
2018-02-21,3.547,3.547,3.547,3.547,0.0,3.547,0
2018-02-22,3.559,3.559,3.559,3.559,0.0,3.559,0
2018-02-23,3.551,3.551,3.551,3.551,0.0,3.551,0
2018-02-26,3.547,3.547,3.547,3.547,0.0,3.547,0
2018-02-27,3.55,3.55,3.55,3.55,0.0,3.55,0
2018-02-28,3.525,3.525,3.525,3.525,0.0,3.525,0
2018-03-01,3.564,3.564,3.564,3.564,0.0,3.564,0
2018-03-02,3.581,3.581,3.581,3.581,0.0,3.581,0
2018-03-05,3.599,3.599,3.599,3.599,0.0,3.599,0
2018-03-06,3.596,3.596,3.596,3.596,0.0,3.596,0
2018-03-07,3.589,3.589,3.589,3.589,0.0,3.589,0
2018-03-08,3.551,3.551,3.551,3.551,0.0,3.551,0
2018-03-09,3.512,3.512,3.512,3.512,0.0,3.512,0
2018-03-12,3.518,3.518,3.518,3.518,0.0,3.518,0
2018-03-13,3.525,3.525,3.525,3.525,0.0,3.525,0
2018-03-14,3.545,3.545,3.545,3.545,0.0,3.545,0
2018-03-15,3.603,3.603,3.603,3.603,0.0,3.603,0
2018-03-16,3.613,3.613,3.613,3.613,0.0,3.613,0
2018-03-19,3.603,3.603,3.603,3.603,0.0,3.603,0
2018-03-20,3.608,3.608,3.608,3.608,0.0,3.608,0
2018-03-21,3.616,3.616,3.616,3.616,0.0,3.616,0
2018-03-22,3.604,3.604,3.604,3.604,0.0,3.604,0
2018-03-23,3.526,3.526,3.526,3.526,0.0,3.526,0
2018-03-26,3.554,3.554,3.554,3.554,0.0,3.554,0
2018-03-27,3.558,3.558,3.558,3.558,0.0,3.558,0
2018-03-28,3.587,3.587,3.587,3.587,0.0,3.587,0
2018-03-29,3.625,3.625,3.625,3.625,0.0,3.625,0
2018-04-02,3.607,3.607,3.607,3.607,0.0,3.607,0
2018-04-03,3.585,3.585,3.585,3.585,0.0,3.585,0
2018-04-04,3.559,3.559,3.559,3.559,0.0,3.559,0
2018-04-05,3.575,3.575,3.575,3.575,0.0,3.575,0
2018-04-06,3.569,3.569,3.569,3.569,0.0,3.569,0
2018-04-09,3.553,3.553,3.553,3.553,0.0,3.553,0
2018-04-10,3.562,3.562,3.562,3.562,0.0,3.562,0
2018-04-11,3.57,3.57,3.57,3.57,0.0,3.57,0
2018-04-12,3.593,3.593,3.593,3.593,0.0,3.593,0
2018-04-13,3.586,3.586,3.586,3.586,0.0,3.586,0
2018-04-16,3.588,3.588,3.588,3.588,0.0,3.588,0
2018-04-17,3.55,3.55,3.55,3.55,0.0,3.55,0
2018-04-18,3.551,3.551,3.551,3.551,0.0,3.551,0
2018-04-19,3.553,3.553,3.553,3.553,0.0,3.553,0
2018-04-20,3.561,3.561,3.561,3.561,0.0,3.561,0
2018-04-23,3.562,3.562,3.562,3.562,0.0,3.562,0
2018-04-24,3.56,3.56,3.56,3.56,0.0,3.56,0
2018-04-25,3.549,3.549,3.549,3.549,0.0,3.549,0
2018-04-26,3.539,3.539,3.539,3.539,0.0,3.539,0
2018-04-27,3.541,3.541,3.541,3.541,0.0,3.541,0
2018-04-30,3.533,3.533,3.533,3.533,0.0,3.533,0
2018-05-01,3.513,3.513,3.513,3.513,0.0,3.513,0
2018-05-02,3.541,3.541,3.541,3.541,0.0,3.541,0
2018-05-03,3.551,3.551,3.551,3.551,0.0,3.551,0
2018-05-04,3.549,3.549,3.549,3.549,0.0,3.549,0
2018-05-07,3.547,3.547,3.547,3.547,0.0,3.547,0
2018-05-08,3.502,3.502,3.502,3.502,0.0,3.502,0
2018-05-09,3.488,3.488,3.488,3.488,0.0,3.488,0
2018-05-10,3.484,3.484,3.484,3.484,0.0,3.484,0
2018-05-11,3.487,3.487,3.487,3.487,0.0,3.487,0
2018-05-14,3.479,3.479,3.479,3.479,0.0,3.479,0
2018-05-15,3.517,3.517,3.517,3.517,0.0,3.517,0
2018-05-16,3.491,3.491,3.491,3.491,0.0,3.491,0
2018-05-17,3.498,3.498,3.498,3.498,0.0,3.498,0
2018-05-18,3.513,3.513,3.513,3.513,0.0,3.513,0
2018-05-21,3.508,3.508,3.508,3.508,0.0,3.508,0
2018-05-22,3.457,3.457,3.457,3.457,0.0,3.457,0
2018-05-23,3.434,3.434,3.434,3.434,0.0,3.434,0
2018-05-24,3.428,3.428,3.428,3.428,0.0,3.428,0
2018-05-25,3.4,3.4,3.4,3.4,0.0,3.4,0
2018-05-29,3.38,3.38,3.38,3.38,0.0,3.38,0
2018-05-30,3.391,3.391,3.391,3.391,0.0,3.391,0
2018-05-31,3.379,3.379,3.379,3.379,0.0,3.379,0
2018-06-01,3.369,3.369,3.369,3.369,0.0,3.369,0
2018-06-04,3.382,3.382,3.382,3.382,0.0,3.382,0
2018-06-05,3.397,3.397,3.397,3.397,0.0,3.397,0
2018-06-06,3.392,3.392,3.392,3.392,0.0,3.392,0
2018-06-07,3.39,3.39,3.39,3.39,0.0,3.39,0
2018-06-08,3.393,3.393,3.393,3.393,0.0,3.393,0
2018-06-11,3.392,3.392,3.392,3.392,0.0,3.392,0
2018-06-12,3.426,3.426,3.426,3.426,0.0,3.426,0
2018-06-13,3.437,3.437,3.437,3.437,0.0,3.437,0
2018-06-14,3.453,3.453,3.453,3.453,0.0,3.453,0
2018-06-15,3.458,3.458,3.458,3.458,0.0,3.458,0
2018-06-18,3.494,3.494,3.494,3.494,0.0,3.494,0
2018-06-19,3.496,3.496,3.496,3.496,0.0,3.496,0
2018-06-20,3.495,3.495,3.495,3.495,0.0,3.495,0
2018-06-21,3.479,3.479,3.479,3.479,0.0,3.479,0
2018-06-22,3.481,3.481,3.481,3.481,0.0,3.481,0
2018-06-25,3.477,3.477,3.477,3.477,0.0,3.477,0
2018-06-26,3.474,3.474,3.474,3.474,0.0,3.474,0
2018-06-27,3.477,3.477,3.477,3.477,0.0,3.477,0
2018-06-28,3.456,3.456,3.456,3.456,0.0,3.456,0
2018-06-29,3.453,3.453,3.453,3.453,0.0,3.453,0
2018-07-02,3.444,3.444,3.444,3.444,0.0,3.444,0
2018-07-03,3.441,3.441,3.441,3.441,0.0,3.441,0
