date,open,high,low,close,volume,average,barCount
2024-09-23,20982.25,20982.25,20982.25,20982.25,0.0,20982.25,0
2024-09-24,21068.25,21068.25,21068.25,21068.25,0.0,21068.25,0
2024-09-25,21088.25,21088.25,21088.25,21088.25,0.0,21088.25,0
2024-09-26,21248.25,21248.25,21248.25,21248.25,0.0,21248.25,0
2024-09-27,21123.25,21123.25,21123.25,21123.25,0.0,21123.25,0
2024-09-30,21163.25,21163.25,21163.25,21163.25,0.0,21163.25,0
2024-10-01,20876.25,20876.25,20876.25,20876.25,0.0,20876.25,0
2024-10-02,20911.25,20911.25,20911.25,20911.25,0.0,20911.25,0
2024-10-03,20892.25,20892.25,20892.25,20892.25,0.0,20892.25,0
2024-10-04,21142.0,21142.0,21142.0,21142.0,0.0,21142.0,0
2024-10-07,20909.5,20909.5,20909.5,20909.5,0.0,20909.5,0
2024-10-08,21215.75,21215.75,21215.75,21215.75,0.0,21215.75,0
2024-10-09,21384.5,21384.5,21384.5,21384.5,0.0,21384.5,0
2024-10-10,21350.0,21350.0,21350.0,21350.0,0.0,21350.0,0
2024-10-11,21371.0,21371.0,21371.0,21371.0,0.0,21371.0,0
2024-10-14,21562.75,21562.75,21562.75,21562.75,0.0,21562.75,0
2024-10-15,21280.0,21280.0,21280.0,21280.0,0.0,21280.0,0
2024-10-16,21272.0,21272.0,21272.0,21272.0,0.0,21272.0,0
2024-10-17,21292.0,21292.0,21292.0,21292.0,0.0,21292.0,0
2024-10-18,21408.0,21408.0,21408.0,21408.0,0.0,21408.0,0
2024-10-21,21472.25,21472.25,21472.25,21472.25,0.0,21472.25,0
2024-10-22,21494.75,21494.75,21494.75,21494.75,0.0,21494.75,0
2024-10-23,21172.0,21172.0,21172.0,21172.0,0.0,21172.0,0
2024-10-24,21332.0,21332.0,21332.0,21332.0,0.0,21332.0,0
2024-10-25,21450.75,21450.75,21450.75,21450.75,0.0,21450.75,0
2024-10-28,21451.25,21451.25,21451.25,21451.25,0.0,21451.25,0
2024-10-29,21651.0,21651.0,21651.0,21651.0,0.0,21651.0,0
2024-10-30,21489.0,21489.0,21489.0,21489.0,0.0,21489.0,0
2024-10-31,20971.0,20971.0,20971.0,20971.0,0.0,20971.0,0
2024-11-01,21102.25,21102.25,21102.25,21102.25,0.0,21102.25,0
2024-11-04,21034.5,21034.5,21034.5,21034.5,0.0,21034.5,0
2024-11-05,21292.0,21292.0,21292.0,21292.0,0.0,21292.0,0
2024-11-06,21848.25,21848.25,21848.25,21848.25,0.0,21848.25,0
2024-11-07,22185.25,22185.25,22185.25,22185.25,0.0,22185.25,0
2024-11-08,22216.5,22216.5,22216.5,22216.5,0.0,22216.5,0
2024-11-11,22203.5,22203.5,22203.5,22203.5,0.0,22203.5,0
2024-11-12,22177.25,22177.25,22177.25,22177.25,0.0,22177.25,0
2024-11-13,22147.25,22147.25,22147.25,22147.25,0.0,22147.25,0
2024-11-14,22002.5,22002.5,22002.5,22002.5,0.0,22002.5,0
2024-11-15,21492.25,21492.25,21492.25,21492.25,0.0,21492.25,0
2024-11-18,21631.5,21631.5,21631.5,21631.5,0.0,21631.5,0
2024-11-19,21762.75,21762.75,21762.75,21762.75,0.0,21762.75,0
2024-11-20,21743.5,21743.5,21743.5,21743.5,0.0,21743.5,0
2024-11-21,21823.0,21823.0,21823.0,21823.0,0.0,21823.0,0
2024-11-22,21847.5,21847.5,21847.5,21847.5,0.0,21847.5,0
2024-11-25,21877.75,21877.75,21877.75,21877.75,0.0,21877.75,0
2024-11-26,21994.0,21994.0,21994.0,21994.0,0.0,21994.0,0
2024-11-27,21809.0,21809.0,21809.0,21809.0,0.0,21809.0,0
