date,open,high,low,close,volume,average,barCount
2024-03-18,19142.25,19142.25,19142.25,19142.25,0.0,19142.25,0
2024-03-19,19180.75,19180.75,19180.75,19180.75,0.0,19180.75,0
2024-03-20,19389.75,19389.75,19389.75,19389.75,0.0,19389.75,0
2024-03-21,19475.75,19475.75,19475.75,19475.75,0.0,19475.75,0
2024-03-22,19487.75,19487.75,19487.75,19487.75,0.0,19487.75,0
2024-03-25,19444.25,19444.25,19444.25,19444.25,0.0,19444.25,0
2024-03-26,19379.75,19379.75,19379.75,19379.75,0.0,19379.75,0
2024-03-27,19434.75,19434.75,19434.75,19434.75,0.0,19434.75,0
2024-03-28,19417.75,19417.75,19417.75,19417.75,0.0,19417.75,0
2024-04-01,19438.75,19438.75,19438.75,19438.75,0.0,19438.75,0
2024-04-02,19268.5,19268.5,19268.5,19268.5,0.0,19268.5,0
2024-04-03,19312.0,19312.0,19312.0,19312.0,0.0,19312.0,0
2024-04-04,19013.5,19013.5,19013.5,19013.5,0.0,19013.5,0
2024-04-05,19237.5,19237.5,19237.5,19237.5,0.0,19237.5,0
2024-04-08,19232.5,19232.5,19232.5,19232.5,0.0,19232.5,0
2024-04-09,19296.75,19296.75,19296.75,19296.75,0.0,19296.75,0
2024-04-10,19137.75,19137.75,19137.75,19137.75,0.0,19137.75,0
2024-04-11,19427.75,19427.75,19427.75,19427.75,0.0,19427.75,0
2024-04-12,19121.75,19121.75,19121.75,19121.75,0.0,19121.75,0
2024-04-15,18820.75,18820.75,18820.75,18820.75,0.0,18820.75,0
2024-04-16,18824.25,18824.25,18824.25,18824.25,0.0,18824.25,0
2024-04-17,18601.0,18601.0,18601.0,18601.0,0.0,18601.0,0
2024-04-18,18487.25,18487.25,18487.25,18487.25,0.0,18487.25,0
2024-04-19,18113.25,18113.25,18113.25,18113.25,0.0,18113.25,0
2024-04-22,18283.25,18283.25,18283.25,18283.25,0.0,18283.25,0
2024-04-23,18538.75,18538.75,18538.75,18538.75,0.0,18538.75,0
2024-04-24,18596.75,18596.75,18596.75,18596.75,0.0,18596.75,0
2024-04-25,18499.75,18499.75,18499.75,18499.75,0.0,18499.75,0
2024-04-26,18778.75,18778.75,18778.75,18778.75,0.0,18778.75,0
2024-04-29,18836.25,18836.25,18836.25,18836.25,0.0,18836.25,0
2024-04-30,18502.75,18502.75,18502.75,18502.75,0.0,18502.75,0
2024-05-01,18367.75,18367.75,18367.75,18367.75,0.0,18367.75,0
2024-05-02,18578.75,18578.75,18578.75,18578.75,0.0,18578.75,0
2024-05-03,18933.75,18933.75,18933.75,18933.75,0.0,18933.75,0
2024-05-06,19129.75,19129.75,19129.75,19129.75,0.0,19129.75,0
2024-05-07,19134.25,19134.25,19134.25,19134.25,0.0,19134.25,0
2024-05-08,19121.25,19121.25,19121.25,19121.25,0.0,19121.25,0
2024-05-09,19149.25,19149.25,19149.25,19149.25,0.0,19149.25,0
2024-05-10,19194.25,19194.25,19194.25,19194.25,0.0,19194.25,0
2024-05-13,19235.5,19235.5,19235.5,19235.5,0.0,19235.5,0
2024-05-14,19355.75,19355.75,19355.75,19355.75,0.0,19355.75,0
2024-05-15,19635.75,19635.75,19635.75,19635.75,0.0,19635.75,0
2024-05-16,19595.75,19595.75,19595.75,19595.75,0.0,19595.75,0
2024-05-17,19582.75,19582.75,19582.75,19582.75,0.0,19582.75,0
2024-05-20,19710.75,19710.75,19710.75,19710.75,0.0,19710.75,0
2024-05-21,19793.5,19793.5,19793.5,19793.5,0.0,19793.5,0
2024-05-22,19783.5,19783.5,19783.5,19783.5,0.0,19783.5,0
2024-05-23,19703.5,19703.5,19703.5,19703.5,0.0,19703.5,0
2024-05-24,19884.0,19884.0,19884.0,19884.0,0.0,19884.0,0
2024-05-27,19884.0,19884.0,19884.0,19884.0,0.0,19884.0,0
2024-05-28,19949.0,19949.0,19949.0,19949.0,0.0,19949.0,0
2024-05-29,19810.25,19810.25,19810.25,19810.25,0.0,19810.25,0
2024-05-30,19611.75,19611.75,19611.75,19611.75,0.0,19611.75,0
2024-05-31,19595.75,19595.75,19595.75,19595.75,0.0,19595.75,0
2024-06-03,19649.75,19649.75,19649.75,19649.75,0.0,19649.75,0
2024-06-04,19704.5,19704.5,19704.5,19704.5,0.0,19704.5,0
2024-06-05,20080.75,20080.75,20080.75,20080.75,0.0,20080.75,0
2024-06-06,20067.75,20067.75,20067.75,20067.75,0.0,20067.75,0
2024-06-07,20045.75,20045.75,20045.75,20045.75,0.0,20045.75,0
2024-06-10,20118.75,20118.75,20118.75,20118.75,0.0,20118.75,0
2024-06-11,20252.75,20252.75,20252.75,20252.75,0.0,20252.75,0
2024-06-12,20513.25,20513.25,20513.25,20513.25,0.0,20513.25,0
2024-06-13,20623.25,20623.25,20623.25,20623.25,0.0,20623.25,0
2024-06-14,20703.25,20703.25,20703.25,20703.25,0.0,20703.25,0
2024-06-17,20949.5,20949.5,20949.5,20949.5,0.0,20949.5,0
2024-06-18,21054.75,21054.75,21054.75,21054.75,0.0,21054.75,0
2024-06-19,21054.75,21054.75,21054.75,21054.75,0.0,21054.75,0
2024-06-20,20929.75,20929.75,20929.75,20929.75,0.0,20929.75,0
2024-06-21,20878.75,20878.75,20878.75,20878.75,0.0,20878.75,0
2024-06-24,20646.75,20646.75,20646.75,20646.75,0.0,20646.75,0
2024-06-25,20868.0,20868.0,20868.0,20868.0,0.0,20868.0,0
2024-06-26,20908.75,20908.75,20908.75,20908.75,0.0,20908.75,0
2024-06-27,20935.75,20935.75,20935.75,20935.75,0.0,20935.75,0
2024-06-28,20823.75,20823.75,20823.75,20823.75,0.0,20823.75,0
2024-07-01,20948.75,20948.75,20948.75,20948.75,0.0,20948.75,0
2024-07-02,21153.75,21153.75,21153.75,21153.75,0.0,21153.75,0
2024-07-03,21310.0,21310.0,21310.0,21310.0,0.0,21310.0,0
2024-07-04,21310.0,21310.0,21310.0,21310.0,0.0,21310.0,0
2024-07-05,21523.5,21523.5,21523.5,21523.5,0.0,21523.5,0
2024-07-08,21563.5,21563.5,21563.5,21563.5,0.0,21563.5,0
2024-07-09,21584.0,21584.0,21584.0,21584.0,0.0,21584.0,0
2024-07-10,21805.5,21805.5,21805.5,21805.5,0.0,21805.5,0
2024-07-11,21329.5,21329.5,21329.5,21329.5,0.0,21329.5,0
2024-07-12,21413.0,21413.0,21413.0,21413.0,0.0,21413.0,0
2024-07-15,21473.0,21473.0,21473.0,21473.0,0.0,21473.0,0
2024-07-16,21488.25,21488.25,21488.25,21488.25,0.0,21488.25,0
2024-07-17,20884.75,20884.75,20884.75,20884.75,0.0,20884.75,0
2024-07-18,20786.25,20786.25,20786.25,20786.25,0.0,20786.25,0
2024-07-19,20600.25,20600.25,20600.25,20600.25,0.0,20600.25,0
