date,open,high,low,close,volume,average,barCount
2025-03-24,2185.1,2185.1,2185.1,2185.1,0.0,2185.1,0
2025-03-25,2169.8,2169.8,2169.8,2169.8,0.0,2169.8,0
2025-03-26,2147.3,2147.3,2147.3,2147.3,0.0,2147.3,0
2025-03-27,2138.9,2138.9,2138.9,2138.9,0.0,2138.9,0
2025-03-28,2094.4,2094.4,2094.4,2094.4,0.0,2094.4,0
2025-03-31,2082.8,2082.8,2082.8,2082.8,0.0,2082.8,0
2025-04-01,2074.0,2074.0,2074.0,2074.0,0.0,2074.0,0
2025-04-02,2108.4,2108.4,2108.4,2108.4,0.0,2108.4,0
2025-04-03,1969.5,1969.5,1969.5,1969.5,0.0,1969.5,0
2025-04-04,1883.2,1883.2,1883.2,1883.2,0.0,1883.2,0
2025-04-07,1864.4,1864.4,1864.4,1864.4,0.0,1864.4,0
2025-04-08,1812.2,1812.2,1812.2,1812.2,0.0,1812.2,0
2025-04-09,1971.5,1971.5,1971.5,1971.5,0.0,1971.5,0
2025-04-10,1887.2,1887.2,1887.2,1887.2,0.0,1887.2,0
2025-04-11,1914.7,1914.7,1914.7,1914.7,0.0,1914.7,0
2025-04-14,1937.2,1937.2,1937.2,1937.2,0.0,1937.2,0
2025-04-15,1938.4,1938.4,1938.4,1938.4,0.0,1938.4,0
2025-04-16,1918.4,1918.4,1918.4,1918.4,0.0,1918.4,0
2025-04-17,1936.0,1936.0,1936.0,1936.0,0.0,1936.0,0
2025-04-21,1894.0,1894.0,1894.0,1894.0,0.0,1894.0,0
2025-04-22,1944.8,1944.8,1944.8,1944.8,0.0,1944.8,0
2025-04-23,1975.5,1975.5,1975.5,1975.5,0.0,1975.5,0
2025-04-24,2013.8,2013.8,2013.8,2013.8,0.0,2013.8,0
2025-04-25,2013.6,2013.6,2013.6,2013.6,0.0,2013.6,0
2025-04-28,2021.8,2021.8,2021.8,2021.8,0.0,2021.8,0
2025-04-29,2025.6,2025.6,2025.6,2025.6,0.0,2025.6,0
2025-04-30,2013.1,2013.1,2013.1,2013.1,0.0,2013.1,0
2025-05-01,2024.8,2024.8,2024.8,2024.8,0.0,2024.8,0
2025-05-02,2070.9,2070.9,2070.9,2070.9,0.0,2070.9,0
2025-05-05,2053.2,2053.2,2053.2,2053.2,0.0,2053.2,0
2025-05-06,2031.8,2031.8,2031.8,2031.8,0.0,2031.8,0
2025-05-07,2038.5,2038.5,2038.5,2038.5,0.0,2038.5,0
2025-05-08,2075.5,2075.5,2075.5,2075.5,0.0,2075.5,0
2025-05-09,2071.7,2071.7,2071.7,2071.7,0.0,2071.7,0
2025-05-12,2146.6,2146.6,2146.6,2146.6,0.0,2146.6,0
2025-05-13,2159.8,2159.8,2159.8,2159.8,0.0,2159.8,0
2025-05-14,2140.8,2140.8,2140.8,2140.8,0.0,2140.8,0
2025-05-15,2149.8,2149.8,2149.8,2149.8,0.0,2149.8,0
2025-05-16,2170.0,2170.0,2170.0,2170.0,0.0,2170.0,0
2025-05-19,2159.8,2159.8,2159.8,2159.8,0.0,2159.8,0
2025-05-20,2161.4,2161.4,2161.4,2161.4,0.0,2161.4,0
2025-05-21,2101.4,2101.4,2101.4,2101.4,0.0,2101.4,0
2025-05-22,2100.4,2100.4,2100.4,2100.4,0.0,2100.4,0
2025-05-23,2094.2,2094.2,2094.2,2094.2,0.0,2094.2,0
2025-05-27,2144.1,2144.1,2144.1,2144.1,0.0,2144.1,0
2025-05-28,2121.9,2121.9,2121.9,2121.9,0.0,2121.9,0
2025-05-29,2127.6,2127.6,2127.6,2127.6,0.0,2127.6,0
2025-05-30,2120.8,2120.8,2120.8,2120.8,0.0,2120.8,0
2025-06-02,2122.5,2122.5,2122.5,2122.5,0.0,2122.5,0
2025-06-03,2157.1,2157.1,2157.1,2157.1,0.0,2157.1,0
2025-06-04,2152.3,2152.3,2152.3,2152.3,0.0,2152.3,0
2025-06-05,2149.0,2149.0,2149.0,2149.0,0.0,2149.0,0
2025-06-06,2185.5,2185.5,2185.5,2185.5,0.0,2185.5,0
2025-06-09,2199.0,2199.0,2199.0,2199.0,0.0,2199.0,0
2025-06-10,2209.5,2209.5,2209.5,2209.5,0.0,2209.5,0
2025-06-11,2201.5,2201.5,2201.5,2201.5,0.0,2201.5,0
2025-06-12,2192.2,2192.2,2192.2,2192.2,0.0,2192.2,0
2025-06-13,2151.0,2151.0,2151.0,2151.0,0.0,2151.0,0
2025-06-16,2174.6,2174.6,2174.6,2174.6,0.0,2174.6,0
2025-06-17,2152.5,2152.5,2152.5,2152.5,0.0,2152.5,0
2025-06-18,2163.5,2163.5,2163.5,2163.5,0.0,2163.5,0
2025-06-20,2159.3,2159.3,2159.3,2159.3,0.0,2159.3,0
2025-06-23,2181.9,2181.9,2181.9,2181.9,0.0,2181.9,0
2025-06-24,2212.3,2212.3,2212.3,2212.3,0.0,2212.3,0
2025-06-25,2186.8,2186.8,2186.8,2186.8,0.0,2186.8,0
2025-06-26,2222.6,2222.6,2222.6,2222.6,0.0,2222.6,0
2025-06-27,2224.1,2224.1,2224.1,2224.1,0.0,2224.1,0
2025-06-30,2225.7,2225.7,2225.7,2225.7,0.0,2225.7,0
2025-07-01,2245.8,2245.8,2245.8,2245.8,0.0,2245.8,0
2025-07-02,2277.5,2277.5,2277.5,2277.5,0.0,2277.5,0
2025-07-03,2298.2,2298.2,2298.2,2298.2,0.0,2298.2,0
2025-07-07,2265.0,2265.0,2263.5,2263.5,1.0,2265.0,1
2025-07-08,2280.0,2280.0,2279.4,2279.4,1.0,2280.0,1
2025-07-09,2302.7,2302.7,2302.7,2302.7,0.0,2302.7,0
2025-07-10,2314.3,2314.3,2314.3,2314.3,0.0,2314.3,0
2025-07-11,2283.9,2283.9,2283.9,2283.9,0.0,2283.9,0
2025-07-14,2297.2,2298.9,2297.2,2298.9,10.0,2297.2,2
2025-07-15,2265.0,2265.0,2254.1,2254.1,1.0,2265.0,1
2025-07-16,2275.1,2275.1,2275.1,2275.1,0.0,2275.1,0
2025-07-17,2288.0,2303.2,2288.0,2303.2,1.0,2288.0,1
2025-07-18,2288.0,2288.0,2288.0,2288.0,0.0,2288.0,0
2025-07-21,2278.7,2278.7,2278.7,2278.7,0.0,2278.7,0
2025-07-22,2290.0,2297.6,2290.0,2297.6,2.0,2292.5,2
2025-07-23,2330.7,2330.7,2330.7,2330.7,0.0,2330.7,0
2025-07-24,2299.6,2299.6,2299.6,2299.6,0.0,2299.6,0
2025-07-25,2307.5,2307.5,2307.5,2307.5,0.0,2307.5,0
2025-07-28,2303.7,2303.7,2303.7,2303.7,0.0,2303.7,0
2025-07-29,2290.0,2290.0,2289.6,2289.6,1.0,2290.0,1
2025-07-30,2305.0,2305.0,2277.6,2277.6,5.0,2292.6,5
2025-07-31,2255.7,2255.7,2255.7,2255.7,0.0,2255.7,0
2025-08-01,2210.2,2210.2,2210.2,2210.2,0.0,2210.2,0
2025-08-04,2238.9,2256.1,2238.9,2256.1,1.0,2238.9,1
2025-08-05,2267.9,2267.9,2267.9,2267.9,0.0,2267.9,0
2025-08-06,2264.5,2281.0,2263.8,2263.8,3.0,2275.5,2
2025-08-07,2260.0,2260.0,2256.2,2256.2,1.0,2260.0,1
2025-08-08,2261.0,2261.0,2259.7,2259.7,1.0,2261.0,1
2025-08-11,2257.6,2257.6,2257.6,2257.6,0.0,2257.6,0
2025-08-12,2324.9,2324.9,2324.9,2324.9,0.0,2324.9,0
2025-08-13,2351.7,2370.7,2351.7,2370.7,5.0,2351.7,1
2025-08-14,2341.2,2341.2,2341.2,2341.2,0.0,2341.2,0
2025-08-15,2327.1,2327.1,2327.1,2327.1,0.0,2327.1,0
2025-08-18,2333.5,2335.5,2333.5,2335.5,1.0,2333.5,1
2025-08-19,2320.0,2320.0,2318.6,2318.6,1.0,2320.0,1
2025-08-20,2295.2,2309.8,2295.2,2309.8,5.0,2295.2,5
2025-08-21,2315.0,2316.1,2315.0,2316.1,11.0,2315.0,6
2025-08-22,2325.0,2405.6,2325.0,2405.4,11.0,2381.65,8
2025-08-25,2380.4,2380.4,2380.4,2380.4,0.0,2380.4,0
2025-08-26,2401.0,2401.0,2401.0,2401.0,0.0,2401.0,0
2025-08-27,2404.0,2416.7,2404.0,2416.7,1.0,2404.0,1
2025-08-28,2419.0,2420.0,2418.7,2418.7,2.0,2419.5,2
2025-08-29,2410.0,2410.0,2405.8,2405.8,1.0,2410.0,1
2025-09-02,2387.0,2393.3,2387.0,2393.3,1.0,2387.0,1
2025-09-03,2389.0,2389.0,2389.0,2389.0,0.0,2389.0,0
2025-09-04,2408.0,2419.3,2408.0,2419.3,12.0,2408.25,2
2025-09-05,2430.5,2437.5,2408.0,2429.3,16.0,2427.93,14
2025-09-08,2433.0,2433.0,2433.0,2433.0,0.0,2433.0,0
2025-09-09,2413.9,2420.0,2413.9,2420.0,2.0,2414.95,2
2025-09-10,2416.4,2416.4,2415.7,2415.7,2.0,2416.4,2
2025-09-11,2420.0,2460.6,2410.0,2460.6,14.0,2432.7,13
2025-09-12,2434.8,2434.8,2434.8,2434.8,0.0,2434.8,0
2025-09-15,2438.5,2444.2,2438.5,2443.6,5.0,2441.46,4
2025-09-16,2442.0,2442.0,2434.3,2439.5,7.0,2437.29,7
2025-09-17,2447.0,2488.5,2442.8,2445.1,50.0,2452.77,48
2025-09-18,2451.8,2509.4,2451.6,2506.8,47.0,2477.89,43
2025-09-19,2514.1,2518.1,2485.0,2486.3,25.0,2506.2,21
2025-09-22,2486.5,2503.3,2478.1,2501.5,76.0,2484.1,45
2025-09-23,2497.3,2528.7,2493.0,2496.9,184.0,2518.04,99
2025-09-24,2494.9,2503.3,2474.0,2474.1,117.0,2495.85,91
2025-09-25,2470.0,2472.5,2432.5,2450.0,95.0,2448.4,74
2025-09-26,2451.4,2472.5,2447.1,2470.5,95.0,2459.93,76
2025-09-29,2475.0,2487.0,2465.6,2471.2,48.0,2471.93,45
2025-09-30,2470.2,2476.0,2449.0,2475.3,67.0,2463.43,58
2025-10-01,2461.9,2484.0,2445.0,2479.7,95.0,2465.9,78
2025-10-02,2483.8,2493.9,2469.0,2493.7,40.0,2483.02,34
2025-10-03,2497.0,2533.5,2497.0,2512.0,76.0,2515.88,66
2025-10-06,2515.1,2537.5,2514.8,2521.2,36.0,2525.02,36
2025-10-07,2524.1,2524.1,2485.0,2493.2,35.0,2502.24,33
2025-10-08,2498.0,2521.2,2492.0,2519.4,44.0,2508.27,40
2025-10-09,2512.6,2512.6,2492.0,2502.9,61.0,2501.96,49
2025-10-10,2510.6,2518.3,2402.4,2427.3,162.0,2460.55,144
2025-10-13,2450.0,2495.0,2449.3,2493.9,239.0,2469.72,173
2025-10-14,2499.5,2543.8,2453.0,2529.8,173.0,2488.09,154
2025-10-15,2537.0,2569.2,2523.6,2555.1,202.0,2549.57,100
2025-10-16,2553.4,2566.9,2492.5,2500.9,177.0,2522.23,134
2025-10-17,2490.0,2501.0,2449.0,2483.1,213.0,2469.75,158
2025-10-20,2489.2,2531.9,2489.2,2530.8,83.0,2517.96,64
2025-10-21,2536.6,2538.7,2505.7,2518.9,25.0,2523.89,21
2025-10-22,2513.0,2521.7,2456.0,2481.8,127.0,2481.93,112
2025-10-23,2486.5,2520.0,2486.5,2512.9,84.0,2501.88,73
2025-10-24,2517.0,2560.0,2516.6,2543.1,215.0,2543.95,102
2025-10-27,2573.1,2573.1,2544.8,2551.6,138.0,2556.36,83
2025-10-28,2546.1,2555.3,2527.9,2537.5,84.0,2541.6,61
2025-10-29,2534.0,2557.7,2496.2,2514.2,187.0,2533.04,126
2025-10-30,2516.4,2535.5,2492.0,2495.6,189.0,2506.05,111
2025-10-31,2494.6,2511.0,2483.6,2510.2,226.0,2498.22,109
2025-11-03,2516.2,2516.2,2469.2,2499.7,165.0,2489.84,94
2025-11-04,2495.4,2495.4,2455.8,2456.9,187.0,2471.03,108
2025-11-05,2450.0,2501.2,2442.4,2493.3,119.0,2481.67,77
2025-11-06,2494.0,2497.3,2446.8,2446.8,233.0,2468.32,114
2025-11-07,2451.0,2466.0,2407.0,2460.4,323.0,2427.99,230
2025-11-10,2475.0,2495.9,2466.7,2484.6,153.0,2482.86,108
2025-11-11,2487.9,2490.9,2469.0,2486.3,98.0,2479.73,78
2025-11-12,2483.4,2507.3,2477.4,2479.8,160.0,2493.69,122
2025-11-13,2472.3,2484.1,2401.2,2409.3,320.0,2439.12,205
2025-11-14,2415.0,2426.0,2374.1,2415.0,399.0,2407.37,256
2025-11-17,2408.2,2425.5,2358.0,2367.1,291.0,2386.85,168
2025-11-18,2362.7,2387.6,2344.1,2374.9,274.0,2364.03,171
2025-11-19,2374.0,2403.6,2363.7,2373.7,161.0,2379.07,112
2025-11-20,2387.6,2430.2,2326.4,2329.0,457.0,2379.88,279
2025-11-21,2325.2,2408.6,2319.9,2394.4,610.0,2374.54,364
2025-11-24,2414.5,2442.0,2393.0,2438.1,265.0,2422.27,193
2025-11-25,2439.8,2494.7,2430.8,2490.7,391.0,2467.52,268
2025-11-26,2489.3,2527.1,2486.5,2512.3,377.0,2506.24,263
2025-11-28,2510.8,2524.4,2506.6,2524.4,73.0,2516.65,53
2025-12-01,2518.9,2520.7,2491.3,2492.7,870.0,2503.81,577
2025-12-02,2499.6,2512.1,2488.8,2488.8,550.0,2501.41,381
2025-12-03,2490.8,2534.7,2487.3,2533.5,762.0,2512.86,433
2025-12-04,2533.8,2563.5,2523.0,2555.0,1181.0,2546.22,662
2025-12-05,2551.5,2562.6,2539.4,2544.0,1111.0,2548.92,790
2025-12-08,2546.9,2565.3,2537.6,2544.5,618.0,2550.47,439
2025-12-09,2540.0,2565.3,2536.5,2549.0,679.0,2550.59,526
2025-12-10,2550.3,2601.1,2540.0,2584.1,2412.0,2573.94,1524
2025-12-11,2590.8,2619.3,2564.0,2613.6,9952.0,2599.6,6472
2025-12-12,2619.4,2625.0,2569.7,2574.0,28454.0,2594.04,19880
2025-12-15,2573.7,2597.7,2551.6,2554.3,115187.0,2565.57,67574
2025-12-16,2555.4,2566.2,2526.2,2540.0,163772.0,2543.79,84071
2025-12-17,2537.8,2561.7,2506.3,2512.3,166734.0,2530.35,92438
2025-12-18,2518.1,2553.2,2509.9,2528.7,188331.0,2535.29,107408
2025-12-19,2523.7,2554.4,2521.2,2545.9,165139.0,2544.55,77132
2025-12-22,2550.0,2590.3,2549.1,2574.9,130655.0,2575.14,67919
2025-12-23,2575.4,2577.6,2552.8,2559.1,119089.0,2561.95,56824
2025-12-24,2557.4,2567.1,2548.3,2566.1,55332.0,2559.55,27897
2025-12-26,2565.3,2567.8,2540.8,2551.4,77796.0,2550.47,39256
2025-12-29,2551.6,2556.9,2530.3,2536.2,101874.0,2538.61,50072
2025-12-30,2537.1,2542.2,2517.0,2517.7,91036.0,2527.31,44153
2025-12-31,2516.3,2520.6,2496.6,2498.0,120152.0,2506.04,57435
2026-01-02,2501.4,2525.9,2493.5,2522.5,179303.0,2511.89,87619
2026-01-05,2524.2,2570.8,2517.2,2562.5,171135.0,2551.74,89938
2026-01-06,2562.0,2597.7,2549.8,2596.5,159929.0,2572.78,80916
2026-01-07,2596.5,2603.3,2574.0,2589.5,152323.0,2588.92,76470
2026-01-08,2591.5,2626.1,2573.8,2618.4,187722.0,2606.12,89017
2026-01-09,2624.0,2650.3,2614.2,2636.9,183822.0,2634.63,93552
2026-01-12,2638.9,2651.0,2616.3,2649.3,149123.0,2635.16,71363
2026-01-13,2644.4,2677.0,2638.1,2647.8,159240.0,2650.71,82722
2026-01-14,2646.4,2669.0,2635.4,2666.1,201433.0,2649.75,105423
2026-01-15,2660.7,2704.9,2654.5,2688.4,190020.0,2687.49,90456
2026-01-16,2690.9,2705.6,2680.0,2691.2,166240.0,2693.45,82984
2026-01-20,2670.0,2683.6,2631.0,2658.7,262407.0,2659.73,144512
2026-01-21,2664.0,2719.1,2651.1,2710.8,295888.0,2689.25,160866
2026-01-22,2712.9,2749.2,2710.3,2730.8,202036.0,2734.82,99159
2026-01-23,2728.6,2737.2,2670.2,2679.6,204474.0,2696.83,101473
2026-01-26,2661.0,2697.9,2643.9,2670.9,169972.0,2675.76,92612
2026-01-27,2669.8,2682.7,2656.4,2677.6,139856.0,2670.5,74207
2026-01-28,2678.9,2697.5,2655.7,2663.1,181639.0,2671.75,103256
2026-01-29,2663.1,2680.7,2623.5,2664.1,215395.0,2655.67,113322
2026-01-30,2657.0,2658.6,2607.5,2624.6,282205.0,2629.31,154302
2026-02-02,2615.0,2666.3,2575.9,2650.3,220846.0,2637.85,121078
2026-02-03,2645.0,2678.9,2613.1,2656.8,253996.0,2649.87,139283
2026-02-04,2656.1,2674.6,2598.6,2632.7,261962.0,2636.92,144008
2026-02-05,2634.6,2648.2,2577.3,2586.8,253011.0,2608.62,140313
2026-02-06,2585.7,2684.1,2566.8,2677.9,260668.0,2649.54,143857
2026-02-09,2677.0,2703.6,2659.8,2696.1,169303.0,2685.64,91126
2026-02-10,2693.5,2712.2,2685.1,2688.3,144393.0,2697.27,80975
2026-02-11,2691.1,2720.0,2646.7,2675.6,206636.0,2675.68,113502
2026-02-12,2679.1,2700.4,2608.9,2621.1,222941.0,2644.01,132024
2026-02-13,2621.0,2675.7,2607.3,2653.1,219735.0,2645.82,129150
2026-02-17,2650.9,2667.1,2613.7,2653.6,202971.0,2645.16,122866
2026-02-18,2652.9,2692.8,2641.7,2662.9,162853.0,2669.07,91884
2026-02-19,2662.0,2671.3,2633.5,2669.1,154747.0,2655.22,91352
2026-02-20,2666.7,2696.0,2641.1,2668.8,226482.0,2664.47,136072
2026-02-23,2666.5,2666.5,2602.7,2626.3,205176.0,2627.98,117375
2026-02-24,2631.8,2663.5,2620.1,2655.0,169114.0,2646.66,100054
2026-02-25,2654.3,2678.6,2645.8,2667.7,151787.0,2662.23,83094
2026-02-26,2667.9,2683.4,2642.0,2680.6,207689.0,2665.36,113824
2026-02-27,2665.5,2666.5,2617.7,2634.7,227423.0,2633.85,120254
2026-03-02,2608.8,2663.3,2573.1,2657.9,280664.0,2631.57,167545
2026-03-03,2654.4,2658.8,2551.8,2612.1,353678.0,2595.2,215535
2026-03-04,2607.0,2649.3,2582.8,2637.6,225617.0,2628.32,138243
2026-03-05,2636.8,2645.4,2559.9,2586.4,323411.0,2592.31,197413
2026-03-06,2585.4,2603.3,2516.6,2526.7,342972.0,2537.6,215906
2026-03-09,2499.2,2564.4,2416.9,2553.9,412126.0,2497.75,253473
2026-03-10,2553.3,2594.4,2523.9,2550.5,312445.0,2560.92,194086
2026-03-11,2552.0,2566.4,2522.6,2545.0,240099.0,2539.63,137899
2026-03-12,2539.7,2539.8,2476.5,2491.0,288090.0,2500.21,170346
2026-03-13,2495.0,2521.9,2470.1,2480.9,234930.0,2489.99,134720
2026-03-16,2468.5,2530.1,2463.1,2505.0,84157.0,2508.49,51022
2026-03-17,2500.0,2536.8,2475.0,2520.2,43822.0,2518.01,24929
2026-03-18,2519.2,2547.9,2468.4,2479.4,24803.0,2504.71,13824
2026-03-19,2482.9,2520.1,2442.0,2495.6,14093.0,2473.81,7936
2026-03-20,2503.7,2513.9,2465.0,2496.4,1763.0,2496.57,1158
