date,open,high,low,close,volume,average,barCount
2025-02-10,35.545,35.545,35.545,35.545,0.0,35.545,0
2025-02-11,35.42,35.42,35.42,35.42,0.0,35.42,0
2025-02-12,35.95,35.95,35.95,35.95,0.0,35.95,0
2025-02-13,35.93,35.93,35.93,35.93,0.0,35.93,0
2025-02-14,36.07,36.07,36.07,36.07,0.0,36.07,0
2025-02-17,36.07,36.07,36.07,36.07,0.0,36.07,0
2025-02-18,36.585,36.585,36.585,36.585,0.0,36.585,0
2025-02-19,36.19,36.19,36.19,36.19,0.0,36.19,0
2025-02-20,36.65,36.65,36.65,36.65,0.0,36.65,0
2025-02-21,36.19,36.19,36.19,36.19,0.0,36.19,0
2025-02-24,35.78,35.78,35.78,35.78,0.0,35.78,0
2025-02-25,34.995,34.995,34.995,34.995,0.0,34.995,0
2025-02-26,35.45,35.45,35.45,35.45,0.0,35.45,0
2025-02-27,34.975,34.975,34.975,34.975,0.0,34.975,0
2025-02-28,34.36,34.36,34.36,34.36,0.0,34.36,0
2025-03-03,35.14,35.14,35.14,35.14,0.0,35.14,0
2025-03-04,35.18,35.18,35.18,35.18,0.0,35.18,0
2025-03-05,35.925,35.925,35.925,35.925,0.0,35.925,0
2025-03-06,36.115,36.115,36.115,36.115,0.0,36.115,0
2025-03-07,35.58,35.58,35.58,35.58,0.0,35.58,0
2025-03-10,35.26,35.26,35.26,35.26,0.0,35.26,0
2025-03-11,35.815,35.815,35.815,35.815,0.0,35.815,0
2025-03-12,36.415,36.415,36.415,36.415,0.0,36.415,0
2025-03-13,36.99,36.99,36.99,36.99,0.0,36.99,0
2025-03-14,37.13,37.13,37.13,37.13,0.0,37.13,0
2025-03-17,37.015,37.015,37.015,37.015,0.0,37.015,0
2025-03-18,37.52,37.52,37.52,37.52,0.0,37.52,0
2025-03-19,36.92,36.92,36.92,36.92,0.0,36.92,0
2025-03-20,36.68,36.68,36.68,36.68,0.0,36.68,0
2025-03-21,36.105,36.105,36.105,36.105,0.0,36.105,0
2025-03-24,36.085,36.085,36.085,36.085,0.0,36.085,0
2025-03-25,36.83,36.83,36.83,36.83,0.0,36.83,0
2025-03-26,36.86,36.86,36.86,36.86,0.0,36.86,0
2025-03-27,37.765,37.765,37.765,37.765,0.0,37.765,0
2025-03-28,37.32,37.32,37.32,37.32,0.0,37.32,0
2025-03-31,37.17,37.17,37.17,37.17,0.0,37.17,0
2025-04-01,36.965,36.965,36.965,36.965,0.0,36.965,0
2025-04-02,37.265,37.265,37.265,37.265,0.0,37.265,0
2025-04-03,34.485,34.485,34.485,34.485,0.0,34.485,0
2025-04-04,31.6,31.6,31.6,31.6,0.0,31.6,0
2025-04-07,31.94,31.94,31.94,31.94,0.0,31.94,0
2025-04-08,32.0,32.0,32.0,32.0,0.0,32.0,0
2025-04-09,32.79,32.79,32.79,32.79,0.0,32.79,0
2025-04-10,33.135,33.135,33.135,33.135,0.0,33.135,0
2025-04-11,34.375,34.375,34.375,34.375,0.0,34.375,0
2025-04-14,34.66,34.66,34.66,34.66,0.0,34.66,0
2025-04-15,34.775,34.775,34.775,34.775,0.0,34.775,0
2025-04-16,35.475,35.475,35.475,35.475,0.0,35.475,0
2025-04-17,34.975,34.975,34.975,34.975,0.0,34.975,0
2025-04-21,35.025,35.025,35.025,35.025,0.0,35.025,0
2025-04-22,35.435,35.435,35.435,35.435,0.0,35.435,0
2025-04-23,36.08,36.08,36.08,36.08,0.0,36.08,0
2025-04-24,36.055,36.055,36.055,36.055,0.0,36.055,0
2025-04-25,35.565,35.565,35.565,35.565,0.0,35.565,0
2025-04-28,35.565,35.565,35.565,35.565,0.0,35.565,0
