date,open,high,low,close,volume,average,barCount
2025-02-10,34.18,34.18,34.18,34.18,0.0,34.18,0
2025-02-11,34.045,34.045,34.045,34.045,0.0,34.045,0
2025-02-12,34.545,34.545,34.545,34.545,0.0,34.545,0
2025-02-13,34.51,34.51,34.51,34.51,0.0,34.51,0
2025-02-14,34.635,34.635,34.635,34.635,0.0,34.635,0
2025-02-17,34.635,34.635,34.635,34.635,0.0,34.635,0
2025-02-18,35.135,35.135,35.135,35.135,0.0,35.135,0
2025-02-19,34.75,34.75,34.75,34.75,0.0,34.75,0
2025-02-20,35.2,35.2,35.2,35.2,0.0,35.2,0
2025-02-21,34.695,34.695,34.695,34.695,0.0,34.695,0
2025-02-24,34.28,34.28,34.28,34.28,0.0,34.28,0
2025-02-25,33.485,33.485,33.485,33.485,0.0,33.485,0
2025-02-26,33.94,33.94,33.94,33.94,0.0,33.94,0
2025-02-27,33.46,33.46,33.46,33.46,0.0,33.46,0
2025-02-28,32.84,32.84,32.84,32.84,0.0,32.84,0
2025-03-03,33.62,33.62,33.62,33.62,0.0,33.62,0
2025-03-04,33.665,33.665,33.665,33.665,0.0,33.665,0
2025-03-05,34.41,34.41,34.41,34.41,0.0,34.41,0
2025-03-06,34.615,34.615,34.615,34.615,0.0,34.615,0
2025-03-07,34.08,34.08,34.08,34.08,0.0,34.08,0
2025-03-10,33.775,33.775,33.775,33.775,0.0,33.775,0
2025-03-11,34.35,34.35,34.35,34.35,0.0,34.35,0
2025-03-12,34.95,34.95,34.95,34.95,0.0,34.95,0
2025-03-13,35.525,35.525,35.525,35.525,0.0,35.525,0
2025-03-14,35.665,35.665,35.665,35.665,0.0,35.665,0
2025-03-17,35.545,35.545,35.545,35.545,0.0,35.545,0
2025-03-18,36.045,36.045,36.045,36.045,0.0,36.045,0
2025-03-19,35.445,35.445,35.445,35.445,0.0,35.445,0
2025-03-20,35.215,35.215,35.215,35.215,0.0,35.215,0
2025-03-21,34.66,34.66,34.66,34.66,0.0,34.66,0
2025-03-24,34.645,34.645,34.645,34.645,0.0,34.645,0
2025-03-25,35.39,35.39,35.39,35.39,0.0,35.39,0
2025-03-26,35.42,35.42,35.42,35.42,0.0,35.42,0
2025-03-27,36.315,36.315,36.315,36.315,0.0,36.315,0
2025-03-28,36.03,36.03,36.03,36.03,0.0,36.03,0
2025-03-31,35.875,35.875,35.875,35.875,0.0,35.875,0
2025-04-01,35.65,35.65,35.65,35.65,0.0,35.65,0
2025-04-02,35.955,35.955,35.955,35.955,0.0,35.955,0
2025-04-03,33.2,33.2,33.2,33.2,0.0,33.2,0
2025-04-04,30.385,30.385,30.385,30.385,0.0,30.385,0
2025-04-07,30.785,30.785,30.785,30.785,0.0,30.785,0
2025-04-08,30.845,30.845,30.845,30.845,0.0,30.845,0
2025-04-09,31.6,31.6,31.6,31.6,0.0,31.6,0
2025-04-10,31.96,31.96,31.96,31.96,0.0,31.96,0
2025-04-11,33.17,33.17,33.17,33.17,0.0,33.17,0
2025-04-14,33.43,33.43,33.43,33.43,0.0,33.43,0
2025-04-15,33.545,33.545,33.545,33.545,0.0,33.545,0
2025-04-16,34.25,34.25,34.25,34.25,0.0,34.25,0
2025-04-17,33.74,33.74,33.74,33.74,0.0,33.74,0
