date,open,high,low,close,volume,average,barCount
2024-04-30,29.61,29.61,29.61,29.61,0.0,29.61,0
2024-05-01,29.69,29.69,29.69,29.69,0.0,29.69,0
2024-05-02,29.76,29.76,29.76,29.76,0.0,29.76,0
2024-05-03,29.38,29.38,29.38,29.38,0.0,29.38,0
2024-05-06,30.325,30.325,30.325,30.325,0.0,30.325,0
2024-05-07,30.235,30.235,30.235,30.235,0.0,30.235,0
2024-05-08,30.31,30.31,30.31,30.31,0.0,30.31,0
2024-05-09,31.08,31.08,31.08,31.08,0.0,31.08,0
2024-05-10,31.25,31.25,31.25,31.25,0.0,31.25,0
2024-05-13,31.195,31.195,31.195,31.195,0.0,31.195,0
2024-05-14,31.455,31.455,31.455,31.455,0.0,31.455,0
2024-05-15,32.46,32.46,32.46,32.46,0.0,32.46,0
2024-05-16,32.605,32.605,32.605,32.605,0.0,32.605,0
2024-05-17,34.015,34.015,34.015,34.015,0.0,34.015,0
2024-05-20,35.235,35.235,35.235,35.235,0.0,35.235,0
2024-05-21,34.915,34.915,34.915,34.915,0.0,34.915,0
2024-05-22,34.295,34.295,34.295,34.295,0.0,34.295,0
2024-05-23,33.24,33.24,33.24,33.24,0.0,33.24,0
2024-05-24,33.275,33.275,33.275,33.275,0.0,33.275,0
2024-05-27,33.275,33.275,33.275,33.275,0.0,33.275,0
2024-05-28,34.955,34.955,34.955,34.955,0.0,34.955,0
2024-05-29,35.185,35.185,35.185,35.185,0.0,35.185,0
2024-05-30,34.35,34.35,34.35,34.35,0.0,34.35,0
2024-05-31,33.195,33.195,33.195,33.195,0.0,33.195,0
2024-06-03,33.515,33.515,33.515,33.515,0.0,33.515,0
2024-06-04,32.325,32.325,32.325,32.325,0.0,32.325,0
2024-06-05,32.75,32.75,32.75,32.75,0.0,32.75,0
2024-06-06,34.06,34.06,34.06,34.06,0.0,34.06,0
2024-06-07,32.11,32.11,32.11,32.11,0.0,32.11,0
2024-06-10,32.555,32.555,32.555,32.555,0.0,32.555,0
2024-06-11,31.905,31.905,31.905,31.905,0.0,31.905,0
2024-06-12,32.98,32.98,32.98,32.98,0.0,32.98,0
2024-06-13,31.805,31.805,31.805,31.805,0.0,31.805,0
2024-06-14,32.195,32.195,32.195,32.195,0.0,32.195,0
2024-06-17,32.125,32.125,32.125,32.125,0.0,32.125,0
2024-06-18,32.285,32.285,32.285,32.285,0.0,32.285,0
2024-06-19,32.285,32.285,32.285,32.285,0.0,32.285,0
2024-06-20,33.6,33.6,33.6,33.6,0.0,33.6,0
2024-06-21,32.405,32.405,32.405,32.405,0.0,32.405,0
2024-06-24,32.305,32.305,32.305,32.305,0.0,32.305,0
2024-06-25,31.61,31.61,31.61,31.61,0.0,31.61,0
2024-06-26,31.65,31.65,31.65,31.65,0.0,31.65,0
2024-06-27,31.67,31.67,31.67,31.67,0.0,31.67,0
2024-06-28,31.99,31.99,31.99,31.99,0.0,31.99,0
2024-07-01,32.055,32.055,32.055,32.055,0.0,32.055,0
2024-07-02,32.11,32.11,32.11,32.11,0.0,32.11,0
2024-07-03,33.355,33.355,33.355,33.355,0.0,33.355,0
2024-07-04,33.355,33.355,33.355,33.355,0.0,33.355,0
2024-07-05,34.24,34.24,34.24,34.24,0.0,34.24,0
2024-07-08,33.445,33.445,33.445,33.445,0.0,33.445,0
2024-07-09,33.605,33.605,33.605,33.605,0.0,33.605,0
2024-07-10,33.565,33.565,33.565,33.565,0.0,33.565,0
2024-07-11,34.225,34.225,34.225,34.225,0.0,34.225,0
2024-07-12,33.68,33.68,33.68,33.68,0.0,33.68,0
