date,open,high,low,close,volume,average,barCount
2025-02-10,34.405,34.405,34.405,34.405,0.0,34.405,0
2025-02-11,34.265,34.265,34.265,34.265,0.0,34.265,0
2025-02-12,34.775,34.775,34.775,34.775,0.0,34.775,0
2025-02-13,34.745,34.745,34.745,34.745,0.0,34.745,0
2025-02-14,34.875,34.875,34.875,34.875,0.0,34.875,0
2025-02-17,34.875,34.875,34.875,34.875,0.0,34.875,0
2025-02-18,35.375,35.375,35.375,35.375,0.0,35.375,0
2025-02-19,34.985,34.985,34.985,34.985,0.0,34.985,0
2025-02-20,35.435,35.435,35.435,35.435,0.0,35.435,0
2025-02-21,34.97,34.97,34.97,34.97,0.0,34.97,0
2025-02-24,34.555,34.555,34.555,34.555,0.0,34.555,0
2025-02-25,33.76,33.76,33.76,33.76,0.0,33.76,0
2025-02-26,34.21,34.21,34.21,34.21,0.0,34.21,0
2025-02-27,33.735,33.735,33.735,33.735,0.0,33.735,0
2025-02-28,33.115,33.115,33.115,33.115,0.0,33.115,0
2025-03-03,33.895,33.895,33.895,33.895,0.0,33.895,0
2025-03-04,33.935,33.935,33.935,33.935,0.0,33.935,0
2025-03-05,34.68,34.68,34.68,34.68,0.0,34.68,0
2025-03-06,34.875,34.875,34.875,34.875,0.0,34.875,0
2025-03-07,34.34,34.34,34.34,34.34,0.0,34.34,0
2025-03-10,34.025,34.025,34.025,34.025,0.0,34.025,0
2025-03-11,34.585,34.585,34.585,34.585,0.0,34.585,0
2025-03-12,35.19,35.19,35.19,35.19,0.0,35.19,0
2025-03-13,35.76,35.76,35.76,35.76,0.0,35.76,0
2025-03-14,35.905,35.905,35.905,35.905,0.0,35.905,0
2025-03-17,35.785,35.785,35.785,35.785,0.0,35.785,0
2025-03-18,36.29,36.29,36.29,36.29,0.0,36.29,0
2025-03-19,35.69,35.69,35.69,35.69,0.0,35.69,0
2025-03-20,35.455,35.455,35.455,35.455,0.0,35.455,0
2025-03-21,34.885,34.885,34.885,34.885,0.0,34.885,0
2025-03-24,34.87,34.87,34.87,34.87,0.0,34.87,0
2025-03-25,35.615,35.615,35.615,35.615,0.0,35.615,0
2025-03-26,35.65,35.65,35.65,35.65,0.0,35.65,0
2025-03-27,36.545,36.545,36.545,36.545,0.0,36.545,0
2025-03-28,36.265,36.265,36.265,36.265,0.0,36.265,0
2025-03-31,36.11,36.11,36.11,36.11,0.0,36.11,0
2025-04-01,35.895,35.895,35.895,35.895,0.0,35.895,0
2025-04-02,36.195,36.195,36.195,36.195,0.0,36.195,0
2025-04-03,33.425,33.425,33.425,33.425,0.0,33.425,0
2025-04-04,30.595,30.595,30.595,30.595,0.0,30.595,0
2025-04-07,30.99,30.99,30.99,30.99,0.0,30.99,0
2025-04-08,31.055,31.055,31.055,31.055,0.0,31.055,0
2025-04-09,31.825,31.825,31.825,31.825,0.0,31.825,0
2025-04-10,32.17,32.17,32.17,32.17,0.0,32.17,0
2025-04-11,33.4,33.4,33.4,33.4,0.0,33.4,0
2025-04-14,33.655,33.655,33.655,33.655,0.0,33.655,0
2025-04-15,33.775,33.775,33.775,33.775,0.0,33.775,0
2025-04-16,34.475,34.475,34.475,34.475,0.0,34.475,0
2025-04-17,33.975,33.975,33.975,33.975,0.0,33.975,0
2025-04-21,34.025,34.025,34.025,34.025,0.0,34.025,0
2025-04-22,34.425,34.425,34.425,34.425,0.0,34.425,0
2025-04-23,35.07,35.07,35.07,35.07,0.0,35.07,0
2025-04-24,35.04,35.04,35.04,35.04,0.0,35.04,0
2025-04-25,34.545,34.545,34.545,34.545,0.0,34.545,0
2025-04-28,34.545,34.545,34.545,34.545,0.0,34.545,0
2025-04-29,34.815,34.815,34.815,34.815,0.0,34.815,0
2025-04-30,34.045,34.045,34.045,34.045,0.0,34.045,0
2025-05-01,33.64,33.64,33.64,33.64,0.0,33.64,0
2025-05-02,33.445,33.445,33.445,33.445,0.0,33.445,0
2025-05-05,33.68,33.68,33.68,33.68,0.0,33.68,0
2025-05-06,34.61,34.61,34.61,34.61,0.0,34.61,0
2025-05-07,34.04,34.04,34.04,34.04,0.0,34.04,0
2025-05-08,33.87,33.87,33.87,33.87,0.0,33.87,0
2025-05-09,34.165,34.165,34.165,34.165,0.0,34.165,0
2025-05-12,33.875,33.875,33.875,33.875,0.0,33.875,0
2025-05-13,34.36,34.36,34.36,34.36,0.0,34.36,0
2025-05-14,33.69,33.69,33.69,33.69,0.0,33.69,0
2025-05-15,33.895,33.895,33.895,33.895,0.0,33.895,0
2025-05-16,33.57,33.57,33.57,33.57,0.0,33.57,0
2025-05-19,33.725,33.725,33.725,33.725,0.0,33.725,0
2025-05-20,34.385,34.385,34.385,34.385,0.0,34.385,0
2025-05-21,34.865,34.865,34.865,34.865,0.0,34.865,0
