date,open,high,low,close,volume,average,barCount
2025-04-14,35.245,35.245,35.245,35.245,0.0,35.245,0
2025-04-15,35.36,35.36,35.36,35.36,0.0,35.36,0
2025-04-16,36.065,36.065,36.065,36.065,0.0,36.065,0
2025-04-17,35.56,35.56,35.56,35.56,0.0,35.56,0
2025-04-21,35.61,35.61,35.61,35.61,0.0,35.61,0
2025-04-22,36.025,36.025,36.025,36.025,0.0,36.025,0
2025-04-23,36.67,36.67,36.67,36.67,0.0,36.67,0
2025-04-24,36.655,36.655,36.655,36.655,0.0,36.655,0
2025-04-25,36.165,36.165,36.165,36.165,0.0,36.165,0
2025-04-28,36.165,36.165,36.165,36.165,0.0,36.165,0
2025-04-29,36.25,36.25,36.25,36.25,0.0,36.25,0
2025-04-30,35.445,35.445,35.445,35.445,0.0,35.445,0
2025-05-01,35.145,35.145,35.145,35.145,0.0,35.145,0
2025-05-02,34.915,34.915,34.915,34.915,0.0,34.915,0
2025-05-05,35.155,35.155,35.155,35.155,0.0,35.155,0
2025-05-06,36.08,36.08,36.08,36.08,0.0,36.08,0
2025-05-07,35.515,35.515,35.515,35.515,0.0,35.515,0
2025-05-08,35.35,35.35,35.35,35.35,0.0,35.35,0
2025-05-09,35.655,35.655,35.655,35.655,0.0,35.655,0
2025-05-12,35.37,35.37,35.37,35.37,0.0,35.37,0
2025-05-13,35.85,35.85,35.85,35.85,0.0,35.85,0
2025-05-14,35.18,35.18,35.18,35.18,0.0,35.18,0
2025-05-15,35.385,35.385,35.385,35.385,0.0,35.385,0
2025-05-16,35.065,35.065,35.065,35.065,0.0,35.065,0
2025-05-19,35.22,35.22,35.22,35.22,0.0,35.22,0
2025-05-20,35.825,35.825,35.825,35.825,0.0,35.825,0
2025-05-21,36.31,36.31,36.31,36.31,0.0,36.31,0
2025-05-22,35.87,35.87,35.87,35.87,0.0,35.87,0
2025-05-23,36.265,36.265,36.265,36.265,0.0,36.265,0
2025-05-27,35.97,35.97,35.97,35.97,0.0,35.97,0
2025-05-28,35.825,35.825,35.825,35.825,0.0,35.825,0
2025-05-29,36.07,36.07,36.07,36.07,0.0,36.07,0
2025-05-30,35.705,35.705,35.705,35.705,0.0,35.705,0
2025-06-02,37.375,37.375,37.375,37.375,0.0,37.375,0
2025-06-03,37.385,37.385,37.385,37.385,0.0,37.385,0
2025-06-04,37.405,37.405,37.405,37.405,0.0,37.405,0
2025-06-05,38.57,38.57,38.57,38.57,0.0,38.57,0
2025-06-06,38.915,38.915,38.915,38.915,0.0,38.915,0
2025-06-09,39.64,39.64,39.64,39.64,0.0,39.64,0
2025-06-10,39.54,39.54,39.54,39.54,0.0,39.54,0
2025-06-11,39.175,39.175,39.175,39.175,0.0,39.175,0
2025-06-12,39.165,39.165,39.165,39.165,0.0,39.165,0
2025-06-13,39.255,39.255,39.255,39.255,0.0,39.255,0
2025-06-16,39.365,39.365,39.365,39.365,0.0,39.365,0
2025-06-17,40.075,40.075,40.075,40.075,0.0,40.075,0
2025-06-18,39.85,39.85,39.85,39.85,0.0,39.85,0
2025-06-20,38.94,38.94,38.94,38.94,0.0,38.94,0
2025-06-23,39.14,39.14,39.14,39.14,0.0,39.14,0
2025-06-24,38.68,38.68,38.68,38.68,0.0,38.68,0
2025-06-25,39.01,39.01,39.01,39.01,0.0,39.01,0
2025-06-26,39.51,39.51,39.51,39.51,0.0,39.51,0
2025-06-27,38.94,38.94,38.94,38.94,0.0,38.94,0
2025-06-30,38.74,38.74,38.74,38.74,0.0,38.74,0
2025-07-01,38.975,38.975,38.975,38.975,0.0,38.975,0
2025-07-02,39.32,39.32,39.32,39.32,0.0,39.32,0
2025-07-03,39.72,39.72,39.72,39.72,0.0,39.72,0
2025-07-07,39.575,39.575,39.575,39.575,0.0,39.575,0
2025-07-08,39.425,39.425,39.425,39.425,0.0,39.425,0
