date,open,high,low,close,volume,average,barCount
2026-01-30,92.0,92.0,81.205,81.205,1.0,92.0,1
2026-02-02,80.0,82.3,79.39,79.39,4.0,81.6585,4
2026-02-03,88.8,89.5,85.975,85.975,3.0,89.2665,3
2026-02-04,91.53,91.53,87.185,87.185,2.0,89.655,2
2026-02-05,75.74,79.245,74.0,79.245,2.0,74.87,2
2026-02-06,78.675,79.54,78.675,79.54,1.0,78.675,1
2026-02-09,82.815,84.99,82.815,84.99,2.0,83.02,2
2026-02-10,83.085,83.085,83.085,83.085,0.0,83.085,0
2026-02-11,86.75,86.75,86.75,86.75,0.0,86.75,0
2026-02-12,78.305,78.305,78.305,78.305,0.0,78.305,0
2026-02-13,81.38,81.38,80.53,80.53,2.0,81.35,2
2026-02-17,75.885,75.885,75.885,75.885,0.0,75.885,0
2026-02-18,80.14,80.14,80.14,80.14,0.0,80.14,0
2026-02-19,80.19,80.19,80.19,80.19,0.0,80.19,0
2026-02-20,85.2,85.2,84.985,84.985,1.0,85.2,1
2026-02-23,89.015,89.395,89.015,89.395,2.0,89.0225,2
2026-02-24,90.765,90.765,90.33,90.33,3.0,90.5885,3
2026-02-25,93.265,93.86,93.265,93.86,1.0,93.265,1
2026-02-26,89.795,89.795,89.795,89.795,0.0,89.795,0
2026-02-27,92.235,96.89,92.235,95.595,5.0,93.913,5
2026-03-02,97.93,97.93,91.03,91.03,2.0,96.975,2
2026-03-03,90.99,90.99,82.105,85.59,10.0,86.0835,10
2026-03-04,87.48,87.48,85.33,85.33,1.0,87.48,1
2026-03-05,84.335,84.335,84.335,84.335,0.0,84.335,0
2026-03-06,86.66,86.66,86.475,86.475,1.0,86.66,1
2026-03-09,86.315,86.66,86.315,86.66,1.0,86.315,1
2026-03-10,91.34,91.83,91.34,91.83,1.0,91.34,1
2026-03-11,90.91,90.91,87.775,87.775,5.0,90.81,5
2026-03-12,87.36,87.36,87.36,87.36,0.0,87.36,0
2026-03-13,84.715,84.715,83.495,83.495,1.0,84.715,1
2026-03-16,81.31,82.97,80.85,82.82,4.0,81.6575,4
2026-03-17,82.525,82.525,80.8,82.065,3.0,81.5385,3
2026-03-18,80.5,81.005,78.0,79.705,14.0,79.192,14
2026-03-19,77.55,77.55,70.545,73.16,17.0,74.7475,16
2026-03-20,74.4,76.4,70.0,71.69,11.0,73.925,10
2026-03-23,71.515,72.5,64.47,71.28,11.0,70.891,11
2026-03-24,70.705,73.295,70.705,71.525,7.0,72.2935,7
2026-03-25,74.885,76.27,74.73,74.73,6.0,75.38,5
2026-03-26,72.035,72.035,69.4,69.905,4.0,70.2415,4
2026-03-27,70.88,73.41,70.745,71.87,6.0,72.3375,5
2026-03-30,69.96,72.64,69.96,72.64,3.0,70.7115,2
2026-03-31,75.15,77.225,74.67,77.105,8.0,75.8255,8
2026-04-01,77.42,78.345,77.2,78.345,3.0,77.4735,3
2026-04-02,76.0,76.0,72.155,75.11,8.0,73.6015,8
2026-04-06,75.5,75.5,75.03,75.03,3.0,75.2515,3
2026-04-07,74.25,74.25,71.95,74.155,7.0,73.055,7
2026-04-08,78.4,79.0,77.65,77.65,2.0,78.7,2
2026-04-09,78.4,78.72,78.4,78.72,1.0,78.4,1
2026-04-10,78.8,78.8,78.76,78.76,1.0,78.8,1
2026-04-13,78.0,78.0,77.6,77.89,5.0,77.769,5
2026-04-14,80.15,81.82,80.15,81.82,7.0,81.0685,7
2026-04-15,82.0,82.75,81.505,81.915,7.0,82.2115,7
2026-04-16,82.43,82.805,80.965,80.965,5.0,82.089,5
2026-04-17,80.05,85.1,80.05,84.175,17.0,81.8925,14
2026-04-20,82.0,82.945,81.115,82.34,8.0,81.831,8
2026-04-21,80.9,81.2,78.675,78.675,11.0,80.313,8
2026-04-22,80.19,80.19,80.19,80.19,0.0,80.19,0
2026-04-23,78.98,80.0,76.46,77.69,48.0,77.72,44
2026-04-24,77.16,78.75,76.025,78.545,63.0,76.973,60
2026-04-27,77.46,77.46,76.8,77.18,20.0,77.0835,19
2026-04-28,77.0,77.0,74.295,75.26,50.0,75.7685,43
2026-04-29,75.4,75.565,72.905,73.585,40.0,73.7115,39
2026-04-30,74.22,75.59,74.15,75.59,5.0,74.224,5
2026-05-01,76.585,78.015,76.585,78.015,3.0,77.035,3
2026-05-04,75.5,75.5,74.71,75.095,7.0,74.935,7
2026-05-05,75.3,75.4,75.17,75.17,3.0,75.3665,3
2026-05-06,77.05,79.5,77.05,78.97,4.0,78.6875,4
2026-05-07,82.64,84.0,81.45,81.915,8.0,82.8925,7
2026-05-08,82.4,82.64,82.4,82.61,2.0,82.52,2
2026-05-11,82.545,88.425,82.545,87.78,7.0,85.115,7
2026-05-12,87.4,89.08,86.87,87.41,6.0,87.7665,6
2026-05-13,91.1,91.265,91.1,91.265,1.0,91.1,1
2026-05-14,88.0,88.0,87.15,87.15,3.0,87.645,3
2026-05-15,83.95,83.95,77.95,79.23,25.0,81.346,23
2026-05-18,76.95,79.125,76.95,79.125,3.0,77.825,3
2026-05-19,76.505,76.805,75.675,76.805,2.0,76.09,2
2026-05-20,76.8,77.86,76.8,77.86,9.0,77.1995,9
2026-05-21,77.0,78.44,76.45,78.44,12.0,77.1015,9
2026-05-22,77.27,77.89,77.27,77.89,2.0,77.345,2
2026-05-26,79.7,79.7,77.745,78.325,14.0,78.4505,14
2026-05-27,79.55,79.55,75.95,76.585,14.0,77.265,14
2026-05-28,74.95,77.62,73.95,77.62,9.0,75.5005,9
2026-05-29,78.55,78.55,77.555,77.59,3.0,78.045,3
2026-06-01,76.95,77.775,75.95,76.96,9.0,76.958,9
2026-06-02,76.96,78.05,76.85,77.27,20.0,77.424,20
2026-06-03,75.95,76.995,74.95,75.375,11.0,76.3005,11
2026-06-04,75.2,76.6,75.2,75.64,6.0,75.886,6
2026-06-05,74.36,74.6,69.25,70.68,85.0,70.8925,68
2026-06-08,70.365,70.4,67.985,70.155,185.0,69.095,181
