date,open,high,low,close,volume,average,barCount
2025-11-28,54.105,56.96,53.18,56.96,86.0,55.002,73
2025-12-01,57.4,59.005,57.13,58.925,128.0,57.8825,93
2025-12-02,58.11,59.0,57.01,58.485,95.0,58.009,86
2025-12-03,58.85,59.26,58.03,58.4,105.0,58.6685,102
2025-12-04,58.835,58.835,56.735,57.28,107.0,57.568,97
2025-12-05,57.305,59.59,57.12,58.835,114.0,58.527,105
2025-12-08,58.62,58.72,57.875,58.19,24.0,58.348,23
2025-12-09,58.285,61.02,58.255,60.62,102.0,59.854,86
2025-12-10,61.1,62.045,60.415,60.805,108.0,61.3715,87
2025-12-11,62.5,64.42,61.705,64.36,325.0,62.994,246
2025-12-12,63.635,64.805,61.0,61.79,321.0,63.217,252
2025-12-15,61.87,64.0,61.87,63.365,289.0,63.256,201
2025-12-16,63.925,63.945,61.9,63.105,240.0,63.114,177
2025-12-17,63.74,66.9,63.74,66.665,350.0,65.7985,272
2025-12-18,66.135,66.5,64.505,64.99,219.0,65.6235,166
2025-12-19,65.37,67.395,64.37,67.26,182.0,66.183,178
2025-12-22,67.29,69.225,67.29,68.32,333.0,68.678,198
2025-12-23,69.075,71.475,68.645,70.89,445.0,70.0745,352
2025-12-24,71.27,72.43,70.0,71.435,510.0,71.455,414
2025-12-26,72.645,79.355,72.645,76.925,784.0,75.1935,602
2025-12-29,80.265,82.295,70.0,70.24,3443.0,75.7205,2559
2025-12-30,71.5,77.77,70.45,77.655,1884.0,75.1775,1551
2025-12-31,75.96,75.985,69.105,70.36,2064.0,71.8335,1561
2026-01-02,70.34,73.915,70.34,70.785,1100.0,72.359,935
2026-01-05,72.075,77.5,72.075,76.39,1171.0,75.401,985
2026-01-06,76.37,81.17,75.525,80.76,1301.0,78.9575,1056
2026-01-07,81.2,82.205,75.885,77.365,1873.0,78.502,1533
2026-01-08,77.85,78.645,73.325,74.915,1714.0,75.5015,1296
2026-01-09,76.68,80.175,75.0,79.075,1692.0,78.2475,1299
2026-01-12,80.0,86.05,79.725,84.82,1999.0,83.9675,1685
2026-01-13,85.1,88.9,83.135,86.075,2050.0,86.4815,1690
2026-01-14,86.4,93.175,86.4,91.055,2204.0,90.425,1875
2026-01-15,92.95,93.205,85.875,92.025,2107.0,89.7365,1600
2026-01-16,92.15,92.23,86.34,88.225,1546.0,88.9765,1384
2026-01-20,90.46,95.26,90.445,94.315,1685.0,93.4985,1418
2026-01-21,94.235,95.01,90.0,92.32,968.0,93.187,832
2026-01-22,92.1,96.325,90.475,96.045,885.0,94.0265,717
2026-01-23,96.08,103.11,95.95,101.0,1103.0,98.9945,997
2026-01-26,104.125,117.285,101.6,115.15,2343.0,109.192,2108
2026-01-27,104.1,113.06,103.53,105.595,1624.0,108.691,1497
2026-01-28,111.585,116.96,110.55,113.165,386.0,113.219,344
2026-01-29,116.625,121.3,108.115,114.04,168.0,115.1525,162
2026-01-30,116.0,117.715,75.445,78.29,196.0,100.4315,178
2026-02-02,81.1,86.33,71.5,76.78,80.0,77.766,70
2026-02-03,83.66,86.265,83.045,83.045,11.0,85.1665,10
2026-02-04,89.27,89.725,84.0,84.165,12.0,86.387,12
2026-02-05,79.0,79.8,72.995,76.53,12.0,76.52,12
2026-02-06,74.84,76.735,74.84,76.735,2.0,74.85,2
2026-02-09,79.23,83.1,79.0,82.065,8.0,80.348,6
2026-02-10,81.87,81.945,80.22,80.22,8.0,81.0635,8
2026-02-11,84.99,84.99,83.755,83.755,2.0,84.57,2
2026-02-12,75.545,75.545,75.545,75.545,0.0,75.545,0
2026-02-13,77.485,77.85,77.465,77.85,2.0,77.475,2
2026-02-17,76.17,76.33,72.45,73.45,6.0,74.675,6
2026-02-18,77.51,77.51,77.51,77.51,0.0,77.51,0
2026-02-19,77.565,77.565,77.565,77.565,0.0,77.565,0
2026-02-20,82.6,84.33,82.28,82.28,3.0,83.6565,3
2026-02-23,87.23,87.3,86.5,86.525,4.0,86.9075,4
2026-02-24,86.285,87.455,86.285,87.455,6.0,86.3065,5
2026-02-25,89.54,90.94,89.32,90.94,12.0,89.487,12
2026-02-26,90.94,90.94,90.94,90.94,0.0,90.94,0
