date,open,high,low,close,volume,average,barCount
2026-03-31,77.565,77.565,77.565,77.565,0.0,77.565,0
2026-04-01,78.83,78.83,78.83,78.83,0.0,78.83,0
2026-04-02,75.565,75.565,75.565,75.565,0.0,75.565,0
2026-04-06,75.775,75.835,75.495,75.495,2.0,75.805,2
2026-04-07,75.695,75.695,74.62,74.62,1.0,75.695,1
2026-04-08,79.595,79.595,78.125,78.125,2.0,79.0325,2
2026-04-09,78.75,79.2,78.75,79.2,1.0,78.75,1
2026-04-10,79.24,79.24,79.24,79.24,0.0,79.24,0
2026-04-13,78.36,78.36,78.36,78.36,0.0,78.36,0
2026-04-14,78.5,82.32,78.5,82.32,4.0,80.5475,4
2026-04-15,82.375,82.405,82.265,82.405,2.0,82.32,2
2026-04-16,81.34,81.455,81.34,81.455,1.0,81.34,1
2026-04-17,84.675,84.675,84.675,84.675,0.0,84.675,0
2026-04-20,82.49,83.55,82.49,82.84,5.0,82.936,5
2026-04-21,81.0,81.0,78.96,79.15,5.0,79.703,5
2026-04-22,81.05,81.3,80.555,80.67,6.0,80.99,6
2026-04-23,80.31,80.655,77.17,78.17,37.0,78.6925,33
2026-04-24,77.87,79.015,76.89,79.015,14.0,77.5375,14
2026-04-27,77.685,78.92,77.38,77.65,12.0,78.236,12
2026-04-28,78.54,78.54,74.66,75.705,14.0,76.5495,14
2026-04-29,74.85,74.85,73.595,74.025,19.0,74.097,18
2026-04-30,73.76,76.1,73.76,76.055,14.0,74.612,13
2026-05-01,76.985,79.52,75.67,78.495,14.0,78.174,13
2026-05-04,76.975,77.1,75.215,75.565,18.0,75.9915,15
2026-05-05,75.615,76.55,75.31,75.65,21.0,75.823,20
2026-05-06,75.315,80.5,75.315,79.47,48.0,79.139,44
2026-05-07,79.99,84.795,79.8,82.435,43.0,83.298,39
2026-05-08,82.655,84.29,82.655,83.13,10.0,83.1595,10
2026-05-11,83.13,89.2,83.13,88.33,57.0,87.842,50
2026-05-12,89.6,90.17,86.63,87.93,40.0,89.034,35
2026-05-13,90.0,92.5,89.425,91.825,61.0,90.4015,58
2026-05-14,90.69,91.51,86.92,87.665,25.0,89.037,25
2026-05-15,80.89,81.005,78.735,79.705,32.0,79.9085,30
2026-05-18,77.27,80.295,77.27,79.605,6.0,78.8635,6
2026-05-19,80.525,81.38,75.8,77.28,13.0,77.885,10
2026-05-20,76.19,79.0,75.895,78.34,14.0,77.383,13
2026-05-21,77.815,79.45,77.29,78.93,8.0,77.8225,7
2026-05-22,79.255,79.255,78.255,78.375,4.0,78.719,4
2026-05-26,80.0,81.375,78.02,78.815,13.0,79.9275,13
2026-05-27,79.525,79.94,77.08,77.08,7.0,78.1295,7
2026-05-28,74.28,78.47,74.28,78.125,6.0,76.4565,6
2026-05-29,78.69,79.0,77.3,78.095,5.0,78.233,5
2026-06-01,77.345,78.405,76.46,77.465,14.0,77.243,14
2026-06-02,79.205,79.385,77.775,77.775,3.0,79.055,3
2026-06-03,76.98,77.49,75.545,75.87,7.0,76.4615,6
2026-06-04,77.01,77.01,75.71,76.125,6.0,76.2785,6
2026-06-05,75.5,75.5,70.245,71.135,24.0,73.4735,22
2026-06-08,69.215,70.7,68.625,70.61,8.0,69.447,8
2026-06-09,69.595,70.85,67.165,67.165,18.0,69.1985,17
2026-06-10,65.97,66.985,65.97,66.64,2.0,66.4775,2
2026-06-11,64.625,69.425,64.625,65.83,10.0,68.2905,10
2026-06-12,69.72,70.325,68.675,69.905,15.0,69.7335,12
2026-06-15,70.765,73.225,70.765,72.19,46.0,72.62,40
2026-06-16,71.835,72.81,71.78,72.0,8.0,72.1205,6
2026-06-17,72.55,73.445,68.88,72.78,24.0,70.928,21
2026-06-18,70.785,71.74,68.27,68.27,12.0,69.995,11
2026-06-22,66.465,68.695,66.25,67.51,31.0,67.4175,29
2026-06-23,66.815,66.815,63.72,63.925,8.0,65.301,7
2026-06-24,61.5,61.5,57.765,59.82,14.0,59.9755,14
2026-06-25,59.205,60.095,59.205,60.095,3.0,59.38,3
2026-06-26,61.125,61.265,60.99,60.99,2.0,61.195,2
2026-06-29,59.68,59.94,59.68,59.94,3.0,59.805,3
2026-06-30,61.25,61.25,61.25,61.25,0.0,61.25,0
2026-07-01,59.58,62.26,59.58,61.855,19.0,60.345,10
2026-07-02,61.75,63.39,61.75,62.39,2.0,62.57,2
2026-07-06,64.0,64.105,63.59,63.69,8.0,63.9265,5
2026-07-07,63.18,63.18,61.405,62.68,3.0,62.0165,3
2026-07-08,61.545,61.545,59.835,59.835,9.0,60.293,7
2026-07-09,60.605,62.145,60.605,62.105,9.0,61.8055,4
2026-07-10,61.795,61.825,61.275,61.51,3.0,61.6315,3
2026-07-13,60.51,60.68,58.985,59.27,50.0,59.8645,50
2026-07-14,59.115,61.22,58.685,60.42,25.0,59.9205,23
2026-07-15,59.755,60.01,58.71,58.71,13.0,59.2,10
2026-07-16,58.905,58.905,57.42,57.42,14.0,58.2145,13
2026-07-17,56.335,57.56,56.335,57.56,3.0,56.5735,3
2026-07-20,58.335,58.335,58.335,58.335,0.0,58.335,0
2026-07-21,59.46,60.64,59.46,60.425,9.0,60.058,8
2026-07-22,61.39,62.37,60.705,61.64,24.0,61.4865,24
2026-07-23,61.205,61.505,58.695,59.35,25.0,60.3835,23
2026-07-24,58.735,60.405,58.735,60.205,13.0,59.376,13
2026-07-27,61.37,61.37,60.015,60.015,10.0,60.73,8
2026-07-28,59.255,59.255,58.48,58.805,9.0,58.813,9
2026-07-29,58.4,60.425,58.4,59.38,27.0,59.198,25
2026-07-30,59.77,60.39,58.645,60.33,18.0,59.9345,18
2026-07-31,60.565,60.595,58.64,59.08,39.0,59.6635,23
2026-08-03,59.885,59.945,58.21,59.145,20.0,59.245,20
2026-08-04,59.67,61.58,59.67,61.58,24.0,60.789,22
2026-08-05,62.1,63.97,62.1,63.69,8.0,63.0645,6
2026-08-06,63.7,64.0,62.695,63.0,21.0,63.255,17
2026-08-07,65.01,66.695,64.945,64.945,8.0,65.631,8
2026-08-10,65.91,67.69,65.545,66.77,97.0,65.875,96
2026-08-11,67.895,68.005,66.075,66.44,17.0,66.686,15
2026-08-12,67.77,68.085,66.875,67.225,20.0,67.619,16
2026-08-13,67.065,67.2,65.98,66.485,31.0,66.435,30
2026-08-14,65.89,67.295,65.2,66.605,20.0,66.537,19
