date,open,high,low,close,volume,average,barCount
2026-01-30,116.65,118.505,76.925,78.83,213.0,99.7445,199
2026-02-02,80.4,87.255,72.1,77.29,210.0,79.74,197
2026-02-03,81.07,89.305,81.02,83.625,273.0,85.5945,253
2026-02-04,85.755,92.3,84.0,84.73,288.0,88.112,271
2026-02-05,88.66,90.085,71.98,76.995,383.0,78.4975,345
2026-02-06,70.16,78.195,64.535,77.19,228.0,72.406,208
2026-02-09,78.88,84.0,78.585,82.55,183.0,80.9485,172
2026-02-10,83.53,83.53,79.965,80.69,131.0,81.627,127
2026-02-11,81.135,86.18,81.135,84.235,188.0,83.8135,174
2026-02-12,84.17,84.17,74.9,75.96,190.0,78.837,153
2026-02-13,75.265,79.385,73.99,78.245,205.0,77.276,184
2026-02-17,75.155,77.555,72.58,73.8,388.0,75.0935,335
2026-02-18,73.425,78.39,72.835,77.89,170.0,76.8535,164
2026-02-19,77.8,79.555,76.765,77.925,369.0,78.235,333
2026-02-20,78.515,84.9,77.81,82.655,555.0,81.997,465
2026-02-23,85.265,89.145,85.265,86.89,1006.0,87.138,811
2026-02-24,88.08,89.02,85.195,87.81,1386.0,87.4945,1089
2026-02-25,87.285,91.645,86.85,91.31,1465.0,90.084,1291
2026-02-26,89.525,90.58,85.455,87.29,1728.0,87.88,1531
2026-02-27,88.485,94.4,88.18,92.98,1802.0,92.1025,1513
2026-03-02,95.675,97.055,86.42,88.545,2441.0,91.6905,1964
2026-03-03,90.035,91.185,77.845,83.185,2528.0,83.5945,2093
2026-03-04,81.8,86.7,81.75,82.88,1045.0,84.079,903
2026-03-05,83.49,85.345,80.5,81.885,999.0,82.5905,880
2026-03-06,82.5,84.86,81.63,84.015,708.0,83.616,621
2026-03-09,84.9,87.025,79.37,84.23,771.0,83.372,677
2026-03-10,86.905,90.1,86.905,89.285,707.0,88.5955,606
2026-03-11,88.79,89.355,84.3,85.24,503.0,86.1895,427
2026-03-12,85.715,87.39,82.925,84.815,712.0,85.393,571
2026-03-13,83.33,85.21,79.37,81.06,675.0,82.3745,566
2026-03-16,79.85,81.505,76.975,80.405,620.0,79.6885,541
2026-03-17,80.77,82.37,78.27,79.65,332.0,80.078,304
2026-03-18,78.89,80.0,75.095,77.33,681.0,77.484,529
2026-03-19,75.485,76.455,65.5,70.975,1273.0,71.3635,1067
2026-03-20,72.7,74.255,67.55,69.42,732.0,70.9955,576
2026-03-23,66.81,70.61,61.0,69.11,1012.0,66.8525,830
2026-03-24,69.03,71.08,65.985,69.32,576.0,68.495,501
2026-03-25,71.395,74.295,71.02,72.395,575.0,73.0095,460
2026-03-26,71.455,72.105,66.66,67.7,424.0,69.21,359
2026-03-27,68.63,71.47,67.2,69.56,221.0,68.7575,190
2026-03-30,68.55,71.405,68.55,70.325,43.0,70.3565,35
2026-03-31,69.765,75.125,69.645,74.69,34.0,71.9405,33
2026-04-01,74.975,75.87,74.05,75.87,17.0,74.6085,17
2026-04-02,75.28,75.28,71.965,72.735,11.0,72.3,5
2026-04-06,71.805,72.66,71.805,72.66,2.0,71.805,1
2026-04-07,72.05,72.865,71.45,71.825,5.0,72.091,4
2026-04-08,77.46,77.46,75.225,75.225,6.0,77.1125,6
2026-04-09,76.28,76.28,76.28,76.28,0.0,76.28,0
2026-04-10,76.88,76.88,76.325,76.325,1.0,76.88,1
2026-04-13,73.775,75.525,73.775,75.525,3.0,73.9985,3
2026-04-14,78.35,79.51,78.35,79.39,11.0,79.332,10
2026-04-15,80.2,80.2,78.795,79.49,21.0,79.576,17
2026-04-16,80.375,80.395,78.605,78.605,3.0,80.3885,3
2026-04-17,79.625,82.93,79.29,81.735,7.0,81.778,6
2026-04-20,79.95,79.95,79.95,79.95,0.0,79.95,0
2026-04-21,78.805,78.865,76.41,76.41,3.0,78.2035,3
2026-04-22,77.565,78.28,77.565,77.89,2.0,77.9225,2
2026-04-23,76.155,76.695,74.485,75.465,30.0,75.8865,30
2026-04-24,75.04,76.41,74.195,76.385,57.0,74.7115,57
2026-04-27,75.375,75.4,75.0,75.0,9.0,75.3515,5
2026-04-28,73.205,73.205,73.205,73.205,0.0,73.205,0
2026-04-29,73.205,73.205,73.205,73.205,0.0,73.205,0
