date,open,high,low,close,volume,average,barCount
2025-05-30,34.345,34.345,34.345,34.345,0.0,34.345,0
2025-06-02,36.015,36.015,36.015,36.015,0.0,36.015,0
2025-06-03,36.005,36.005,36.005,36.005,0.0,36.005,0
2025-06-04,36.025,36.025,36.025,36.025,0.0,36.025,0
2025-06-05,37.19,37.19,37.19,37.19,0.0,37.19,0
2025-06-06,37.53,37.53,37.53,37.53,0.0,37.53,0
2025-06-09,38.215,38.215,38.215,38.215,0.0,38.215,0
2025-06-10,38.085,38.085,38.085,38.085,0.0,38.085,0
2025-06-11,37.71,37.71,37.71,37.71,0.0,37.71,0
2025-06-12,37.37,37.705,37.37,37.705,1.0,37.37,1
2025-06-13,37.62,37.79,37.62,37.79,1.0,37.62,1
2025-06-16,37.895,37.895,37.895,37.895,0.0,37.895,0
2025-06-17,38.61,38.61,38.61,38.61,0.0,38.61,0
2025-06-18,38.88,38.88,38.385,38.385,1.0,38.88,1
2025-06-20,37.475,37.475,37.475,37.475,0.0,37.475,0
2025-06-23,37.67,37.67,37.67,37.67,0.0,37.67,0
2025-06-24,37.21,37.21,37.21,37.21,0.0,37.21,0
2025-06-25,37.56,37.56,37.56,37.56,0.0,37.56,0
2025-06-26,38.06,38.06,38.06,38.06,0.0,38.06,0
2025-06-27,37.26,37.495,37.26,37.495,1.0,37.26,1
2025-06-30,37.335,37.335,37.28,37.28,1.0,37.335,1
2025-07-01,37.55,37.55,37.35,37.52,2.0,37.45,2
2025-07-02,37.385,37.86,37.385,37.86,1.0,37.385,1
2025-07-03,38.285,38.285,37.765,38.24,6.0,37.9575,4
2025-07-07,37.88,38.075,37.88,38.075,1.0,37.88,1
2025-07-08,38.08,38.08,37.74,37.92,2.0,37.91,2
2025-07-09,37.795,37.795,37.795,37.795,0.0,37.795,0
2025-07-10,38.28,38.475,38.08,38.475,17.0,38.2215,7
2025-07-11,38.935,40.335,38.935,40.125,16.0,40.24,5
2025-07-14,39.915,39.915,39.915,39.915,0.0,39.915,0
2025-07-15,39.685,39.78,39.305,39.305,4.0,39.7315,3
2025-07-16,39.305,39.305,39.305,39.305,0.0,39.305,0
2025-07-17,39.155,39.495,39.155,39.495,2.0,39.155,1
2025-07-18,39.655,39.945,39.655,39.665,7.0,39.8545,4
2025-07-21,39.815,40.555,39.62,40.555,2.0,39.7175,2
2025-07-22,40.53,40.88,40.39,40.795,48.0,40.6325,11
2025-07-23,40.8,41.0,40.75,40.75,35.0,40.889,8
2025-07-24,40.86,40.96,40.47,40.47,17.0,40.887,6
2025-07-25,39.6,39.6,39.6,39.6,0.0,39.6,0
2025-07-28,39.46,39.46,39.46,39.46,0.0,39.46,0
2025-07-29,39.53,39.53,39.53,39.53,0.0,39.53,0
2025-07-30,39.135,39.135,38.235,38.975,17.0,38.343,6
2025-07-31,37.925,37.925,37.925,37.925,0.0,37.925,0
2025-08-01,38.225,38.23,38.115,38.115,10.0,38.2285,2
2025-08-04,38.585,38.585,38.53,38.53,1.0,38.585,1
2025-08-05,38.615,39.04,38.615,39.04,10.0,38.615,2
2025-08-06,39.025,39.115,39.025,39.115,10.0,39.0255,2
2025-08-07,39.205,39.93,39.2,39.555,13.0,39.361,7
2025-08-08,39.76,39.835,39.76,39.835,3.0,39.8015,3
2025-08-11,39.15,39.15,39.055,39.055,1.0,39.15,1
2025-08-12,39.125,39.28,39.125,39.27,11.0,39.2635,3
2025-08-13,39.215,39.9,39.215,39.89,25.0,39.6285,9
2025-08-14,40.085,40.085,39.33,39.33,4.0,39.7275,4
2025-08-15,39.23,39.23,39.23,39.23,0.0,39.23,0
2025-08-18,39.58,39.58,39.295,39.295,3.0,39.4035,2
2025-08-19,39.315,39.315,38.47,38.57,7.0,38.8135,5
2025-08-20,38.54,39.08,38.26,39.0,6.0,38.6535,5
2025-08-21,39.01,39.42,38.765,39.32,25.0,39.0895,13
2025-08-22,40.15,40.295,40.15,40.295,14.0,40.241,6
2025-08-25,40.15,40.15,39.915,39.96,9.0,40.112,5
2025-08-26,39.77,39.88,39.77,39.86,2.0,39.825,2
2025-08-27,39.69,39.99,39.465,39.97,10.0,39.685,8
2025-08-28,40.15,40.56,40.15,40.475,9.0,40.4395,5
2025-08-29,40.305,41.58,40.21,41.51,19.0,41.0225,13
2025-09-02,41.63,42.725,41.63,42.395,45.0,42.378,32
2025-09-03,42.495,42.93,42.44,42.875,32.0,42.6585,21
2025-09-04,42.5,42.5,41.9,42.225,39.0,42.162,31
2025-09-05,42.06,42.75,42.055,42.355,22.0,42.3865,18
2025-09-08,42.3,43.13,41.905,42.7,66.0,42.619,50
2025-09-09,42.75,42.81,42.08,42.135,46.0,42.371,35
2025-09-10,42.1,42.57,42.0,42.395,25.0,42.139,22
2025-09-11,42.395,43.06,42.285,42.95,67.0,42.766,36
2025-09-12,42.75,43.75,42.75,43.645,54.0,43.4165,41
2025-09-15,43.505,43.945,43.34,43.78,48.0,43.6985,32
2025-09-16,43.955,44.135,43.44,43.74,76.0,43.8245,46
2025-09-17,43.745,43.75,42.35,42.96,144.0,43.0265,83
2025-09-18,42.845,43.01,42.485,42.925,56.0,42.876,32
2025-09-19,42.805,44.2,42.805,43.775,99.0,43.6445,72
2025-09-22,44.205,45.23,44.205,45.06,222.0,44.776,134
2025-09-23,45.105,45.58,44.84,45.46,128.0,45.188,74
2025-09-24,45.22,45.4,44.84,45.05,40.0,45.0995,30
2025-09-25,45.065,46.325,44.945,45.99,119.0,45.8825,87
2025-09-26,46.055,47.75,45.85,47.57,225.0,46.9105,110
2025-09-29,47.45,48.31,47.19,47.955,150.0,47.8495,89
2025-09-30,48.07,48.31,47.0,47.57,209.0,47.5805,125
2025-10-01,47.8,48.9,47.8,48.61,171.0,48.389,122
2025-10-02,48.28,48.825,46.66,47.285,269.0,47.9365,141
2025-10-03,47.91,49.235,47.47,48.89,236.0,48.6275,127
2025-10-06,49.01,49.48,48.885,49.385,219.0,49.197,124
2025-10-07,49.39,49.395,47.985,48.465,167.0,48.6925,112
2025-10-08,48.62,50.1,48.55,49.95,235.0,49.482,166
2025-10-09,49.215,50.88,47.845,48.06,426.0,49.486,237
2025-10-10,48.7,49.5,47.67,48.165,200.0,48.6665,147
2025-10-13,48.715,51.8,48.715,51.36,405.0,50.619,208
2025-10-14,51.87,53.41,49.76,51.56,519.0,51.6315,301
2025-10-15,51.465,53.51,51.45,52.315,153.0,52.6135,119
2025-10-16,53.625,54.495,52.2,54.24,267.0,53.5595,222
2025-10-17,54.53,54.66,50.585,51.03,315.0,52.5795,236
2025-10-20,51.68,52.755,51.04,52.315,93.0,51.924,79
2025-10-21,52.5,52.5,48.155,48.625,300.0,49.667,247
2025-10-22,48.895,49.375,47.745,48.595,147.0,48.6965,131
2025-10-23,49.055,49.99,48.82,49.63,114.0,49.4,97
2025-10-24,49.48,49.615,48.4,49.525,145.0,49.051,123
2025-10-27,49.2,49.535,46.995,47.69,215.0,48.2205,189
2025-10-28,47.72,48.26,46.555,48.245,189.0,47.5905,145
2025-10-29,48.08,49.35,48.05,48.86,233.0,48.7755,189
2025-10-30,48.425,49.775,48.155,49.59,65.0,48.9225,63
2025-10-31,49.63,49.99,49.02,49.135,105.0,49.55,91
2025-11-03,49.22,49.75,48.74,49.02,112.0,49.214,99
2025-11-04,48.8,48.87,47.62,48.235,198.0,47.939,96
2025-11-05,47.76,49.02,47.695,48.99,156.0,48.4745,73
2025-11-06,48.73,49.58,48.395,48.9,141.0,49.095,118
2025-11-07,48.9,49.67,48.845,49.12,190.0,49.128,92
2025-11-10,49.37,51.43,49.37,51.315,234.0,50.6185,145
