date,open,high,low,close,volume,average,barCount
2026-03-31,70.23,75.2,70.23,75.2,6.0,72.789,6
2026-04-01,75.73,76.4,74.595,76.37,9.0,75.598,9
2026-04-02,75.885,75.885,70.6,73.2,28.0,73.1065,28
2026-04-06,73.125,73.93,72.255,73.115,21.0,73.0945,21
2026-04-07,73.385,73.85,70.99,72.25,12.0,72.5495,11
2026-04-08,73.9,77.915,73.835,75.67,144.0,76.1465,124
2026-04-09,74.16,77.005,73.78,76.73,201.0,75.4355,112
2026-04-10,75.6,77.0,75.455,76.765,22.0,76.2695,22
2026-04-13,75.0,76.05,73.15,75.94,96.0,74.2615,88
2026-04-14,76.175,80.025,76.07,79.815,172.0,78.5755,143
2026-04-15,79.875,81.21,78.775,79.915,246.0,79.93,212
2026-04-16,79.685,81.19,78.625,78.995,93.0,79.707,80
2026-04-17,79.09,83.455,78.405,82.14,201.0,81.625,128
2026-04-20,79.745,81.0,79.02,80.33,169.0,80.1495,147
2026-04-21,80.315,80.515,75.87,76.77,287.0,78.6295,219
2026-04-22,77.015,78.905,77.015,78.25,126.0,78.085,113
2026-04-23,77.415,78.5,74.52,75.78,314.0,76.1925,267
2026-04-24,75.78,76.885,74.185,76.675,222.0,75.905,185
2026-04-27,75.94,76.8,74.915,75.29,358.0,75.6805,301
2026-04-28,75.785,76.42,72.195,73.485,714.0,73.6825,608
2026-04-29,73.0,74.09,71.11,71.83,705.0,72.377,562
2026-04-30,71.475,74.045,71.45,73.77,1064.0,73.1015,857
2026-05-01,74.02,77.115,73.215,76.165,1052.0,75.2705,891
2026-05-04,75.9,76.24,72.4,73.265,894.0,73.6225,651
2026-05-05,72.94,74.2,72.625,73.325,377.0,73.344,314
2026-05-06,72.995,78.0,72.89,77.03,747.0,76.489,595
2026-05-07,77.565,82.35,77.345,79.9,1147.0,80.265,813
2026-05-08,78.575,81.855,78.575,80.58,416.0,80.5065,366
2026-05-11,79.56,86.67,79.37,85.655,776.0,84.23,644
2026-05-12,86.67,87.65,83.415,85.29,1060.0,85.6785,815
2026-05-13,87.05,89.695,86.21,89.055,864.0,87.974,660
2026-05-14,87.935,88.815,83.46,85.035,845.0,85.6685,645
2026-05-15,83.665,84.005,75.93,77.28,982.0,78.589,851
2026-05-18,77.415,78.285,74.0,77.185,449.0,76.366,362
2026-05-19,78.15,78.915,73.18,74.905,494.0,75.0585,397
2026-05-20,73.975,76.66,73.265,75.92,287.0,75.0775,237
2026-05-21,75.6,77.145,74.5,76.47,386.0,76.0785,265
2026-05-22,76.64,77.09,75.095,75.935,593.0,76.0545,440
2026-05-26,76.765,78.93,75.52,76.34,375.0,76.8525,285
2026-05-27,77.04,77.6,73.705,74.63,150.0,75.272,121
2026-05-28,74.79,75.9,71.975,75.645,90.0,73.0675,79
2026-05-29,76.225,76.225,75.245,75.615,9.0,75.6415,7
2026-06-01,75.01,75.01,75.01,75.01,0.0,75.01,0
2026-06-02,75.73,75.73,75.31,75.31,1.0,75.73,1
2026-06-03,74.23,74.23,73.475,73.475,2.0,74.13,2
2026-06-04,73.78,73.78,73.78,73.78,0.0,73.78,0
2026-06-05,70.965,70.965,67.785,68.94,15.0,68.552,11
2026-06-08,67.84,68.425,67.76,68.425,6.0,68.051,6
2026-06-09,68.36,68.38,65.035,65.095,5.0,67.703,3
2026-06-10,64.2,64.8,63.75,64.6,6.0,64.1525,6
2026-06-11,63.91,67.485,63.885,63.885,5.0,65.583,5
2026-06-12,67.78,67.86,67.78,67.86,1.0,67.78,1
2026-06-15,70.39,71.22,70.065,70.065,3.0,70.84,3
2026-06-16,70.405,70.42,69.9,69.9,5.0,70.177,5
2026-06-17,70.195,70.695,69.42,70.695,37.0,69.8285,27
2026-06-18,66.255,66.255,66.255,66.255,0.0,66.255,0
2026-06-22,65.53,65.53,65.53,65.53,0.0,65.53,0
2026-06-23,62.02,62.02,62.02,62.02,0.0,62.02,0
2026-06-24,58.055,58.055,58.055,58.055,0.0,58.055,0
2026-06-25,58.04,58.35,57.93,58.35,6.0,57.9885,5
2026-06-26,59.22,59.22,59.22,59.22,0.0,59.22,0
