date,open,high,low,close,volume,average,barCount
2026-07-31,59.99,59.99,59.99,59.99,0.0,59.99,0
2026-08-03,59.99,60.055,59.99,60.055,1.0,59.99,1
2026-08-04,62.205,62.51,62.205,62.51,1.0,62.205,1
2026-08-05,62.18,65.17,62.17,64.66,7.0,63.407,7
2026-08-06,63.96,63.96,63.96,63.96,0.0,63.96,0
2026-08-07,66.52,67.535,65.945,65.945,10.0,66.82,10
2026-08-10,66.53,67.795,66.53,67.795,3.0,66.6015,3
2026-08-11,67.095,67.475,67.095,67.475,1.0,67.095,1
2026-08-12,67.775,68.28,67.775,68.28,1.0,67.775,1
2026-08-13,67.51,67.51,67.51,67.51,0.0,67.51,0
2026-08-14,66.6,67.64,66.6,67.64,1.0,66.6,1
