date,open,high,low,close,volume,average,barCount
2026-05-29,75.81,76.87,75.285,76.17,19.0,75.9275,16
2026-06-01,76.415,76.415,74.91,75.55,10.0,75.8505,9
2026-06-02,75.58,76.95,75.455,75.855,34.0,76.1015,24
2026-06-03,74.67,74.67,73.415,73.985,11.0,73.8735,10
2026-06-04,73.615,74.985,73.615,74.26,20.0,74.385,17
2026-06-05,74.25,74.25,67.965,69.375,56.0,70.9095,53
2026-06-08,68.1,69.205,67.045,68.855,63.0,68.362,63
2026-06-09,68.52,69.14,65.0,65.495,57.0,67.2005,53
2026-06-10,65.53,66.05,63.885,64.985,109.0,64.9275,94
2026-06-11,63.715,67.755,61.895,64.25,79.0,64.9015,69
2026-06-12,68.205,68.65,66.25,68.24,129.0,67.418,119
2026-06-15,69.67,71.585,69.505,70.46,99.0,70.6985,89
2026-06-16,70.33,71.39,69.735,70.29,48.0,70.3085,45
2026-06-17,70.7,71.85,67.21,71.045,138.0,69.7725,118
2026-06-18,68.23,70.01,65.45,66.58,292.0,67.731,235
2026-06-22,66.045,67.205,63.62,65.835,306.0,65.6185,243
2026-06-23,65.445,65.445,61.69,62.3,238.0,62.7645,173
2026-06-24,61.11,62.59,56.31,58.31,689.0,59.513,467
2026-06-25,57.815,59.21,56.66,58.59,765.0,57.9375,568
2026-06-26,58.145,59.79,55.965,59.465,929.0,58.3495,711
2026-06-29,59.17,59.58,57.67,58.415,538.0,58.5135,396
2026-06-30,58.535,60.65,56.885,59.705,787.0,59.038,632
2026-07-01,58.93,61.3,57.5,60.29,699.0,59.5765,507
2026-07-02,59.53,62.355,59.27,60.845,716.0,60.994,533
2026-07-06,61.3,63.475,61.225,62.105,822.0,62.323,703
2026-07-07,62.305,62.335,59.64,61.115,528.0,61.1725,443
2026-07-08,59.975,61.2,57.44,58.33,605.0,59.0555,437
2026-07-09,58.64,60.8,57.77,60.53,347.0,59.503,272
2026-07-10,60.16,60.96,59.175,59.95,334.0,59.9715,233
2026-07-13,59.385,59.51,57.445,57.765,233.0,58.254,186
2026-07-14,57.825,59.695,57.0,58.9,377.0,58.6825,262
2026-07-15,58.885,59.155,56.765,57.235,284.0,58.0515,217
2026-07-16,57.945,57.97,55.425,55.995,266.0,56.4645,203
2026-07-17,55.63,56.235,54.805,56.135,454.0,55.5535,344
2026-07-20,55.72,57.565,55.575,56.875,234.0,56.7875,185
2026-07-21,56.435,59.335,56.25,58.91,204.0,58.7045,160
2026-07-22,58.85,61.0,58.85,60.095,375.0,59.9885,299
2026-07-23,59.7,60.09,57.215,57.86,304.0,58.4585,233
2026-07-24,57.7,59.0,57.23,58.715,146.0,58.1945,118
2026-07-27,59.355,59.955,58.48,58.515,104.0,59.316,75
2026-07-28,58.435,58.435,56.81,57.335,125.0,57.2685,83
2026-07-29,57.15,59.33,56.925,57.89,167.0,57.4365,121
2026-07-30,58.15,59.2,57.855,58.815,82.0,58.5575,53
2026-07-31,59.04,59.04,57.13,57.59,5.0,58.102,5
2026-08-03,58.19,58.525,57.67,57.67,14.0,58.183,12
2026-08-04,59.735,60.055,59.735,60.055,1.0,59.735,1
2026-08-05,61.645,62.36,61.645,62.1,2.0,62.0025,2
2026-08-06,62.135,62.135,61.4,61.44,6.0,61.6425,6
2026-08-07,63.335,63.335,63.335,63.335,0.0,63.335,0
2026-08-10,65.105,65.105,65.105,65.105,0.0,65.105,0
2026-08-11,65.035,65.035,64.77,64.77,1.0,65.035,1
2026-08-12,65.555,65.555,65.555,65.555,0.0,65.555,0
2026-08-13,64.83,65.19,64.805,64.875,3.0,64.9415,3
2026-08-14,64.675,64.985,64.675,64.985,2.0,64.8075,2
