date,open,high,low,close,volume,average,barCount
2024-09-30,32.505,32.505,32.505,32.505,0.0,32.505,0
2024-10-01,32.82,32.82,32.82,32.82,0.0,32.82,0
2024-10-02,33.02,33.02,33.02,33.02,0.0,33.02,0
2024-10-03,33.575,33.575,33.575,33.575,0.0,33.575,0
2024-10-04,33.56,33.56,33.56,33.56,0.0,33.56,0
2024-10-07,33.185,33.185,33.185,33.185,0.0,33.185,0
2024-10-08,31.74,31.74,31.74,31.74,0.0,31.74,0
2024-10-09,31.825,31.825,31.825,31.825,0.0,31.825,0
2024-10-10,32.415,32.415,32.415,32.415,0.0,32.415,0
2024-10-11,32.945,32.945,32.945,32.945,0.0,32.945,0
2024-10-14,32.5,32.5,32.5,32.5,0.0,32.5,0
2024-10-15,32.945,32.945,32.945,32.945,0.0,32.945,0
2024-10-16,33.17,33.17,33.17,33.17,0.0,33.17,0
2024-10-17,33.1,33.1,32.97,32.97,1.0,33.1,1
2024-10-18,33.55,34.475,33.55,34.475,1.0,33.55,1
2024-10-21,35.36,35.36,35.36,35.36,0.0,35.36,0
2024-10-22,36.365,36.365,36.365,36.365,0.0,36.365,0
2024-10-23,35.125,35.125,35.125,35.125,0.0,35.125,0
2024-10-24,35.09,35.09,35.09,35.09,0.0,35.09,0
2024-10-25,35.07,35.07,35.07,35.07,0.0,35.07,0
2024-10-28,35.305,35.305,35.305,35.305,0.0,35.305,0
2024-10-29,35.77,35.77,35.77,35.77,0.0,35.77,0
2024-10-30,35.395,35.395,35.395,35.395,0.0,35.395,0
2024-10-31,34.965,34.965,34.07,34.07,3.0,34.51,3
2024-11-01,34.0,34.0,33.975,33.975,1.0,34.0,1
2024-11-04,33.885,33.885,33.885,33.885,0.0,33.885,0
2024-11-05,34.05,34.065,34.05,34.065,1.0,34.05,1
2024-11-06,32.57,32.57,32.57,32.57,0.0,32.57,0
2024-11-07,33.125,33.125,33.125,33.125,0.0,33.125,0
2024-11-08,32.995,32.995,32.71,32.71,1.0,32.995,1
2024-11-11,32.88,32.88,31.85,31.85,2.0,32.51,2
