date,open,high,low,close,volume,average,barCount
2026-07-31,58.765,58.89,57.765,57.985,34.0,58.335,28
2026-08-03,58.885,58.885,57.14,58.055,30.0,58.574,21
2026-08-04,58.645,60.455,58.645,60.455,13.0,59.904,10
2026-08-05,60.06,63.125,60.06,62.51,54.0,62.016,50
2026-08-06,62.58,63.25,61.53,61.82,53.0,62.2485,36
2026-08-07,63.35,65.52,63.35,63.73,57.0,64.366,53
2026-08-10,64.27,66.44,63.425,65.51,58.0,65.0175,54
2026-08-11,66.095,66.74,64.765,65.175,96.0,65.7055,82
2026-08-12,65.13,67.145,65.13,65.94,76.0,66.3295,65
2026-08-13,65.8,66.68,64.755,65.225,60.0,65.488,54
2026-08-14,64.88,66.04,64.625,65.34,47.0,65.571,42
