date,open,high,low,close,volume,average,barCount
2025-08-29,40.57,40.64,40.56,40.56,13.0,40.6225,5
2025-09-02,41.065,41.7,41.0,41.42,35.0,41.389,28
2025-09-03,41.515,41.9,41.43,41.895,5.0,41.559,5
2025-09-04,41.51,41.565,41.0,41.25,34.0,41.26,28
2025-09-05,41.1,41.485,41.1,41.39,11.0,41.201,8
2025-09-08,41.8,42.19,41.73,41.74,6.0,41.986,6
2025-09-09,41.765,41.875,41.145,41.18,13.0,41.476,13
2025-09-10,41.28,41.48,41.28,41.44,57.0,41.438,22
2025-09-11,41.445,42.13,41.22,41.985,21.0,41.705,20
2025-09-12,41.885,42.705,41.84,42.67,28.0,42.4055,27
2025-09-15,42.41,42.99,42.41,42.795,11.0,42.7165,7
2025-09-16,42.995,43.1,42.615,42.75,30.0,42.7705,22
2025-09-17,42.5,42.5,41.4,41.985,113.0,41.79,64
2025-09-18,41.8,42.02,41.55,41.955,29.0,41.8645,21
2025-09-19,41.88,43.215,41.81,42.785,110.0,42.422,67
2025-09-22,43.435,44.21,43.435,44.045,117.0,43.7945,80
2025-09-23,44.17,44.525,43.865,44.44,202.0,44.266,142
2025-09-24,44.15,44.43,43.74,44.02,479.0,43.9755,323
2025-09-25,44.005,45.26,44.005,44.93,281.0,44.632,158
2025-09-26,44.925,46.74,44.73,46.465,268.0,45.682,177
2025-09-29,46.325,47.165,46.075,46.835,339.0,46.716,268
2025-09-30,46.89,47.155,45.845,46.46,480.0,46.463,320
2025-10-01,46.695,47.745,46.67,47.5,487.0,47.201,342
2025-10-02,47.27,47.76,45.555,46.19,441.0,46.923,322
2025-10-03,46.63,48.12,46.36,47.78,267.0,47.225,188
2025-10-06,47.78,48.405,47.71,48.265,201.0,48.079,143
2025-10-07,48.22,48.345,46.96,47.335,383.0,47.761,260
2025-10-08,47.5,48.98,47.42,48.815,417.0,48.2205,255
2025-10-09,48.1,49.75,46.87,46.975,717.0,48.056,452
2025-10-10,47.11,48.365,46.555,47.055,335.0,47.602,250
2025-10-13,47.415,50.405,47.41,50.24,276.0,49.4145,214
2025-10-14,50.525,52.07,49.0,50.43,339.0,50.2315,282
2025-10-15,50.19,52.335,50.175,51.185,157.0,51.313,139
2025-10-16,52.485,53.35,51.335,53.095,252.0,52.545,218
2025-10-17,53.455,53.475,49.545,49.92,384.0,51.386,278
2025-10-20,50.78,51.59,50.185,51.19,182.0,50.969,124
2025-10-21,51.315,51.315,47.1,47.525,235.0,48.361,165
2025-10-22,47.77,48.435,46.74,47.5,110.0,47.638,98
2025-10-23,48.07,48.94,47.73,48.525,151.0,48.4455,140
2025-10-24,48.45,48.495,47.3,48.405,73.0,48.1335,62
2025-10-27,48.03,48.205,46.03,46.595,78.0,47.0885,54
2025-10-28,46.765,47.17,45.515,47.15,58.0,46.6735,39
2025-10-29,46.855,48.3,46.855,47.735,36.0,47.7925,31
2025-10-30,47.58,48.47,47.275,48.43,15.0,47.8375,8
2025-10-31,48.45,48.45,47.995,47.995,2.0,48.45,1
2025-11-03,48.335,48.38,47.615,47.89,7.0,47.947,7
2025-11-04,47.425,47.425,46.715,47.13,3.0,46.9665,3
2025-11-05,47.865,47.865,47.865,47.865,0.0,47.865,0
2025-11-06,47.795,47.795,47.795,47.795,0.0,47.795,0
2025-11-07,48.015,48.015,48.015,48.015,0.0,48.015,0
2025-11-10,50.18,50.18,50.18,50.18,0.0,50.18,0
2025-11-11,50.3,50.615,50.05,50.615,4.0,50.2875,4
2025-11-12,51.54,53.335,51.47,53.335,5.0,52.145,5
2025-11-13,54.07,54.07,52.01,53.075,11.0,52.81,8
2025-11-14,50.59,50.59,50.59,50.59,0.0,50.59,0
2025-11-17,50.625,50.625,50.625,50.625,0.0,50.625,0
2025-11-18,50.45,50.45,50.45,50.45,0.0,50.45,0
2025-11-19,50.79,50.79,50.79,50.79,0.0,50.79,0
2025-11-20,50.25,50.25,50.25,50.25,0.0,50.25,0
2025-11-21,50.02,50.04,49.875,49.875,2.0,50.03,2
2025-11-24,49.69,50.295,49.69,50.295,3.0,49.6915,2
2025-11-25,50.935,50.935,50.935,50.935,0.0,50.935,0
2025-11-26,50.935,50.935,50.935,50.935,0.0,50.935,0
