date,open,high,low,close,volume,average,barCount
2025-12-31,73.03,74.97,72.845,72.845,6.0,74.185,6
2026-01-02,74.4,74.445,73.145,73.145,4.0,74.34,4
2026-01-05,75.24,79.375,74.97,78.935,11.0,77.311,11
2026-01-06,80.24,83.745,79.815,83.48,43.0,81.398,41
2026-01-07,84.625,84.76,78.935,79.97,42.0,81.226,41
2026-01-08,81.105,81.105,76.71,77.395,8.0,77.973,8
2026-01-09,79.27,82.63,78.63,81.685,16.0,80.9375,16
2026-01-12,82.71,88.25,82.71,87.595,26.0,85.8305,26
2026-01-13,87.245,91.45,86.255,88.905,28.0,88.9005,27
2026-01-14,90.0,95.995,90.0,94.125,52.0,93.2755,44
2026-01-15,96.0,96.0,90.0,95.06,116.0,92.7895,103
2026-01-16,94.0,94.025,89.645,91.235,62.0,91.9055,55
2026-01-20,93.0,98.395,93.0,97.405,126.0,96.6025,124
2026-01-21,97.375,97.945,93.01,95.36,82.0,96.537,74
2026-01-22,95.15,99.18,93.895,99.18,45.0,97.2925,41
2026-01-23,99.34,106.065,99.34,104.385,65.0,102.6525,54
2026-01-26,107.68,119.38,105.0,118.92,245.0,113.334,227
2026-01-27,106.72,116.5,106.72,109.275,97.0,111.513,93
2026-01-28,115.0,120.675,115.0,116.955,52.0,117.3305,48
2026-01-29,120.02,125.0,111.03,117.875,87.0,119.325,83
2026-01-30,119.85,121.82,78.765,80.965,151.0,97.822,133
2026-02-02,84.19,90.005,76.97,79.165,68.0,84.2915,52
2026-02-03,83.93,91.35,83.93,85.74,100.0,88.5105,73
2026-02-04,88.88,94.72,86.8,86.94,113.0,90.855,71
2026-02-05,91.46,92.195,72.75,79.01,101.0,79.02,80
2026-02-06,72.64,80.0,66.83,79.3,74.0,73.9475,56
2026-02-09,81.925,86.2,81.69,84.75,23.0,84.723,22
2026-02-10,86.03,86.03,82.85,82.85,6.0,84.085,6
2026-02-11,83.76,88.47,83.76,86.505,71.0,86.169,59
2026-02-12,87.245,87.245,76.685,78.075,334.0,82.6125,285
2026-02-13,76.865,81.435,76.575,80.295,156.0,79.822,143
2026-02-17,77.415,79.195,74.375,75.64,114.0,77.0165,104
2026-02-18,75.105,80.38,74.7,79.91,26.0,78.0425,23
2026-02-19,79.65,81.095,79.575,79.96,20.0,80.5065,14
2026-02-20,80.795,86.915,80.615,84.745,34.0,83.4095,26
2026-02-23,87.7,91.12,87.7,89.15,34.0,89.2935,30
2026-02-24,90.85,90.85,87.33,90.09,139.0,90.324,56
2026-02-25,89.44,93.64,89.44,93.61,42.0,92.457,19
2026-02-26,91.5,91.5,88.85,89.545,29.0,90.1095,28
2026-02-27,92.045,96.64,92.045,95.345,85.0,95.466,57
2026-03-02,98.02,98.465,89.255,90.785,274.0,93.6025,152
2026-03-03,93.535,93.535,80.0,85.345,82.0,86.594,65
2026-03-04,84.97,88.775,84.47,85.075,39.0,86.4905,37
2026-03-05,87.2,87.2,83.33,84.08,24.0,85.305,23
2026-03-06,84.645,86.88,83.83,86.215,51.0,85.735,39
2026-03-09,83.075,88.515,82.215,86.405,37.0,85.8555,36
2026-03-10,89.935,92.02,89.275,91.57,32.0,90.854,28
