date,open,high,low,close,volume,average,barCount
2025-02-10,34.675,34.675,34.675,34.675,0.0,34.675,0
2025-02-11,34.54,34.54,34.54,34.54,0.0,34.54,0
2025-02-12,35.045,35.045,35.045,35.045,0.0,35.045,0
2025-02-13,35.025,35.025,35.025,35.025,0.0,35.025,0
2025-02-14,35.155,35.155,35.155,35.155,0.0,35.155,0
2025-02-17,35.155,35.155,35.155,35.155,0.0,35.155,0
2025-02-18,35.665,35.665,35.665,35.665,0.0,35.665,0
2025-02-19,35.27,35.27,35.27,35.27,0.0,35.27,0
2025-02-20,35.72,35.72,35.72,35.72,0.0,35.72,0
2025-02-21,35.23,35.23,35.23,35.23,0.0,35.23,0
2025-02-24,34.815,34.815,34.815,34.815,0.0,34.815,0
2025-02-25,34.02,34.02,34.02,34.02,0.0,34.02,0
2025-02-26,34.475,34.475,34.475,34.475,0.0,34.475,0
2025-02-27,33.995,33.995,33.995,33.995,0.0,33.995,0
2025-02-28,33.375,33.375,33.375,33.375,0.0,33.375,0
2025-03-03,34.155,34.155,34.155,34.155,0.0,34.155,0
2025-03-04,34.195,34.195,34.195,34.195,0.0,34.195,0
2025-03-05,34.945,34.945,34.945,34.945,0.0,34.945,0
2025-03-06,35.14,35.14,35.14,35.14,0.0,35.14,0
2025-03-07,34.6,34.6,34.6,34.6,0.0,34.6,0
2025-03-10,34.28,34.28,34.28,34.28,0.0,34.28,0
2025-03-11,34.835,34.835,34.835,34.835,0.0,34.835,0
2025-03-12,35.44,35.44,35.44,35.44,0.0,35.44,0
2025-03-13,36.01,36.01,36.01,36.01,0.0,36.01,0
2025-03-14,36.155,36.155,36.155,36.155,0.0,36.155,0
2025-03-17,36.035,36.035,36.035,36.035,0.0,36.035,0
2025-03-18,36.545,36.545,36.545,36.545,0.0,36.545,0
2025-03-19,35.94,35.94,35.94,35.94,0.0,35.94,0
2025-03-20,35.705,35.705,35.705,35.705,0.0,35.705,0
2025-03-21,35.125,35.125,35.125,35.125,0.0,35.125,0
2025-03-24,35.115,35.115,35.115,35.115,0.0,35.115,0
2025-03-25,35.86,35.86,35.86,35.86,0.0,35.86,0
2025-03-26,35.89,35.89,35.89,35.89,0.0,35.89,0
2025-03-27,36.795,36.795,36.795,36.795,0.0,36.795,0
2025-03-28,36.5,36.5,36.5,36.5,0.0,36.5,0
2025-03-31,36.35,36.35,36.35,36.35,0.0,36.35,0
2025-04-01,36.145,36.145,36.145,36.145,0.0,36.145,0
2025-04-02,36.445,36.445,36.445,36.445,0.0,36.445,0
2025-04-03,34.5,34.5,33.665,33.665,1.0,34.5,1
2025-04-04,33.125,33.125,30.825,30.825,3.0,33.125,3
2025-04-07,31.22,31.22,31.22,31.22,0.0,31.22,0
2025-04-08,31.285,31.285,31.285,31.285,0.0,31.285,0
2025-04-09,32.06,32.06,32.06,32.06,0.0,32.06,0
2025-04-10,32.405,32.405,32.405,32.405,0.0,32.405,0
2025-04-11,33.64,33.64,33.64,33.64,0.0,33.64,0
2025-04-14,33.905,33.905,33.905,33.905,0.0,33.905,0
2025-04-15,34.015,34.015,34.015,34.015,0.0,34.015,0
2025-04-16,34.72,34.72,34.72,34.72,0.0,34.72,0
2025-04-17,34.22,34.22,34.22,34.22,0.0,34.22,0
2025-04-21,34.265,34.265,34.265,34.265,0.0,34.265,0
2025-04-22,34.67,34.67,34.67,34.67,0.0,34.67,0
2025-04-23,35.315,35.315,35.315,35.315,0.0,35.315,0
2025-04-24,35.29,35.29,35.29,35.29,0.0,35.29,0
2025-04-25,34.795,34.795,34.795,34.795,0.0,34.795,0
2025-04-28,34.795,34.795,34.795,34.795,0.0,34.795,0
2025-04-29,35.06,35.06,35.06,35.06,0.0,35.06,0
2025-04-30,34.29,34.29,34.29,34.29,0.0,34.29,0
2025-05-01,33.68,33.885,33.645,33.885,3.0,33.6565,3
2025-05-02,33.685,33.685,33.685,33.685,0.0,33.685,0
2025-05-05,34.005,34.145,33.98,33.98,20.0,34.079,18
2025-05-06,34.905,34.905,34.905,34.905,0.0,34.905,0
2025-05-07,34.36,34.36,34.335,34.335,1.0,34.36,1
2025-05-08,34.17,34.17,34.17,34.17,0.0,34.17,0
2025-05-09,34.47,34.47,34.47,34.47,0.0,34.47,0
2025-05-12,34.18,34.18,34.18,34.18,0.0,34.18,0
2025-05-13,34.66,34.66,34.66,34.66,0.0,34.66,0
2025-05-14,33.99,33.99,33.99,33.99,0.0,33.99,0
2025-05-15,34.195,34.195,34.195,34.195,0.0,34.195,0
2025-05-16,33.87,33.87,33.87,33.87,0.0,33.87,0
2025-05-19,34.025,34.025,34.025,34.025,0.0,34.025,0
2025-05-20,34.685,34.685,34.685,34.685,0.0,34.685,0
2025-05-21,35.17,35.17,35.17,35.17,0.0,35.17,0
2025-05-22,34.73,34.73,34.73,34.73,0.0,34.73,0
2025-05-23,35.12,35.12,35.12,35.12,0.0,35.12,0
2025-05-27,34.815,34.815,34.815,34.815,0.0,34.815,0
2025-05-28,34.67,34.67,34.67,34.67,0.0,34.67,0
2025-05-29,34.91,34.91,34.91,34.91,0.0,34.91,0
2025-05-30,34.52,34.52,34.52,34.52,0.0,34.52,0
2025-06-02,36.17,36.17,36.17,36.17,0.0,36.17,0
2025-06-03,36.155,36.155,36.155,36.155,0.0,36.155,0
2025-06-04,36.18,36.18,36.18,36.18,0.0,36.18,0
2025-06-05,37.34,37.34,37.34,37.34,0.0,37.34,0
2025-06-06,37.68,37.68,37.68,37.68,0.0,37.68,0
2025-06-09,38.37,38.37,38.37,38.37,0.0,38.37,0
2025-06-10,38.245,38.245,38.245,38.245,0.0,38.245,0
2025-06-11,37.87,37.87,37.87,37.87,0.0,37.87,0
2025-06-12,38.13,38.17,37.86,37.86,2.0,38.15,2
2025-06-13,37.945,37.945,37.945,37.945,0.0,37.945,0
2025-06-16,38.055,38.055,38.055,38.055,0.0,38.055,0
2025-06-17,38.765,38.765,38.765,38.765,0.0,38.765,0
2025-06-18,38.545,38.545,38.545,38.545,0.0,38.545,0
2025-06-20,37.63,37.63,37.63,37.63,0.0,37.63,0
2025-06-23,37.83,37.83,37.83,37.83,0.0,37.83,0
2025-06-24,37.0,37.37,37.0,37.37,2.0,37.0,2
2025-06-25,37.39,37.725,37.39,37.725,1.0,37.39,1
2025-06-26,38.105,38.225,38.105,38.225,1.0,38.105,1
2025-06-27,37.545,37.655,37.545,37.655,1.0,37.545,1
2025-06-30,37.445,37.445,37.445,37.445,0.0,37.445,0
2025-07-01,37.68,37.68,37.68,37.68,0.0,37.68,0
2025-07-02,38.02,38.02,38.02,38.02,0.0,38.02,0
2025-07-03,38.41,38.41,38.41,38.41,0.0,38.41,0
2025-07-07,38.245,38.245,38.245,38.245,0.0,38.245,0
2025-07-08,38.09,38.09,38.09,38.09,0.0,38.09,0
2025-07-09,37.965,37.965,37.965,37.965,0.0,37.965,0
2025-07-10,38.75,38.75,38.64,38.64,3.0,38.75,3
2025-07-11,40.295,40.295,40.295,40.295,0.0,40.295,0
2025-07-14,39.955,40.085,39.955,40.085,3.0,39.955,3
2025-07-15,39.48,39.48,39.48,39.48,0.0,39.48,0
2025-07-16,39.475,39.475,39.475,39.475,0.0,39.475,0
2025-07-17,39.665,39.665,39.665,39.665,0.0,39.665,0
2025-07-18,39.835,39.835,39.835,39.835,0.0,39.835,0
2025-07-21,40.725,40.725,40.725,40.725,0.0,40.725,0
2025-07-22,40.975,40.975,40.975,40.975,0.0,40.975,0
2025-07-23,40.92,40.92,40.92,40.92,0.0,40.92,0
2025-07-24,40.65,40.65,40.65,40.65,0.0,40.65,0
2025-07-25,39.775,39.775,39.775,39.775,0.0,39.775,0
2025-07-28,39.635,39.635,39.635,39.635,0.0,39.635,0
2025-07-29,39.7,39.7,39.7,39.7,0.0,39.7,0
2025-07-30,39.145,39.145,39.145,39.145,0.0,39.145,0
2025-07-31,38.095,38.095,38.095,38.095,0.0,38.095,0
2025-08-01,38.275,38.275,38.275,38.275,0.0,38.275,0
2025-08-04,38.69,38.69,38.69,38.69,0.0,38.69,0
