date,open,high,low,close,volume,average,barCount
2026-06-29,63.92,63.92,63.92,63.92,0.0,63.92,0
2026-06-30,65.255,65.255,65.255,65.255,0.0,65.255,0
2026-07-01,65.87,65.87,65.87,65.87,0.0,65.87,0
2026-07-02,66.37,66.37,66.37,66.37,0.0,66.37,0
2026-07-06,67.675,67.675,67.675,67.675,0.0,67.675,0
2026-07-07,66.66,66.66,66.66,66.66,0.0,66.66,0
2026-07-08,63.765,63.765,63.765,63.765,0.0,63.765,0
2026-07-09,66.08,66.08,66.08,66.08,0.0,66.08,0
2026-07-10,65.485,65.485,65.485,65.485,0.0,65.485,0
2026-07-13,63.2,63.2,63.2,63.2,0.0,63.2,0
2026-07-14,64.355,64.355,64.355,64.355,0.0,64.355,0
2026-07-15,62.57,62.57,62.57,62.57,0.0,62.57,0
2026-07-16,61.235,61.235,61.235,61.235,0.0,61.235,0
2026-07-17,61.32,61.32,61.32,61.32,0.0,61.32,0
2026-07-20,62.1,62.1,62.1,62.1,0.0,62.1,0
2026-07-21,64.25,64.25,64.25,64.25,0.0,64.25,0
2026-07-22,65.53,65.53,65.53,65.53,0.0,65.53,0
2026-07-23,63.21,63.21,63.21,63.21,0.0,63.21,0
2026-07-24,64.03,64.03,64.03,64.03,0.0,64.03,0
2026-07-27,63.86,63.86,63.86,63.86,0.0,63.86,0
2026-07-28,62.63,62.63,62.63,62.63,0.0,62.63,0
2026-07-29,63.21,63.21,63.21,63.21,0.0,63.21,0
2026-07-30,64.185,64.185,64.185,64.185,0.0,64.185,0
2026-07-31,62.93,62.93,62.93,62.93,0.0,62.93,0
2026-08-03,62.99,62.99,62.99,62.99,0.0,62.99,0
2026-08-04,65.44,65.44,65.44,65.44,0.0,65.44,0
2026-08-05,67.64,67.64,67.64,67.64,0.0,67.64,0
2026-08-06,66.955,66.955,66.955,66.955,0.0,66.955,0
2026-08-07,68.995,68.995,68.995,68.995,0.0,68.995,0
2026-08-10,70.86,70.86,70.86,70.86,0.0,70.86,0
2026-08-11,70.59,70.59,70.59,70.59,0.0,70.59,0
2026-08-12,71.43,71.43,71.43,71.43,0.0,71.43,0
2026-08-13,70.68,70.68,70.68,70.68,0.0,70.68,0
2026-08-14,70.8,70.8,70.8,70.8,0.0,70.8,0
