date,open,high,low,close,volume,average,barCount
2026-07-30,64.42,64.42,64.42,64.42,0.0,64.42,0
2026-07-31,63.165,63.165,63.165,63.165,0.0,63.165,0
2026-08-03,63.225,63.225,63.225,63.225,0.0,63.225,0
2026-08-04,65.68,65.68,65.68,65.68,0.0,65.68,0
2026-08-05,67.875,67.875,67.875,67.875,0.0,67.875,0
2026-08-06,67.19,67.19,67.19,67.19,0.0,67.19,0
2026-08-07,69.235,69.235,69.235,69.235,0.0,69.235,0
2026-08-10,71.105,71.105,71.105,71.105,0.0,71.105,0
2026-08-11,70.84,70.84,70.84,70.84,0.0,70.84,0
2026-08-12,71.68,71.68,71.68,71.68,0.0,71.68,0
2026-08-13,70.93,70.93,70.93,70.93,0.0,70.93,0
2026-08-14,71.04,71.04,71.04,71.04,0.0,71.04,0
