date,open,high,low,close,volume,average,barCount
2025-02-10,35.205,35.205,35.205,35.205,0.0,35.205,0
2025-02-11,35.07,35.07,35.07,35.07,0.0,35.07,0
2025-02-12,35.585,35.585,35.585,35.585,0.0,35.585,0
2025-02-13,35.56,35.56,35.56,35.56,0.0,35.56,0
2025-02-14,35.695,35.695,35.695,35.695,0.0,35.695,0
2025-02-17,35.695,35.695,35.695,35.695,0.0,35.695,0
2025-02-18,36.21,36.21,36.21,36.21,0.0,36.21,0
2025-02-19,35.815,35.815,35.815,35.815,0.0,35.815,0
2025-02-20,36.265,36.265,36.265,36.265,0.0,36.265,0
2025-02-21,35.75,35.75,35.75,35.75,0.0,35.75,0
2025-02-24,35.335,35.335,35.335,35.335,0.0,35.335,0
2025-02-25,34.54,34.54,34.54,34.54,0.0,34.54,0
2025-02-26,34.99,34.99,34.99,34.99,0.0,34.99,0
2025-02-27,34.515,34.515,34.515,34.515,0.0,34.515,0
2025-02-28,33.895,33.895,33.895,33.895,0.0,33.895,0
2025-03-03,34.675,34.675,34.675,34.675,0.0,34.675,0
2025-03-04,34.715,34.715,34.715,34.715,0.0,34.715,0
2025-03-05,35.46,35.46,35.46,35.46,0.0,35.46,0
2025-03-06,35.655,35.655,35.655,35.655,0.0,35.655,0
2025-03-07,35.115,35.115,35.115,35.115,0.0,35.115,0
2025-03-10,34.795,34.795,34.795,34.795,0.0,34.795,0
2025-03-11,35.35,35.35,35.35,35.35,0.0,35.35,0
2025-03-12,35.955,35.955,35.955,35.955,0.0,35.955,0
2025-03-13,36.53,36.53,36.53,36.53,0.0,36.53,0
2025-03-14,36.67,36.67,36.67,36.67,0.0,36.67,0
2025-03-17,36.55,36.55,36.55,36.55,0.0,36.55,0
2025-03-18,37.055,37.055,37.055,37.055,0.0,37.055,0
2025-03-19,36.455,36.455,36.455,36.455,0.0,36.455,0
2025-03-20,36.22,36.22,36.22,36.22,0.0,36.22,0
2025-03-21,35.64,35.64,35.64,35.64,0.0,35.64,0
2025-03-24,35.625,35.625,35.625,35.625,0.0,35.625,0
2025-03-25,36.365,36.365,36.365,36.365,0.0,36.365,0
2025-03-26,36.4,36.4,36.4,36.4,0.0,36.4,0
2025-03-27,37.3,37.3,37.3,37.3,0.0,37.3,0
2025-03-28,36.96,36.96,36.96,36.96,0.0,36.96,0
2025-03-31,36.805,36.805,36.805,36.805,0.0,36.805,0
2025-04-01,36.6,36.6,36.6,36.6,0.0,36.6,0
2025-04-02,36.905,36.905,36.905,36.905,0.0,36.905,0
2025-04-03,34.12,34.12,34.12,34.12,0.0,34.12,0
2025-04-04,31.26,31.26,31.26,31.26,0.0,31.26,0
2025-04-07,31.635,31.635,31.635,31.635,0.0,31.635,0
2025-04-08,31.7,31.7,31.7,31.7,0.0,31.7,0
2025-04-09,32.485,32.485,32.485,32.485,0.0,32.485,0
2025-04-10,32.83,32.83,32.83,32.83,0.0,32.83,0
2025-04-11,34.07,34.07,34.07,34.07,0.0,34.07,0
2025-04-14,34.345,34.345,34.345,34.345,0.0,34.345,0
2025-04-15,34.46,34.46,34.46,34.46,0.0,34.46,0
2025-04-16,35.165,35.165,35.165,35.165,0.0,35.165,0
2025-04-17,34.665,34.665,34.665,34.665,0.0,34.665,0
2025-04-21,34.71,34.71,34.71,34.71,0.0,34.71,0
2025-04-22,35.12,35.12,35.12,35.12,0.0,35.12,0
2025-04-23,35.765,35.765,35.765,35.765,0.0,35.765,0
2025-04-24,35.74,35.74,35.74,35.74,0.0,35.74,0
2025-04-25,35.245,35.245,35.245,35.245,0.0,35.245,0
2025-04-28,35.245,35.245,35.245,35.245,0.0,35.245,0
2025-04-29,35.48,35.48,35.48,35.48,0.0,35.48,0
2025-04-30,34.71,34.71,34.71,34.71,0.0,34.71,0
2025-05-01,34.35,34.35,34.35,34.35,0.0,34.35,0
2025-05-02,34.14,34.14,34.14,34.14,0.0,34.14,0
2025-05-05,34.385,34.385,34.385,34.385,0.0,34.385,0
2025-05-06,35.315,35.315,35.315,35.315,0.0,35.315,0
2025-05-07,34.74,34.74,34.74,34.74,0.0,34.74,0
2025-05-08,34.575,34.575,34.575,34.575,0.0,34.575,0
2025-05-09,34.875,34.875,34.875,34.875,0.0,34.875,0
2025-05-12,34.59,34.59,34.59,34.59,0.0,34.59,0
2025-05-13,35.07,35.07,35.07,35.07,0.0,35.07,0
2025-05-14,34.4,34.4,34.4,34.4,0.0,34.4,0
2025-05-15,34.605,34.605,34.605,34.605,0.0,34.605,0
2025-05-16,34.28,34.28,34.28,34.28,0.0,34.28,0
2025-05-19,34.44,34.44,34.44,34.44,0.0,34.44,0
2025-05-20,35.085,35.085,35.085,35.085,0.0,35.085,0
2025-05-21,35.57,35.57,35.57,35.57,0.0,35.57,0
2025-05-22,35.135,35.135,35.135,35.135,0.0,35.135,0
2025-05-23,35.525,35.525,35.525,35.525,0.0,35.525,0
2025-05-27,35.22,35.22,35.22,35.22,0.0,35.22,0
2025-05-28,35.07,35.07,35.07,35.07,0.0,35.07,0
2025-05-29,35.315,35.315,35.315,35.315,0.0,35.315,0
2025-05-30,34.93,34.93,34.93,34.93,0.0,34.93,0
2025-06-02,36.6,36.6,36.6,36.6,0.0,36.6,0
2025-06-03,36.595,36.595,36.595,36.595,0.0,36.595,0
2025-06-04,36.62,36.62,36.62,36.62,0.0,36.62,0
2025-06-05,37.78,37.78,37.78,37.78,0.0,37.78,0
2025-06-06,38.125,38.125,38.125,38.125,0.0,38.125,0
2025-06-09,38.82,38.82,38.82,38.82,0.0,38.82,0
2025-06-10,38.71,38.71,38.71,38.71,0.0,38.71,0
2025-06-11,38.335,38.335,38.335,38.335,0.0,38.335,0
2025-06-12,38.32,38.32,38.32,38.32,0.0,38.32,0
2025-06-13,38.415,38.415,38.415,38.415,0.0,38.415,0
2025-06-16,38.525,38.525,38.525,38.525,0.0,38.525,0
2025-06-17,39.235,39.235,39.235,39.235,0.0,39.235,0
2025-06-18,39.015,39.015,39.015,39.015,0.0,39.015,0
2025-06-20,38.1,38.1,38.1,38.1,0.0,38.1,0
2025-06-23,38.295,38.295,38.295,38.295,0.0,38.295,0
2025-06-24,37.84,37.84,37.84,37.84,0.0,37.84,0
2025-06-25,38.18,38.18,38.18,38.18,0.0,38.18,0
2025-06-26,38.68,38.68,38.68,38.68,0.0,38.68,0
2025-06-27,38.11,38.11,38.11,38.11,0.0,38.11,0
2025-06-30,37.9,37.9,37.9,37.9,0.0,37.9,0
2025-07-01,38.14,38.14,38.14,38.14,0.0,38.14,0
2025-07-02,38.48,38.48,38.48,38.48,0.0,38.48,0
2025-07-03,38.885,38.885,38.885,38.885,0.0,38.885,0
2025-07-07,38.73,38.73,38.73,38.73,0.0,38.73,0
2025-07-08,38.58,38.58,38.58,38.58,0.0,38.58,0
2025-07-09,38.455,38.455,38.455,38.455,0.0,38.455,0
2025-07-10,39.135,39.135,39.135,39.135,0.0,39.135,0
2025-07-11,40.785,40.785,40.785,40.785,0.0,40.785,0
2025-07-14,40.57,40.57,40.57,40.57,0.0,40.57,0
2025-07-15,39.97,39.97,39.97,39.97,0.0,39.97,0
2025-07-16,39.96,39.96,39.96,39.96,0.0,39.96,0
2025-07-17,40.155,40.155,40.155,40.155,0.0,40.155,0
2025-07-18,40.325,40.325,40.325,40.325,0.0,40.325,0
2025-07-21,41.215,41.215,41.215,41.215,0.0,41.215,0
2025-07-22,41.465,41.465,41.465,41.465,0.0,41.465,0
2025-07-23,41.415,41.415,41.415,41.415,0.0,41.415,0
2025-07-24,41.15,41.15,41.15,41.15,0.0,41.15,0
2025-07-25,40.28,40.28,40.28,40.28,0.0,40.28,0
2025-07-28,40.145,40.145,40.145,40.145,0.0,40.145,0
2025-07-29,40.195,40.195,40.195,40.195,0.0,40.195,0
2025-07-30,39.635,39.635,39.635,39.635,0.0,39.635,0
2025-07-31,38.585,38.585,38.585,38.585,0.0,38.585,0
2025-08-01,38.75,38.75,38.75,38.75,0.0,38.75,0
2025-08-04,39.15,39.15,39.15,39.15,0.0,39.15,0
2025-08-05,39.67,39.67,39.67,39.67,0.0,39.67,0
2025-08-06,39.745,39.745,39.745,39.745,0.0,39.745,0
2025-08-07,40.24,40.24,40.24,40.24,0.0,40.24,0
2025-08-08,40.555,40.555,40.555,40.555,0.0,40.555,0
2025-08-11,39.78,39.78,39.78,39.78,0.0,39.78,0
2025-08-12,39.985,39.985,39.985,39.985,0.0,39.985,0
2025-08-13,40.64,40.64,40.64,40.64,0.0,40.64,0
2025-08-14,40.055,40.055,40.055,40.055,0.0,40.055,0
2025-08-15,39.955,39.955,39.955,39.955,0.0,39.955,0
2025-08-18,40.02,40.02,40.02,40.02,0.0,40.02,0
2025-08-19,39.285,39.285,39.285,39.285,0.0,39.285,0
2025-08-20,39.705,39.705,39.705,39.705,0.0,39.705,0
2025-08-21,40.02,40.02,40.02,40.02,0.0,40.02,0
2025-08-22,41.0,41.0,41.0,41.0,0.0,41.0,0
2025-08-25,40.715,40.715,40.67,40.67,9.0,40.7145,7
2025-08-26,40.575,40.575,40.575,40.575,0.0,40.575,0
2025-08-27,40.68,40.68,40.68,40.68,0.0,40.68,0
2025-08-28,41.205,41.205,41.205,41.205,0.0,41.205,0
2025-08-29,42.325,42.325,42.26,42.26,1.0,42.325,1
2025-09-02,43.15,43.15,43.15,43.15,0.0,43.15,0
2025-09-03,43.65,43.65,43.65,43.65,0.0,43.65,0
2025-09-04,42.99,42.99,42.99,42.99,0.0,42.99,0
2025-09-05,43.115,43.115,43.115,43.115,0.0,43.115,0
2025-09-08,43.46,43.46,43.46,43.46,0.0,43.46,0
2025-09-09,42.89,42.89,42.89,42.89,0.0,42.89,0
2025-09-10,43.15,43.15,43.15,43.15,0.0,43.15,0
2025-09-11,43.71,43.71,43.71,43.71,0.0,43.71,0
2025-09-12,44.405,44.405,44.405,44.405,0.0,44.405,0
2025-09-15,44.545,44.545,44.545,44.545,0.0,44.545,0
2025-09-16,44.51,44.51,44.51,44.51,0.0,44.51,0
2025-09-17,43.73,43.73,43.73,43.73,0.0,43.73,0
2025-09-18,43.69,43.69,43.69,43.69,0.0,43.69,0
2025-09-19,44.565,44.565,44.565,44.565,0.0,44.565,0
2025-09-22,45.86,45.86,45.86,45.86,0.0,45.86,0
2025-09-23,46.275,46.275,46.275,46.275,0.0,46.275,0
2025-09-24,45.865,45.865,45.865,45.865,0.0,45.865,0
2025-09-25,46.82,46.82,46.82,46.82,0.0,46.82,0
2025-09-26,48.62,48.62,48.435,48.435,1.0,48.62,1
2025-09-29,48.85,48.85,48.85,48.85,0.0,48.85,0
2025-09-30,48.455,48.455,48.455,48.455,0.0,48.455,0
2025-10-01,49.5,49.5,49.5,49.5,0.0,49.5,0
2025-10-02,47.93,48.155,47.93,48.155,2.0,47.955,2
2025-10-03,49.765,49.765,49.765,49.765,0.0,49.765,0
2025-10-06,50.255,50.255,50.255,50.255,0.0,50.255,0
2025-10-07,49.35,49.35,49.35,49.35,0.0,49.35,0
2025-10-08,50.85,50.85,50.85,50.85,0.0,50.85,0
2025-10-09,49.085,49.245,48.92,48.92,2.0,49.165,2
2025-10-10,49.865,49.865,49.025,49.025,1.0,49.865,1
2025-10-13,52.215,52.215,52.215,52.215,0.0,52.215,0
